datetime,open,high,low,close,volume
2020-04-16 12:35:00,10.2,10.2,10.2,10.2,487
2020-04-16 12:40:00,10.2,10.2,10.1,10.1,5076
2020-04-16 13:00:00,10.3899,10.39,10.3899,10.39,1600
2020-04-16 13:05:00,10.39,10.39,10.39,10.39,206
2020-04-16 13:20:00,10.3899,10.42,10.3898,10.42,10519
2020-04-16 13:25:00,10.42,10.42,10.34,10.34,1560
2020-04-16 13:30:00,10.35,10.4,9.85,9.86,415850
2020-04-16 13:35:00,9.85,10.035,9.76,9.965,330036
2020-04-16 13:40:00,9.97,10.165,9.97,10.1373,199300
2020-04-16 13:45:00,10.14,10.15,9.91,9.947,148928
2020-04-16 13:50:00,9.94,10.045,9.88,9.98,231236
2020-04-16 13:55:00,9.98,9.98,9.76,9.78,160699
2020-04-16 14:00:00,9.784,9.85,9.784,9.795,124716
2020-04-16 14:05:00,9.795,9.88,9.78,9.78,173274
2020-04-16 14:10:00,9.7891,9.8074,9.605,9.61,423822
2020-04-16 14:15:00,9.61,9.705,9.6,9.63,249798
2020-04-16 14:20:00,9.6271,9.66,9.59,9.62,128801
2020-04-16 14:25:00,9.61,9.75,9.605,9.73,125695
2020-04-16 14:30:00,9.73,9.7838,9.725,9.77,103709
2020-04-16 14:35:00,9.77,9.7999,9.745,9.75,127677
2020-04-16 14:40:00,9.75,9.8299,9.74,9.79,210972
2020-04-16 14:45:00,9.79,9.8,9.72,9.77,225869
2020-04-16 14:50:00,9.77,9.77,9.685,9.725,70606
2020-04-16 14:55:00,9.73,9.785,9.72,9.75,205054
2020-04-16 15:00:00,9.7428,9.75,9.67,9.68,155366
2020-04-16 15:05:00,9.68,9.78,9.68,9.775,92459
2020-04-16 15:10:00,9.77,9.85,9.76,9.8077,162576
2020-04-16 15:15:00,9.8,9.805,9.72,9.755,125363
2020-04-16 15:20:00,9.76,9.765,9.74,9.75,245511
2020-04-16 15:25:00,9.75,9.765,9.66,9.66,137930
2020-04-16 15:30:00,9.66,9.685,9.62,9.625,149315
2020-04-16 15:35:00,9.62,9.65,9.61,9.6397,117213
2020-04-16 15:40:00,9.6325,9.7,9.6325,9.65,127074
