datetime,open,high,low,close,volume
2020-04-16 10:35:00,6.09,6.1,6.09,6.1,2000
2020-04-16 10:55:00,6.11,6.11,6.11,6.11,500
2020-04-16 11:10:00,6.15,6.15,6.15,6.15,130
2020-04-16 11:35:00,6.15,6.15,6.15,6.15,1000
2020-04-16 11:40:00,6.15,6.15,6.15,6.15,180
2020-04-16 11:55:00,6.16,6.16,6.16,6.16,1000
2020-04-16 12:00:00,6.16,6.18,6.16,6.18,6771
2020-04-16 12:05:00,6.15,6.15,6.15,6.15,100
2020-04-16 12:15:00,6.15,6.15,6.15,6.15,1057
2020-04-16 12:20:00,6.18,6.25,6.18,6.25,7600
2020-04-16 12:25:00,6.2499,6.25,6.2499,6.25,400
2020-04-16 12:30:00,6.23,6.23,6.23,6.23,200
2020-04-16 12:40:00,6.22,6.22,6.16,6.16,4500
2020-04-16 12:45:00,6.15,6.15,6.15,6.15,700
2020-04-16 12:55:00,6.1799,6.1799,6.15,6.15,1368
2020-04-16 13:05:00,6.15,6.15,6.11,6.11,999
2020-04-16 13:10:00,6.15,6.15,6.14,6.14,299
2020-04-16 13:15:00,6.1399,6.14,6.11,6.14,4999
2020-04-16 13:20:00,6.14,6.14,6.08,6.08,4501
2020-04-16 13:25:00,6.08,6.1,6.08,6.1,3878
2020-04-16 13:30:00,6.08,6.17,6.01,6.1,800493
2020-04-16 13:35:00,6.11,6.125,6.0555,6.1,698277
2020-04-16 13:40:00,6.095,6.16,6.095,6.12,515834
2020-04-16 13:45:00,6.13,6.22,6.125,6.2,472984
2020-04-16 13:50:00,6.2,6.24,6.1578,6.225,510528
2020-04-16 13:55:00,6.2273,6.26,6.2,6.26,598353
2020-04-16 14:00:00,6.2593,6.3524,6.2502,6.32,722745
2020-04-16 14:05:00,6.31,6.39,6.28,6.39,637500
2020-04-16 14:10:00,6.39,6.4257,6.34,6.42,721230
2020-04-16 14:15:00,6.42,6.427,6.37,6.39,452186
2020-04-16 14:20:00,6.39,6.445,6.38,6.44,533853
2020-04-16 14:25:00,6.44,6.44,6.345,6.36,577378
2020-04-16 14:30:00,6.35,6.365,6.31,6.325,439014
2020-04-16 14:35:00,6.33,6.4,6.315,6.365,196464
2020-04-16 14:40:00,6.37,6.425,6.35,6.4198,402583
2020-04-16 14:45:00,6.41,6.4266,6.35,6.4,243778
2020-04-16 14:50:00,6.4085,6.41,6.38,6.385,198301
2020-04-16 14:55:00,6.385,6.395,6.32,6.36,370488
2020-04-16 15:00:00,6.36,6.39,6.33,6.335,325305
2020-04-16 15:05:00,6.34,6.35,6.28,6.31,371185
2020-04-16 15:10:00,6.3079,6.34,6.3075,6.33,146958
2020-04-16 15:15:00,6.33,6.35,6.295,6.325,362765
2020-04-16 15:20:00,6.32,6.34,6.3,6.33,132709
2020-04-16 15:25:00,6.33,6.365,6.32,6.35,191288
2020-04-16 15:30:00,6.35,6.36,6.305,6.31,165589
2020-04-16 15:35:00,6.3,6.32,6.275,6.28,246301
2020-04-16 15:40:00,6.28,6.3,6.24,6.25,314997
2020-04-16 15:45:00,6.245,6.27,6.24,6.2583,152885
2020-04-16 15:50:00,6.255,6.3,6.245,6.29,151541
2020-04-16 15:55:00,6.3,6.3,6.255,6.265,116051
2020-04-16 16:00:00,6.265,6.3,6.26,6.295,247251
2020-04-16 16:05:00,6.2963,6.3,6.265,6.28,166156
2020-04-16 16:10:00,6.28,6.3,6.27,6.2958,79059
2020-04-16 16:15:00,6.295,6.31,6.25,6.255,314460
2020-04-16 16:20:00,6.255,6.255,6.17,6.2099,268583
2020-04-16 16:25:00,6.2,6.2055,6.17,6.2,182387
2020-04-16 16:30:00,6.2,6.2,6.11,6.125,257541
2020-04-16 16:35:00,6.125,6.2,6.125,6.19,239494
2020-04-16 16:40:00,6.19,6.21,6.185,6.195,128054
2020-04-16 16:45:00,6.195,6.2083,6.165,6.17,59231
2020-04-16 16:50:00,6.17,6.19,6.155,6.17,102723
2020-04-16 16:55:00,6.17,6.18,6.155,6.17,101044
2020-04-16 17:00:00,6.17,6.17,6.15,6.16,113198
2020-04-16 17:05:00,6.165,6.18,6.15,6.15,84291
2020-04-16 17:10:00,6.15,6.19,6.15,6.18,151416
2020-04-16 17:15:00,6.19,6.215,6.185,6.2061,105830
2020-04-16 17:20:00,6.21,6.23,6.19,6.195,204466
2020-04-16 17:25:00,6.2,6.2055,6.18,6.185,202584
2020-04-16 17:30:00,6.19,6.2,6.1703,6.1852,103598
2020-04-16 17:35:00,6.19,6.19,6.14,6.14,131733
2020-04-16 17:40:00,6.14,6.175,6.13,6.175,121464
2020-04-16 17:45:00,6.17,6.19,6.165,6.173,102750
2020-04-16 17:50:00,6.175,6.2,6.15,6.155,137793
2020-04-16 17:55:00,6.16,6.17,6.15,6.1532,63705
2020-04-16 18:00:00,6.155,6.165,6.1402,6.155,220828
2020-04-16 18:05:00,6.16,6.22,6.155,6.2001,158717
2020-04-16 18:10:00,6.2,6.2097,6.18,6.185,161455
2020-04-16 18:15:00,6.185,6.21,6.18,6.2,127487
2020-04-16 18:20:00,6.2,6.2,6.16,6.16,160358
