datetime,open,high,low,close,volume
2020-04-16 12:35:00,10.01,10.01,10.01,10.01,447
2020-04-16 13:30:00,10.16,10.16,10.05,10.0591,184193
2020-04-16 13:35:00,10.06,10.06,9.96,10.01,108037
2020-04-16 13:40:00,10.0034,10.04,10.0034,10.03,43183
2020-04-16 13:45:00,10.03,10.04,9.955,9.955,59375
2020-04-16 13:50:00,9.96,9.97,9.9,9.92,147078
2020-04-16 13:55:00,9.91,9.93,9.86,9.865,113320
2020-04-16 14:00:00,9.865,9.88,9.81,9.825,140383
2020-04-16 14:05:00,9.82,9.83,9.745,9.765,214514
2020-04-16 14:10:00,9.76,9.77,9.735,9.76,109182
2020-04-16 14:15:00,9.76,9.79,9.725,9.735,108123
2020-04-16 14:20:00,9.74,9.8,9.7234,9.78,129486
2020-04-16 14:25:00,9.785,9.85,9.77,9.84,145623
2020-04-16 14:30:00,9.8415,9.86,9.81,9.83,65455
2020-04-16 14:35:00,9.84,9.89,9.8,9.875,128113
2020-04-16 14:40:00,9.8726,9.92,9.86,9.89,117247
2020-04-16 14:45:00,9.895,9.925,9.85,9.915,173420
2020-04-16 14:50:00,9.91,9.915,9.86,9.87,94217
2020-04-16 14:55:00,9.88,9.9025,9.865,9.88,191508
2020-04-16 15:00:00,9.885,9.93,9.85,9.89,203875
2020-04-16 15:05:00,9.89,9.9423,9.87,9.92,73740
2020-04-16 15:10:00,9.915,9.94,9.87,9.875,116951
2020-04-16 15:15:00,9.88,9.915,9.8701,9.9,89784
2020-04-16 15:20:00,9.895,9.905,9.875,9.895,44167
2020-04-16 15:25:00,9.89,9.905,9.825,9.825,61108
2020-04-16 15:30:00,9.83,9.835,9.79,9.81,85455
2020-04-16 15:35:00,9.805,9.84,9.79,9.835,67502
2020-04-16 15:40:00,9.835,9.85,9.81,9.825,105789
2020-04-16 15:45:00,9.83,9.85,9.825,9.83,32465
2020-04-16 15:50:00,9.84,9.95,9.835,9.93,86510
2020-04-16 15:55:00,9.93,9.93,9.9,9.905,67822
2020-04-16 16:00:00,9.91,9.92,9.865,9.89,59804
2020-04-16 16:05:00,9.89,9.89,9.85,9.865,42650
2020-04-16 16:10:00,9.86,9.865,9.825,9.83,101939
2020-04-16 16:15:00,9.82,9.835,9.78,9.785,48942
2020-04-16 16:20:00,9.7869,9.7869,9.75,9.775,92249
2020-04-16 16:25:00,9.775,9.8,9.765,9.78,56373
2020-04-16 16:30:00,9.78,9.78,9.715,9.75,172075
2020-04-16 16:35:00,9.75,9.775,9.74,9.77,31007
2020-04-16 16:40:00,9.76,9.795,9.76,9.795,29047
2020-04-16 16:45:00,9.79,9.8,9.78,9.785,15287
2020-04-16 16:50:00,9.785,9.805,9.775,9.78,32220
2020-04-16 16:55:00,9.785,9.79,9.755,9.767,58919
2020-04-16 17:00:00,9.76,9.77,9.73,9.735,63917
2020-04-16 17:05:00,9.735,9.76,9.73,9.735,52071
2020-04-16 17:10:00,9.735,9.76,9.73,9.755,34789
2020-04-16 17:15:00,9.755,9.76,9.725,9.7483,50805
2020-04-16 17:20:00,9.745,9.76,9.735,9.75,53387
2020-04-16 17:25:00,9.75,9.76,9.74,9.755,37680
2020-04-16 17:30:00,9.755,9.79,9.75,9.77,56597
2020-04-16 17:35:00,9.78,9.78,9.76,9.76,23097
2020-04-16 17:40:00,9.765,9.79,9.76,9.785,37202
2020-04-16 17:45:00,9.78,9.79,9.76,9.765,17890
2020-04-16 17:50:00,9.765,9.765,9.68,9.6856,491434
2020-04-16 17:55:00,9.6803,9.705,9.675,9.7,73213
2020-04-16 18:00:00,9.695,9.7,9.675,9.7,48797
2020-04-16 18:05:00,9.695,9.72,9.69,9.715,50438
2020-04-16 18:10:00,9.715,9.73,9.71,9.715,53657
2020-04-16 18:15:00,9.72,9.75,9.715,9.75,79059
2020-04-16 18:20:00,9.74,9.75,9.7,9.735,215804
2020-04-16 18:25:00,9.73,9.76,9.73,9.735,82554
2020-04-16 18:30:00,9.735,9.75,9.73,9.745,52027
2020-04-16 18:35:00,9.745,9.765,9.73,9.745,124454
2020-04-16 18:40:00,9.745,9.775,9.74,9.775,42605
2020-04-16 18:45:00,9.78,9.79,9.78,9.79,31487
2020-04-16 18:50:00,9.79,9.79,9.76,9.78,67926
2020-04-16 18:55:00,9.77,9.79,9.77,9.78,30535
2020-04-16 19:00:00,9.785,9.795,9.77,9.775,32402
2020-04-16 19:05:00,9.77,9.79,9.76,9.765,67482
2020-04-16 19:10:00,9.765,9.77,9.75,9.765,53162
2020-04-16 19:15:00,9.76,9.785,9.74,9.745,71515
2020-04-16 19:20:00,9.75,9.76,9.72,9.73,105659
2020-04-16 19:25:00,9.73,9.81,9.71,9.795,144005
2020-04-16 19:30:00,9.795,9.83,9.795,9.825,83973
2020-04-16 19:35:00,9.83,9.845,9.82,9.83,147741
2020-04-16 19:40:00,9.825,9.83,9.79,9.805,192095
2020-04-16 19:45:00,9.81,9.83,9.8,9.8198,150039
2020-04-16 19:50:00,9.8,9.815,9.755,9.77,307353
2020-04-16 19:55:00,9.775,9.78,9.75,9.75,686376
2020-04-16 20:00:00,9.75,9.75,9.75,9.75,1013093
2020-04-16 20:10:00,9.75,9.77,9.75,9.77,705
2020-04-16 20:40:00,9.77,9.77,9.77,9.77,200
