datetime,open,high,low,close,volume
2020-04-16 09:30:00,46.85,46.85,46.85,46.85,100
2020-04-16 11:05:00,47.25,47.25,47.25,47.25,399
2020-04-16 12:10:00,47.3,47.3,47.3,47.3,275
2020-04-16 12:15:00,47.1,47.35,47.1,47.35,200
2020-04-16 12:20:00,47.3,47.67,47.1,47.67,1300
2020-04-16 12:35:00,47.67,47.7239,47.5,47.7239,555
2020-04-16 12:40:00,47.75,47.75,47.75,47.75,9919
2020-04-16 12:50:00,47.8,47.8,47.8,47.8,1000
2020-04-16 13:00:00,47.6,47.6,47.6,47.6,298
2020-04-16 13:15:00,47.6,47.6,47.6,47.6,802
2020-04-16 13:25:00,47.25,47.25,47.25,47.25,320
2020-04-16 13:30:00,47.17,47.57,46.34,46.35,136629
2020-04-16 13:35:00,46.34,46.48,46.0,46.19,101918
2020-04-16 13:40:00,46.27,46.61,46.27,46.39,62526
2020-04-16 13:45:00,46.33,46.5,45.96,45.99,113161
2020-04-16 13:50:00,45.99,46.18,45.94,46.05,55827
2020-04-16 13:55:00,46.03,46.07,45.8,45.86,68248
2020-04-16 14:00:00,45.86,46.01,45.7,45.7,122677
2020-04-16 14:05:00,45.71,45.8,45.5,45.56,178673
2020-04-16 14:10:00,45.57,45.8,45.5,45.64,107047
2020-04-16 14:15:00,45.67,45.855,45.58,45.58,37726
2020-04-16 14:20:00,45.545,45.84,45.545,45.82,49089
2020-04-16 14:25:00,45.82,46.24,45.82,46.15,152479
2020-04-16 14:30:00,46.14,46.19,45.76,45.94,47464
2020-04-16 14:35:00,45.93,46.01,45.71,45.74,33897
2020-04-16 14:40:00,45.73,45.85,45.6,45.68,30463
2020-04-16 14:45:00,45.71,45.74,45.47,45.59,43261
2020-04-16 14:50:00,45.55,45.64,45.52,45.6099,59812
2020-04-16 14:55:00,45.6,45.655,45.51,45.51,42838
2020-04-16 15:00:00,45.51,45.62,45.45,45.5928,64992
2020-04-16 15:05:00,45.62,46.08,45.57,46.0725,105776
2020-04-16 15:10:00,46.04,46.09,45.86,45.88,46763
2020-04-16 15:15:00,45.89,46.18,45.89,46.07,55562
2020-04-16 15:20:00,46.09,46.14,45.9701,46.08,31088
2020-04-16 15:25:00,46.08,46.1,45.78,45.8,49110
2020-04-16 15:30:00,45.8,45.82,45.55,45.575,41695
2020-04-16 15:35:00,45.57,45.72,45.5,45.7,53131
2020-04-16 15:40:00,45.71,45.75,45.6,45.6,18998
2020-04-16 15:45:00,45.63,45.69,45.53,45.58,23274
2020-04-16 15:50:00,45.59,45.945,45.5893,45.945,24090
2020-04-16 15:55:00,45.93,46.11,45.82,46.05,47723
2020-04-16 16:00:00,46.07,46.1984,45.99,46.02,108674
2020-04-16 16:05:00,45.98,46.01,45.65,45.65,44579
2020-04-16 16:10:00,45.64,45.675,45.345,45.35,105544
2020-04-16 16:15:00,45.33,45.33,45.02,45.03,73847
2020-04-16 16:20:00,45.02,45.03,44.77,44.789,154594
2020-04-16 16:25:00,44.79,44.84,44.55,44.78,144426
2020-04-16 16:30:00,44.79,44.865,44.685,44.835,39537
2020-04-16 16:35:00,44.835,44.96,44.71,44.85,38697
2020-04-16 16:40:00,44.86,44.93,44.79,44.84,30292
2020-04-16 16:45:00,44.87,44.96,44.74,44.8199,65841
2020-04-16 16:50:00,44.84,44.88,44.7,44.78,21063
2020-04-16 16:55:00,44.77,44.88,44.72,44.76,22514
2020-04-16 17:00:00,44.76,44.95,44.71,44.93,85420
2020-04-16 17:05:00,44.93,45.14,44.92,45.04,77960
2020-04-16 17:10:00,45.045,45.209,45.035,45.185,29361
2020-04-16 17:15:00,45.17,45.24,44.98,45.14,70711
2020-04-16 17:20:00,45.14,45.17,45.05,45.125,23416
2020-04-16 17:25:00,45.09,45.21,45.075,45.16,24928
2020-04-16 17:30:00,45.175,45.31,45.16,45.26,88221
2020-04-16 17:35:00,45.2555,45.29,45.09,45.09,166782
2020-04-16 17:40:00,45.125,45.14,44.97,45.1,33914
2020-04-16 17:45:00,45.1,45.1,44.86,44.9,34190
2020-04-16 17:50:00,44.895,44.91,44.68,44.73,27967
2020-04-16 17:55:00,44.73,44.87,44.7056,44.79,79422
2020-04-16 18:00:00,44.77,44.955,44.7,44.94,41031
2020-04-16 18:05:00,44.95,45.16,44.905,45.105,55020
2020-04-16 18:10:00,45.11,45.27,45.05,45.27,33275
2020-04-16 18:15:00,45.28,45.37,45.27,45.28,83990
2020-04-16 18:20:00,45.3036,45.35,45.225,45.31,92967
2020-04-16 18:25:00,45.29,45.43,45.28,45.36,49759
2020-04-16 18:30:00,45.3463,45.48,45.25,45.29,113082
2020-04-16 18:35:00,45.27,45.85,45.27,45.61,128857
2020-04-16 18:40:00,45.56,45.6,45.3,45.41,63394
2020-04-16 18:45:00,45.42,45.49,45.23,45.275,56637
2020-04-16 18:50:00,45.275,45.3,45.11,45.22,51385
2020-04-16 18:55:00,45.23,45.28,45.19,45.2,32458
2020-04-16 19:00:00,45.2,45.27,45.11,45.25,70547
2020-04-16 19:05:00,45.2577,45.38,45.21,45.33,64105
2020-04-16 19:10:00,45.31,45.44,45.31,45.4,50413
2020-04-16 19:15:00,45.4,45.58,45.34,45.34,39678
2020-04-16 19:20:00,45.35,45.425,45.29,45.375,53314
2020-04-16 19:25:00,45.37,45.46,45.27,45.4,42144
2020-04-16 19:30:00,45.41,45.53,45.36,45.46,55439
2020-04-16 19:35:00,45.485,45.75,45.47,45.75,67881
2020-04-16 19:40:00,45.75,45.9,45.695,45.85,140059
2020-04-16 19:45:00,45.85,45.9,45.705,45.84,172696
2020-04-16 19:50:00,45.87,46.195,45.87,46.1425,385970
2020-04-16 19:55:00,46.13,46.14,45.84,45.86,273504
2020-04-16 20:00:00,45.9,45.9,45.9,45.9,876322
2020-04-16 20:25:00,45.6,45.6,45.6,45.6,100
2020-04-16 20:40:00,45.9,45.9,45.9,45.9,2954
2020-04-16 20:45:00,46.41,46.6,46.41,46.6,991
2020-04-16 20:55:00,46.6,46.6,46.6,46.6,448
2020-04-16 21:00:00,46.76,47.98,46.76,47.98,649
2020-04-16 21:10:00,47.85,47.9,47.53,47.53,1090
2020-04-16 21:15:00,47.53,47.96,47.53,47.9599,1000
2020-04-16 21:25:00,47.85,47.91,47.85,47.91,700
2020-04-16 21:30:00,47.91,48.1,47.85,47.85,14100
2020-04-16 21:35:00,47.84,48.1,47.75,48.1,1910
2020-04-16 21:40:00,48.0,49.0,48.0,49.0,2025
2020-04-16 21:45:00,49.0,49.0,49.0,49.0,1884
2020-04-16 21:50:00,48.95,48.95,48.8,48.95,950
2020-04-16 21:55:00,48.9499,48.9499,48.35,48.35,1638
2020-04-16 22:00:00,48.5,48.5,48.37,48.45,380
2020-04-16 22:05:00,48.35,48.35,48.0,48.0,320
2020-04-16 22:15:00,47.9,47.9,47.9,47.9,1200
2020-04-16 22:20:00,48.0,48.0,48.0,48.0,3551
2020-04-16 22:25:00,48.5,48.5,48.5,48.5,5000
2020-04-16 22:30:00,48.5,48.5,48.5,48.5,3000
2020-04-16 22:35:00,48.85,49.29,48.85,49.29,2745
2020-04-16 22:40:00,49.3,49.3,49.3,49.3,100
2020-04-16 22:45:00,49.18,49.18,49.0,49.0,1200
2020-04-16 22:50:00,49.18,49.18,49.18,49.18,1000
2020-04-16 22:55:00,49.25,49.25,49.0,49.0,200
2020-04-16 23:00:00,49.05,49.25,49.05,49.14,1856
2020-04-16 23:05:00,49.25,49.5,49.25,49.5,1214
2020-04-16 23:10:00,49.5,49.5,49.49,49.49,1506
2020-04-16 23:20:00,49.5,49.5,49.2,49.49,1600
2020-04-16 23:25:00,49.48,49.49,49.48,49.49,400
2020-04-16 23:30:00,49.49,49.49,49.25,49.25,3658
2020-04-16 23:35:00,49.49,49.5,49.25,49.25,1850
2020-04-16 23:40:00,49.2,49.2,49.2,49.2,901
2020-04-16 23:45:00,49.3,49.5,49.3,49.4,900
2020-04-16 23:50:00,49.5,49.5,49.5,49.5,100
2020-04-16 23:55:00,49.5,49.5,49.5,49.5,3408
2020-04-17 08:05:00,49.6,49.6,49.6,49.6,100
