datetime,open,high,low,close,volume
2020-04-16 13:30:00,8.91,8.91,8.76,8.79,23902
2020-04-16 13:35:00,8.76,8.81,8.73,8.73,33138
2020-04-16 13:40:00,8.725,8.85,8.725,8.84,35013
2020-04-16 13:45:00,8.85,8.85,8.73,8.75,54516
2020-04-16 13:50:00,8.76,8.78,8.69,8.715,13500
2020-04-16 13:55:00,8.715,8.725,8.68,8.68,15828
2020-04-16 14:00:00,8.67,8.77,8.67,8.74,53244
2020-04-16 14:05:00,8.75,8.76,8.665,8.67,21782
2020-04-16 14:10:00,8.68,8.7,8.65,8.66,12926
2020-04-16 14:15:00,8.67,8.72,8.67,8.695,15635
2020-04-16 14:20:00,8.69,8.74,8.68,8.74,8943
2020-04-16 14:25:00,8.73,8.77,8.72,8.76,19606
2020-04-16 14:30:00,8.765,8.79,8.735,8.775,27228
2020-04-16 14:35:00,8.775,8.79,8.75,8.75,31630
2020-04-16 14:40:00,8.755,8.79,8.745,8.765,75344
2020-04-16 14:45:00,8.765,8.78,8.73,8.765,13443
2020-04-16 14:50:00,8.76,8.77,8.735,8.755,15387
2020-04-16 14:55:00,8.755,8.81,8.75,8.81,13225
2020-04-16 15:00:00,8.81,8.84,8.77,8.835,13511
2020-04-16 15:05:00,8.835,8.87,8.835,8.865,19431
2020-04-16 15:10:00,8.87,8.87,8.85,8.855,34242
2020-04-16 15:15:00,8.855,8.86,8.82,8.845,31828
2020-04-16 15:20:00,8.845,8.87,8.84,8.85,14378
2020-04-16 15:25:00,8.85,8.86,8.83,8.83,18171
2020-04-16 15:30:00,8.835,8.85,8.8,8.805,25003
2020-04-16 15:35:00,8.8,8.82,8.79,8.805,35468
2020-04-16 15:40:00,8.81,8.825,8.795,8.805,13596
2020-04-16 15:45:00,8.805,8.81,8.78,8.805,36045
2020-04-16 15:50:00,8.805,8.86,8.8,8.855,25354
2020-04-16 15:55:00,8.855,8.86,8.82,8.83,25581
2020-04-16 16:00:00,8.83,8.86,8.825,8.83,28720
2020-04-16 16:05:00,8.83,8.855,8.82,8.84,22769
2020-04-16 16:10:00,8.84,8.86,8.84,8.86,12038
2020-04-16 16:15:00,8.86,8.86,8.76,8.775,27845
2020-04-16 16:20:00,8.775,8.79,8.77,8.78,9080
2020-04-16 16:25:00,8.7755,8.78,8.725,8.725,22282
2020-04-16 16:30:00,8.72,8.72,8.675,8.7,37187
2020-04-16 16:35:00,8.7,8.72,8.69,8.71,18839
2020-04-16 16:40:00,8.71,8.74,8.71,8.74,16788
2020-04-16 16:45:00,8.74,8.76,8.725,8.74,26471
2020-04-16 16:50:00,8.7416,8.79,8.74,8.79,15349
2020-04-16 16:55:00,8.79,8.8,8.78,8.8,12605
2020-04-16 17:00:00,8.8,8.82,8.79,8.795,32506
2020-04-16 17:05:00,8.8,8.83,8.8,8.81,34199
2020-04-16 17:10:00,8.805,8.81,8.765,8.795,20659
2020-04-16 17:15:00,8.795,8.805,8.76,8.78,18323
2020-04-16 17:20:00,8.78,8.785,8.77,8.77,6126
2020-04-16 17:25:00,8.77,8.82,8.77,8.8,32219
2020-04-16 17:30:00,8.81,8.82,8.805,8.81,10056
2020-04-16 17:35:00,8.815,8.82,8.795,8.795,17061
2020-04-16 17:40:00,8.8,8.8,8.79,8.795,10389
2020-04-16 17:45:00,8.795,8.8,8.79,8.79,3630
2020-04-16 17:50:00,8.8,8.8,8.745,8.77,33654
2020-04-16 17:55:00,8.765,8.79,8.765,8.785,11745
2020-04-16 18:00:00,8.78,8.8,8.76,8.795,17739
2020-04-16 18:05:00,8.8,8.805,8.77,8.8,48638
2020-04-16 18:10:00,8.8,8.81,8.78,8.8,25058
2020-04-16 18:15:00,8.795,8.86,8.795,8.84,83224
2020-04-16 18:20:00,8.835,8.84,8.81,8.82,21669
2020-04-16 18:25:00,8.81,8.84,8.805,8.825,28193
2020-04-16 18:30:00,8.825,8.84,8.82,8.82,11387
2020-04-16 18:35:00,8.83,8.855,8.82,8.845,34103
2020-04-16 18:40:00,8.845,8.855,8.81,8.835,32989
2020-04-16 18:45:00,8.835,8.85,8.825,8.825,10835
2020-04-16 18:50:00,8.825,8.83,8.8,8.83,21948
2020-04-16 18:55:00,8.825,8.83,8.8,8.82,24719
2020-04-16 19:00:00,8.825,8.825,8.81,8.82,11194
2020-04-16 19:05:00,8.815,8.84,8.815,8.82,43651
2020-04-16 19:10:00,8.82,8.83,8.81,8.83,14514
2020-04-16 19:15:00,8.825,8.87,8.82,8.83,32532
2020-04-16 19:20:00,8.825,8.85,8.825,8.835,27338
2020-04-16 19:25:00,8.835,8.86,8.83,8.855,21526
2020-04-16 19:30:00,8.855,8.88,8.84,8.865,61247
2020-04-16 19:35:00,8.87,8.875,8.85,8.86,32594
2020-04-16 19:40:00,8.855,8.87,8.84,8.84,47048
2020-04-16 19:45:00,8.845,8.85,8.82,8.82,121600
2020-04-16 19:50:00,8.82,8.835,8.79,8.805,384605
2020-04-16 19:55:00,8.805,8.86,8.8,8.845,318466
2020-04-16 20:00:00,8.84,8.84,8.84,8.84,278304
2020-04-16 21:05:00,9.01,9.01,9.01,9.01,600
2020-04-16 21:15:00,9.0098,9.0098,9.0098,9.0098,1000
2020-04-16 21:30:00,9.01,9.01,9.01,9.01,500
2020-04-16 22:25:00,8.95,8.95,8.95,8.95,500
2020-04-16 23:25:00,9.25,9.25,9.25,9.25,400
2020-04-17 13:25:00,9.05,9.05,9.05,9.05,100
2020-04-17 13:30:00,9.15,9.48,9.15,9.4502,121918
2020-04-17 13:35:00,9.45,9.505,9.45,9.49,115067
2020-04-17 13:40:00,9.49,9.51,9.4,9.43,83410
2020-04-17 13:45:00,9.43,9.44,9.35,9.43,48372
2020-04-17 13:50:00,9.435,9.44,9.36,9.395,40611
2020-04-17 13:55:00,9.4,9.44,9.385,9.43,40128
2020-04-17 14:00:00,9.435,9.44,9.34,9.4,47351
2020-04-17 14:05:00,9.4,9.42,9.39,9.415,209608
2020-04-17 14:10:00,9.415,9.485,9.38,9.39,55193
2020-04-17 14:15:00,9.4,9.405,9.365,9.37,24702
2020-04-17 14:20:00,9.375,9.395,9.35,9.38,15066
2020-04-17 14:25:00,9.38,9.42,9.37,9.39,32000
