datetime,open,high,low,close,volume
2020-04-16 13:30:00,53.88,54.38,53.75,54.26,155235
2020-04-16 13:35:00,54.27,54.3,53.98,54.14,63264
2020-04-16 13:40:00,54.14,54.14,53.845,53.88,86941
2020-04-16 13:45:00,53.88,53.92,53.8,53.86,63571
2020-04-16 13:50:00,53.85,53.905,53.7,53.9,64692
2020-04-16 13:55:00,53.9,53.9,53.75,53.76,49777
2020-04-16 14:00:00,53.76,53.82,53.63,53.64,54425
2020-04-16 14:05:00,53.66,53.78,53.62,53.7,33670
2020-04-16 14:10:00,53.66,53.78,53.59,53.75,37868
2020-04-16 14:15:00,53.75,53.9,53.74,53.87,40066
2020-04-16 14:20:00,53.87,53.91,53.735,53.83,57520
2020-04-16 14:25:00,53.82,53.83,53.7,53.75,43995
2020-04-16 14:30:00,53.75,53.82,53.68,53.755,52007
2020-04-16 14:35:00,53.745,53.84,53.735,53.765,51068
2020-04-16 14:40:00,53.76,53.86,53.69,53.785,91353
2020-04-16 14:45:00,53.78,53.7997,53.68,53.72,82880
2020-04-16 14:50:00,53.73,53.85,53.72,53.85,79999
2020-04-16 14:55:00,53.855,53.98,53.8,53.95,65869
2020-04-16 15:00:00,53.96,53.96,53.7,53.74,34929
2020-04-16 15:05:00,53.75,53.89,53.735,53.86,30458
2020-04-16 15:10:00,53.86,53.9,53.78,53.78,37065
2020-04-16 15:15:00,53.78,53.885,53.78,53.85,60254
2020-04-16 15:20:00,53.845,53.9,53.745,53.745,70629
2020-04-16 15:25:00,53.75,53.829,53.72,53.77,45014
2020-04-16 15:30:00,53.77,53.77,53.64,53.67,33553
2020-04-16 15:35:00,53.67,53.7098,53.63,53.685,70787
2020-04-16 15:40:00,53.69,53.88,53.69,53.855,42929
2020-04-16 15:45:00,53.85,53.85,53.7,53.71,26422
2020-04-16 15:50:00,53.72,53.9,53.69,53.86,35518
2020-04-16 15:55:00,53.865,53.94,53.81,53.88,65922
2020-04-16 16:00:00,53.87,53.89,53.79,53.84,29222
2020-04-16 16:05:00,53.84,53.85,53.72,53.72,52002
2020-04-16 16:10:00,53.72,53.89,53.72,53.86,62487
2020-04-16 16:15:00,53.86,53.89,53.64,53.68,48090
2020-04-16 16:20:00,53.645,53.65,53.56,53.59,34287
2020-04-16 16:25:00,53.59,53.635,53.525,53.54,59106
2020-04-16 16:30:00,53.55,53.55,53.375,53.42,40254
2020-04-16 16:35:00,53.43,53.51,53.39,53.49,29938
2020-04-16 16:40:00,53.47,53.505,53.42,53.505,67138
2020-04-16 16:45:00,53.51,53.57,53.425,53.56,43597
2020-04-16 16:50:00,53.5599,53.57,53.47,53.51,26718
2020-04-16 16:55:00,53.48,53.55,53.425,53.48,26739
2020-04-16 17:00:00,53.48,53.48,53.365,53.38,57927
2020-04-16 17:05:00,53.375,53.45,53.375,53.4,29048
2020-04-16 17:10:00,53.41,53.545,53.39,53.545,39382
2020-04-16 17:15:00,53.54,53.56,53.415,53.505,60659
2020-04-16 17:20:00,53.51,53.5727,53.4811,53.555,40759
2020-04-16 17:25:00,53.56,53.5727,53.51,53.57,38041
2020-04-16 17:30:00,53.57,53.64,53.549,53.549,40737
2020-04-16 17:35:00,53.55,53.58,53.49,53.54,74495
2020-04-16 17:40:00,53.54,53.62,53.515,53.615,57489
2020-04-16 17:45:00,53.62,53.65,53.585,53.6,26542
2020-04-16 17:50:00,53.595,53.605,53.37,53.37,23433
2020-04-16 17:55:00,53.375,53.42,53.34,53.4,40054
2020-04-16 18:00:00,53.39,53.43,53.3,53.43,26634
2020-04-16 18:05:00,53.43,53.54,53.405,53.525,41555
2020-04-16 18:10:00,53.525,53.55,53.48,53.54,49890
2020-04-16 18:15:00,53.535,53.55,53.46,53.51,49498
2020-04-16 18:20:00,53.5,53.52,53.46,53.46,51411
2020-04-16 18:25:00,53.46,53.46,53.395,53.43,69830
2020-04-16 18:30:00,53.42,53.53,53.415,53.52,47861
2020-04-16 18:35:00,53.51,53.61,53.51,53.56,54559
2020-04-16 18:40:00,53.565,53.565,53.49,53.55,58787
2020-04-16 18:45:00,53.55,53.55,53.405,53.41,48492
2020-04-16 18:50:00,53.41,53.42,53.33,53.42,42998
2020-04-16 18:55:00,53.42,53.5,53.41,53.47,45861
2020-04-16 19:00:00,53.46,53.48,53.315,53.35,82514
2020-04-16 19:05:00,53.35,53.395,53.315,53.365,72161
2020-04-16 19:10:00,53.36,53.39,53.32,53.365,49690
2020-04-16 19:15:00,53.365,53.43,53.3,53.42,64463
2020-04-16 19:20:00,53.425,53.56,53.4,53.555,66148
2020-04-16 19:25:00,53.56,53.57,53.475,53.53,94979
2020-04-16 19:30:00,53.53,53.64,53.4906,53.64,131814
2020-04-16 19:35:00,53.64,53.69,53.57,53.65,124685
2020-04-16 19:40:00,53.65,53.68,53.555,53.56,124908
2020-04-16 19:45:00,53.555,53.565,53.435,53.455,173454
2020-04-16 19:50:00,53.45,53.51,53.37,53.48,357105
2020-04-16 19:55:00,53.48,53.51,53.4,53.44,427077
2020-04-16 20:00:00,53.43,53.43,53.43,53.43,1098884
2020-04-16 20:05:00,53.43,53.75,53.43,53.75,1557
2020-04-16 20:10:00,53.43,53.43,53.43,53.43,143488
2020-04-16 20:40:00,53.43,53.43,53.43,53.43,6016
2020-04-16 20:50:00,53.82,54.08,53.82,54.08,297
2020-04-17 12:45:00,54.29,54.29,53.84,53.84,600
2020-04-17 13:25:00,54.37,54.37,54.1,54.1,693
2020-04-17 13:30:00,54.13,54.5,53.42,53.49,564375
2020-04-17 13:35:00,53.48,53.66,53.37,53.59,88277
2020-04-17 13:40:00,53.6,53.65,53.5,53.6,85862
2020-04-17 13:45:00,53.61,53.7,53.47,53.59,100693
2020-04-17 13:50:00,53.585,53.68,53.35,53.35,159908
2020-04-17 13:55:00,53.35,53.5,53.29,53.405,94544
2020-04-17 14:00:00,53.4,53.4,53.19,53.27,83394
2020-04-17 14:05:00,53.27,53.36,53.235,53.35,73045
2020-04-17 14:10:00,53.36,53.38,53.14,53.19,83044
2020-04-17 14:15:00,53.19,53.22,53.1,53.195,104554
2020-04-17 14:20:00,53.18,53.26,53.155,53.2,105307
2020-04-17 14:25:00,53.2,53.365,53.15,53.255,114227
2020-04-17 14:30:00,53.255,53.27,53.105,53.14,96529
2020-04-17 14:35:00,53.12,53.23,53.12,53.135,60739
2020-04-17 14:40:00,53.14,53.27,53.12,53.24,70944
2020-04-17 14:45:00,53.23,53.23,53.12,53.17,108707
2020-04-17 14:50:00,53.16,53.18,53.06,53.12,35968
2020-04-17 14:55:00,53.12,53.33,53.06,53.31,126064
2020-04-17 15:00:00,53.31,53.43,53.29,53.365,67115
2020-04-17 15:05:00,53.365,53.48,53.315,53.43,42989
2020-04-17 15:10:00,53.42,53.435,53.26,53.3,33460
2020-04-17 15:15:00,53.28,53.29,53.0887,53.15,39039
2020-04-17 15:20:00,53.15,53.185,53.005,53.1,54797
2020-04-17 15:25:00,53.1,53.13,52.9601,53.03,62387
2020-04-17 15:30:00,53.02,53.125,52.975,53.03,55524
2020-04-17 15:35:00,53.03,53.16,53.0,53.13,136741
2020-04-17 15:40:00,53.13,53.195,53.07,53.155,49406
2020-04-17 15:45:00,53.16,53.26,53.16,53.255,68095
2020-04-17 15:50:00,53.25,53.315,53.225,53.26,50967
2020-04-17 15:55:00,53.26,53.3699,53.16,53.19,38615
2020-04-17 16:00:00,53.2,53.21,53.045,53.12,74257
2020-04-17 16:05:00,53.14,53.24,53.125,53.22,91375
2020-04-17 16:10:00,53.215,53.225,53.055,53.09,43329
2020-04-17 16:15:00,53.085,53.165,53.075,53.135,53264
2020-04-17 16:20:00,53.135,53.165,53.09,53.115,57044
2020-04-17 16:25:00,53.115,53.13,53.02,53.055,41182
2020-04-17 16:30:00,53.05,53.255,53.04,53.255,103506
2020-04-17 16:35:00,53.26,53.34,53.26,53.33,46669
2020-04-17 16:40:00,53.335,53.34,53.295,53.32,41235
2020-04-17 16:45:00,53.325,53.36,53.27,53.29,30290
2020-04-17 16:50:00,53.295,53.3,53.235,53.26,36584
2020-04-17 16:55:00,53.265,53.2999,53.16,53.175,43673
2020-04-17 17:00:00,53.17,53.2775,53.16,53.235,53677
2020-04-17 17:05:00,53.24,53.305,53.215,53.285,29457
2020-04-17 17:10:00,53.28,53.28,53.195,53.2,17515
2020-04-17 17:15:00,53.21,53.26,53.16,53.24,29706
2020-04-17 17:20:00,53.24,53.27,53.095,53.105,31515
2020-04-17 17:25:00,53.1,53.115,53.07,53.095,26441
2020-04-17 17:30:00,53.105,53.215,53.105,53.18,63413
2020-04-17 17:35:00,53.19,53.3,53.18,53.2979,30356
2020-04-17 17:40:00,53.295,53.295,53.195,53.235,33192
2020-04-17 17:45:00,53.235,53.24,53.1,53.14,38072
2020-04-17 17:50:00,53.15,53.185,53.11,53.16,37481
2020-04-17 17:55:00,53.165,53.235,53.14,53.22,99430
2020-04-17 18:00:00,53.21,53.23,53.17,53.185,62296
2020-04-17 18:05:00,53.195,53.2,53.1,53.195,48858
2020-04-17 18:10:00,53.19,53.205,53.05,53.05,43550
2020-04-17 18:15:00,53.05,53.095,53.01,53.095,49273
2020-04-17 18:20:00,53.1,53.16,53.075,53.1388,32367
2020-04-17 18:25:00,53.13,53.13,53.035,53.05,38462
2020-04-17 18:30:00,53.055,53.055,52.96,52.965,34493
2020-04-17 18:35:00,52.96,52.96,52.845,52.85,52394
2020-04-17 18:40:00,52.84,52.87,52.78,52.87,68822
2020-04-17 18:45:00,52.875,52.95,52.85,52.94,71121
2020-04-17 18:50:00,52.935,52.97,52.895,52.96,79967
2020-04-17 18:55:00,52.97,53.105,52.95,53.1,70754
2020-04-17 19:00:00,53.095,53.27,53.09,53.27,80688
2020-04-17 19:05:00,53.26,53.32,53.225,53.265,52770
2020-04-17 19:10:00,53.265,53.275,53.2,53.23,45366
2020-04-17 19:15:00,53.235,53.245,53.18,53.225,48814
2020-04-17 19:20:00,53.2284,53.24,53.155,53.175,62309
2020-04-17 19:25:00,53.17,53.22,53.13,53.19,102913
2020-04-17 19:30:00,53.195,53.345,53.16,53.295,91573
2020-04-17 19:35:00,53.295,53.4084,53.295,53.4,125194
2020-04-17 19:40:00,53.395,53.525,53.395,53.465,101522
2020-04-17 19:45:00,53.465,53.585,53.445,53.585,136387
2020-04-17 19:50:00,53.58,53.71,53.54,53.55,311479
2020-04-17 19:55:00,53.56,53.56,53.395,53.46,505833
2020-04-17 20:00:00,53.48,53.48,53.4586,53.4586,3103934
2020-04-17 20:05:00,53.48,53.48,53.48,53.48,6736
2020-04-17 20:10:00,53.3,53.3,53.3,53.3,100
2020-04-17 20:20:00,53.48,53.48,53.48,53.48,296687
2020-04-17 21:20:00,53.48,53.48,53.48,53.48,12527
2020-04-20 13:30:00,53.08,53.24,52.96,53.12,172681
2020-04-20 13:35:00,53.115,53.24,53.04,53.17,64650
2020-04-20 13:40:00,53.17,53.18,52.91,52.98,101540
2020-04-20 13:45:00,52.97,53.075,52.865,53.03,109530
2020-04-20 13:50:00,53.04,53.27,52.925,53.25,58242
2020-04-20 13:55:00,53.25,53.29,53.15,53.22,43750
2020-04-20 14:00:00,53.21,53.24,53.095,53.205,41979
2020-04-20 14:05:00,53.21,53.28,53.14,53.2501,34127
2020-04-20 14:10:00,53.25,53.415,53.24,53.38,102014
2020-04-20 14:15:00,53.37,53.385,53.32,53.375,50185
2020-04-20 14:20:00,53.38,53.395,53.29,53.35,52404
2020-04-20 14:25:00,53.35,53.53,53.35,53.4705,37421
2020-04-20 14:30:00,53.47,53.58,53.425,53.545,30533
2020-04-20 14:35:00,53.55,53.59,53.525,53.59,55792
2020-04-20 14:40:00,53.59,53.705,53.55,53.67,74030
2020-04-20 14:45:00,53.665,53.84,53.665,53.805,67075
2020-04-20 14:50:00,53.81,53.885,53.79,53.86,55529
2020-04-20 14:55:00,53.865,53.9501,53.845,53.86,60981
2020-04-20 15:00:00,53.8501,53.9,53.805,53.885,51599
2020-04-20 15:05:00,53.88,53.96,53.845,53.845,43892
2020-04-20 15:10:00,53.85,53.89,53.74,53.74,22436
2020-04-20 15:15:00,53.755,53.755,53.625,53.71,35196
2020-04-20 15:20:00,53.71,53.8,53.68,53.8,28749
2020-04-20 15:25:00,53.805,53.9,53.805,53.89,29263
2020-04-20 15:30:00,53.9,53.92,53.845,53.91,26767
2020-04-20 15:35:00,53.92,54.07,53.915,54.065,44807
2020-04-20 15:40:00,54.0699,54.08,53.945,53.99,26531
2020-04-20 15:45:00,53.99,54.025,53.975,53.98,17364
2020-04-20 15:50:00,53.9689,54.02,53.95,53.975,27919
2020-04-20 15:55:00,53.98,53.995,53.9,53.95,27120
2020-04-20 16:00:00,53.955,53.955,53.89,53.945,37775
2020-04-20 16:05:00,53.94,53.99,53.935,53.97,26557
2020-04-20 16:10:00,53.97,53.995,53.865,53.87,29821
2020-04-20 16:15:00,53.87,53.98,53.84,53.91,21678
2020-04-20 16:20:00,53.9,53.96,53.89,53.93,28018
2020-04-20 16:25:00,53.93,54.02,53.92,53.9925,111522
2020-04-20 16:30:00,53.995,54.09,53.995,54.07,38490
2020-04-20 16:35:00,54.07,54.18,54.07,54.12,22336
2020-04-20 16:40:00,54.105,54.15,54.065,54.08,24342
2020-04-20 16:45:00,54.065,54.13,54.065,54.13,16240
2020-04-20 16:50:00,54.135,54.25,54.12,54.225,95999
2020-04-20 16:55:00,54.225,54.275,54.195,54.2693,46585
2020-04-20 17:00:00,54.28,54.285,54.11,54.115,53769
2020-04-20 17:05:00,54.115,54.26,54.115,54.215,39326
2020-04-20 17:10:00,54.22,54.24,54.185,54.225,29599
2020-04-20 17:15:00,54.225,54.29,54.21,54.24,24618
2020-04-20 17:20:00,54.24,54.28,54.14,54.15,40760
2020-04-20 17:25:00,54.15,54.25,54.135,54.225,20808
2020-04-20 17:30:00,54.23,54.265,54.17,54.195,36496
2020-04-20 17:35:00,54.2,54.25,54.135,54.25,37156
2020-04-20 17:40:00,54.25,54.355,54.24,54.29,24815
2020-04-20 17:45:00,54.295,54.38,54.28,54.345,21312
2020-04-20 17:50:00,54.355,54.445,54.355,54.41,26820
2020-04-20 17:55:00,54.405,54.43,54.31,54.375,27730
2020-04-20 18:00:00,54.37,54.4,54.325,54.34,36550
2020-04-20 18:05:00,54.346,54.385,54.3,54.3,22336
2020-04-20 18:10:00,54.3,54.325,54.145,54.165,48959
2020-04-20 18:15:00,54.18,54.24,54.14,54.145,58490
2020-04-20 18:20:00,54.16,54.175,54.08,54.11,36550
2020-04-20 18:25:00,54.12,54.13,54.03,54.035,34771
2020-04-20 18:30:00,54.05,54.195,54.03,54.19,44406
2020-04-20 18:35:00,54.18,54.2,54.1,54.13,36203
2020-04-20 18:40:00,54.145,54.165,54.065,54.11,47485
2020-04-20 18:45:00,54.115,54.21,54.05,54.2006,40153
2020-04-20 18:50:00,54.2,54.2,54.07,54.07,58444
2020-04-20 18:55:00,54.07,54.08,53.79,53.805,60307
2020-04-20 19:00:00,53.805,53.94,53.805,53.88,46718
2020-04-20 19:05:00,53.875,53.88,53.77,53.82,47608
2020-04-20 19:10:00,53.82,53.88,53.785,53.845,25282
2020-04-20 19:15:00,53.84,53.945,53.815,53.885,67615
2020-04-20 19:20:00,53.91,53.97,53.85,53.97,71809
2020-04-20 19:25:00,53.965,53.965,53.84,53.91,45710
2020-04-20 19:30:00,53.91,53.99,53.88,53.975,55103
2020-04-20 19:35:00,53.97,53.97,53.8,53.8,62254
2020-04-20 19:40:00,53.8,53.83,53.675,53.71,56034
2020-04-20 19:45:00,53.71,53.79,53.66,53.79,64804
2020-04-20 19:50:00,53.79,53.8,53.2,53.588,212229
2020-04-20 19:55:00,53.59,53.65,53.47,53.5,309276
2020-04-20 20:00:00,53.49,53.49,53.49,53.49,2386726
2020-04-20 20:10:00,53.49,53.49,53.49,53.49,19512
2020-04-20 20:15:00,53.49,53.49,53.49,53.49,540
2020-04-20 20:35:00,53.64,53.64,53.64,53.64,200
2020-04-20 20:40:00,53.49,53.49,53.49,53.49,50251
2020-04-20 21:00:00,53.49,53.49,53.49,53.49,6989
2020-04-21 11:05:00,53.0,53.0,53.0,53.0,100
2020-04-21 13:30:00,52.53,52.975,52.52,52.7,278071
2020-04-21 13:35:00,52.705,52.895,52.45,52.49,104091
2020-04-21 13:40:00,52.49,52.51,52.235,52.32,89931
2020-04-21 13:45:00,52.315,52.62,52.28,52.56,89562
2020-04-21 13:50:00,52.57,52.6,52.43,52.56,58814
2020-04-21 13:55:00,52.57,52.77,52.5685,52.63,54358
2020-04-21 14:00:00,52.62,52.635,52.43,52.49,47882
2020-04-21 14:05:00,52.49,52.5,52.25,52.25,53179
2020-04-21 14:10:00,52.25,52.32,52.19,52.26,59837
2020-04-21 14:15:00,52.25,52.36,52.105,52.12,76842
2020-04-21 14:20:00,52.12,52.3,52.12,52.285,68982
2020-04-21 14:25:00,52.28,52.31,52.05,52.14,82941
2020-04-21 14:30:00,52.16,52.19,51.97,52.02,93617
2020-04-21 14:35:00,52.017,52.04,51.89,51.91,64933
2020-04-21 14:40:00,51.915,51.95,51.81,51.86,76370
2020-04-21 14:45:00,51.86,51.93,51.77,51.81,59379
2020-04-21 14:50:00,51.81,51.85,51.71,51.79,53432
2020-04-21 14:55:00,51.8,51.81,51.61,51.62,74272
2020-04-21 15:00:00,51.61,51.66,51.481,51.49,72527
2020-04-21 15:05:00,51.5,51.555,51.4,51.555,56130
2020-04-21 15:10:00,51.55,51.55,51.42,51.485,53080
2020-04-21 15:15:00,51.5,51.53,51.42,51.51,54313
2020-04-21 15:20:00,51.515,51.63,51.48,51.49,73531
2020-04-21 15:25:00,51.5,51.55,51.4,51.44,65787
2020-04-21 15:30:00,51.45,51.57,51.4214,51.46,85755
2020-04-21 15:35:00,51.46,51.46,51.335,51.41,55715
2020-04-21 15:40:00,51.405,51.41,51.25,51.25,69558
2020-04-21 15:45:00,51.25,51.36,51.2,51.35,80144
2020-04-21 15:50:00,51.33,51.4,51.29,51.3,83604
2020-04-21 15:55:00,51.28,51.36,51.235,51.345,96008
2020-04-21 16:00:00,51.34,51.365,51.28,51.28,51252
2020-04-21 16:05:00,51.28,51.32,51.235,51.26,73390
2020-04-21 16:10:00,51.28,51.38,51.195,51.31,64705
2020-04-21 16:15:00,51.32,51.34,51.24,51.3,49725
2020-04-21 16:20:00,51.295,51.315,51.15,51.17,48256
2020-04-21 16:25:00,51.17,51.225,51.17,51.2,36453
2020-04-21 16:30:00,51.2,51.21,51.13,51.17,34606
2020-04-21 16:35:00,51.16,51.17,51.085,51.115,36990
2020-04-21 16:40:00,51.1164,51.185,51.08,51.1171,45031
2020-04-21 16:45:00,51.12,51.27,51.045,51.261,78207
2020-04-21 16:50:00,51.27,51.42,51.22,51.42,59358
2020-04-21 16:55:00,51.43,51.475,51.3845,51.45,47888
2020-04-21 17:00:00,51.45,51.49,51.42,51.455,48280
2020-04-21 17:05:00,51.45,51.465,51.31,51.35,46055
2020-04-21 17:10:00,51.345,51.41,51.34,51.3418,38603
2020-04-21 17:15:00,51.35,51.4,51.325,51.37,29964
2020-04-21 17:20:00,51.3696,51.47,51.36,51.43,28236
2020-04-21 17:25:00,51.4288,51.45,51.395,51.42,20318
2020-04-21 17:30:00,51.42,51.51,51.39,51.475,25856
2020-04-21 17:35:00,51.475,51.56,51.4698,51.56,33832
2020-04-21 17:40:00,51.555,51.655,51.52,51.64,41964
2020-04-21 17:45:00,51.63,51.63,51.45,51.45,41309
2020-04-21 17:50:00,51.47,51.56,51.465,51.55,33354
2020-04-21 17:55:00,51.56,51.62,51.51,51.56,29770
2020-04-21 18:00:00,51.53,51.59,51.45,51.585,29756
2020-04-21 18:05:00,51.56,51.69,51.545,51.645,28581
2020-04-21 18:10:00,51.655,51.693,51.62,51.68,48491
2020-04-21 18:15:00,51.68,51.72,51.55,51.59,51243
2020-04-21 18:20:00,51.595,51.83,51.52,51.79,43869
2020-04-21 18:25:00,51.8,51.89,51.73,51.75,43762
2020-04-21 18:30:00,51.765,51.79,51.64,51.66,51093
2020-04-21 18:35:00,51.65,51.71,51.55,51.58,35442
2020-04-21 18:40:00,51.57,51.575,51.465,51.495,45952
2020-04-21 18:45:00,51.49,51.49,51.395,51.395,49585
2020-04-21 18:50:00,51.39,51.48,51.34,51.455,42301
2020-04-21 18:55:00,51.45,51.45,51.34,51.36,40987
2020-04-21 19:00:00,51.37,51.44,51.37,51.435,45905
2020-04-21 19:05:00,51.44,51.46,51.225,51.24,53918
2020-04-21 19:10:00,51.23,51.35,51.21,51.3,116575
2020-04-21 19:15:00,51.29,51.405,51.275,51.35,112149
2020-04-21 19:20:00,51.34,51.375,51.23,51.235,180155
2020-04-21 19:25:00,51.25,51.325,51.23,51.28,86446
2020-04-21 19:30:00,51.28,51.31,51.16,51.21,162172
2020-04-21 19:35:00,51.21,51.455,51.2,51.34,211631
2020-04-21 19:40:00,51.34,51.375,51.245,51.3,116427
2020-04-21 19:45:00,51.3,51.34,51.11,51.11,167381
2020-04-21 19:50:00,51.1,51.19,51.01,51.025,313418
2020-04-21 19:55:00,51.02,51.25,51.0,51.09,487104
2020-04-21 20:00:00,51.08,51.11,51.0,51.05,1025037
2020-04-21 20:05:00,51.02,51.1209,51.0,51.1209,4165
2020-04-21 20:10:00,50.96,51.08,50.96,51.08,6844
2020-04-21 20:15:00,51.08,51.08,51.08,51.08,100
2020-04-21 20:40:00,51.08,51.08,51.08,51.08,37029
2020-04-21 20:55:00,51.34,51.34,51.34,51.34,1800
2020-04-21 22:05:00,51.34,51.34,51.34,51.34,300
2020-04-21 22:45:00,51.08,51.08,51.08,51.08,34433
2020-04-22 08:05:00,52.2,52.2,52.2,52.2,100
2020-04-22 11:00:00,51.42,51.42,51.42,51.42,100
2020-04-22 12:20:00,51.42,51.42,51.42,51.42,152
2020-04-22 12:25:00,51.99,51.99,51.98,51.98,1000
2020-04-22 12:30:00,51.44,51.44,51.44,51.44,100
2020-04-22 12:55:00,51.97,51.97,51.97,51.97,104
2020-04-22 13:20:00,51.97,51.97,51.97,51.97,222
2020-04-22 13:30:00,51.66,51.9,51.24,51.44,167517
2020-04-22 13:35:00,51.4,51.77,51.39,51.74,46903
2020-04-22 13:40:00,51.74,51.81,51.63,51.68,42270
2020-04-22 13:45:00,51.68,51.68,51.48,51.6,64530
2020-04-22 13:50:00,51.59,51.77,51.52,51.67,46585
2020-04-22 13:55:00,51.69,51.73,51.645,51.7,36633
2020-04-22 14:00:00,51.7,51.73,51.54,51.545,42201
2020-04-22 14:05:00,51.54,51.66,51.54,51.61,53704
2020-04-22 14:10:00,51.62,51.75,51.55,51.56,55149
2020-04-22 14:15:00,51.545,51.76,51.52,51.76,37185
2020-04-22 14:20:00,51.76,51.89,51.75,51.86,37025
2020-04-22 14:25:00,51.855,51.8897,51.745,51.85,54748
2020-04-22 14:30:00,51.86,51.97,51.84,51.895,27995
2020-04-22 14:35:00,51.905,51.98,51.88,51.93,33998
2020-04-22 14:40:00,51.93,52.01,51.915,51.97,26405
2020-04-22 14:45:00,51.99,51.99,51.87,51.94,24668
2020-04-22 14:50:00,51.95,52.03,51.9,51.91,23393
2020-04-22 14:55:00,51.91,52.01,51.905,51.955,22472
2020-04-22 15:00:00,51.97,52.0,51.86,51.93,28878
2020-04-22 15:05:00,51.97,52.0,51.9,51.92,38432
2020-04-22 15:10:00,51.93,51.995,51.87,51.99,24542
2020-04-22 15:15:00,51.99,52.09,51.985,52.07,34732
2020-04-22 15:20:00,52.08,52.15,52.03,52.14,25164
2020-04-22 15:25:00,52.145,52.2,52.07,52.17,27845
2020-04-22 15:30:00,52.17,52.31,52.17,52.275,43821
2020-04-22 15:35:00,52.26,52.275,52.2,52.22,20108
2020-04-22 15:40:00,52.22,52.3,52.2,52.24,23113
2020-04-22 15:45:00,52.24,52.25,52.15,52.18,17508
2020-04-22 15:50:00,52.185,52.19,52.08,52.13,21235
2020-04-22 15:55:00,52.135,52.135,52.045,52.09,18281
2020-04-22 16:00:00,52.11,52.22,52.11,52.125,20304
2020-04-22 16:05:00,52.12,52.14,51.97,51.9796,18817
2020-04-22 16:10:00,51.98,52.03,51.96,52.0,26193
2020-04-22 16:15:00,52.0,52.08,51.99,52.08,19723
2020-04-22 16:20:00,52.08,52.11,52.05,52.095,30657
2020-04-22 16:25:00,52.095,52.16,52.07,52.14,26277
2020-04-22 16:30:00,52.14,52.16,52.065,52.07,19127
2020-04-22 16:35:00,52.09,52.21,52.05,52.21,23582
2020-04-22 16:40:00,52.2,52.23,52.15,52.15,25396
2020-04-22 16:45:00,52.16,52.175,52.13,52.13,11181
2020-04-22 16:50:00,52.12,52.14,52.07,52.105,14809
2020-04-22 16:55:00,52.11,52.13,52.04,52.07,18552
2020-04-22 17:00:00,52.08,52.095,52.03,52.04,21935
2020-04-22 17:05:00,52.05,52.06,52.01,52.02,14950
2020-04-22 17:10:00,52.025,52.08,51.995,52.019,24400
2020-04-22 17:15:00,52.02,52.045,52.0008,52.03,11486
2020-04-22 17:20:00,52.03,52.11,52.03,52.055,17693
2020-04-22 17:25:00,52.055,52.133,52.055,52.133,51881
2020-04-22 17:30:00,52.14,52.18,52.05,52.06,19656
2020-04-22 17:35:00,52.065,52.1,52.04,52.06,18623
2020-04-22 17:40:00,52.055,52.14,52.055,52.125,24426
2020-04-22 17:45:00,52.13,52.14,52.09,52.125,26070
2020-04-22 17:50:00,52.125,52.13,52.055,52.075,37339
2020-04-22 17:55:00,52.07,52.13,52.055,52.105,22297
2020-04-22 18:00:00,52.11,52.12,52.055,52.0901,48163
2020-04-22 18:05:00,52.09,52.11,52.04,52.0706,57701
2020-04-22 18:10:00,52.075,52.08,52.02,52.02,21824
2020-04-22 18:15:00,52.02,52.0528,51.985,52.03,39878
2020-04-22 18:20:00,52.03,52.11,52.025,52.08,82435
2020-04-22 18:25:00,52.08,52.08,52.02,52.03,31565
2020-04-22 18:30:00,52.03,52.11,52.03,52.085,32926
2020-04-22 18:35:00,52.0801,52.09,52.045,52.07,24627
2020-04-22 18:40:00,52.075,52.135,52.075,52.12,27864
2020-04-22 18:45:00,52.12,52.14,52.095,52.115,29654
2020-04-22 18:50:00,52.12,52.165,52.11,52.12,46372
2020-04-22 18:55:00,52.125,52.17,52.12,52.145,34784
2020-04-22 19:00:00,52.15,52.18,52.13,52.18,39339
2020-04-22 19:05:00,52.17,52.18,52.14,52.16,39975
2020-04-22 19:10:00,52.17,52.18,52.135,52.1354,36355
2020-04-22 19:15:00,52.14,52.17,52.105,52.16,34336
2020-04-22 19:20:00,52.15,52.26,52.15,52.245,29416
2020-04-22 19:25:00,52.245,52.32,52.235,52.275,33660
2020-04-22 19:30:00,52.27,52.33,52.24,52.3,70311
2020-04-22 19:35:00,52.305,52.37,52.305,52.35,48080
2020-04-22 19:40:00,52.36,52.435,52.3547,52.43,60779
2020-04-22 19:45:00,52.435,52.46,52.33,52.45,71688
2020-04-22 19:50:00,52.46,52.61,52.385,52.395,148895
2020-04-22 19:55:00,52.4,52.41,52.19,52.22,300431
2020-04-22 20:00:00,52.22,52.22,52.22,52.22,1597587
2020-04-22 20:05:00,52.22,52.22,52.22,52.22,133
2020-04-22 20:20:00,52.22,52.22,52.22,52.22,3201
2020-04-22 20:30:00,52.22,52.22,52.22,52.22,72757
2020-04-22 20:45:00,52.22,52.22,52.22,52.22,7978
2020-04-22 21:05:00,52.22,52.22,52.22,52.22,3742
2020-04-22 21:15:00,52.17,52.17,52.17,52.17,258
2020-04-22 23:00:00,52.17,52.17,52.17,52.17,532
2020-04-23 11:00:00,51.81,51.81,51.61,51.61,738
2020-04-23 12:45:00,52.22,52.22,52.22,52.22,2334
