datetime,open,high,low,close,volume
2020-04-16 11:10:00,33.0,33.0,33.0,33.0,100
2020-04-16 12:45:00,32.5,32.5,32.5,32.5,100
2020-04-16 13:25:00,32.57,32.57,32.19,32.19,3239
2020-04-16 13:30:00,32.22,32.43,31.99,32.04,143672
2020-04-16 13:35:00,32.05,32.21,31.89,32.08,139028
2020-04-16 13:40:00,32.11,32.45,32.11,32.4,36482
2020-04-16 13:45:00,32.45,32.47,32.02,32.03,29968
2020-04-16 13:50:00,32.02,32.09,31.82,31.87,29103
2020-04-16 13:55:00,31.8701,31.91,31.46,31.485,77548
2020-04-16 14:00:00,31.48,31.545,31.4,31.41,57038
2020-04-16 14:05:00,31.42,31.47,31.23,31.25,66315
2020-04-16 14:10:00,31.25,31.36,31.22,31.34,48948
2020-04-16 14:15:00,31.36,31.46,31.33,31.33,31518
2020-04-16 14:20:00,31.33,31.48,31.3,31.47,26875
2020-04-16 14:25:00,31.47,31.57,31.43,31.54,33212
2020-04-16 14:30:00,31.54,31.62,31.43,31.46,37461
2020-04-16 14:35:00,31.48,31.525,31.35,31.36,30237
2020-04-16 14:40:00,31.36,31.56,31.32,31.53,47223
2020-04-16 14:45:00,31.53,31.64,31.46,31.57,66251
2020-04-16 14:50:00,31.58,31.58,31.46,31.52,44405
2020-04-16 14:55:00,31.52,31.72,31.52,31.65,54942
2020-04-16 15:00:00,31.64,31.7,31.625,31.665,26394
2020-04-16 15:05:00,31.67,31.87,31.67,31.83,33247
2020-04-16 15:10:00,31.82,31.83,31.66,31.66,37110
2020-04-16 15:15:00,31.66,31.67,31.57,31.6,37259
2020-04-16 15:20:00,31.6,31.61,31.435,31.435,42282
2020-04-16 15:25:00,31.435,31.6,31.39,31.42,54790
2020-04-16 15:30:00,31.41,31.43,31.3,31.34,27086
2020-04-16 15:35:00,31.33,31.37,31.28,31.35,39216
2020-04-16 15:40:00,31.345,31.38,31.3,31.32,29889
2020-04-16 15:45:00,31.33,31.36,31.25,31.31,25627
2020-04-16 15:50:00,31.315,31.5,31.31,31.47,55506
2020-04-16 15:55:00,31.47,31.47,31.36,31.3827,35512
2020-04-16 16:00:00,31.385,31.43,31.275,31.29,51431
2020-04-16 16:05:00,31.29,31.3,31.2,31.2,38634
2020-04-16 16:10:00,31.21,31.23,31.16,31.195,35605
2020-04-16 16:15:00,31.195,31.2,31.09,31.13,59106
2020-04-16 16:20:00,31.14,31.14,31.05,31.08,39180
2020-04-16 16:25:00,31.08,31.155,31.075,31.09,67327
2020-04-16 16:30:00,31.08,31.12,31.01,31.08,45687
2020-04-16 16:35:00,31.0815,31.17,31.06,31.16,47983
2020-04-16 16:40:00,31.15,31.26,31.14,31.22,54695
2020-04-16 16:45:00,31.24,31.24,31.15,31.17,34344
2020-04-16 16:50:00,31.17,31.2,31.09,31.09,29331
2020-04-16 16:55:00,31.09,31.215,31.05,31.205,42662
2020-04-16 17:00:00,31.215,31.34,31.2,31.315,46846
2020-04-16 17:05:00,31.33,31.38,31.3,31.31,20729
2020-04-16 17:10:00,31.3108,31.4,31.28,31.4,28282
2020-04-16 17:15:00,31.4,31.405,31.26,31.33,33777
2020-04-16 17:20:00,31.331,31.36,31.3,31.3,35473
2020-04-16 17:25:00,31.29,31.33,31.28,31.3,42557
2020-04-16 17:30:00,31.31,31.32,31.22,31.245,78396
2020-04-16 17:35:00,31.25,31.255,31.14,31.16,34359
2020-04-16 17:40:00,31.15,31.23,31.11,31.22,40305
2020-04-16 17:45:00,31.22,31.25,31.13,31.155,34854
2020-04-16 17:50:00,31.15,31.19,31.06,31.07,27796
2020-04-16 17:55:00,31.07,31.16,31.04,31.12,37260
2020-04-16 18:00:00,31.112,31.13,31.04,31.125,34267
2020-04-16 18:05:00,31.13,31.24,31.07,31.225,32136
2020-04-16 18:10:00,31.225,31.235,31.18,31.195,41091
2020-04-16 18:15:00,31.195,31.275,31.17,31.2,29089
2020-04-16 18:20:00,31.2,31.31,31.19,31.29,63889
2020-04-16 18:25:00,31.28,31.39,31.26,31.34,56343
2020-04-16 18:30:00,31.34,31.365,31.255,31.26,43408
2020-04-16 18:35:00,31.26,31.35,31.19,31.26,51064
2020-04-16 18:40:00,31.27,31.275,31.165,31.21,35257
