datetime,open,high,low,close,volume
2020-04-16 11:00:00,40.99,40.99,40.99,40.99,204
2020-04-16 12:05:00,41.2,41.2,41.2,41.2,200
2020-04-16 12:15:00,41.0,41.0,41.0,41.0,200
2020-04-16 12:20:00,40.91,40.91,40.91,40.91,1000
2020-04-16 12:30:00,40.91,40.91,40.91,40.91,250
2020-04-16 12:35:00,41.17,41.18,41.17,41.18,2120
2020-04-16 12:40:00,41.03,41.03,41.03,41.03,100
2020-04-16 12:45:00,41.06,41.06,40.92,41.06,1494
2020-04-16 13:10:00,41.15,41.17,41.15,41.17,400
2020-04-16 13:20:00,41.07,41.07,41.06,41.06,1180
2020-04-16 13:25:00,41.0,41.0,40.91,40.91,6068
2020-04-16 13:30:00,41.1,41.32,40.93,41.03,209038
2020-04-16 13:35:00,41.03,41.14,40.89,41.095,70322
2020-04-16 13:40:00,41.11,41.2,40.83,40.85,80373
2020-04-16 13:45:00,40.85,40.87,40.63,40.65,47365
2020-04-16 13:50:00,40.64,40.65,40.55,40.58,43878
2020-04-16 13:55:00,40.59,40.63,40.44,40.46,73215
2020-04-16 14:00:00,40.46,40.52,40.38,40.44,55137
2020-04-16 14:05:00,40.45,40.49,40.36,40.39,39003
2020-04-16 14:10:00,40.38,40.445,40.33,40.42,31721
2020-04-16 14:15:00,40.42,40.49,40.41,40.45,53658
2020-04-16 14:20:00,40.45,40.48,40.26,40.28,60649
2020-04-16 14:25:00,40.27,40.36,40.22,40.36,68677
2020-04-16 14:30:00,40.35,40.44,40.28,40.3438,53039
2020-04-16 14:35:00,40.34,40.34,40.21,40.21,69427
2020-04-16 14:40:00,40.22,40.37,40.1713,40.23,74810
2020-04-16 14:45:00,40.23,40.43,40.2,40.42,96458
2020-04-16 14:50:00,40.425,40.485,40.36,40.475,54519
2020-04-16 14:55:00,40.47,40.58,40.44,40.57,73798
2020-04-16 15:00:00,40.57,40.665,40.55,40.65,60431
2020-04-16 15:05:00,40.66,40.7787,40.62,40.75,52837
2020-04-16 15:10:00,40.75,40.76,40.675,40.74,44060
2020-04-16 15:15:00,40.75,40.845,40.74,40.77,191392
2020-04-16 15:20:00,40.76,40.83,40.72,40.74,55174
2020-04-16 15:25:00,40.74,40.745,40.59,40.59,57395
2020-04-16 15:30:00,40.59,40.65,40.5567,40.6,47083
2020-04-16 15:35:00,40.62,40.65,40.46,40.485,97135
2020-04-16 15:40:00,40.49,40.635,40.48,40.635,46463
2020-04-16 15:45:00,40.64,40.725,40.63,40.69,51017
2020-04-16 15:50:00,40.69,40.8,40.635,40.795,40093
2020-04-16 15:55:00,40.8,40.88,40.79,40.85,44198
2020-04-16 16:00:00,40.84,40.85,40.76,40.805,96727
2020-04-16 16:05:00,40.795,40.81,40.745,40.75,27164
2020-04-16 16:10:00,40.74,40.79,40.73,40.765,34329
2020-04-16 16:15:00,40.76,40.775,40.6,40.62,42207
2020-04-16 16:20:00,40.63,40.63,40.51,40.52,41455
2020-04-16 16:25:00,40.525,40.67,40.525,40.66,36568
2020-04-16 16:30:00,40.64,40.64,40.54,40.55,42166
2020-04-16 16:35:00,40.5617,40.6162,40.54,40.61,43356
2020-04-16 16:40:00,40.615,40.625,40.53,40.54,49538
2020-04-16 16:45:00,40.54,40.5643,40.475,40.545,86932
2020-04-16 16:50:00,40.535,40.65,40.53,40.62,42130
2020-04-16 16:55:00,40.615,40.7001,40.59,40.66,39951
2020-04-16 17:00:00,40.65,40.665,40.53,40.55,44815
2020-04-16 17:05:00,40.55,40.61,40.525,40.53,38538
2020-04-16 17:10:00,40.53,40.595,40.53,40.58,37674
2020-04-16 17:15:00,40.585,40.62,40.54,40.605,44007
2020-04-16 17:20:00,40.61,40.66,40.565,40.65,26876
2020-04-16 17:25:00,40.64,40.68,40.62,40.66,40686
2020-04-16 17:30:00,40.65,40.695,40.635,40.675,92579
2020-04-16 17:35:00,40.6777,40.7,40.58,40.58,49872
2020-04-16 17:40:00,40.585,40.59,40.52,40.585,36885
2020-04-16 17:45:00,40.59,40.6,40.55,40.555,31412
2020-04-16 17:50:00,40.55,40.575,40.5,40.53,49068
2020-04-16 17:55:00,40.52,40.58,40.51,40.58,28706
2020-04-16 18:00:00,40.57,40.59,40.52,40.55,46359
2020-04-16 18:05:00,40.555,40.745,40.55,40.695,49140
2020-04-16 18:10:00,40.695,40.72,40.65,40.72,30230
2020-04-16 18:15:00,40.72,40.77,40.63,40.64,111325
2020-04-16 18:20:00,40.64,40.64,40.55,40.57,48733
2020-04-16 18:25:00,40.57,40.625,40.53,40.55,63765
2020-04-16 18:30:00,40.54,40.565,40.48,40.515,77029
2020-04-16 18:35:00,40.515,40.62,40.5,40.6,49840
2020-04-16 18:40:00,40.6,40.61,40.51,40.555,41645
2020-04-16 18:45:00,40.555,40.565,40.495,40.5,41271
2020-04-16 18:50:00,40.49,40.54,40.43,40.5301,67949
2020-04-16 18:55:00,40.53,40.59,40.52,40.525,49065
2020-04-16 19:00:00,40.525,40.56,40.47,40.48,36119
2020-04-16 19:05:00,40.4703,40.515,40.41,40.415,56179
2020-04-16 19:10:00,40.425,40.48,40.41,40.4621,70579
2020-04-16 19:15:00,40.465,40.535,40.38,40.405,88241
2020-04-16 19:20:00,40.405,40.54,40.38,40.54,62789
2020-04-16 19:25:00,40.53,40.58,40.485,40.57,120523
2020-04-16 19:30:00,40.57,40.6,40.51,40.5401,112703
2020-04-16 19:35:00,40.55,40.565,40.465,40.515,102550
2020-04-16 19:40:00,40.51,40.52,40.45,40.475,72639
2020-04-16 19:45:00,40.48,40.56,40.475,40.53,114341
2020-04-16 19:50:00,40.51,40.56,40.42,40.525,227703
2020-04-16 19:55:00,40.52,40.525,40.38,40.39,574722
2020-04-16 20:00:00,40.4,40.4,40.4,40.4,1245307
2020-04-16 20:15:00,40.4,40.4,40.4,40.4,200
2020-04-16 20:20:00,40.26,40.26,40.26,40.26,150
2020-04-16 20:25:00,40.4,40.4,40.4,40.4,100
2020-04-16 20:30:00,40.4,40.4,40.4,40.4,200
2020-04-16 20:40:00,40.4,40.4,40.4,40.4,7388
2020-04-16 20:50:00,40.54,40.54,40.54,40.54,100
2020-04-16 20:55:00,40.69,40.69,40.69,40.69,199
2020-04-16 21:00:00,40.86,40.86,40.86,40.86,100
2020-04-16 21:05:00,40.8602,40.8602,40.8602,40.8602,400
2020-04-16 21:10:00,40.73,40.73,40.73,40.73,224
2020-04-16 21:20:00,40.78,40.78,40.78,40.78,100
2020-04-16 21:35:00,40.98,40.98,40.98,40.98,584
2020-04-16 21:40:00,40.98,41.0,40.98,41.0,540
2020-04-16 21:55:00,41.0,41.0,41.0,41.0,984
2020-04-16 22:05:00,41.01,41.01,41.01,41.01,200
2020-04-16 22:10:00,41.01,41.01,41.0,41.0,1000
2020-04-16 22:15:00,41.2,41.2,41.2,41.2,491
2020-04-16 22:35:00,41.1,41.1,41.1,41.1,1000
2020-04-16 22:45:00,41.1,41.25,41.1,41.25,595
2020-04-16 22:50:00,41.43,41.43,41.43,41.43,133
2020-04-16 23:00:00,41.52,41.52,41.52,41.52,100
2020-04-16 23:05:00,41.5,41.6,41.5,41.6,307
2020-04-16 23:10:00,41.6,41.77,41.6,41.77,862
2020-04-16 23:15:00,41.7,41.7,41.6,41.6,1991
2020-04-16 23:25:00,41.75,41.75,41.75,41.75,300
2020-04-16 23:35:00,41.6,41.6,41.6,41.6,100
2020-04-16 23:50:00,41.6001,41.6001,41.6001,41.6001,558
2020-04-17 08:00:00,40.71,40.71,40.71,40.71,902
2020-04-17 11:10:00,41.2,41.2,41.2,41.2,2000
2020-04-17 11:20:00,41.2,41.2,41.2,41.2,100
2020-04-17 11:50:00,41.2,41.2,41.2,41.2,269
2020-04-17 11:55:00,41.2,41.2,41.2,41.2,527
2020-04-17 12:00:00,41.31,41.31,41.22,41.22,2400
2020-04-17 12:05:00,41.21,41.21,41.21,41.21,100
2020-04-17 12:20:00,41.22,41.22,41.22,41.22,389
2020-04-17 12:30:00,41.3,41.3,41.3,41.3,282
2020-04-17 12:35:00,41.38,41.39,41.38,41.39,300
2020-04-17 12:50:00,41.44,41.47,41.44,41.47,400
2020-04-17 12:55:00,41.45,41.45,41.45,41.45,290
2020-04-17 13:00:00,41.45,41.47,41.45,41.47,261
2020-04-17 13:05:00,41.46,41.46,41.25,41.3,1538
2020-04-17 13:20:00,41.36,41.36,41.36,41.36,100
2020-04-17 13:25:00,41.32,41.32,41.23,41.23,565
2020-04-17 13:30:00,41.0,41.31,40.92,41.235,507091
2020-04-17 13:35:00,41.25,41.58,41.22,41.56,118243
2020-04-17 13:40:00,41.54,41.74,41.45,41.72,89339
2020-04-17 13:45:00,41.72,41.95,41.72,41.8701,92909
2020-04-17 13:50:00,41.87,41.94,41.79,41.87,154667
2020-04-17 13:55:00,41.89,41.9,41.53,41.7,161606
2020-04-17 14:00:00,41.7,41.795,41.65,41.75,77873
2020-04-17 14:05:00,41.78,41.84,41.73,41.82,79491
2020-04-17 14:10:00,41.83,41.83,41.49,41.535,95775
2020-04-17 14:15:00,41.53,41.56,41.31,41.33,85130
2020-04-17 14:20:00,41.33,41.42,41.25,41.4001,122906
2020-04-17 14:25:00,41.41,41.44,41.28,41.28,91328
2020-04-17 14:30:00,41.28,41.33,41.18,41.2198,66330
2020-04-17 14:35:00,41.22,41.3239,41.165,41.3239,36528
2020-04-17 14:40:00,41.32,41.42,41.31,41.385,45548
2020-04-17 14:45:00,41.38,41.38,41.3,41.3033,142116
2020-04-17 14:50:00,41.315,41.3599,41.29,41.33,49392
2020-04-17 14:55:00,41.33,41.4,41.31,41.31,71986
2020-04-17 15:00:00,41.3,41.32,41.23,41.285,79334
2020-04-17 15:05:00,41.285,41.4,41.24,41.36,41518
2020-04-17 15:10:00,41.35,41.39,41.32,41.35,36521
2020-04-17 15:15:00,41.35,41.37,41.22,41.29,57826
2020-04-17 15:20:00,41.29,41.335,41.22,41.3,39880
2020-04-17 15:25:00,41.29,41.3,41.1,41.13,89066
2020-04-17 15:30:00,41.14,41.39,41.13,41.385,165559
