datetime,open,high,low,close,volume
2020-04-16 11:00:00,25.5,25.5,25.5,25.5,200
2020-04-16 11:40:00,25.5,25.5,25.5,25.5,100
2020-04-16 12:00:00,25.3,25.31,25.3,25.31,814
2020-04-16 12:05:00,25.3501,25.3501,25.3501,25.3501,430
2020-04-16 12:30:00,25.5,25.5,25.5,25.5,100
2020-04-16 12:35:00,25.5831,25.5831,25.5,25.5,300
2020-04-16 12:40:00,25.5884,25.5884,25.5884,25.5884,500
2020-04-16 12:45:00,25.4952,25.4952,25.4905,25.4905,300
2020-04-16 12:55:00,25.49,25.5,25.49,25.5,1770
2020-04-16 13:00:00,25.5,25.55,25.5,25.55,3555
2020-04-16 13:05:00,25.54,25.54,25.54,25.54,300
2020-04-16 13:10:00,25.54,25.55,25.53,25.55,1957
2020-04-16 13:15:00,25.58,25.59,25.5,25.5,1100
2020-04-16 13:25:00,25.25,25.25,25.25,25.25,1300
2020-04-16 13:30:00,25.21,25.47,25.1,25.105,466278
2020-04-16 13:35:00,25.11,25.115,24.96,25.05,400421
2020-04-16 13:40:00,25.05,25.11,24.96,24.96,116044
2020-04-16 13:45:00,24.97,25.1,24.965,25.01,226346
2020-04-16 13:50:00,25.01,25.06,24.985,25.03,192708
2020-04-16 13:55:00,25.05,25.06,24.9138,24.94,195090
2020-04-16 14:00:00,24.94,25.03,24.94,24.95,328847
2020-04-16 14:05:00,24.955,25.07,24.93,24.939,255217
2020-04-16 14:10:00,24.939,24.975,24.86,24.92,149697
2020-04-16 14:15:00,24.93,24.965,24.895,24.95,86780
2020-04-16 14:20:00,24.9501,25.04,24.915,25.03,104390
2020-04-16 14:25:00,25.02,25.19,25.0,25.17,118876
2020-04-16 14:30:00,25.16,25.22,25.105,25.14,90003
2020-04-16 14:35:00,25.14,25.18,25.1,25.155,84521
2020-04-16 14:40:00,25.155,25.29,25.135,25.27,82594
2020-04-16 14:45:00,25.275,25.33,25.235,25.3272,105592
2020-04-16 14:50:00,25.32,25.32,25.25,25.255,117997
2020-04-16 14:55:00,25.255,25.335,25.215,25.29,115964
2020-04-16 15:00:00,25.29,25.29,25.175,25.23,66152
2020-04-16 15:05:00,25.225,25.36,25.195,25.31,115000
2020-04-16 15:10:00,25.31,25.33,25.23,25.23,59341
2020-04-16 15:15:00,25.24,25.285,25.2,25.27,150683
2020-04-16 15:20:00,25.275,25.3,25.25,25.3,90112
2020-04-16 15:25:00,25.29,25.38,25.29,25.32,110100
2020-04-16 15:30:00,25.325,25.33,25.22,25.2218,124452
2020-04-16 15:35:00,25.23,25.28,25.18,25.28,90160
2020-04-16 15:40:00,25.28,25.28,25.2,25.2,115226
2020-04-16 15:45:00,25.2,25.2235,25.1,25.13,205335
2020-04-16 15:50:00,25.125,25.35,25.12,25.35,201529
2020-04-16 15:55:00,25.35,25.4,25.2701,25.3,117842
2020-04-16 16:00:00,25.3,25.315,25.16,25.17,98931
2020-04-16 16:05:00,25.18,25.2001,25.14,25.165,158293
2020-04-16 16:10:00,25.16,25.19,25.14,25.175,115340
2020-04-16 16:15:00,25.175,25.195,25.14,25.155,245461
2020-04-16 16:20:00,25.155,25.19,25.14,25.1845,235874
2020-04-16 16:25:00,25.19,25.21,25.15,25.2,118435
2020-04-16 16:30:00,25.195,25.195,25.13,25.15,271750
2020-04-16 16:35:00,25.15,25.2,25.0626,25.2,109287
2020-04-16 16:40:00,25.2,25.33,25.2,25.315,82637
2020-04-16 16:45:00,25.32,25.34,25.22,25.27,67956
2020-04-16 16:50:00,25.27,25.27,25.195,25.235,58406
2020-04-16 16:55:00,25.23,25.27,25.18,25.21,40854
2020-04-16 17:00:00,25.21,25.25,25.18,25.18,46254
2020-04-16 17:05:00,25.19,25.21,25.145,25.15,58238
2020-04-16 17:10:00,25.15,25.21,25.135,25.205,59304
2020-04-16 17:15:00,25.21,25.3002,25.205,25.3,61753
2020-04-16 17:20:00,25.3,25.3093,25.2,25.21,45151
2020-04-16 17:25:00,25.21,25.26,25.19,25.245,45559
2020-04-16 17:30:00,25.24,25.28,25.2101,25.27,42312
2020-04-16 17:35:00,25.26,25.275,25.2,25.21,46675
2020-04-16 17:40:00,25.205,25.23,25.152,25.23,45886
2020-04-16 17:45:00,25.22,25.27,25.22,25.26,115635
2020-04-16 17:50:00,25.26,25.3,25.21,25.25,128636
2020-04-16 17:55:00,25.25,25.33,25.2495,25.33,53514
2020-04-16 18:00:00,25.33,25.34,25.235,25.275,93045
2020-04-16 18:05:00,25.28,25.44,25.27,25.4109,107120
2020-04-16 18:10:00,25.41,25.42,25.35,25.385,58377
2020-04-16 18:15:00,25.39,25.41,25.31,25.355,47090
2020-04-16 18:20:00,25.36,25.38,25.345,25.3601,58425
2020-04-16 18:25:00,25.36,25.42,25.34,25.377,108458
2020-04-16 18:30:00,25.375,25.395,25.335,25.36,121157
2020-04-16 18:35:00,25.37,25.56,25.37,25.54,181418
2020-04-16 18:40:00,25.535,25.54,25.42,25.435,393528
2020-04-16 18:45:00,25.43,25.44,25.34,25.34,60135
2020-04-16 18:50:00,25.34,25.42,25.3,25.4162,68731
2020-04-16 18:55:00,25.415,25.51,25.402,25.465,108728
2020-04-16 19:00:00,25.465,25.48,25.41,25.465,93821
2020-04-16 19:05:00,25.47,25.54,25.43,25.5258,200975
2020-04-16 19:10:00,25.53,25.595,25.515,25.57,184508
2020-04-16 19:15:00,25.57,25.64,25.555,25.64,240781
2020-04-16 19:20:00,25.64,25.7,25.605,25.695,163418
2020-04-16 19:25:00,25.695,25.75,25.665,25.705,205645
2020-04-16 19:30:00,25.7,25.82,25.68,25.815,192252
2020-04-16 19:35:00,25.8156,25.85,25.71,25.72,160271
2020-04-16 19:40:00,25.72,25.735,25.66,25.665,220903
2020-04-16 19:45:00,25.665,25.71,25.62,25.665,249463
2020-04-16 19:50:00,25.67,25.87,25.67,25.855,451935
2020-04-16 19:55:00,25.86,25.86,25.775,25.79,515446
2020-04-16 20:00:00,25.79,25.79,25.79,25.79,599348
2020-04-16 20:05:00,25.79,25.79,25.79,25.79,250
2020-04-16 20:10:00,25.79,25.79,25.79,25.79,167
2020-04-16 20:15:00,25.79,25.79,25.79,25.79,3145
2020-04-16 20:30:00,25.79,25.79,25.79,25.79,700
2020-04-16 20:35:00,25.8,25.8,25.8,25.8,7102
2020-04-16 20:40:00,25.79,25.79,25.79,25.79,8258
2020-04-16 20:45:00,25.9,25.9,25.9,25.9,100
2020-04-16 20:50:00,26.0,26.0,26.0,26.0,4342
2020-04-16 20:55:00,26.0,26.0,26.0,26.0,1418
