datetime,open,high,low,close,volume
2020-04-16 11:35:00,9.2,9.2,9.2,9.2,1000
2020-04-16 11:40:00,9.19,9.19,9.19,9.19,1000
2020-04-16 12:15:00,9.17,9.17,9.17,9.17,100
2020-04-16 12:25:00,9.19,9.19,9.19,9.19,1000
2020-04-16 12:30:00,9.18,9.2301,9.18,9.2301,5400
2020-04-16 12:55:00,9.26,9.26,9.26,9.26,200
2020-04-16 13:10:00,9.3,9.3,9.3,9.3,100
2020-04-16 13:20:00,9.26,9.26,9.26,9.26,400
2020-04-16 13:25:00,9.26,9.26,9.21,9.22,8727
2020-04-16 13:30:00,9.2,9.24,9.16,9.16,76476
2020-04-16 13:35:00,9.15,9.15,9.11,9.11,48136
2020-04-16 13:40:00,9.12,9.16,9.12,9.15,20435
2020-04-16 13:45:00,9.15,9.168,9.1226,9.15,27657
2020-04-16 13:50:00,9.1385,9.14,9.11,9.13,16340
2020-04-16 13:55:00,9.14,9.15,9.1,9.11,27946
2020-04-16 14:00:00,9.12,9.1499,9.11,9.11,42586
2020-04-16 14:05:00,9.11,9.14,9.09,9.125,15489
2020-04-16 14:10:00,9.12,9.12,9.07,9.075,57363
2020-04-16 14:15:00,9.08,9.115,9.08,9.1,32069
2020-04-16 14:20:00,9.09,9.11,9.07,9.11,10553
2020-04-16 14:25:00,9.11,9.13,9.09,9.13,61609
2020-04-16 14:30:00,9.13,9.14,9.1,9.1,34221
2020-04-16 14:35:00,9.105,9.13,9.09,9.11,11316
2020-04-16 14:40:00,9.11,9.17,9.1,9.165,20476
2020-04-16 14:45:00,9.17,9.185,9.13,9.17,18764
2020-04-16 14:50:00,9.17,9.17,9.12,9.13,15843
2020-04-16 14:55:00,9.14,9.15,9.13,9.14,21495
2020-04-16 15:00:00,9.14,9.14,9.11,9.13,10663
2020-04-16 15:05:00,9.145,9.218,9.145,9.2,16343
2020-04-16 15:10:00,9.21,9.21,9.165,9.17,11073
2020-04-16 15:15:00,9.165,9.17,9.15,9.16,16966
2020-04-16 15:20:00,9.17,9.17,9.14,9.155,9769
2020-04-16 15:25:00,9.15,9.17,9.14,9.145,67006
2020-04-16 15:30:00,9.14,9.155,9.13,9.14,76981
2020-04-16 15:35:00,9.13,9.14,9.12,9.14,19094
2020-04-16 15:40:00,9.135,9.16,9.135,9.15,29410
2020-04-16 15:45:00,9.15,9.17,9.15,9.1634,7864
2020-04-16 15:50:00,9.16,9.19,9.15,9.19,8892
2020-04-16 15:55:00,9.19,9.19,9.16,9.175,28323
2020-04-16 16:00:00,9.17,9.19,9.15,9.155,26800
2020-04-16 16:05:00,9.155,9.155,9.12,9.13,10339
2020-04-16 16:10:00,9.13,9.13,9.12,9.125,8894
2020-04-16 16:15:00,9.12,9.12,9.05,9.05,78898
2020-04-16 16:20:00,9.055,9.07,9.04,9.055,32213
2020-04-16 16:25:00,9.05,9.07,9.04,9.06,31982
2020-04-16 16:30:00,9.06,9.06,9.0,9.01,59347
2020-04-16 16:35:00,9.03,9.0379,9.02,9.03,7519
2020-04-16 16:40:00,9.03,9.06,9.03,9.05,8890
2020-04-16 16:45:00,9.05,9.055,9.01,9.035,31956
2020-04-16 16:50:00,9.035,9.05,9.03,9.04,12834
2020-04-16 16:55:00,9.03,9.038,9.01,9.038,30654
2020-04-16 17:00:00,9.035,9.04,9.01,9.025,13013
2020-04-16 17:05:00,9.03,9.04,9.01,9.01,10013
2020-04-16 17:10:00,9.015,9.05,9.01,9.045,34378
2020-04-16 17:15:00,9.05,9.06,9.05,9.06,14140
2020-04-16 17:20:00,9.07,9.08,9.07,9.07,9210
2020-04-16 17:25:00,9.07,9.07,9.05,9.06,27416
2020-04-16 17:30:00,9.07,9.075,9.065,9.075,4432
2020-04-16 17:35:00,9.0727,9.08,9.05,9.06,23373
2020-04-16 17:40:00,9.055,9.07,9.05,9.05,51751
2020-04-16 17:45:00,9.055,9.06,9.02,9.02,18429
2020-04-16 17:50:00,9.02,9.03,9.01,9.015,18398
2020-04-16 17:55:00,9.015,9.03,9.015,9.03,17455
2020-04-16 18:00:00,9.02,9.02,9.0,9.015,12186
2020-04-16 18:05:00,9.015,9.04,9.01,9.04,15622
2020-04-16 18:10:00,9.04,9.04,9.025,9.035,20549
2020-04-16 18:15:00,9.0372,9.045,9.03,9.03,13407
2020-04-16 18:20:00,9.03,9.035,9.01,9.03,36182
