datetime,open,high,low,close,volume
2020-04-16 13:00:00,3.78,3.78,3.78,3.78,100
2020-04-16 13:30:00,3.74,3.745,3.7101,3.7101,6798
2020-04-16 13:35:00,3.72,3.72,3.7,3.72,12962
2020-04-16 13:40:00,3.7109,3.725,3.7109,3.72,8539
2020-04-16 13:45:00,3.715,3.715,3.705,3.705,5285
2020-04-16 13:50:00,3.705,3.71,3.69,3.69,14020
2020-04-16 13:55:00,3.6969,3.7,3.68,3.68,7957
2020-04-16 14:00:00,3.675,3.69,3.67,3.685,49621
2020-04-16 14:05:00,3.69,3.69,3.68,3.68,10919
2020-04-16 14:10:00,3.68,3.68,3.6639,3.6639,5985
2020-04-16 14:15:00,3.67,3.68,3.66,3.675,7126
2020-04-16 14:20:00,3.67,3.68,3.67,3.68,15302
2020-04-16 14:25:00,3.675,3.68,3.6728,3.68,523
2020-04-16 14:30:00,3.68,3.69,3.675,3.685,22992
2020-04-16 14:35:00,3.69,3.7,3.69,3.695,24412
2020-04-16 14:40:00,3.7,3.7,3.6913,3.695,2941
2020-04-16 14:45:00,3.7,3.71,3.7,3.7,8814
2020-04-16 14:50:00,3.71,3.71,3.7,3.705,16543
2020-04-16 14:55:00,3.7091,3.71,3.7,3.71,1751
2020-04-16 15:00:00,3.7,3.71,3.7,3.7,1344
2020-04-16 15:05:00,3.71,3.74,3.71,3.735,23869
2020-04-16 15:10:00,3.7399,3.74,3.73,3.74,3338
2020-04-16 15:15:00,3.731,3.74,3.725,3.74,73870
2020-04-16 15:20:00,3.7364,3.74,3.7307,3.74,6535
2020-04-16 15:25:00,3.74,3.75,3.73,3.74,59020
2020-04-16 15:30:00,3.735,3.74,3.73,3.735,27836
2020-04-16 15:35:00,3.73,3.74,3.73,3.735,104785
2020-04-16 15:40:00,3.74,3.74,3.73,3.735,2651
2020-04-16 15:45:00,3.74,3.74,3.73,3.735,151850
2020-04-16 15:50:00,3.74,3.74,3.73,3.735,13678
2020-04-16 15:55:00,3.735,3.74,3.73,3.735,3539
2020-04-16 16:00:00,3.74,3.74,3.73,3.73,30895
2020-04-16 16:05:00,3.735,3.74,3.73,3.735,24038
2020-04-16 16:10:00,3.735,3.74,3.73,3.74,83465
2020-04-16 16:15:00,3.735,3.74,3.73,3.73,88284
2020-04-16 16:20:00,3.73,3.7385,3.715,3.725,151852
2020-04-16 16:25:00,3.72,3.725,3.72,3.725,10398
2020-04-16 16:30:00,3.72,3.725,3.72,3.725,4517
2020-04-16 16:35:00,3.72,3.73,3.72,3.72,10567
2020-04-16 16:40:00,3.725,3.73,3.715,3.725,27877
2020-04-16 16:45:00,3.725,3.73,3.7243,3.725,14170
2020-04-16 16:50:00,3.725,3.73,3.72,3.72,2474
2020-04-16 16:55:00,3.72,3.72,3.71,3.715,25943
2020-04-16 17:00:00,3.715,3.72,3.71,3.715,12661
2020-04-16 17:05:00,3.715,3.715,3.715,3.715,200
2020-04-16 17:10:00,3.715,3.715,3.71,3.715,17024
2020-04-16 17:15:00,3.715,3.715,3.695,3.695,49133
2020-04-16 17:20:00,3.7,3.7,3.6901,3.7,7875
2020-04-16 17:25:00,3.695,3.695,3.69,3.695,186534
2020-04-16 17:30:00,3.6965,3.7,3.6939,3.7,6286
2020-04-16 17:35:00,3.6961,3.705,3.69,3.69,69396
2020-04-16 17:40:00,3.695,3.7,3.69,3.69,8978
2020-04-16 17:45:00,3.69,3.695,3.685,3.69,14032
2020-04-16 17:50:00,3.685,3.69,3.685,3.685,1888
2020-04-16 17:55:00,3.6849,3.6849,3.6849,3.6849,526
2020-04-16 18:00:00,3.685,3.69,3.68,3.69,18307
2020-04-16 18:05:00,3.69,3.69,3.6828,3.685,5984
2020-04-16 18:10:00,3.69,3.69,3.68,3.685,10802
2020-04-16 18:15:00,3.685,3.69,3.68,3.69,89183
2020-04-16 18:20:00,3.6828,3.69,3.6828,3.685,7548
2020-04-16 18:25:00,3.68,3.69,3.68,3.68,49260
2020-04-16 18:30:00,3.68,3.69,3.68,3.68,15940
2020-04-16 18:35:00,3.68,3.69,3.68,3.69,27780
2020-04-16 18:40:00,3.69,3.69,3.685,3.685,13098
2020-04-16 18:45:00,3.685,3.69,3.68,3.69,17405
2020-04-16 18:50:00,3.685,3.69,3.67,3.685,84583
2020-04-16 18:55:00,3.685,3.69,3.68,3.69,9959
2020-04-16 19:00:00,3.685,3.69,3.68,3.685,9455
2020-04-16 19:05:00,3.685,3.69,3.68,3.69,19453
2020-04-16 19:10:00,3.685,3.69,3.68,3.685,41850
2020-04-16 19:15:00,3.69,3.69,3.68,3.685,47502
2020-04-16 19:20:00,3.685,3.69,3.68,3.685,7438
2020-04-16 19:25:00,3.69,3.7,3.69,3.69,33936
2020-04-16 19:30:00,3.69,3.7,3.69,3.695,31601
2020-04-16 19:35:00,3.695,3.7,3.69,3.695,29766
2020-04-16 19:40:00,3.69,3.7,3.69,3.695,23885
2020-04-16 19:45:00,3.695,3.7,3.69,3.695,58114
2020-04-16 19:50:00,3.695,3.71,3.695,3.705,27627
2020-04-16 19:55:00,3.71,3.71,3.69,3.7,127723
2020-04-16 20:00:00,3.7,3.7,3.7,3.7,88362
2020-04-17 13:30:00,3.75,3.77,3.74,3.76,27016
2020-04-17 13:35:00,3.76,3.78,3.75,3.78,34015
2020-04-17 13:40:00,3.77,3.78,3.76,3.77,2564
2020-04-17 13:45:00,3.765,3.77,3.76,3.76,4951
2020-04-17 13:50:00,3.77,3.77,3.76,3.77,6400
2020-04-17 13:55:00,3.765,3.78,3.76,3.77,23556
2020-04-17 14:00:00,3.77,3.78,3.76,3.77,29459
2020-04-17 14:05:00,3.77,3.78,3.77,3.775,20823
2020-04-17 14:10:00,3.77,3.78,3.76,3.76,9269
2020-04-17 14:15:00,3.765,3.77,3.75,3.75,12122
2020-04-17 14:20:00,3.75,3.76,3.75,3.755,9187
2020-04-17 14:25:00,3.75,3.76,3.75,3.76,400
2020-04-17 14:30:00,3.76,3.76,3.755,3.755,17896
2020-04-17 14:35:00,3.75,3.76,3.75,3.755,4472
2020-04-17 14:40:00,3.75,3.76,3.75,3.76,2023
2020-04-17 14:45:00,3.7572,3.76,3.75,3.755,2634
2020-04-17 14:50:00,3.75,3.755,3.75,3.7527,1837
2020-04-17 14:55:00,3.7535,3.76,3.7535,3.76,2188
2020-04-17 15:00:00,3.755,3.76,3.75,3.755,18124
2020-04-17 15:05:00,3.755,3.765,3.75,3.765,21168
