datetime,open,high,low,close,volume
2020-04-16 08:05:00,12.15,12.18,12.15,12.18,2496
2020-04-16 08:10:00,12.18,12.18,12.18,12.18,100
2020-04-16 08:20:00,12.27,12.27,12.27,12.27,2851
2020-04-16 08:25:00,12.27,12.27,12.27,12.27,100
2020-04-16 08:30:00,12.27,12.28,12.27,12.28,575
2020-04-16 08:35:00,12.28,12.28,12.22,12.25,1700
2020-04-16 08:40:00,12.28,12.28,12.25,12.25,237
2020-04-16 08:45:00,12.22,12.22,12.21,12.21,1400
2020-04-16 08:55:00,12.2,12.2,12.19,12.19,4960
2020-04-16 09:00:00,12.18,12.18,12.16,12.16,784
2020-04-16 09:05:00,12.12,12.15,12.11,12.15,1126
2020-04-16 09:10:00,12.11,12.11,12.08,12.08,200
2020-04-16 09:15:00,12.03,12.03,12.03,12.03,100
2020-04-16 09:20:00,12.03,12.03,12.03,12.03,362
2020-04-16 09:40:00,12.03,12.03,12.03,12.03,1805
2020-04-16 09:55:00,12.03,12.03,12.03,12.03,1500
2020-04-16 10:05:00,12.03,12.03,12.03,12.03,200
2020-04-16 10:20:00,12.0,12.0,12.0,12.0,582
2020-04-16 10:25:00,12.05,12.05,12.05,12.05,200
2020-04-16 10:35:00,12.08,12.08,12.08,12.08,100
2020-04-16 10:45:00,12.17,12.18,12.06,12.06,600
2020-04-16 11:00:00,12.08,12.08,11.95,12.05,9313
2020-04-16 11:10:00,12.01,12.02,11.96,12.02,3422
2020-04-16 11:15:00,12.03,12.03,12.03,12.03,4765
2020-04-16 11:20:00,12.1,12.2,12.1,12.2,11124
2020-04-16 11:25:00,12.2,12.25,12.16,12.16,9634
2020-04-16 11:30:00,12.22,12.22,12.06,12.06,7079
2020-04-16 11:35:00,12.1,12.1,12.1,12.1,500
2020-04-16 11:40:00,12.09,12.09,12.05,12.05,2865
2020-04-16 11:45:00,12.03,12.03,11.98,11.98,7480
2020-04-16 11:50:00,12.01,12.01,11.99,12.0,6300
2020-04-16 11:55:00,12.0,12.0,12.0,12.0,544
2020-04-16 12:00:00,12.0399,12.04,12.02,12.02,3800
2020-04-16 12:05:00,11.9884,12.05,11.98,11.98,17572
2020-04-16 12:10:00,12.0,12.0,12.0,12.0,200
2020-04-16 12:15:00,12.0,12.0,11.94,11.94,10995
2020-04-16 12:20:00,11.92,11.9798,11.92,11.9798,4460
2020-04-16 12:25:00,11.94,11.99,11.94,11.99,4650
2020-04-16 12:30:00,11.96,12.18,11.96,12.12,27696
2020-04-16 12:35:00,12.13,12.15,11.99,11.99,13486
2020-04-16 12:40:00,11.98,12.0,11.94,12.0,11282
2020-04-16 12:45:00,12.0,12.0,11.95,11.96,3642
2020-04-16 12:50:00,11.96,11.9601,11.92,11.94,8973
2020-04-16 12:55:00,11.94,12.05,11.9198,12.05,13434
2020-04-16 13:00:00,12.0002,12.0002,11.92,11.92,8324
2020-04-16 13:05:00,11.96,11.99,11.95,11.99,4373
2020-04-16 13:10:00,11.99,11.99,11.92,11.92,33974
2020-04-16 13:15:00,11.92,11.9498,11.9,11.9498,39548
2020-04-16 13:20:00,11.94,11.95,11.87,11.94,12600
2020-04-16 13:25:00,11.95,11.95,11.82,11.89,18705
2020-04-16 13:30:00,11.94,12.14,11.75,11.75,765353
2020-04-16 13:35:00,11.75,11.8,11.55,11.5701,730152
2020-04-16 13:40:00,11.5785,11.75,11.5301,11.6401,599483
2020-04-16 13:45:00,11.6401,11.695,11.5,11.61,664738
2020-04-16 13:50:00,11.61,11.69,11.54,11.57,315283
2020-04-16 13:55:00,11.579,11.59,11.4,11.44,472080
2020-04-16 14:00:00,11.4307,11.55,11.4307,11.48,264299
2020-04-16 14:05:00,11.49,11.54,11.41,11.4366,300639
2020-04-16 14:10:00,11.435,11.5,11.25,11.3,553737
2020-04-16 14:15:00,11.31,11.38,11.27,11.2701,440948
2020-04-16 14:20:00,11.27,11.55,11.25,11.53,361049
2020-04-16 14:25:00,11.52,11.6,11.45,11.55,396371
2020-04-16 14:30:00,11.54,11.56,11.38,11.52,289658
2020-04-16 14:35:00,11.52,11.54,11.425,11.43,226054
2020-04-16 14:40:00,11.44,11.58,11.43,11.5615,219644
2020-04-16 14:45:00,11.5699,11.635,11.48,11.5786,193982
2020-04-16 14:50:00,11.57,11.61,11.54,11.58,187824
2020-04-16 14:55:00,11.59,11.62,11.47,11.4769,186895
2020-04-16 15:00:00,11.48,11.6,11.455,11.55,177550
2020-04-16 15:05:00,11.56,11.655,11.53,11.625,174110
2020-04-16 15:10:00,11.62,11.64,11.55,11.5589,169329
2020-04-16 15:15:00,11.55,11.62,11.55,11.59,95630
2020-04-16 15:20:00,11.6,11.605,11.4801,11.52,152225
2020-04-16 15:25:00,11.515,11.57,11.47,11.4714,136990
2020-04-16 15:30:00,11.46,11.5,11.41,11.4347,166338
2020-04-16 15:35:00,11.4357,11.47,11.39,11.4499,229458
2020-04-16 15:40:00,11.45,11.48,11.38,11.3819,110033
2020-04-16 15:45:00,11.39,11.4195,11.35,11.37,143352
2020-04-16 15:50:00,11.3699,11.54,11.36,11.53,140264
2020-04-16 15:55:00,11.53,11.5342,11.43,11.45,162822
2020-04-16 16:00:00,11.4512,11.5,11.43,11.46,103068
2020-04-16 16:05:00,11.46,11.461,11.38,11.38,106690
2020-04-16 16:10:00,11.3843,11.4199,11.365,11.37,105769
2020-04-16 16:15:00,11.365,11.37,11.3,11.32,260204
2020-04-16 16:20:00,11.3199,11.3782,11.28,11.3101,250714
2020-04-16 16:25:00,11.31,11.36,11.29,11.34,164373
2020-04-16 16:30:00,11.34,11.34,11.28,11.298,116375
2020-04-16 16:35:00,11.29,11.3328,11.26,11.293,162019
2020-04-16 16:40:00,11.3,11.35,11.26,11.34,147748
2020-04-16 16:45:00,11.33,11.34,11.275,11.29,75805
2020-04-16 16:50:00,11.29,11.3,11.23,11.235,189647
2020-04-16 16:55:00,11.2397,11.29,11.2,11.26,179500
2020-04-16 17:00:00,11.265,11.345,11.25,11.31,121711
2020-04-16 17:05:00,11.305,11.38,11.26,11.265,120208
2020-04-16 17:10:00,11.265,11.33,11.24,11.3,109922
2020-04-16 17:15:00,11.3,11.31,11.25,11.277,73981
2020-04-16 17:20:00,11.2701,11.2799,11.22,11.24,96739
2020-04-16 17:25:00,11.24,11.25,11.21,11.23,113444
2020-04-16 17:30:00,11.23,11.255,11.22,11.22,75762
2020-04-16 17:35:00,11.225,11.24,11.15,11.155,322976
2020-04-16 17:40:00,11.15,11.2699,11.13,11.2583,255380
2020-04-16 17:45:00,11.25,11.28,11.22,11.22,77708
2020-04-16 17:50:00,11.22,11.23,11.18,11.215,127216
2020-04-16 17:55:00,11.2114,11.235,11.1914,11.21,60966
2020-04-16 18:00:00,11.205,11.2095,11.15,11.2,123509
2020-04-16 18:05:00,11.199,11.25,11.18,11.23,133999
2020-04-16 18:10:00,11.2317,11.24,11.2,11.23,72238
2020-04-16 18:15:00,11.23,11.255,11.21,11.235,74584
2020-04-16 18:20:00,11.24,11.28,11.22,11.23,111599
2020-04-16 18:25:00,11.23,11.3,11.22,11.27,111235
2020-04-16 18:30:00,11.26,11.3,11.26,11.2699,130301
2020-04-16 18:35:00,11.27,11.39,11.24,11.33,189540
2020-04-16 18:40:00,11.32,11.35,11.22,11.27,135493
2020-04-16 18:45:00,11.27,11.28,11.23,11.255,70564
2020-04-16 18:50:00,11.25,11.28,11.22,11.255,90251
2020-04-16 18:55:00,11.251,11.27,11.2375,11.2586,56619
2020-04-16 19:00:00,11.26,11.29,11.25,11.26,92348
2020-04-16 19:05:00,11.26,11.27,11.21,11.218,142194
2020-04-16 19:10:00,11.215,11.23,11.16,11.175,162700
2020-04-16 19:15:00,11.1734,11.2199,11.16,11.185,99053
2020-04-16 19:20:00,11.185,11.2194,11.16,11.2,130571
2020-04-16 19:25:00,11.2066,11.23,11.18,11.22,96877
