datetime,open,high,low,close,volume
2020-04-16 13:30:00,25.66,25.79,25.63,25.67,35240
2020-04-16 13:35:00,25.68,25.79,25.635,25.72,18642
2020-04-16 13:40:00,25.72,25.8,25.715,25.76,45128
2020-04-16 13:45:00,25.78,25.78,25.51,25.51,31032
2020-04-16 13:50:00,25.51,25.53,25.42,25.485,50878
2020-04-16 13:55:00,25.49,25.54,25.43,25.46,124818
2020-04-16 14:00:00,25.46,25.5,25.3,25.35,27363
2020-04-16 14:05:00,25.35,25.36,25.23,25.29,48039
2020-04-16 14:10:00,25.28,25.34,25.24,25.33,17831
2020-04-16 14:15:00,25.335,25.41,25.31,25.39,9804
2020-04-16 14:20:00,25.39,25.46,25.38,25.43,9845
2020-04-16 14:25:00,25.43,25.52,25.42,25.51,9424
2020-04-16 14:30:00,25.49,25.6,25.49,25.57,14071
2020-04-16 14:35:00,25.58,25.62,25.545,25.57,16912
2020-04-16 14:40:00,25.58,25.68,25.56,25.65,18802
2020-04-16 14:45:00,25.65,25.67,25.555,25.575,94635
2020-04-16 14:50:00,25.57,25.62,25.57,25.62,17150
2020-04-16 14:55:00,25.63,25.77,25.63,25.76,15896
2020-04-16 15:00:00,25.77,25.79,25.74,25.75,20075
2020-04-16 15:05:00,25.75,25.915,25.74,25.915,32495
2020-04-16 15:10:00,25.91,25.97,25.84,25.84,33543
2020-04-16 15:15:00,25.84,25.85,25.77,25.82,15376
2020-04-16 15:20:00,25.835,25.835,25.735,25.75,16049
2020-04-16 15:25:00,25.75,25.8,25.71,25.71,24348
2020-04-16 15:30:00,25.71,25.725,25.65,25.66,14723
2020-04-16 15:35:00,25.65,25.705,25.63,25.66,13545
2020-04-16 15:40:00,25.67,25.785,25.67,25.755,15579
2020-04-16 15:45:00,25.7571,25.785,25.71,25.72,19518
2020-04-16 15:50:00,25.73,25.89,25.73,25.89,13798
2020-04-16 15:55:00,25.88,25.91,25.83,25.84,12337
2020-04-16 16:00:00,25.84,25.85,25.8,25.85,21034
2020-04-16 16:05:00,25.841,25.841,25.8,25.83,28383
2020-04-16 16:10:00,25.83,25.88,25.82,25.86,21617
2020-04-16 16:15:00,25.86,25.875,25.78,25.85,79945
2020-04-16 16:20:00,25.85,25.85,25.745,25.76,23629
2020-04-16 16:25:00,25.77,25.83,25.76,25.81,13496
2020-04-16 16:30:00,25.79,25.79,25.69,25.7,22593
2020-04-16 16:35:00,25.71,25.73,25.69,25.72,39986
2020-04-16 16:40:00,25.72,25.775,25.705,25.76,38581
2020-04-16 16:45:00,25.76,25.8,25.73,25.8,59613
2020-04-16 16:50:00,25.79,25.865,25.79,25.85,16817
2020-04-16 16:55:00,25.85,25.9001,25.83,25.87,25276
2020-04-16 17:00:00,25.86,25.895,25.81,25.825,46588
2020-04-16 17:05:00,25.82,25.9,25.82,25.855,44483
2020-04-16 17:10:00,25.86,25.95,25.85,25.945,26497
2020-04-16 17:15:00,25.94,25.975,25.91,25.93,19395
2020-04-16 17:20:00,25.94,25.94,25.88,25.9,29961
2020-04-16 17:25:00,25.9,25.9201,25.88,25.9,11864
2020-04-16 17:30:00,25.9,25.905,25.87,25.885,17193
2020-04-16 17:35:00,25.89,25.91,25.89,25.895,18722
2020-04-16 17:40:00,25.9,25.97,25.88,25.965,17225
2020-04-16 17:45:00,25.96,25.96,25.895,25.9,8688
2020-04-16 17:50:00,25.9,25.91,25.85,25.87,21074
2020-04-16 17:55:00,25.87,25.945,25.87,25.945,16307
2020-04-16 18:00:00,25.95,25.95,25.86,25.92,19917
2020-04-16 18:05:00,25.92,25.985,25.9,25.98,26499
2020-04-16 18:10:00,25.98,26.015,25.97,25.995,34363
2020-04-16 18:15:00,26.0,26.055,26.0,26.02,16401
2020-04-16 18:20:00,26.01,26.03,25.98,26.01,22914
2020-04-16 18:25:00,26.0,26.005,25.96,25.97,20449
2020-04-16 18:30:00,25.96,26.08,25.96,26.05,26106
2020-04-16 18:35:00,26.06,26.155,26.03,26.12,24141
2020-04-16 18:40:00,26.12,26.14,26.07,26.09,24993
2020-04-16 18:45:00,26.09,26.105,26.035,26.055,20548
2020-04-16 18:50:00,26.05,26.09,26.01,26.09,26448
2020-04-16 18:55:00,26.08,26.11,26.055,26.09,29804
2020-04-16 19:00:00,26.09,26.1,26.02,26.03,26859
2020-04-16 19:05:00,26.03,26.07,25.99,26.0,33216
2020-04-16 19:10:00,25.99,25.99,25.935,25.95,26025
2020-04-16 19:15:00,25.945,25.99,25.925,25.98,31092
2020-04-16 19:20:00,25.98,26.075,25.96,26.07,33043
2020-04-16 19:25:00,26.07,26.17,26.02,26.15,40521
2020-04-16 19:30:00,26.16,26.2,26.135,26.18,43890
2020-04-16 19:35:00,26.18,26.2,26.12,26.13,72117
2020-04-16 19:40:00,26.14,26.15,26.095,26.105,50548
2020-04-16 19:45:00,26.11,26.14,26.04,26.08,79541
2020-04-16 19:50:00,26.06,26.08,25.95,26.0,172446
2020-04-16 19:55:00,26.005,26.02,25.93,25.93,244061
2020-04-16 20:00:00,25.93,25.93,25.93,25.93,1415394
2020-04-17 13:30:00,26.55,26.87,26.35,26.37,118764
2020-04-17 13:35:00,26.37,26.53,26.25,26.53,42141
2020-04-17 13:40:00,26.54,26.56,26.465,26.53,35412
2020-04-17 13:45:00,26.51,26.58,26.45,26.5,23092
2020-04-17 13:50:00,26.49,26.495,26.38,26.46,24470
2020-04-17 13:55:00,26.46,26.58,26.4,26.55,27794
2020-04-17 14:00:00,26.55,26.56,26.27,26.32,20308
2020-04-17 14:05:00,26.32,26.35,26.28,26.285,19352
2020-04-17 14:10:00,26.29,26.3,26.1,26.12,24841
2020-04-17 14:15:00,26.13,26.16,26.0,26.05,30718
2020-04-17 14:20:00,26.04,26.11,26.01,26.08,30572
2020-04-17 14:25:00,26.07,26.125,26.05,26.05,14389
2020-04-17 14:30:00,26.07,26.1,26.055,26.1,30949
2020-04-17 14:35:00,26.1,26.1369,26.045,26.11,16957
2020-04-17 14:40:00,26.11,26.15,26.09,26.11,12260
2020-04-17 14:45:00,26.11,26.125,26.0,26.02,29884
2020-04-17 14:50:00,26.025,26.09,26.025,26.09,17095
2020-04-17 14:55:00,26.1,26.15,26.0725,26.0725,11704
2020-04-17 15:00:00,26.07,26.115,26.03,26.075,23296
2020-04-17 15:05:00,26.07,26.08,26.04,26.075,10400
2020-04-17 15:10:00,26.045,26.065,25.985,26.03,13405
2020-04-17 15:15:00,26.025,26.06,25.975,26.05,16226
2020-04-17 15:20:00,26.04,26.065,25.985,26.065,42837
2020-04-17 15:25:00,26.06,26.09,25.99,26.05,47537
2020-04-17 15:30:00,26.065,26.17,26.04,26.16,27090
2020-04-17 15:35:00,26.175,26.255,26.17,26.24,18394
2020-04-17 15:40:00,26.245,26.31,26.245,26.275,26741
2020-04-17 15:45:00,26.28,26.355,26.28,26.34,26678
2020-04-17 15:50:00,26.34,26.34,26.26,26.28,15437
2020-04-17 15:55:00,26.285,26.285,26.195,26.215,11376
2020-04-17 16:00:00,26.21,26.21,26.16,26.18,55127
2020-04-17 16:05:00,26.18,26.23,26.18,26.2,14477
2020-04-17 16:10:00,26.2,26.205,26.15,26.17,6085
2020-04-17 16:15:00,26.18,26.27,26.15,26.265,22330
2020-04-17 16:20:00,26.26,26.26,26.21,26.21,11779
2020-04-17 16:25:00,26.21,26.21,26.17,26.17,7802
2020-04-17 16:30:00,26.17,26.19,26.13,26.19,9955
2020-04-17 16:35:00,26.19,26.3,26.18,26.27,11645
2020-04-17 16:40:00,26.27,26.29,26.26,26.27,4630
2020-04-17 16:45:00,26.28,26.3,26.25,26.29,6636
2020-04-17 16:50:00,26.29,26.33,26.29,26.32,5186
2020-04-17 16:55:00,26.32,26.32,26.21,26.21,9543
2020-04-17 17:00:00,26.2,26.25,26.17,26.23,10567
2020-04-17 17:05:00,26.21,26.26,26.21,26.24,5487
2020-04-17 17:10:00,26.24,26.24,26.17,26.18,7128
2020-04-17 17:15:00,26.19,26.22,26.18,26.21,9717
2020-04-17 17:20:00,26.2011,26.2011,26.1432,26.15,6772
2020-04-17 17:25:00,26.14,26.16,26.09,26.105,8942
2020-04-17 17:30:00,26.11,26.12,26.0701,26.0701,8586
2020-04-17 17:35:00,26.08,26.09,26.02,26.02,13384
2020-04-17 17:40:00,26.02,26.035,26.0,26.0,15528
2020-04-17 17:45:00,26.0,26.0,25.91,25.92,22429
2020-04-17 17:50:00,25.93,25.95,25.89,25.94,12388
2020-04-17 17:55:00,25.93,26.01,25.93,26.01,36258
2020-04-17 18:00:00,26.0,26.06,25.995,26.05,30613
2020-04-17 18:05:00,26.05,26.07,26.04,26.06,22019
2020-04-17 18:10:00,26.04,26.05,25.94,26.02,60031
2020-04-17 18:15:00,26.02,26.05,25.975,26.03,40995
2020-04-17 18:20:00,26.04,26.06,26.02,26.06,12913
2020-04-17 18:25:00,26.06,26.1064,26.04,26.06,33881
2020-04-17 18:30:00,26.045,26.06,26.03,26.06,12741
2020-04-17 18:35:00,26.05,26.06,26.03,26.06,11350
2020-04-17 18:40:00,26.06,26.0703,26.02,26.07,7833
2020-04-17 18:45:00,26.06,26.07,26.04,26.07,5386
2020-04-17 18:50:00,26.07,26.07,26.02,26.03,15482
2020-04-17 18:55:00,26.04,26.07,26.03,26.07,11386
2020-04-17 19:00:00,26.06,26.11,26.06,26.08,14215
2020-04-17 19:05:00,26.08,26.085,26.06,26.07,10903
2020-04-17 19:10:00,26.075,26.11,26.07,26.11,8889
2020-04-17 19:15:00,26.11,26.16,26.11,26.15,10470
2020-04-17 19:20:00,26.14,26.145,26.08,26.09,11781
2020-04-17 19:25:00,26.095,26.155,26.095,26.15,17515
2020-04-17 19:30:00,26.15,26.195,26.14,26.15,23072
2020-04-17 19:35:00,26.16,26.215,26.14,26.205,39949
2020-04-17 19:40:00,26.21,26.24,26.18,26.215,23952
2020-04-17 19:45:00,26.22,26.34,26.21,26.34,43797
2020-04-17 19:50:00,26.37,26.475,26.345,26.39,94153
2020-04-17 19:55:00,26.395,26.42,26.275,26.38,168061
2020-04-17 20:00:00,26.38,26.3906,26.38,26.3906,261917
2020-04-20 13:30:00,26.14,26.36,25.84,26.06,44200
2020-04-20 13:35:00,26.09,26.24,26.08,26.13,47208
2020-04-20 13:40:00,26.14,26.25,26.12,26.21,40586
2020-04-20 13:45:00,26.21,26.32,26.21,26.26,36533
2020-04-20 13:50:00,26.25,26.29,26.2,26.2,21999
2020-04-20 13:55:00,26.2,26.27,26.15,26.24,26887
2020-04-20 14:00:00,26.245,26.25,26.05,26.14,47837
2020-04-20 14:05:00,26.14,26.24,26.13,26.22,44144
2020-04-20 14:10:00,26.21,26.24,26.2,26.21,37292
2020-04-20 14:15:00,26.205,26.27,26.16,26.23,51908
2020-04-20 14:20:00,26.24,26.33,26.24,26.29,43979
2020-04-20 14:25:00,26.295,26.295,26.21,26.245,25809
