datetime,open,high,low,close,volume
2020-04-16 11:00:00,5.86,5.86,5.7,5.7,2000
2020-04-16 11:10:00,5.77,5.77,5.77,5.77,5000
2020-04-16 11:45:00,5.79,5.79,5.79,5.79,1137
2020-04-16 12:15:00,5.75,5.75,5.75,5.75,312
2020-04-16 12:25:00,5.7,5.71,5.7,5.71,1088
2020-04-16 12:35:00,5.75,5.7799,5.75,5.7799,200
2020-04-16 12:40:00,5.78,5.79,5.78,5.79,6992
2020-04-16 13:00:00,5.8,5.81,5.8,5.81,2671
2020-04-16 13:05:00,5.8,5.8,5.8,5.8,1000
2020-04-16 13:10:00,5.8299,5.83,5.8299,5.83,200
2020-04-16 13:15:00,5.8,5.82,5.8,5.82,14600
2020-04-16 13:20:00,5.8,5.81,5.8,5.8,5845
2020-04-16 13:25:00,5.81,5.81,5.81,5.81,100
2020-04-16 13:30:00,5.71,5.75,5.61,5.62,706776
2020-04-16 13:35:00,5.61,5.69,5.59,5.68,487444
2020-04-16 13:40:00,5.6811,5.7399,5.67,5.715,240370
2020-04-16 13:45:00,5.72,5.74,5.68,5.7,199613
2020-04-16 13:50:00,5.692,5.71,5.65,5.66,255255
2020-04-16 13:55:00,5.66,5.68,5.58,5.615,263693
2020-04-16 14:00:00,5.61,5.64,5.6074,5.6234,137605
2020-04-16 14:05:00,5.63,5.67,5.62,5.635,137285
2020-04-16 14:10:00,5.63,5.66,5.59,5.63,247949
2020-04-16 14:15:00,5.6229,5.65,5.58,5.58,242416
2020-04-16 14:20:00,5.59,5.64,5.58,5.625,186794
2020-04-16 14:25:00,5.63,5.69,5.625,5.67,259816
2020-04-16 14:30:00,5.68,5.7,5.65,5.68,140568
2020-04-16 14:35:00,5.68,5.725,5.675,5.71,408544
2020-04-16 14:40:00,5.71,5.76,5.7,5.7463,114165
2020-04-16 14:45:00,5.74,5.75,5.685,5.73,280327
2020-04-16 14:50:00,5.73,5.75,5.72,5.745,124760
2020-04-16 14:55:00,5.75,5.8,5.745,5.765,275882
2020-04-16 15:00:00,5.77,5.795,5.76,5.79,85271
2020-04-16 15:05:00,5.7901,5.92,5.79,5.895,283109
2020-04-16 15:10:00,5.89,5.9,5.82,5.82,349228
2020-04-16 15:15:00,5.825,5.83,5.755,5.78,190183
2020-04-16 15:20:00,5.78,5.79,5.72,5.74,191048
2020-04-16 15:25:00,5.74,5.7783,5.73,5.74,111623
2020-04-16 15:30:00,5.74,5.75,5.69,5.7,133208
2020-04-16 15:35:00,5.695,5.73,5.68,5.7202,87078
2020-04-16 15:40:00,5.73,5.7391,5.68,5.695,119939
2020-04-16 15:45:00,5.695,5.7,5.66,5.67,86727
2020-04-16 15:50:00,5.675,5.74,5.65,5.73,300665
2020-04-16 15:55:00,5.73,5.74,5.705,5.725,76582
2020-04-16 16:00:00,5.725,5.745,5.7026,5.7086,119632
2020-04-16 16:05:00,5.7,5.71,5.69,5.705,66810
2020-04-16 16:10:00,5.705,5.73,5.7,5.705,52170
2020-04-16 16:15:00,5.705,5.71,5.635,5.655,184338
2020-04-16 16:20:00,5.655,5.67,5.62,5.648,175709
2020-04-16 16:25:00,5.64,5.685,5.64,5.675,155799
2020-04-16 16:30:00,5.675,5.675,5.63,5.64,121749
2020-04-16 16:35:00,5.6485,5.66,5.63,5.6555,93295
2020-04-16 16:40:00,5.65,5.68,5.645,5.665,77696
2020-04-16 16:45:00,5.665,5.6699,5.63,5.64,128237
2020-04-16 16:50:00,5.647,5.65,5.62,5.62,52793
2020-04-16 16:55:00,5.625,5.67,5.61,5.655,177461
2020-04-16 17:00:00,5.655,5.69,5.65,5.67,165091
2020-04-16 17:05:00,5.675,5.7,5.67,5.675,67702
2020-04-16 17:10:00,5.68,5.7,5.67,5.69,52573
2020-04-16 17:15:00,5.6945,5.7,5.67,5.675,69705
2020-04-16 17:20:00,5.675,5.68,5.66,5.665,53194
2020-04-16 17:25:00,5.665,5.67,5.66,5.665,60447
2020-04-16 17:30:00,5.665,5.67,5.65,5.6564,57675
2020-04-16 17:35:00,5.6506,5.69,5.65,5.67,356157
2020-04-16 17:40:00,5.67,5.685,5.66,5.685,121968
2020-04-16 17:45:00,5.6847,5.6861,5.65,5.65,97680
2020-04-16 17:50:00,5.66,5.66,5.62,5.635,83903
2020-04-16 17:55:00,5.635,5.65,5.63,5.64,102360
2020-04-16 18:00:00,5.645,5.67,5.62,5.655,112552
2020-04-16 18:05:00,5.655,5.665,5.64,5.665,67393
2020-04-16 18:10:00,5.665,5.68,5.66,5.68,69258
2020-04-16 18:15:00,5.68,5.69,5.66,5.66,88923
2020-04-16 18:20:00,5.66,5.67,5.65,5.65,80915
2020-04-16 18:25:00,5.65,5.67,5.64,5.66,88561
2020-04-16 18:30:00,5.655,5.67,5.65,5.665,83202
2020-04-16 18:35:00,5.665,5.685,5.66,5.67,112465
2020-04-16 18:40:00,5.67,5.675,5.65,5.655,84198
2020-04-16 18:45:00,5.66,5.66,5.65,5.655,65602
2020-04-16 18:50:00,5.655,5.69,5.64,5.685,342024
2020-04-16 18:55:00,5.68,5.69,5.67,5.68,139429
2020-04-16 19:00:00,5.68,5.685,5.67,5.67,45988
2020-04-16 19:05:00,5.675,5.68,5.65,5.65,113716
2020-04-16 19:10:00,5.655,5.67,5.65,5.66,78700
2020-04-16 19:15:00,5.665,5.68,5.65,5.65,91799
2020-04-16 19:20:00,5.65,5.67,5.65,5.66,89140
2020-04-16 19:25:00,5.66,5.68,5.655,5.67,97106
2020-04-16 19:30:00,5.67,5.7,5.67,5.695,233906
2020-04-16 19:35:00,5.695,5.7,5.68,5.7,120677
2020-04-16 19:40:00,5.695,5.6974,5.66,5.67,237829
2020-04-16 19:45:00,5.675,5.68,5.66,5.67,283339
2020-04-16 19:50:00,5.66,5.675,5.65,5.655,395984
2020-04-16 19:55:00,5.655,5.66,5.615,5.625,664836
2020-04-16 20:00:00,5.62,5.62,5.62,5.62,1688041
2020-04-16 20:15:00,5.6302,5.71,5.6302,5.71,3274
2020-04-16 20:30:00,5.62,5.62,5.62,5.62,322
2020-04-16 20:40:00,5.71,5.71,5.71,5.71,100
2020-04-16 20:55:00,5.72,5.72,5.72,5.72,100
2020-04-16 21:00:00,5.72,5.72,5.72,5.72,3982
2020-04-16 21:05:00,5.72,5.72,5.72,5.72,1000
2020-04-16 21:10:00,5.75,5.75,5.75,5.75,4900
2020-04-16 21:15:00,5.7898,5.7898,5.7898,5.7898,1000
