datetime,open,high,low,close,volume
2020-04-16 08:30:00,3.23,3.23,3.23,3.23,400
2020-04-16 10:35:00,3.22,3.22,3.22,3.22,100
2020-04-16 12:00:00,3.2199,3.22,3.2199,3.22,1430
2020-04-16 12:05:00,3.22,3.22,3.2101,3.2101,7100
2020-04-16 12:10:00,3.21,3.2101,3.21,3.2101,4000
2020-04-16 12:25:00,3.22,3.22,3.22,3.22,600
2020-04-16 12:30:00,3.22,3.22,3.22,3.22,1913
2020-04-16 12:35:00,3.2299,3.23,3.2299,3.23,2600
2020-04-16 12:40:00,3.22,3.22,3.22,3.22,3527
2020-04-16 12:45:00,3.22,3.22,3.22,3.22,534
2020-04-16 12:50:00,3.22,3.22,3.22,3.22,1000
2020-04-16 12:55:00,3.22,3.22,3.22,3.22,1605
2020-04-16 13:00:00,3.21,3.22,3.21,3.21,1849
2020-04-16 13:05:00,3.22,3.23,3.22,3.2299,2538
2020-04-16 13:10:00,3.22,3.23,3.22,3.23,1295
2020-04-16 13:15:00,3.22,3.22,3.21,3.22,3018
2020-04-16 13:20:00,3.22,3.22,3.22,3.22,1929
2020-04-16 13:25:00,3.22,3.22,3.21,3.22,4539
2020-04-16 13:30:00,3.22,3.22,3.2,3.205,308184
2020-04-16 13:35:00,3.2,3.21,3.19,3.195,227865
2020-04-16 13:40:00,3.1934,3.21,3.19,3.205,489465
2020-04-16 13:45:00,3.205,3.21,3.19,3.1919,114569
2020-04-16 13:50:00,3.195,3.2,3.18,3.1881,75564
2020-04-16 13:55:00,3.19,3.2,3.17,3.178,339833
2020-04-16 14:00:00,3.1726,3.1852,3.16,3.17,303548
2020-04-16 14:05:00,3.165,3.17,3.15,3.16,419197
2020-04-16 14:10:00,3.16,3.16,3.14,3.14,433603
2020-04-16 14:15:00,3.14,3.16,3.14,3.16,305630
2020-04-16 14:20:00,3.15,3.19,3.15,3.18,3306547
2020-04-16 14:25:00,3.185,3.35,3.18,3.3,10269822
2020-04-16 14:30:00,3.3,3.39,3.26,3.38,7983500
2020-04-16 14:35:00,3.3876,3.55,3.38,3.4495,7909121
2020-04-16 14:40:00,3.445,3.6,3.44,3.5899,4572713
2020-04-16 14:45:00,3.5866,3.67,3.52,3.6699,3520606
2020-04-16 14:50:00,3.665,3.6796,3.53,3.575,3109345
2020-04-16 14:55:00,3.58,3.59,3.55,3.565,1387165
2020-04-16 15:00:00,3.5642,3.57,3.51,3.53,889137
2020-04-16 15:05:00,3.54,3.55,3.52,3.52,1168972
2020-04-16 15:10:00,3.525,3.53,3.445,3.45,1142633
2020-04-16 15:15:00,3.4599,3.48,3.42,3.47,1954544
2020-04-16 15:20:00,3.47,3.475,3.435,3.46,1176051
2020-04-16 15:25:00,3.46,3.48,3.42,3.4398,1424281
2020-04-16 15:30:00,3.4338,3.44,3.41,3.4103,786855
2020-04-16 15:35:00,3.41,3.44,3.4,3.435,616940
2020-04-16 15:40:00,3.435,3.44,3.42,3.43,295402
2020-04-16 15:45:00,3.422,3.45,3.42,3.445,488890
