datetime,open,high,low,close,volume
2020-04-16 11:00:00,13.95,13.95,13.95,13.95,200
2020-04-16 12:25:00,13.98,13.98,13.98,13.98,100
2020-04-16 12:40:00,13.68,13.68,13.68,13.68,295
2020-04-16 12:50:00,13.7501,13.8,13.7501,13.8,1100
2020-04-16 13:15:00,13.95,13.95,13.95,13.95,100
2020-04-16 13:20:00,13.95,13.95,13.95,13.95,100
2020-04-16 13:25:00,13.75,13.75,13.61,13.61,345
2020-04-16 13:30:00,13.57,13.7592,13.5,13.66,59595
2020-04-16 13:35:00,13.6,13.66,13.406,13.48,35079
2020-04-16 13:40:00,13.52,13.77,13.5151,13.75,13156
2020-04-16 13:45:00,13.77,13.88,13.6,13.678,31133
2020-04-16 13:50:00,13.67,13.72,13.54,13.585,26214
2020-04-16 13:55:00,13.61,13.7493,13.54,13.54,30542
2020-04-16 14:00:00,13.53,13.69,13.51,13.66,55425
2020-04-16 14:05:00,13.65,13.84,13.64,13.68,34115
2020-04-16 14:10:00,13.66,13.76,13.65,13.655,27856
2020-04-16 14:15:00,13.665,13.85,13.65,13.785,17364
2020-04-16 14:20:00,13.76,13.77,13.66,13.69,16515
2020-04-16 14:25:00,13.7,13.795,13.65,13.758,29651
2020-04-16 14:30:00,13.75,13.77,13.69,13.72,14459
2020-04-16 14:35:00,13.7,13.7,13.48,13.5,39324
2020-04-16 14:40:00,13.5,13.62,13.5,13.62,13417
2020-04-16 14:45:00,13.61,13.67,13.55,13.6,40262
2020-04-16 14:50:00,13.59,13.68,13.585,13.67,7874
2020-04-16 14:55:00,13.67,13.85,13.67,13.8,15185
2020-04-16 15:00:00,13.81,13.82,13.75,13.81,11200
2020-04-16 15:05:00,13.79,13.86,13.77,13.795,13035
2020-04-16 15:10:00,13.7501,13.825,13.74,13.78,17629
2020-04-16 15:15:00,13.78,13.82,13.7234,13.8,17308
2020-04-16 15:20:00,13.8,13.855,13.78,13.78,11469
2020-04-16 15:25:00,13.78,13.79,13.71,13.71,12900
2020-04-16 15:30:00,13.7,13.7,13.61,13.67,17412
2020-04-16 15:35:00,13.67,13.71,13.67,13.7,5624
2020-04-16 15:40:00,13.695,13.7098,13.62,13.62,14392
2020-04-16 15:45:00,13.615,13.64,13.57,13.57,12180
2020-04-16 15:50:00,13.55,13.7,13.55,13.7,11521
2020-04-16 15:55:00,13.69,13.73,13.68,13.71,10010
2020-04-16 16:00:00,13.72,13.74,13.55,13.57,13389
2020-04-16 16:05:00,13.56,13.65,13.55,13.6185,41217
2020-04-16 16:10:00,13.6,13.6925,13.58,13.62,16223
2020-04-16 16:15:00,13.6,13.65,13.5501,13.6,9901
2020-04-16 16:20:00,13.6,13.61,13.49,13.51,16754
2020-04-16 16:25:00,13.52,13.6091,13.51,13.6055,15737
2020-04-16 16:30:00,13.5999,13.5999,13.468,13.495,10473
2020-04-16 16:35:00,13.5,13.56,13.46,13.556,22559
2020-04-16 16:40:00,13.56,13.6123,13.53,13.6,10908
2020-04-16 16:45:00,13.6,13.67,13.5965,13.6397,7997
2020-04-16 16:50:00,13.625,13.675,13.61,13.6689,14295
2020-04-16 16:55:00,13.66,13.66,13.625,13.625,11217
2020-04-16 17:00:00,13.64,13.69,13.63,13.66,11288
2020-04-16 17:05:00,13.65,13.67,13.6,13.64,11881
2020-04-16 17:10:00,13.63,13.655,13.595,13.6235,23032
2020-04-16 17:15:00,13.63,13.6493,13.61,13.64,7215
2020-04-16 17:20:00,13.64,13.735,13.64,13.67,35606
2020-04-16 17:25:00,13.67,13.73,13.67,13.72,9110
2020-04-16 17:30:00,13.71,13.7802,13.71,13.78,7885
2020-04-16 17:35:00,13.78,13.8,13.7386,13.7386,7063
2020-04-16 17:40:00,13.75,13.82,13.75,13.8,14005
2020-04-16 17:45:00,13.78,13.7837,13.745,13.76,19965
2020-04-16 17:50:00,13.75,13.77,13.64,13.68,16612
2020-04-16 17:55:00,13.67,13.69,13.63,13.65,7727
2020-04-16 18:00:00,13.62,13.72,13.59,13.7,15787
2020-04-16 18:05:00,13.71,13.74,13.68,13.74,6200
2020-04-16 18:10:00,13.74,13.79,13.72,13.79,17209
2020-04-16 18:15:00,13.79,13.8,13.76,13.765,11453
2020-04-16 18:20:00,13.77,13.78,13.65,13.65,14542
