datetime,open,high,low,close,volume
2020-04-16 12:00:00,13.76,13.78,13.76,13.78,1919
2020-04-16 12:15:00,13.8,13.8,13.7799,13.7799,1872
2020-04-16 12:25:00,13.68,13.7,13.68,13.7,728
2020-04-16 13:25:00,13.85,13.85,13.77,13.77,400
2020-04-16 13:30:00,13.71,13.87,13.48,13.49,182589
2020-04-16 13:35:00,13.48,13.66,13.42,13.64,75738
2020-04-16 13:40:00,13.65,13.7,13.58,13.63,84427
2020-04-16 13:45:00,13.64,13.735,13.58,13.59,47473
2020-04-16 13:50:00,13.595,13.6,13.485,13.5,44560
2020-04-16 13:55:00,13.495,13.515,13.29,13.31,124861
2020-04-16 14:00:00,13.31,13.35,13.215,13.27,116414
2020-04-16 14:05:00,13.27,13.36,13.27,13.27,46483
2020-04-16 14:10:00,13.26,13.31,13.21,13.23,46217
2020-04-16 14:15:00,13.24,13.3223,13.195,13.255,150532
2020-04-16 14:20:00,13.26,13.31,13.235,13.3,83434
2020-04-16 14:25:00,13.29,13.405,13.285,13.38,54245
2020-04-16 14:30:00,13.38,13.465,13.355,13.435,45700
2020-04-16 14:35:00,13.44,13.44,13.345,13.36,28970
2020-04-16 14:40:00,13.37,13.45,13.33,13.425,52559
2020-04-16 14:45:00,13.42,13.45,13.4,13.445,31595
2020-04-16 14:50:00,13.445,13.45,13.39,13.41,19881
2020-04-16 14:55:00,13.41,13.48,13.4,13.455,41852
2020-04-16 15:00:00,13.45,13.46,13.405,13.45,56318
2020-04-16 15:05:00,13.46,13.6,13.45,13.575,70792
2020-04-16 15:10:00,13.58,13.61,13.53,13.54,28530
2020-04-16 15:15:00,13.54,13.545,13.5,13.54,21834
2020-04-16 15:20:00,13.547,13.547,13.47,13.5,31741
2020-04-16 15:25:00,13.495,13.62,13.485,13.55,208558
2020-04-16 15:30:00,13.545,13.545,13.42,13.44,148296
2020-04-16 15:35:00,13.44,13.49,13.42,13.47,14523
2020-04-16 15:40:00,13.48,13.5,13.45,13.45,28014
2020-04-16 15:45:00,13.46,13.47,13.39,13.4,74175
2020-04-16 15:50:00,13.4,13.46,13.37,13.46,31397
2020-04-16 15:55:00,13.46,13.46,13.4,13.405,46212
2020-04-16 16:00:00,13.41,13.46,13.4,13.425,55597
2020-04-16 16:05:00,13.43,13.45,13.35,13.383,51950
2020-04-16 16:10:00,13.38,13.4,13.36,13.39,30399
2020-04-16 16:15:00,13.39,13.39,13.25,13.29,126270
2020-04-16 16:20:00,13.28,13.3,13.25,13.2655,116702
2020-04-16 16:25:00,13.27,13.31,13.25,13.29,14229
2020-04-16 16:30:00,13.29,13.29,13.2,13.22,20396
2020-04-16 16:35:00,13.23,13.25,13.2,13.245,33571
2020-04-16 16:40:00,13.25,13.335,13.24,13.33,40833
2020-04-16 16:45:00,13.33,13.35,13.28,13.3,39944
2020-04-16 16:50:00,13.28,13.2899,13.26,13.26,7757
2020-04-16 16:55:00,13.25,13.26,13.211,13.219,27626
2020-04-16 17:00:00,13.21,13.255,13.205,13.22,61415
2020-04-16 17:05:00,13.22,13.25,13.195,13.2,55444
2020-04-16 17:10:00,13.21,13.23,13.195,13.21,29706
2020-04-16 17:15:00,13.21,13.235,13.185,13.235,64212
2020-04-16 17:20:00,13.23,13.25,13.205,13.205,47559
2020-04-16 17:25:00,13.2,13.235,13.184,13.235,47827
2020-04-16 17:30:00,13.23,13.3,13.22,13.3,37976
2020-04-16 17:35:00,13.29,13.3,13.235,13.235,70050
2020-04-16 17:40:00,13.235,13.3,13.21,13.285,61259
2020-04-16 17:45:00,13.29,13.29,13.24,13.25,21652
2020-04-16 17:50:00,13.245,13.26,13.17,13.17,40750
2020-04-16 17:55:00,13.17,13.23,13.15,13.21,60115
2020-04-16 18:00:00,13.21,13.21,13.16,13.1914,33585
2020-04-16 18:05:00,13.2,13.255,13.185,13.255,23437
2020-04-16 18:10:00,13.25,13.28,13.23,13.275,22987
2020-04-16 18:15:00,13.28,13.31,13.28,13.305,34993
2020-04-16 18:20:00,13.3,13.305,13.2515,13.26,27778
2020-04-16 18:25:00,13.26,13.305,13.25,13.305,34190
2020-04-16 18:30:00,13.305,13.32,13.29,13.315,24025
2020-04-16 18:35:00,13.31,13.35,13.29,13.33,44965
2020-04-16 18:40:00,13.335,13.34,13.26,13.29,83185
2020-04-16 18:45:00,13.29,13.305,13.25,13.255,24369
2020-04-16 18:50:00,13.259,13.26,13.215,13.26,51071
2020-04-16 18:55:00,13.26,13.31,13.24,13.28,43392
2020-04-16 19:00:00,13.28,13.28,13.22,13.225,55218
2020-04-16 19:05:00,13.21,13.23,13.17,13.195,118619
2020-04-16 19:10:00,13.19,13.225,13.17,13.21,61923
2020-04-16 19:15:00,13.22,13.235,13.175,13.2,57583
2020-04-16 19:20:00,13.21,13.23,13.15,13.19,255891
2020-04-16 19:25:00,13.18,13.235,13.145,13.23,116187
2020-04-16 19:30:00,13.235,13.3,13.225,13.3,158494
2020-04-16 19:35:00,13.305,13.35,13.29,13.315,106342
2020-04-16 19:40:00,13.32,13.335,13.28,13.28,184989
2020-04-16 19:45:00,13.28,13.3,13.225,13.25,283400
2020-04-16 19:50:00,13.25,13.44,13.245,13.385,449312
2020-04-16 19:55:00,13.385,13.4,13.33,13.33,716691
2020-04-16 20:00:00,13.335,13.335,13.335,13.335,731395
2020-04-16 20:30:00,13.34,13.34,13.34,13.34,1000
2020-04-16 20:35:00,13.34,13.34,13.34,13.34,1000
2020-04-16 20:40:00,13.34,13.34,13.34,13.34,1000
2020-04-16 21:00:00,13.34,13.34,13.34,13.34,300
2020-04-16 21:05:00,13.34,13.45,13.34,13.45,3865
2020-04-16 21:50:00,13.89,13.89,13.89,13.89,1000
2020-04-16 22:00:00,13.8,13.8,13.75,13.75,420
2020-04-16 22:05:00,13.8,13.8,13.75,13.75,500
2020-04-16 22:20:00,13.75,13.8,13.75,13.8,1294
2020-04-16 22:30:00,14.0,14.0,14.0,14.0,120
2020-04-16 22:40:00,13.8,13.8,13.8,13.8,3500
2020-04-16 22:50:00,14.0,14.0,14.0,14.0,2500
2020-04-16 23:05:00,14.0,14.0,14.0,14.0,100
