datetime,open,high,low,close,volume
2020-04-16 12:50:00,6.48,6.48,6.48,6.48,200
2020-04-16 12:55:00,6.64,6.64,6.64,6.64,100
2020-04-16 13:00:00,6.64,6.65,6.56,6.56,7130
2020-04-16 13:20:00,6.6,6.6,6.6,6.6,1200
2020-04-16 13:25:00,6.46,6.46,6.46,6.46,500
2020-04-16 13:30:00,6.45,6.52,6.4,6.41,147240
2020-04-16 13:35:00,6.44,6.45,6.36,6.365,178553
2020-04-16 13:40:00,6.36,6.45,6.36,6.44,128589
2020-04-16 13:45:00,6.445,6.4452,6.34,6.39,164805
2020-04-16 13:50:00,6.38,6.4,6.35,6.35,94085
2020-04-16 13:55:00,6.355,6.4,6.33,6.33,127211
2020-04-16 14:00:00,6.33,6.38,6.31,6.32,105189
2020-04-16 14:05:00,6.32,6.36,6.31,6.33,107480
2020-04-16 14:10:00,6.33,6.37,6.3,6.31,78863
2020-04-16 14:15:00,6.31,6.34,6.28,6.29,158532
2020-04-16 14:20:00,6.285,6.34,6.27,6.33,45442
2020-04-16 14:25:00,6.332,6.34,6.29,6.325,49200
2020-04-16 14:30:00,6.33,6.37,6.31,6.36,37076
2020-04-16 14:35:00,6.37,6.38,6.34,6.37,26869
2020-04-16 14:40:00,6.37,6.44,6.35,6.4,58084
2020-04-16 14:45:00,6.4,6.42,6.37,6.38,78017
2020-04-16 14:50:00,6.38,6.4,6.37,6.375,20168
2020-04-16 14:55:00,6.375,6.42,6.375,6.39,36127
2020-04-16 15:00:00,6.39,6.4132,6.38,6.405,35198
2020-04-16 15:05:00,6.4085,6.435,6.39,6.43,85095
2020-04-16 15:10:00,6.42,6.43,6.39,6.41,41544
2020-04-16 15:15:00,6.42,6.44,6.4,6.44,176292
2020-04-16 15:20:00,6.44,6.44,6.35,6.35,102558
2020-04-16 15:25:00,6.36,6.38,6.35,6.35,27071
2020-04-16 15:30:00,6.35,6.36,6.31,6.31,39821
2020-04-16 15:35:00,6.32,6.34,6.31,6.34,53261
2020-04-16 15:40:00,6.3316,6.36,6.31,6.33,28830
2020-04-16 15:45:00,6.3229,6.34,6.32,6.33,15302
2020-04-16 15:50:00,6.34,6.385,6.33,6.375,33914
2020-04-16 15:55:00,6.37,6.375,6.34,6.37,34061
2020-04-16 16:00:00,6.36,6.3884,6.34,6.34,30673
2020-04-16 16:05:00,6.34,6.35,6.31,6.32,15957
2020-04-16 16:10:00,6.32,6.34,6.31,6.32,31327
2020-04-16 16:15:00,6.32,6.33,6.3,6.3058,32581
2020-04-16 16:20:00,6.31,6.31,6.3,6.305,31732
2020-04-16 16:25:00,6.305,6.33,6.29,6.325,45585
2020-04-16 16:30:00,6.325,6.335,6.31,6.32,26315
2020-04-16 16:35:00,6.32,6.33,6.3101,6.33,33039
2020-04-16 16:40:00,6.325,6.34,6.31,6.33,22372
2020-04-16 16:45:00,6.33,6.33,6.29,6.3089,22994
2020-04-16 16:50:00,6.305,6.32,6.3,6.3099,44544
2020-04-16 16:55:00,6.3,6.34,6.3,6.34,19264
2020-04-16 17:00:00,6.34,6.35,6.33,6.33,26680
2020-04-16 17:05:00,6.335,6.34,6.29,6.31,68662
2020-04-16 17:10:00,6.31,6.33,6.3,6.32,16072
2020-04-16 17:15:00,6.325,6.33,6.3,6.32,21988
2020-04-16 17:20:00,6.32,6.32,6.3002,6.31,31730
2020-04-16 17:25:00,6.31,6.33,6.305,6.33,9062
2020-04-16 17:30:00,6.33,6.35,6.33,6.345,18853
2020-04-16 17:35:00,6.35,6.35,6.33,6.33,22294
2020-04-16 17:40:00,6.33,6.35,6.32,6.345,17575
2020-04-16 17:45:00,6.345,6.35,6.32,6.33,30743
2020-04-16 17:50:00,6.325,6.34,6.3233,6.34,11250
2020-04-16 17:55:00,6.332,6.34,6.3228,6.335,26344
2020-04-16 18:00:00,6.33,6.335,6.32,6.33,18272
2020-04-16 18:05:00,6.33,6.36,6.32,6.36,31514
2020-04-16 18:10:00,6.36,6.36,6.31,6.325,29436
