datetime,open,high,low,close,volume
2020-04-16 13:20:00,6.34,6.34,6.34,6.34,200
2020-04-16 13:25:00,6.33,6.33,6.31,6.31,3200
2020-04-16 13:30:00,6.31,6.32,6.24,6.24,214027
2020-04-16 13:35:00,6.23,6.25,6.21,6.22,144501
2020-04-16 13:40:00,6.23,6.265,6.23,6.235,64768
2020-04-16 13:45:00,6.23,6.235,6.13,6.14,60452
2020-04-16 13:50:00,6.14,6.1698,6.12,6.14,120390
2020-04-16 13:55:00,6.15,6.16,6.11,6.11,90228
2020-04-16 14:00:00,6.12,6.14,6.09,6.09,124491
2020-04-16 14:05:00,6.1,6.13,6.08,6.115,104615
2020-04-16 14:10:00,6.11,6.12,6.06,6.085,78800
2020-04-16 14:15:00,6.09,6.125,6.08,6.11,65812
2020-04-16 14:20:00,6.115,6.16,6.09,6.15,170854
2020-04-16 14:25:00,6.15,6.175,6.14,6.175,78936
2020-04-16 14:30:00,6.17,6.175,6.13,6.14,29405
2020-04-16 14:35:00,6.14,6.16,6.13,6.15,60588
2020-04-16 14:40:00,6.15,6.205,6.14,6.2,39056
2020-04-16 14:45:00,6.19,6.21,6.18,6.2,33133
2020-04-16 14:50:00,6.205,6.205,6.17,6.175,32929
2020-04-16 14:55:00,6.18,6.195,6.17,6.18,38996
2020-04-16 15:00:00,6.17,6.19,6.16,6.18,53519
2020-04-16 15:05:00,6.185,6.21,6.18,6.19,57631
2020-04-16 15:10:00,6.19,6.2,6.18,6.18,32394
2020-04-16 15:15:00,6.18,6.19,6.165,6.18,86248
2020-04-16 15:20:00,6.18,6.18,6.11,6.11,310160
2020-04-16 15:25:00,6.1,6.14,6.1,6.12,74185
2020-04-16 15:30:00,6.115,6.12,6.1,6.11,97200
2020-04-16 15:35:00,6.12,6.16,6.11,6.15,57730
2020-04-16 15:40:00,6.155,6.165,6.14,6.15,28861
2020-04-16 15:45:00,6.15,6.15,6.13,6.135,68995
2020-04-16 15:50:00,6.13,6.16,6.13,6.16,78071
2020-04-16 15:55:00,6.155,6.16,6.145,6.155,40294
2020-04-16 16:00:00,6.15,6.16,6.13,6.15,110623
2020-04-16 16:05:00,6.15,6.15,6.12,6.12,40461
2020-04-16 16:10:00,6.13,6.14,6.11,6.11,42480
2020-04-16 16:15:00,6.1,6.11,6.085,6.09,85603
2020-04-16 16:20:00,6.095,6.11,6.08,6.1,46561
2020-04-16 16:25:00,6.1,6.11,6.085,6.09,41258
2020-04-16 16:30:00,6.09,6.1,6.06,6.09,24436
2020-04-16 16:35:00,6.09,6.095,6.08,6.095,22627
2020-04-16 16:40:00,6.095,6.1,6.07,6.08,51582
2020-04-16 16:45:00,6.08,6.09,6.07,6.08,90725
2020-04-16 16:50:00,6.08,6.09,6.07,6.08,32186
2020-04-16 16:55:00,6.07,6.09,6.06,6.061,21840
2020-04-16 17:00:00,6.07,6.075,6.06,6.07,23430
2020-04-16 17:05:00,6.07,6.08,6.06,6.06,15812
2020-04-16 17:10:00,6.06,6.06,6.04,6.05,37634
2020-04-16 17:15:00,6.05,6.055,6.03,6.05,38479
2020-04-16 17:20:00,6.04,6.055,6.03,6.03,61698
2020-04-16 17:25:00,6.04,6.06,6.03,6.05,32053
2020-04-16 17:30:00,6.05,6.06,6.05,6.055,18277
2020-04-16 17:35:00,6.055,6.06,6.035,6.035,32079
2020-04-16 17:40:00,6.035,6.05,6.03,6.04,98289
2020-04-16 17:45:00,6.04,6.04,6.03,6.03,23706
2020-04-16 17:50:00,6.03,6.03,5.98,6.0,190286
2020-04-16 17:55:00,6.0,6.005,5.965,5.98,99637
2020-04-16 18:00:00,5.985,5.985,5.905,5.965,212255
2020-04-16 18:05:00,5.965,6.0,5.95,5.995,41370
2020-04-16 18:10:00,5.995,6.015,5.98,5.995,42730
2020-04-16 18:15:00,5.995,6.01,5.99,6.0,17835
2020-04-16 18:20:00,6.0,6.01,5.975,5.975,33494
2020-04-16 18:25:00,5.97,6.0,5.96,5.99,115943
2020-04-16 18:30:00,5.99,6.0,5.98,5.995,19138
2020-04-16 18:35:00,5.99,6.0,5.97,5.97,59042
2020-04-16 18:40:00,5.97,5.97,5.94,5.965,86834
2020-04-16 18:45:00,5.96,5.9652,5.95,5.965,16439
2020-04-16 18:50:00,5.965,5.98,5.95,5.97,37192
2020-04-16 18:55:00,5.97,5.975,5.95,5.95,40768
2020-04-16 19:00:00,5.96,5.96,5.94,5.945,29681
2020-04-16 19:05:00,5.945,5.95,5.93,5.935,44375
2020-04-16 19:10:00,5.93,5.935,5.91,5.925,167334
2020-04-16 19:15:00,5.93,5.945,5.92,5.925,74391
2020-04-16 19:20:00,5.93,5.96,5.93,5.955,68622
2020-04-16 19:25:00,5.96,5.985,5.95,5.98,61958
2020-04-16 19:30:00,5.985,6.005,5.97,5.985,111512
2020-04-16 19:35:00,5.99,6.0,5.985,5.99,42180
2020-04-16 19:40:00,5.99,6.01,5.98,6.0,111286
2020-04-16 19:45:00,6.005,6.01,5.98,5.985,237925
2020-04-16 19:50:00,5.99,6.02,5.98,6.02,104513
2020-04-16 19:55:00,6.02,6.02,5.96,5.96,237730
2020-04-16 20:00:00,5.96,5.96,5.96,5.96,38962
2020-04-17 13:05:00,6.01,6.01,6.01,6.01,200
2020-04-17 13:10:00,6.04,6.04,5.96,5.96,6853
2020-04-17 13:15:00,6.02,6.02,6.02,6.02,2400
2020-04-17 13:20:00,6.02,6.02,6.02,6.02,300
2020-04-17 13:25:00,6.08,6.08,6.08,6.08,2000
2020-04-17 13:30:00,6.1,6.125,6.05,6.08,374517
2020-04-17 13:35:00,6.08,6.09,6.03,6.045,198204
2020-04-17 13:40:00,6.04,6.06,6.01,6.06,194859
2020-04-17 13:45:00,6.06,6.09,6.05,6.07,118496
2020-04-17 13:50:00,6.075,6.095,6.04,6.05,193305
2020-04-17 13:55:00,6.05,6.08,6.04,6.065,142804
2020-04-17 14:00:00,6.06,6.065,6.04,6.055,113263
2020-04-17 14:05:00,6.06,6.07,6.04,6.07,66431
2020-04-17 14:10:00,6.07,6.08,6.005,6.02,74777
2020-04-17 14:15:00,6.03,6.03,5.97,5.99,110832
2020-04-17 14:20:00,5.985,5.99,5.97,5.975,20960
2020-04-17 14:25:00,5.97,6.0,5.96,5.975,45941
2020-04-17 14:30:00,5.97,5.975,5.93,5.955,34138
2020-04-17 14:35:00,5.955,5.97,5.94,5.97,70101
2020-04-17 14:40:00,5.98,6.005,5.97,5.975,59065
2020-04-17 14:45:00,5.97,5.985,5.94,5.945,50123
2020-04-17 14:50:00,5.95,5.965,5.935,5.94,57515
2020-04-17 14:55:00,5.93,5.94,5.91,5.91,270417
2020-04-17 15:00:00,5.91,5.935,5.91,5.92,171301
2020-04-17 15:05:00,5.92,5.95,5.92,5.94,55704
2020-04-17 15:10:00,5.935,5.95,5.92,5.94,62318
2020-04-17 15:15:00,5.94,5.94,5.915,5.94,97697
2020-04-17 15:20:00,5.93,5.96,5.92,5.945,147219
2020-04-17 15:25:00,5.94,5.96,5.935,5.96,62584
2020-04-17 15:30:00,5.955,6.0,5.955,6.0,94925
2020-04-17 15:35:00,5.99,6.0,5.97,5.985,84602
2020-04-17 15:40:00,5.98,5.99,5.97,5.98,90089
2020-04-17 15:45:00,5.975,5.99,5.965,5.975,66724
2020-04-17 15:50:00,5.97,5.97,5.95,5.965,41085
2020-04-17 15:55:00,5.96,5.97,5.935,5.96,92900
2020-04-17 16:00:00,5.95,5.98,5.95,5.97,80921
2020-04-17 16:05:00,5.98,5.99,5.97,5.98,263324
2020-04-17 16:10:00,5.975,6.0,5.97,5.99,66508
2020-04-17 16:15:00,5.99,6.02,5.985,6.015,234858
2020-04-17 16:20:00,6.02,6.04,6.005,6.01,48891
2020-04-17 16:25:00,6.005,6.005,5.99,6.005,29515
2020-04-17 16:30:00,6.01,6.04,6.0,6.04,46392
2020-04-17 16:35:00,6.04,6.06,6.03,6.05,336799
2020-04-17 16:40:00,6.05,6.075,6.05,6.055,502239
2020-04-17 16:45:00,6.055,6.08,6.04,6.07,251839
