datetime,open,high,low,close,volume
2020-04-16 09:15:00,6.36,6.36,6.36,6.36,100
2020-04-16 10:55:00,6.37,6.37,6.37,6.37,500
2020-04-16 11:55:00,6.4,6.4,6.4,6.4,200
2020-04-16 12:00:00,6.3702,6.3702,6.3702,6.3702,122
2020-04-16 12:20:00,6.37,6.37,6.37,6.37,1000
2020-04-16 12:30:00,6.4,6.4,6.4,6.4,400
2020-04-16 13:05:00,6.41,6.536,6.41,6.536,15383
2020-04-16 13:10:00,6.52,6.52,6.47,6.47,3744
2020-04-16 13:15:00,6.47,6.47,6.47,6.47,159
2020-04-16 13:20:00,6.42,6.44,6.41,6.44,4775
2020-04-16 13:25:00,6.41,6.43,6.38,6.39,27169
2020-04-16 13:30:00,6.4,6.4,6.3,6.3,831674
2020-04-16 13:35:00,6.31,6.35,6.28,6.3,438974
2020-04-16 13:40:00,6.31,6.35,6.3,6.3001,433986
2020-04-16 13:45:00,6.31,6.31,6.21,6.21,588556
2020-04-16 13:50:00,6.21,6.23,6.18,6.2,617436
2020-04-16 13:55:00,6.2,6.2278,6.17,6.17,430882
2020-04-16 14:00:00,6.175,6.19,6.15,6.15,425561
2020-04-16 14:05:00,6.15,6.18,6.13,6.1798,538395
2020-04-16 14:10:00,6.175,6.18,6.12,6.14,328887
2020-04-16 14:15:00,6.14,6.18,6.14,6.17,291680
2020-04-16 14:20:00,6.16,6.23,6.15,6.225,290389
2020-04-16 14:25:00,6.225,6.235,6.2,6.235,191333
2020-04-16 14:30:00,6.23,6.24,6.2,6.21,110717
2020-04-16 14:35:00,6.21,6.235,6.195,6.21,167928
2020-04-16 14:40:00,6.21,6.27,6.205,6.2699,460947
2020-04-16 14:45:00,6.265,6.27,6.24,6.26,183634
2020-04-16 14:50:00,6.26,6.27,6.23,6.24,212818
2020-04-16 14:55:00,6.24,6.26,6.225,6.25,124707
2020-04-16 15:00:00,6.25,6.28,6.23,6.265,270359
2020-04-16 15:05:00,6.27,6.29,6.26,6.28,124973
2020-04-16 15:10:00,6.275,6.28,6.26,6.26,55047
2020-04-16 15:15:00,6.265,6.28,6.25,6.275,220851
2020-04-16 15:20:00,6.275,6.275,6.21,6.215,486606
2020-04-16 15:25:00,6.215,6.2381,6.2,6.21,204095
2020-04-16 15:30:00,6.21,6.22,6.2,6.2026,145367
2020-04-16 15:35:00,6.21,6.25,6.2,6.245,147913
2020-04-16 15:40:00,6.245,6.26,6.24,6.24,58745
2020-04-16 15:45:00,6.245,6.26,6.22,6.23,92219
2020-04-16 15:50:00,6.23,6.275,6.23,6.275,210431
2020-04-16 15:55:00,6.27,6.27,6.24,6.255,161208
2020-04-16 16:00:00,6.25,6.265,6.23,6.245,91564
2020-04-16 16:05:00,6.25,6.25,6.21,6.2195,115749
2020-04-16 16:10:00,6.22,6.23,6.2,6.2,50816
2020-04-16 16:15:00,6.2,6.21,6.175,6.185,154089
2020-04-16 16:20:00,6.19,6.2074,6.17,6.19,158250
2020-04-16 16:25:00,6.19,6.205,6.18,6.185,76063
2020-04-16 16:30:00,6.1899,6.195,6.15,6.19,133075
2020-04-16 16:35:00,6.19,6.2,6.175,6.195,83090
2020-04-16 16:40:00,6.195,6.21,6.17,6.185,113595
2020-04-16 16:45:00,6.19,6.19,6.17,6.185,89288
2020-04-16 16:50:00,6.19,6.195,6.17,6.175,138537
2020-04-16 16:55:00,6.175,6.2,6.165,6.174,100194
2020-04-16 17:00:00,6.175,6.185,6.17,6.18,130028
2020-04-16 17:05:00,6.1899,6.19,6.16,6.16,78585
2020-04-16 17:10:00,6.165,6.17,6.15,6.16,187111
2020-04-16 17:15:00,6.16,6.165,6.14,6.145,247801
2020-04-16 17:20:00,6.145,6.155,6.14,6.14,80751
2020-04-16 17:25:00,6.14,6.165,6.14,6.165,102567
2020-04-16 17:30:00,6.165,6.18,6.16,6.17,102605
2020-04-16 17:35:00,6.175,6.1799,6.15,6.15,121635
2020-04-16 17:40:00,6.15,6.17,6.14,6.155,238612
2020-04-16 17:45:00,6.155,6.165,6.145,6.15,202421
2020-04-16 17:50:00,6.15,6.15,6.11,6.135,355087
2020-04-16 17:55:00,6.13,6.135,6.1,6.11,214735
2020-04-16 18:00:00,6.12,6.12,6.05,6.1,593746
2020-04-16 18:05:00,6.1,6.14,6.09,6.14,163800
2020-04-16 18:10:00,6.135,6.1583,6.125,6.135,179578
2020-04-16 18:15:00,6.14,6.16,6.13,6.14,115230
2020-04-16 18:20:00,6.145,6.155,6.11,6.11,302059
2020-04-16 18:25:00,6.11,6.14,6.11,6.1323,139733
2020-04-16 18:30:00,6.13,6.15,6.12,6.135,163436
2020-04-16 18:35:00,6.13,6.145,6.11,6.11,160794
2020-04-16 18:40:00,6.12,6.12,6.095,6.11,359239
2020-04-16 18:45:00,6.12,6.12,6.1,6.105,56079
2020-04-16 18:50:00,6.11,6.13,6.095,6.12,136571
2020-04-16 18:55:00,6.1201,6.125,6.1,6.1,184034
2020-04-16 19:00:00,6.105,6.11,6.08,6.09,105254
2020-04-16 19:05:00,6.085,6.1,6.07,6.08,197883
2020-04-16 19:10:00,6.08,6.08,6.05,6.075,455800
2020-04-16 19:15:00,6.075,6.1,6.075,6.085,257624
2020-04-16 19:20:00,6.09,6.12,6.08,6.115,236529
2020-04-16 19:25:00,6.115,6.14,6.1,6.135,317015
2020-04-16 19:30:00,6.14,6.16,6.12,6.15,334905
2020-04-16 19:35:00,6.15,6.16,6.14,6.155,322557
2020-04-16 19:40:00,6.155,6.17,6.1418,6.16,288224
2020-04-16 19:45:00,6.16,6.17,6.15,6.15,390154
2020-04-16 19:50:00,6.15,6.18,6.145,6.175,545056
2020-04-16 19:55:00,6.18,6.18,6.14,6.145,811783
2020-04-16 20:00:00,6.14,6.14,6.14,6.14,425037
2020-04-16 20:05:00,6.13,6.13,6.13,6.13,3500
2020-04-16 20:15:00,6.14,6.14,6.14,6.14,22268
2020-04-16 20:20:00,6.15,6.15,6.15,6.15,100
2020-04-16 20:40:00,6.14,6.14,6.14,6.14,35074
2020-04-16 20:50:00,6.16,6.17,6.16,6.17,11478
2020-04-16 20:55:00,6.1702,6.1702,6.1702,6.1702,170
2020-04-16 21:10:00,6.22,6.22,6.22,6.22,135
2020-04-16 21:20:00,6.26,6.26,6.26,6.26,922
2020-04-16 21:40:00,6.29,6.32,6.29,6.3,7000
2020-04-16 21:45:00,6.3,6.3,6.3,6.3,5900
2020-04-16 22:10:00,6.32,6.32,6.32,6.32,9911
2020-04-16 22:25:00,6.33,6.34,6.33,6.34,15132
2020-04-16 22:30:00,6.49,6.49,6.49,6.49,150
2020-04-16 22:35:00,6.34,6.34,6.34,6.34,1500
2020-04-16 22:45:00,6.46,6.46,6.46,6.46,135
2020-04-16 22:50:00,6.45,6.45,6.45,6.45,2500
2020-04-16 22:55:00,6.45,6.59,6.45,6.59,5600
2020-04-16 23:10:00,6.56,6.56,6.56,6.56,600
2020-04-16 23:20:00,6.5,6.5,6.5,6.5,435
2020-04-16 23:35:00,6.5,6.5,6.5,6.5,100
2020-04-16 23:40:00,6.55,6.6,6.55,6.55,852
2020-04-16 23:45:00,6.59,6.59,6.59,6.59,250
2020-04-16 23:55:00,6.56,6.56,6.35,6.37,23095
2020-04-17 08:45:00,6.54,6.54,6.54,6.54,430
2020-04-17 09:45:00,6.35,6.35,6.35,6.35,250
2020-04-17 11:00:00,6.35,6.35,6.35,6.35,1200
2020-04-17 12:25:00,6.36,6.36,6.35,6.35,4958
2020-04-17 12:30:00,6.36,6.36,6.36,6.36,1500
2020-04-17 12:40:00,6.39,6.43,6.3799,6.3799,1493
2020-04-17 12:45:00,6.35,6.35,6.35,6.35,250
2020-04-17 12:50:00,6.3501,6.3501,6.35,6.35,3014
2020-04-17 13:00:00,6.31,6.3102,6.31,6.3102,500
2020-04-17 13:05:00,6.32,6.32,6.26,6.26,13200
2020-04-17 13:10:00,6.26,6.26,6.13,6.14,28281
2020-04-17 13:15:00,6.1,6.19,6.1,6.14,46825
2020-04-17 13:20:00,6.15,6.18,6.15,6.18,70625
2020-04-17 13:25:00,6.19,6.24,6.19,6.24,5316
2020-04-17 13:30:00,6.27,6.32,6.23,6.27,913802
2020-04-17 13:35:00,6.27,6.285,6.21,6.23,682204
2020-04-17 13:40:00,6.23,6.26,6.19,6.25,592277
2020-04-17 13:45:00,6.255,6.29,6.25,6.275,312353
2020-04-17 13:50:00,6.27,6.3,6.25,6.25,626672
2020-04-17 13:55:00,6.25,6.29,6.24,6.27,337528
2020-04-17 14:00:00,6.275,6.28,6.24,6.26,465005
2020-04-17 14:05:00,6.265,6.28,6.25,6.27,297970
2020-04-17 14:10:00,6.28,6.285,6.2,6.21,319570
2020-04-17 14:15:00,6.22,6.23,6.16,6.18,444833
2020-04-17 14:20:00,6.17,6.185,6.16,6.17,124380
2020-04-17 14:25:00,6.175,6.21,6.16,6.175,217737
2020-04-17 14:30:00,6.175,6.18,6.12,6.14,338312
2020-04-17 14:35:00,6.14,6.165,6.12,6.165,286690
2020-04-17 14:40:00,6.165,6.19,6.15,6.165,250186
