datetime,open,high,low,close,volume
2020-04-16 11:20:00,11.5,11.5,11.5,11.5,4962
2020-04-16 11:30:00,11.5,11.5,11.5,11.5,437
2020-04-16 12:00:00,11.4,11.4,11.4,11.4,490
2020-04-16 12:50:00,11.4,11.4,11.4,11.4,900
2020-04-16 12:55:00,11.72,11.72,11.72,11.72,2000
2020-04-16 13:00:00,11.55,11.55,11.55,11.55,500
2020-04-16 13:05:00,11.5499,11.55,11.5499,11.55,612
2020-04-16 13:10:00,11.4999,11.53,11.4999,11.5,980
2020-04-16 13:15:00,11.5,11.5,11.49,11.49,2203
2020-04-16 13:20:00,11.45,11.45,11.2682,11.2682,1743
2020-04-16 13:25:00,11.4,11.64,11.4,11.64,1249
2020-04-16 13:30:00,11.5,11.5399,11.19,11.23,192326
2020-04-16 13:35:00,11.2101,11.26,11.009,11.15,167221
2020-04-16 13:40:00,11.169,11.41,11.1401,11.2327,135306
2020-04-16 13:45:00,11.23,11.3499,11.19,11.31,71386
2020-04-16 13:50:00,11.295,11.335,11.2601,11.305,37394
2020-04-16 13:55:00,11.315,11.3483,11.23,11.24,29228
2020-04-16 14:00:00,11.24,11.34,11.24,11.31,22016
2020-04-16 14:05:00,11.32,11.36,11.2401,11.249,70850
2020-04-16 14:10:00,11.22,11.3001,11.21,11.2766,50318
2020-04-16 14:15:00,11.28,11.32,11.26,11.29,31972
2020-04-16 14:20:00,11.29,11.34,11.28,11.34,18910
2020-04-16 14:25:00,11.3401,11.43,11.34,11.43,44993
2020-04-16 14:30:00,11.43,11.48,11.39,11.48,90066
2020-04-16 14:35:00,11.49,11.505,11.42,11.45,71505
2020-04-16 14:40:00,11.4598,11.55,11.4567,11.549,69859
2020-04-16 14:45:00,11.55,11.5601,11.46,11.46,66387
2020-04-16 14:50:00,11.46,11.48,11.42,11.44,31416
2020-04-16 14:55:00,11.44,11.48,11.43,11.465,35201
2020-04-16 15:00:00,11.47,11.49,11.47,11.48,31068
2020-04-16 15:05:00,11.48,11.51,11.47,11.4703,60587
2020-04-16 15:10:00,11.47,11.47,11.362,11.362,23351
2020-04-16 15:15:00,11.3614,11.42,11.36,11.42,34316
2020-04-16 15:20:00,11.42,11.43,11.39,11.43,17052
2020-04-16 15:25:00,11.425,11.445,11.38,11.39,29733
2020-04-16 15:30:00,11.3805,11.39,11.32,11.33,66962
2020-04-16 15:35:00,11.32,11.335,11.26,11.285,62438
2020-04-16 15:40:00,11.2899,11.3277,11.28,11.2834,32344
2020-04-16 15:45:00,11.2861,11.31,11.2609,11.2912,22736
2020-04-16 15:50:00,11.29,11.365,11.29,11.36,35533
2020-04-16 15:55:00,11.3538,11.3538,11.29,11.2935,53748
2020-04-16 16:00:00,11.3,11.32,11.2846,11.295,48633
2020-04-16 16:05:00,11.2988,11.2988,11.215,11.24,36583
2020-04-16 16:10:00,11.24,11.295,11.24,11.27,51909
2020-04-16 16:15:00,11.2625,11.29,11.23,11.23,38400
2020-04-16 16:20:00,11.23,11.232,11.16,11.165,75041
2020-04-16 16:25:00,11.1609,11.17,11.12,11.17,67657
2020-04-16 16:30:00,11.16,11.16,11.119,11.14,35932
2020-04-16 16:35:00,11.1396,11.18,11.11,11.18,22527
2020-04-16 16:40:00,11.175,11.185,11.1453,11.15,36617
2020-04-16 16:45:00,11.145,11.15,11.135,11.15,23459
2020-04-16 16:50:00,11.15,11.15,11.105,11.12,52081
2020-04-16 16:55:00,11.11,11.1642,11.1,11.1301,39508
2020-04-16 17:00:00,11.14,11.15,11.1212,11.124,15150
2020-04-16 17:05:00,11.12,11.13,11.0808,11.0942,54739
2020-04-16 17:10:00,11.1,11.101,11.05,11.1,65061
2020-04-16 17:15:00,11.1,11.13,11.09,11.1245,77088
2020-04-16 17:20:00,11.12,11.1388,11.0901,11.13,16850
2020-04-16 17:25:00,11.13,11.16,11.11,11.15,37827
2020-04-16 17:30:00,11.1437,11.22,11.1435,11.2161,23239
2020-04-16 17:35:00,11.22,11.22,11.15,11.1527,16984
2020-04-16 17:40:00,11.1501,11.23,11.15,11.225,32537
2020-04-16 17:45:00,11.22,11.22,11.16,11.185,15974
2020-04-16 17:50:00,11.1861,11.2,11.16,11.1601,60569
2020-04-16 17:55:00,11.161,11.17,11.15,11.165,26481
2020-04-16 18:00:00,11.15,11.15,11.1233,11.135,12865
2020-04-16 18:05:00,11.1386,11.17,11.12,11.165,24004
2020-04-16 18:10:00,11.165,11.19,11.156,11.19,22134
2020-04-16 18:15:00,11.2,11.21,11.18,11.19,14949
2020-04-16 18:20:00,11.19,11.1999,11.17,11.185,9269
2020-04-16 18:25:00,11.19,11.19,11.15,11.1837,17158
2020-04-16 18:30:00,11.18,11.185,11.14,11.1489,28282
2020-04-16 18:35:00,11.15,11.21,11.15,11.2,17140
2020-04-16 18:40:00,11.2,11.219,11.16,11.16,16960
