datetime,open,high,low,close,volume
2020-04-16 11:00:00,6.9,6.9,6.9,6.9,600
2020-04-16 11:05:00,6.9,6.9,6.8,6.8,1170
2020-04-16 12:25:00,6.75,6.75,6.7001,6.7001,691
2020-04-16 12:30:00,6.7,6.77,6.7,6.77,4019
2020-04-16 12:40:00,6.81,6.81,6.81,6.81,700
2020-04-16 12:50:00,6.75,6.75,6.75,6.75,300
2020-04-16 12:55:00,6.8,6.8,6.75,6.75,878
2020-04-16 13:00:00,6.75,6.79,6.75,6.79,300
2020-04-16 13:05:00,6.77,6.77,6.77,6.77,300
2020-04-16 13:25:00,6.75,6.75,6.75,6.75,2653
2020-04-16 13:30:00,6.73,6.76,6.43,6.43,215276
2020-04-16 13:35:00,6.425,6.45,6.34,6.4399,127288
2020-04-16 13:40:00,6.42,6.52,6.41,6.495,76298
2020-04-16 13:45:00,6.49,6.5,6.43,6.4565,46206
2020-04-16 13:50:00,6.454,6.5,6.43,6.45,118587
2020-04-16 13:55:00,6.45,6.47,6.41,6.42,133700
2020-04-16 14:00:00,6.415,6.425,6.3,6.3,119761
2020-04-16 14:05:00,6.305,6.36,6.3,6.355,72399
2020-04-16 14:10:00,6.35,6.38,6.3,6.31,143472
2020-04-16 14:15:00,6.315,6.32,6.23,6.295,163342
2020-04-16 14:20:00,6.29,6.33,6.27,6.315,133239
2020-04-16 14:25:00,6.31,6.4099,6.3,6.395,211330
2020-04-16 14:30:00,6.3918,6.4,6.36,6.385,85418
2020-04-16 14:35:00,6.39,6.43,6.38,6.43,73585
2020-04-16 14:40:00,6.425,6.44,6.4,6.4369,61990
2020-04-16 14:45:00,6.4305,6.465,6.41,6.455,71484
2020-04-16 14:50:00,6.45,6.475,6.445,6.4577,95047
2020-04-16 14:55:00,6.455,6.51,6.45,6.4882,85434
2020-04-16 15:00:00,6.48,6.48,6.44,6.44,194650
2020-04-16 15:05:00,6.445,6.445,6.42,6.435,133633
2020-04-16 15:10:00,6.4301,6.4301,6.39,6.41,114827
2020-04-16 15:15:00,6.42,6.43,6.41,6.429,74092
2020-04-16 15:20:00,6.43,6.43,6.375,6.395,106376
2020-04-16 15:25:00,6.395,6.42,6.3737,6.385,54732
2020-04-16 15:30:00,6.3801,6.39,6.32,6.34,169460
2020-04-16 15:35:00,6.34,6.35,6.31,6.345,168941
2020-04-16 15:40:00,6.35,6.41,6.3498,6.37,65697
2020-04-16 15:45:00,6.37,6.3901,6.36,6.39,28362
2020-04-16 15:50:00,6.385,6.44,6.385,6.44,65356
2020-04-16 15:55:00,6.44,6.4499,6.405,6.433,33115
2020-04-16 16:00:00,6.44,6.4655,6.43,6.455,30359
2020-04-16 16:05:00,6.45,6.46,6.42,6.42,19102
2020-04-16 16:10:00,6.42,6.43,6.4,6.41,20716
2020-04-16 16:15:00,6.4,6.43,6.39,6.3957,42283
2020-04-16 16:20:00,6.39,6.4,6.38,6.39,28675
2020-04-16 16:25:00,6.38,6.4,6.38,6.395,27301
2020-04-16 16:30:00,6.395,6.399,6.355,6.375,39894
2020-04-16 16:35:00,6.3799,6.39,6.35,6.375,40091
2020-04-16 16:40:00,6.38,6.405,6.375,6.375,26534
2020-04-16 16:45:00,6.375,6.38,6.37,6.38,10628
2020-04-16 16:50:00,6.38,6.38,6.37,6.375,7832
