datetime,open,high,low,close,volume
2020-04-16 11:00:00,37.66,37.68,36.74,37.68,3603
2020-04-16 11:05:00,37.68,37.68,37.37,37.37,2105
2020-04-16 11:10:00,37.37,37.4,37.37,37.4,1750
2020-04-16 11:15:00,37.21,37.21,37.1,37.1,1250
2020-04-16 11:50:00,37.0,37.0,37.0,37.0,100
2020-04-16 12:45:00,37.4,37.4,37.4,37.4,100
2020-04-16 13:05:00,37.39,37.39,37.39,37.39,100
2020-04-16 13:30:00,37.02,37.4,37.02,37.19,51983
2020-04-16 13:35:00,37.1,37.11,36.52,36.64,25292
2020-04-16 13:40:00,36.77,37.39,36.72,37.17,46317
2020-04-16 13:45:00,37.06,37.4,36.97,36.99,17144
2020-04-16 13:50:00,37.24,37.32,36.96,37.14,25010
2020-04-16 13:55:00,37.11,37.18,36.61,36.74,69348
2020-04-16 14:00:00,36.735,36.77,36.15,36.15,55958
2020-04-16 14:05:00,36.1516,36.77,36.15,36.27,109384
2020-04-16 14:10:00,36.27,36.28,35.86,36.05,87278
2020-04-16 14:15:00,36.09,36.09,35.65,35.81,119486
2020-04-16 14:20:00,35.895,36.18,35.81,36.0206,30127
2020-04-16 14:25:00,36.02,36.205,35.92,36.115,51418
2020-04-16 14:30:00,36.115,36.18,36.03,36.07,25573
2020-04-16 14:35:00,36.07,36.21,36.0,36.02,50434
2020-04-16 14:40:00,36.06,36.18,35.95,36.075,74154
2020-04-16 14:45:00,36.04,36.1,35.83,36.0,27603
2020-04-16 14:50:00,35.93,35.975,35.79,35.89,30063
2020-04-16 14:55:00,35.92,36.06,35.76,35.815,41768
2020-04-16 15:00:00,35.77,35.84,35.4,35.46,43112
2020-04-16 15:05:00,35.5126,35.75,35.39,35.6799,41108
2020-04-16 15:10:00,35.56,35.73,35.48,35.67,20700
2020-04-16 15:15:00,35.7,36.0,35.7,36.0,30639
2020-04-16 15:20:00,36.02,36.13,35.86,35.93,39521
2020-04-16 15:25:00,35.89,36.08,35.8,36.05,22299
2020-04-16 15:30:00,35.97,36.01,35.75,35.75,26621
2020-04-16 15:35:00,35.75,36.0,35.66,35.83,99740
2020-04-16 15:40:00,35.83,36.11,35.82,36.03,14026
2020-04-16 15:45:00,36.05,36.19,36.025,36.065,24290
2020-04-16 15:50:00,36.1,36.17,36.01,36.105,32740
2020-04-16 15:55:00,36.105,36.12,35.93,35.965,33164
2020-04-16 16:00:00,35.965,36.04,35.82,35.85,33209
2020-04-16 16:05:00,35.85,35.87,35.55,35.62,61579
2020-04-16 16:10:00,35.605,35.62,35.5,35.525,41582
2020-04-16 16:15:00,35.525,35.57,35.36,35.38,70672
2020-04-16 16:20:00,35.37,35.44,35.21,35.295,100850
2020-04-16 16:25:00,35.295,35.33,34.96,35.01,50645
2020-04-16 16:30:00,35.005,35.005,34.55,34.62,46524
2020-04-16 16:35:00,34.63,34.67,34.51,34.625,56630
2020-04-16 16:40:00,34.6,34.97,34.55,34.95,32296
2020-04-16 16:45:00,34.93,35.093,34.83,35.02,24483
2020-04-16 16:50:00,34.92,35.21,34.91,35.2,12645
2020-04-16 16:55:00,35.14,35.29,34.84,35.14,22016
2020-04-16 17:00:00,35.14,35.16,34.885,34.885,46308
2020-04-16 17:05:00,34.88,35.03,34.88,35.01,41527
2020-04-16 17:10:00,34.98,35.03,34.91,34.99,21083
2020-04-16 17:15:00,35.0,35.08,34.98,35.04,17790
2020-04-16 17:20:00,35.025,35.04,34.91,34.93,17593
2020-04-16 17:25:00,34.89,35.06,34.82,35.015,17426
2020-04-16 17:30:00,35.06,35.06,34.96,35.0,18732
2020-04-16 17:35:00,34.98,35.03,34.93,34.99,21714
2020-04-16 17:40:00,35.0,35.06,34.91,35.025,38937
2020-04-16 17:45:00,35.0,35.0,34.66,34.78,48962
2020-04-16 17:50:00,34.725,34.915,34.7,34.83,10662
2020-04-16 17:55:00,34.88,34.94,34.8,34.88,12029
2020-04-16 18:00:00,34.88,35.045,34.7273,35.01,56761
2020-04-16 18:05:00,35.01,35.04,34.88,35.01,33003
2020-04-16 18:10:00,35.01,35.05,34.96,35.01,29084
2020-04-16 18:15:00,35.0,35.02,34.91,34.92,63844
2020-04-16 18:20:00,34.925,35.14,34.875,35.03,65045
2020-04-16 18:25:00,35.0,35.21,34.96,35.21,55392
2020-04-16 18:30:00,35.16,35.65,35.16,35.58,20192
2020-04-16 18:35:00,35.56,35.97,35.56,35.78,19151
2020-04-16 18:40:00,35.74,35.89,35.52,35.83,49434
2020-04-16 18:45:00,35.79,35.87,35.64,35.685,15330
2020-04-16 18:50:00,35.685,35.86,35.6,35.8,13343
2020-04-16 18:55:00,35.84,35.925,35.7944,35.85,12386
2020-04-16 19:00:00,35.85,35.86,35.52,35.67,24474
2020-04-16 19:05:00,35.66,35.72,35.5,35.57,18429
2020-04-16 19:10:00,35.51,35.73,35.51,35.69,12900
2020-04-16 19:15:00,35.66,35.74,35.61,35.63,14727
2020-04-16 19:20:00,35.645,35.79,35.6,35.76,21357
2020-04-16 19:25:00,35.75,35.9,35.6898,35.8492,24057
2020-04-16 19:30:00,35.87,35.97,35.7901,35.95,32031
2020-04-16 19:35:00,35.95,35.99,35.83,35.89,21851
2020-04-16 19:40:00,35.91,35.94,35.85,35.87,25006
2020-04-16 19:45:00,35.88,36.0,35.85,35.91,38201
2020-04-16 19:50:00,35.93,36.04,35.61,35.655,143674
2020-04-16 19:55:00,35.6301,35.68,35.14,35.21,389164
2020-04-16 20:00:00,35.38,35.38,35.38,35.38,65147
2020-04-16 20:10:00,35.38,35.38,35.38,35.38,258
2020-04-16 20:35:00,35.38,35.38,35.38,35.38,200
2020-04-16 20:40:00,35.38,35.38,35.38,35.38,8905
2020-04-16 21:20:00,36.7,36.7,36.7,36.7,100
2020-04-16 21:30:00,36.5,36.5,36.42,36.42,200
2020-04-16 21:35:00,36.5,36.5,36.5,36.5,100
2020-04-16 21:45:00,36.5,36.5,36.5,36.5,190
2020-04-16 22:45:00,37.5,37.5,37.5,37.5,100
2020-04-16 22:50:00,37.5,37.5,37.0,37.0,300
2020-04-16 23:10:00,37.25,37.25,37.25,37.25,100
2020-04-16 23:30:00,37.0,37.0,37.0,37.0,100
2020-04-17 11:20:00,36.75,36.75,36.75,36.75,1300
2020-04-17 12:20:00,37.79,37.79,37.79,37.79,346
2020-04-17 12:40:00,36.85,36.85,36.75,36.75,1000
2020-04-17 12:55:00,37.5,37.5,37.5,37.5,150
2020-04-17 13:05:00,36.74,36.74,36.74,36.74,200
2020-04-17 13:15:00,36.46,36.46,36.46,36.46,300
2020-04-17 13:25:00,36.2,36.2,36.2,36.2,101
2020-04-17 13:30:00,36.38,36.38,35.53,35.94,88559
2020-04-17 13:35:00,35.89,36.45,35.84,36.19,5610
2020-04-17 13:40:00,36.2,36.85,36.08,36.61,15130
2020-04-17 13:45:00,36.706,36.98,36.56,36.73,45659
2020-04-17 13:50:00,36.67,36.85,36.5,36.59,27662
2020-04-17 13:55:00,36.53,37.23,36.5,36.7,41750
2020-04-17 14:00:00,36.8013,37.22,36.8,37.11,19995
2020-04-17 14:05:00,37.05,37.48,36.96,37.48,21049
2020-04-17 14:10:00,37.49,37.615,37.02,37.33,72429
2020-04-17 14:15:00,37.24,37.24,36.34,36.49,109639
2020-04-17 14:20:00,36.51,36.61,36.36,36.53,16705
2020-04-17 14:25:00,36.57,36.805,36.55,36.65,17201
2020-04-17 14:30:00,36.65,36.78,36.44,36.62,8652
2020-04-17 14:35:00,36.54,36.605,36.4,36.48,5960
2020-04-17 14:40:00,36.585,36.62,36.45,36.45,7511
2020-04-17 14:45:00,36.51,36.51,36.325,36.37,7600
2020-04-17 14:50:00,36.3,36.7,36.29,36.63,18585
2020-04-17 14:55:00,36.65,36.69,36.51,36.555,7382
2020-04-17 15:00:00,36.54,36.67,36.5,36.62,19283
2020-04-17 15:05:00,36.61,36.67,36.56,36.6,3895
2020-04-17 15:10:00,36.59,36.63,36.495,36.61,6695
2020-04-17 15:15:00,36.63,36.63,36.42,36.56,4000
2020-04-17 15:20:00,36.61,36.61,36.37,36.39,56909
2020-04-17 15:25:00,36.39,36.49,36.27,36.34,46425
2020-04-17 15:30:00,36.36,36.41,36.18,36.3,12856
2020-04-17 15:35:00,36.36,36.4,36.3,36.36,6701
2020-04-17 15:40:00,36.38,36.46,36.285,36.285,7955
2020-04-17 15:45:00,36.31,36.31,36.1601,36.1661,5340
2020-04-17 15:50:00,36.16,36.285,36.14,36.15,9347
2020-04-17 15:55:00,36.19,36.23,36.01,36.15,14355
2020-04-17 16:00:00,36.11,36.22,35.88,36.22,10176
2020-04-17 16:05:00,36.15,36.41,36.15,36.41,5915
2020-04-17 16:10:00,36.37,36.635,36.33,36.54,6200
2020-04-17 16:15:00,36.54,36.61,36.46,36.54,16938
2020-04-17 16:20:00,36.55,36.67,36.49,36.5,70869
2020-04-17 16:25:00,36.5,36.59,36.44,36.58,12300
2020-04-17 16:30:00,36.58,36.66,36.45,36.66,6053
2020-04-17 16:35:00,36.645,36.645,36.56,36.59,12294
2020-04-17 16:40:00,36.6,36.62,36.53,36.585,6600
2020-04-17 16:45:00,36.56,36.58,36.4,36.51,18317
2020-04-17 16:50:00,36.52,36.65,36.52,36.62,25531
2020-04-17 16:55:00,36.65,36.92,36.65,36.92,4797
2020-04-17 17:00:00,36.94,37.02,36.81,37.01,16199
2020-04-17 17:05:00,37.01,37.04,36.91,37.025,30321
2020-04-17 17:10:00,37.03,37.11,36.96,37.0,12590
2020-04-17 17:15:00,37.0225,37.09,36.96,37.03,11311
2020-04-17 17:20:00,37.0,37.0,36.83,36.83,5975
2020-04-17 17:25:00,36.83,36.945,36.82,36.84,8518
2020-04-17 17:30:00,36.84,36.915,36.83,36.86,4647
2020-04-17 17:35:00,36.82,37.05,36.79,37.0175,33454
2020-04-17 17:40:00,37.015,37.1,37.0,37.075,115809
2020-04-17 17:45:00,37.09,37.4,37.09,37.33,29465
2020-04-17 17:50:00,37.33,37.4,37.24,37.29,68984
2020-04-17 17:55:00,37.27,37.38,37.25,37.37,30150
2020-04-17 18:00:00,37.37,37.38,37.0,37.0,84135
2020-04-17 18:05:00,37.0,37.0,36.82,36.89,11379
2020-04-17 18:10:00,36.88,37.09,36.86,37.0,20349
2020-04-17 18:15:00,36.98,36.99,36.76,36.92,55922
2020-04-17 18:20:00,36.925,37.07,36.81,37.0,134759
2020-04-17 18:25:00,36.995,37.04,36.94,37.02,24251
2020-04-17 18:30:00,36.97,37.03,36.72,36.73,69706
2020-04-17 18:35:00,36.73,36.74,36.48,36.6,11290
2020-04-17 18:40:00,36.58,36.67,36.45,36.5,11369
2020-04-17 18:45:00,36.49,36.59,36.45,36.55,13608
2020-04-17 18:50:00,36.51,36.63,36.46,36.46,23693
2020-04-17 18:55:00,36.5,36.53,36.41,36.41,11102
2020-04-17 19:00:00,36.4,36.65,36.4,36.645,39425
2020-04-17 19:05:00,36.65,36.76,36.63,36.75,20339
2020-04-17 19:10:00,36.72,36.8,36.63,36.66,14105
2020-04-17 19:15:00,36.62,36.7,36.57,36.68,16935
2020-04-17 19:20:00,36.66,36.67,36.54,36.59,35669
2020-04-17 19:25:00,36.62,36.77,36.62,36.74,19754
2020-04-17 19:30:00,36.74,36.99,36.72,36.85,35928
2020-04-17 19:35:00,36.85,36.88,36.71,36.72,75494
2020-04-17 19:40:00,36.72,36.75,36.63,36.68,37522
2020-04-17 19:45:00,36.67,36.71,36.58,36.64,39885
2020-04-17 19:50:00,36.68,36.78,36.57,36.66,58400
2020-04-17 19:55:00,36.66,36.87,36.48,36.77,162313
2020-04-17 20:00:00,36.75,36.75,36.75,36.75,46304
2020-04-17 20:30:00,36.65,36.65,36.65,36.65,250
2020-04-17 21:00:00,36.99,36.99,36.98,36.98,245
2020-04-17 21:20:00,36.75,36.75,36.75,36.75,8901
2020-04-17 23:20:00,36.8,36.8,36.8,36.8,400
2020-04-20 12:10:00,36.1,36.1,36.1,36.1,300
2020-04-20 12:40:00,36.05,36.05,36.05,36.05,200
2020-04-20 12:45:00,36.2,36.2,36.2,36.2,100
2020-04-20 13:25:00,35.65,35.65,35.65,35.65,200
2020-04-20 13:30:00,35.97,36.01,35.53,35.905,77484
2020-04-20 13:35:00,35.91,36.745,35.76,36.45,46502
2020-04-20 13:40:00,36.43,36.65,36.04,36.44,64092
2020-04-20 13:45:00,36.35,37.15,36.15,37.06,58319
2020-04-20 13:50:00,37.08,37.12,36.7,37.05,69769
2020-04-20 13:55:00,36.87,37.11,36.85,36.93,35437
2020-04-20 14:00:00,36.95,37.24,36.8,37.21,58355
2020-04-20 14:05:00,37.21,37.36,36.66,37.01,101497
2020-04-20 14:10:00,36.98,37.23,36.96,37.11,41382
2020-04-20 14:15:00,37.11,37.24,36.96,37.16,22598
2020-04-20 14:20:00,37.22,37.5,37.02,37.34,50520
2020-04-20 14:25:00,37.365,37.75,37.33,37.62,48122
2020-04-20 14:30:00,37.585,37.89,37.58,37.835,46179
2020-04-20 14:35:00,37.8,37.86,37.64,37.66,17399
2020-04-20 14:40:00,37.65,37.725,37.44,37.725,8873
2020-04-20 14:45:00,37.665,38.0,37.51,37.965,97323
2020-04-20 14:50:00,37.98,38.0,37.68,37.95,104463
2020-04-20 14:55:00,37.93,38.0,37.85,37.99,72842
2020-04-20 15:00:00,37.99,38.01,37.875,37.95,52886
2020-04-20 15:05:00,37.95,37.99,37.7,37.7,15153
2020-04-20 15:10:00,37.7,37.85,37.45,37.45,35857
2020-04-20 15:15:00,37.46,37.78,37.445,37.78,15599
2020-04-20 15:20:00,37.705,37.985,37.655,37.8,14667
2020-04-20 15:25:00,37.71,37.875,37.6,37.75,15314
2020-04-20 15:30:00,37.64,37.875,37.635,37.74,7222
2020-04-20 15:35:00,37.74,37.96,37.74,37.905,12896
2020-04-20 15:40:00,37.94,37.99,37.8,37.96,44043
2020-04-20 15:45:00,37.9,38.0,37.71,37.72,102097
2020-04-20 15:50:00,37.71,37.97,37.71,37.96,67223
2020-04-20 15:55:00,37.96,38.0,37.87,38.0,33774
2020-04-20 16:00:00,38.0,38.15,37.83,37.99,107780
2020-04-20 16:05:00,37.95,38.015,37.92,38.0,26475
2020-04-20 16:10:00,37.995,38.04,37.83,37.8984,28116
2020-04-20 16:15:00,37.8975,38.06,37.88,37.985,92010
2020-04-20 16:20:00,37.99,38.04,37.93,37.99,51592
2020-04-20 16:25:00,38.005,38.11,37.8,37.8,22576
2020-04-20 16:30:00,37.81,37.9,37.77,37.77,4333
2020-04-20 16:35:00,37.77,38.01,37.77,38.01,19484
2020-04-20 16:40:00,38.0,38.0399,37.8025,37.93,23214
2020-04-20 16:45:00,37.94,37.995,37.91,37.92,61847
2020-04-20 16:50:00,37.92,38.0,37.88,37.955,102693
2020-04-20 16:55:00,37.9388,37.97,37.74,37.79,11759
2020-04-20 17:00:00,37.78,37.79,37.6,37.65,21730
2020-04-20 17:05:00,37.645,37.79,37.4,37.605,126097
2020-04-20 17:10:00,37.605,37.78,37.605,37.69,10600
2020-04-20 17:15:00,37.66,37.83,37.62,37.74,5635
2020-04-20 17:20:00,37.67,37.84,37.67,37.68,9720
2020-04-20 17:25:00,37.68,37.73,37.59,37.66,12858
2020-04-20 17:30:00,37.69,37.759,37.58,37.685,20066
2020-04-20 17:35:00,37.66,37.87,37.635,37.855,51138
2020-04-20 17:40:00,37.9099,37.92,37.77,37.81,10950
2020-04-20 17:45:00,37.81,37.81,37.59,37.65,27380
2020-04-20 17:50:00,37.66,37.74,37.66,37.7,8539
2020-04-20 17:55:00,37.71,37.75,37.66,37.7,9315
2020-04-20 18:00:00,37.7,37.72,37.655,37.71,3722
