datetime,open,high,low,close,volume
2020-04-16 11:05:00,4.18,4.18,4.18,4.18,120
2020-04-16 11:55:00,4.21,4.21,4.21,4.21,3000
2020-04-16 12:00:00,4.21,4.2102,4.21,4.21,6000
2020-04-16 12:05:00,4.21,4.24,4.21,4.22,1805
2020-04-16 12:10:00,4.24,4.24,4.24,4.24,705
2020-04-16 12:30:00,4.21,4.21,4.21,4.21,1985
2020-04-16 12:45:00,4.21,4.21,4.21,4.21,150
2020-04-16 12:55:00,4.22,4.22,4.21,4.21,2206
2020-04-16 13:00:00,4.22,4.22,4.21,4.21,797
2020-04-16 13:05:00,4.22,4.25,4.21,4.22,2550
2020-04-16 13:10:00,4.2202,4.25,4.2202,4.25,265
2020-04-16 13:15:00,4.2387,4.24,4.23,4.23,4466
2020-04-16 13:20:00,4.24,4.24,4.23,4.23,1686
2020-04-16 13:25:00,4.23,4.24,4.22,4.24,2170
2020-04-16 13:30:00,4.25,4.25,4.1626,4.2,315593
2020-04-16 13:35:00,4.2,4.24,4.18,4.225,120126
2020-04-16 13:40:00,4.23,4.27,4.23,4.2569,134775
2020-04-16 13:45:00,4.2501,4.27,4.23,4.25,105541
2020-04-16 13:50:00,4.245,4.25,4.21,4.24,212207
2020-04-16 13:55:00,4.24,4.27,4.24,4.2601,224648
2020-04-16 14:00:00,4.26,4.28,4.24,4.2505,147972
2020-04-16 14:05:00,4.25,4.2766,4.245,4.26,111796
2020-04-16 14:10:00,4.26,4.28,4.24,4.25,92140
2020-04-16 14:15:00,4.25,4.27,4.24,4.2602,50950
2020-04-16 14:20:00,4.26,4.28,4.26,4.27,52355
2020-04-16 14:25:00,4.2799,4.33,4.27,4.315,268636
2020-04-16 14:30:00,4.32,4.3299,4.29,4.3299,351791
2020-04-16 14:35:00,4.32,4.33,4.29,4.29,243009
2020-04-16 14:40:00,4.29,4.35,4.27,4.35,332813
2020-04-16 14:45:00,4.345,4.37,4.32,4.34,258286
2020-04-16 14:50:00,4.34,4.35,4.325,4.34,106257
2020-04-16 14:55:00,4.3401,4.385,4.3401,4.37,162459
2020-04-16 15:00:00,4.3765,4.41,4.36,4.4,219458
2020-04-16 15:05:00,4.41,4.43,4.39,4.405,173596
2020-04-16 15:10:00,4.405,4.42,4.39,4.39,230997
2020-04-16 15:15:00,4.395,4.42,4.39,4.415,129254
2020-04-16 15:20:00,4.42,4.43,4.4,4.41,153344
2020-04-16 15:25:00,4.42,4.45,4.405,4.4499,262388
2020-04-16 15:30:00,4.445,4.47,4.44,4.45,217162
2020-04-16 15:35:00,4.46,4.51,4.45,4.5099,217965
2020-04-16 15:40:00,4.5093,4.54,4.49,4.525,428669
2020-04-16 15:45:00,4.525,4.53,4.47,4.49,258514
2020-04-16 15:50:00,4.49,4.53,4.46,4.525,224779
2020-04-16 15:55:00,4.525,4.55,4.52,4.5373,268525
2020-04-16 16:00:00,4.535,4.57,4.53,4.54,378154
2020-04-16 16:05:00,4.545,4.55,4.5,4.515,260188
2020-04-16 16:10:00,4.515,4.56,4.5001,4.555,220506
2020-04-16 16:15:00,4.55,4.56,4.4601,4.47,308840
2020-04-16 16:20:00,4.4701,4.4701,4.43,4.465,232150
2020-04-16 16:25:00,4.47,4.5,4.4612,4.4707,159786
2020-04-16 16:30:00,4.4712,4.48,4.46,4.465,150018
2020-04-16 16:35:00,4.465,4.47,4.4,4.415,180915
2020-04-16 16:40:00,4.42,4.44,4.41,4.425,177463
2020-04-16 16:45:00,4.42,4.43,4.41,4.418,70322
2020-04-16 16:50:00,4.4134,4.4598,4.4134,4.45,98947
2020-04-16 16:55:00,4.4466,4.46,4.435,4.4501,53608
2020-04-16 17:00:00,4.4564,4.47,4.44,4.44,63714
2020-04-16 17:05:00,4.45,4.45,4.43,4.445,55996
2020-04-16 17:10:00,4.44,4.47,4.4301,4.45,86723
2020-04-16 17:15:00,4.4435,4.455,4.42,4.43,38720
2020-04-16 17:20:00,4.43,4.4399,4.41,4.42,53664
2020-04-16 17:25:00,4.4249,4.45,4.4249,4.45,37645
2020-04-16 17:30:00,4.4466,4.4556,4.44,4.45,43722
2020-04-16 17:35:00,4.4517,4.46,4.44,4.4435,32587
2020-04-16 17:40:00,4.44,4.46,4.43,4.45,50093
2020-04-16 17:45:00,4.45,4.47,4.45,4.4699,62867
2020-04-16 17:50:00,4.465,4.47,4.46,4.46,129898
2020-04-16 17:55:00,4.46,4.47,4.43,4.43,109254
2020-04-16 18:00:00,4.437,4.4558,4.42,4.455,67202
2020-04-16 18:05:00,4.455,4.467,4.43,4.46,65754
2020-04-16 18:10:00,4.46,4.47,4.43,4.445,44409
2020-04-16 18:15:00,4.45,4.46,4.45,4.455,49856
2020-04-16 18:20:00,4.455,4.46,4.44,4.44,37251
2020-04-16 18:25:00,4.44,4.46,4.43,4.45,58351
2020-04-16 18:30:00,4.45,4.46,4.44,4.455,54814
2020-04-16 18:35:00,4.45,4.49,4.45,4.485,63737
2020-04-16 18:40:00,4.485,4.5,4.47,4.49,88603
2020-04-16 18:45:00,4.49,4.5,4.48,4.4801,86453
2020-04-16 18:50:00,4.48,4.52,4.48,4.52,167426
2020-04-16 18:55:00,4.52,4.54,4.51,4.525,160107
2020-04-16 19:00:00,4.525,4.53,4.5,4.515,196085
2020-04-16 19:05:00,4.52,4.55,4.5103,4.55,125801
2020-04-16 19:10:00,4.545,4.545,4.5,4.5136,173757
2020-04-16 19:15:00,4.515,4.53,4.5,4.51,75269
2020-04-16 19:20:00,4.51,4.513,4.48,4.4801,126534
2020-04-16 19:25:00,4.48,4.515,4.475,4.51,140677
2020-04-16 19:30:00,4.51,4.52,4.5,4.505,73277
2020-04-16 19:35:00,4.501,4.51,4.48,4.5,159798
2020-04-16 19:40:00,4.5,4.51,4.49,4.5,199773
2020-04-16 19:45:00,4.5,4.5,4.48,4.48,149247
2020-04-16 19:50:00,4.485,4.505,4.4731,4.49,354622
2020-04-16 19:55:00,4.495,4.5,4.475,4.475,435044
2020-04-16 20:00:00,4.49,4.51,4.49,4.51,278730
2020-04-16 20:05:00,4.51,4.51,4.49,4.49,1968
2020-04-16 20:10:00,4.55,4.55,4.5,4.5,703
2020-04-16 20:15:00,4.5,4.56,4.5,4.56,2947
2020-04-16 20:20:00,4.56,4.57,4.56,4.57,1939
2020-04-16 20:25:00,4.55,4.57,4.5,4.5,5640
2020-04-16 20:30:00,4.58,4.58,4.58,4.58,306
2020-04-16 20:35:00,4.55,4.55,4.55,4.55,200
2020-04-16 20:40:00,4.52,4.57,4.51,4.57,11281
2020-04-16 20:45:00,4.53,4.57,4.53,4.57,1627
2020-04-16 20:50:00,4.53,4.53,4.53,4.53,370
2020-04-16 20:55:00,4.57,4.57,4.52,4.52,1200
2020-04-16 21:00:00,4.57,4.57,4.57,4.57,6739
2020-04-16 21:05:00,4.55,4.55,4.51,4.51,373
2020-04-16 21:10:00,4.51,4.58,4.51,4.58,1789
2020-04-16 21:15:00,4.58,4.58,4.58,4.58,432
2020-04-16 21:20:00,4.53,4.58,4.53,4.58,444
2020-04-16 21:25:00,4.58,4.58,4.5,4.5,10772
2020-04-16 21:30:00,4.5499,4.5499,4.5499,4.5499,700
2020-04-16 21:35:00,4.51,4.57,4.51,4.57,559
2020-04-16 21:40:00,4.53,4.57,4.53,4.57,894
2020-04-16 21:45:00,4.57,4.57,4.57,4.57,322
2020-04-16 21:50:00,4.58,4.58,4.58,4.58,250
2020-04-16 21:55:00,4.58,4.58,4.58,4.58,100
2020-04-16 22:10:00,4.53,4.53,4.53,4.53,100
2020-04-16 22:20:00,4.53,4.53,4.52,4.52,945
2020-04-16 22:35:00,4.57,4.58,4.57,4.58,999
2020-04-16 22:40:00,4.58,4.58,4.58,4.58,1700
2020-04-16 22:55:00,4.58,4.6,4.58,4.6,7221
2020-04-16 23:05:00,4.59,4.59,4.59,4.59,250
2020-04-16 23:10:00,4.59,4.59,4.57,4.59,2032
2020-04-16 23:15:00,4.59,4.59,4.59,4.59,850
2020-04-16 23:20:00,4.58,4.58,4.58,4.58,500
2020-04-16 23:30:00,4.59,4.59,4.59,4.59,2000
2020-04-16 23:35:00,4.58,4.58,4.58,4.58,2030
2020-04-16 23:40:00,4.57,4.6,4.57,4.6,4582
2020-04-16 23:45:00,4.6,4.6,4.59,4.59,3636
2020-04-16 23:50:00,4.59,4.59,4.57,4.57,1500
2020-04-16 23:55:00,4.57,4.57,4.57,4.57,800
2020-04-17 11:00:00,4.6,4.69,4.6,4.69,2201
2020-04-17 11:35:00,4.61,4.61,4.61,4.61,500
2020-04-17 11:40:00,4.61,4.69,4.61,4.69,12744
2020-04-17 11:45:00,4.62,4.62,4.61,4.61,500
2020-04-17 11:50:00,4.61,4.61,4.61,4.61,3284
2020-04-17 11:55:00,4.66,4.69,4.66,4.69,1000
2020-04-17 12:05:00,4.61,4.61,4.6,4.6,229
2020-04-17 12:10:00,4.61,4.63,4.61,4.63,817
2020-04-17 12:15:00,4.65,4.65,4.65,4.65,9239
2020-04-17 12:20:00,4.6301,4.6301,4.6301,4.6301,700
2020-04-17 12:30:00,4.6499,4.65,4.63,4.63,1400
2020-04-17 12:35:00,4.63,4.65,4.63,4.65,7634
2020-04-17 12:40:00,4.65,4.65,4.63,4.63,987
2020-04-17 12:45:00,4.63,4.63,4.63,4.63,200
2020-04-17 12:50:00,4.63,4.63,4.6202,4.6202,431
2020-04-17 12:55:00,4.62,4.65,4.6102,4.6102,11224
2020-04-17 13:00:00,4.6102,4.65,4.61,4.65,5186
2020-04-17 13:05:00,4.65,4.69,4.65,4.6899,6821
2020-04-17 13:10:00,4.69,4.69,4.65,4.6799,12659
2020-04-17 13:15:00,4.63,4.6799,4.62,4.63,6787
2020-04-17 13:20:00,4.6799,4.69,4.63,4.69,12940
2020-04-17 13:25:00,4.69,4.71,4.65,4.68,14350
2020-04-17 13:30:00,4.69,4.745,4.54,4.55,911716
2020-04-17 13:35:00,4.55,4.57,4.5,4.5383,392041
2020-04-17 13:40:00,4.535,4.56,4.51,4.5441,228334
2020-04-17 13:45:00,4.545,4.56,4.51,4.51,242175
2020-04-17 13:50:00,4.5161,4.52,4.45,4.45,445823
2020-04-17 13:55:00,4.45,4.49,4.45,4.48,351889
2020-04-17 14:00:00,4.485,4.5,4.45,4.46,192682
2020-04-17 14:05:00,4.4621,4.4699,4.41,4.4106,273002
2020-04-17 14:10:00,4.41,4.4496,4.41,4.4201,124859
2020-04-17 14:15:00,4.43,4.45,4.41,4.42,110011
2020-04-17 14:20:00,4.41,4.43,4.37,4.37,391072
2020-04-17 14:25:00,4.375,4.4,4.36,4.39,149255
2020-04-17 14:30:00,4.39,4.41,4.37,4.3801,90828
2020-04-17 14:35:00,4.385,4.385,4.35,4.38,125979
2020-04-17 14:40:00,4.37,4.4,4.36,4.4,81940
2020-04-17 14:45:00,4.3934,4.41,4.39,4.395,90256
2020-04-17 14:50:00,4.4,4.44,4.4,4.44,128918
2020-04-17 14:55:00,4.44,4.44,4.42,4.42,92540
2020-04-17 15:00:00,4.42,4.435,4.39,4.4034,127573
2020-04-17 15:05:00,4.4,4.4451,4.39,4.44,100824
2020-04-17 15:10:00,4.43,4.44,4.4,4.42,139272
2020-04-17 15:15:00,4.415,4.43,4.4,4.42,39690
2020-04-17 15:20:00,4.42,4.44,4.41,4.4399,37409
2020-04-17 15:25:00,4.435,4.435,4.4,4.43,45627
2020-04-17 15:30:00,4.43,4.435,4.4,4.425,39839
2020-04-17 15:35:00,4.43,4.44,4.42,4.4358,43621
2020-04-17 15:40:00,4.43,4.45,4.43,4.435,68169
2020-04-17 15:45:00,4.44,4.44,4.43,4.4399,28863
2020-04-17 15:50:00,4.44,4.45,4.42,4.43,71199
2020-04-17 15:55:00,4.43,4.44,4.415,4.4343,47059
2020-04-17 16:00:00,4.435,4.435,4.42,4.425,23989
2020-04-17 16:05:00,4.425,4.43,4.41,4.4125,35456
2020-04-17 16:10:00,4.415,4.445,4.41,4.435,42768
2020-04-17 16:15:00,4.43,4.47,4.43,4.4608,75154
2020-04-17 16:20:00,4.47,4.47,4.44,4.46,51472
2020-04-17 16:25:00,4.455,4.47,4.44,4.44,67170
2020-04-17 16:30:00,4.44,4.45,4.44,4.4401,16907
2020-04-17 16:35:00,4.44,4.4699,4.44,4.445,55597
2020-04-17 16:40:00,4.445,4.46,4.44,4.455,30694
2020-04-17 16:45:00,4.455,4.46,4.45,4.46,18706
2020-04-17 16:50:00,4.46,4.46,4.45,4.455,18299
2020-04-17 16:55:00,4.455,4.48,4.455,4.475,136851
2020-04-17 17:00:00,4.47,4.49,4.465,4.465,159181
2020-04-17 17:05:00,4.465,4.47,4.46,4.465,35784
2020-04-17 17:10:00,4.4662,4.48,4.46,4.475,64126
2020-04-17 17:15:00,4.48,4.48,4.46,4.46,48227
2020-04-17 17:20:00,4.46,4.465,4.4314,4.44,60337
2020-04-17 17:25:00,4.44,4.45,4.435,4.44,25990
2020-04-17 17:30:00,4.435,4.45,4.435,4.44,36517
2020-04-17 17:35:00,4.445,4.45,4.435,4.45,34123
2020-04-17 17:40:00,4.4499,4.46,4.4401,4.445,34271
2020-04-17 17:45:00,4.44,4.46,4.44,4.4401,50142
2020-04-17 17:50:00,4.445,4.465,4.445,4.46,18748
2020-04-17 17:55:00,4.4695,4.47,4.4601,4.47,26465
2020-04-17 18:00:00,4.47,4.47,4.455,4.47,67411
2020-04-17 18:05:00,4.47,4.48,4.46,4.475,37928
2020-04-17 18:10:00,4.475,4.48,4.46,4.47,82284
2020-04-17 18:15:00,4.475,4.48,4.455,4.475,48514
2020-04-17 18:20:00,4.48,4.49,4.475,4.49,29982
2020-04-17 18:25:00,4.4842,4.5,4.48,4.4899,83085
2020-04-17 18:30:00,4.485,4.485,4.47,4.475,53163
2020-04-17 18:35:00,4.47,4.49,4.47,4.49,31239
2020-04-17 18:40:00,4.4859,4.49,4.48,4.48,48954
2020-04-17 18:45:00,4.485,4.49,4.48,4.485,27693
2020-04-17 18:50:00,4.485,4.49,4.48,4.49,16601
2020-04-17 18:55:00,4.49,4.49,4.48,4.49,18431
2020-04-17 19:00:00,4.49,4.5,4.4805,4.4986,127631
2020-04-17 19:05:00,4.4999,4.51,4.49,4.51,118585
2020-04-17 19:10:00,4.5001,4.53,4.5,4.53,69200
2020-04-17 19:15:00,4.53,4.53,4.49,4.505,127980
2020-04-17 19:20:00,4.505,4.505,4.49,4.495,72535
2020-04-17 19:25:00,4.495,4.5,4.49,4.5,48181
2020-04-17 19:30:00,4.5,4.52,4.495,4.515,94636
2020-04-17 19:35:00,4.52,4.52,4.51,4.515,67269
2020-04-17 19:40:00,4.515,4.53,4.51,4.52,227909
2020-04-17 19:45:00,4.515,4.52,4.5,4.505,168048
2020-04-17 19:50:00,4.51,4.53,4.5,4.525,400238
2020-04-17 19:55:00,4.52,4.525,4.51,4.515,246523
2020-04-17 20:00:00,4.52,4.53,4.51,4.52,2888432
2020-04-17 20:05:00,4.52,4.53,4.52,4.52,922
2020-04-17 20:10:00,4.52,4.53,4.52,4.53,11928
2020-04-17 20:15:00,4.53,4.53,4.52,4.52,350
2020-04-17 20:20:00,4.53,4.53,4.52,4.53,1229
2020-04-17 20:25:00,4.5288,4.53,4.5288,4.5296,1030
2020-04-17 20:30:00,4.51,4.5102,4.51,4.5102,268
2020-04-17 20:40:00,4.52,4.52,4.5102,4.5102,1452
2020-04-17 20:45:00,4.52,4.52,4.51,4.51,225
2020-04-17 20:50:00,4.51,4.51,4.5,4.5,1191
2020-04-17 20:55:00,4.52,4.52,4.52,4.52,450
2020-04-17 21:00:00,4.5,4.52,4.5,4.52,370
2020-04-17 21:05:00,4.52,4.52,4.44,4.44,3235
2020-04-17 21:15:00,4.5116,4.52,4.5116,4.52,200
2020-04-17 21:25:00,4.52,4.52,4.52,4.52,350
2020-04-17 21:35:00,4.52,4.52,4.52,4.52,400
2020-04-17 21:40:00,4.48,4.52,4.48,4.49,1151
2020-04-17 21:50:00,4.49,4.49,4.49,4.49,100
2020-04-17 21:55:00,4.5,4.5,4.49,4.49,1065
2020-04-17 22:10:00,4.48,4.48,4.48,4.48,1809
2020-04-17 22:15:00,4.48,4.48,4.48,4.48,375
2020-04-17 23:35:00,4.4899,4.4899,4.4899,4.4899,2000
2020-04-17 23:45:00,4.49,4.49,4.49,4.49,100
2020-04-17 23:50:00,4.48,4.5,4.48,4.4801,5769
2020-04-17 23:55:00,4.52,4.5201,4.52,4.5201,2024
2020-04-20 11:00:00,4.55,4.55,4.46,4.46,1503
2020-04-20 11:25:00,4.4,4.4,4.4,4.4,9973
2020-04-20 11:35:00,4.4,4.4,4.4,4.4,100
2020-04-20 11:45:00,4.4,4.4,4.4,4.4,845
2020-04-20 12:00:00,4.4,4.42,4.4,4.4,3125
2020-04-20 12:05:00,4.4,4.4,4.4,4.4,1575
2020-04-20 12:15:00,4.4,4.4001,4.4,4.4,6728
2020-04-20 12:20:00,4.4,4.4001,4.4,4.4,4485
2020-04-20 12:25:00,4.4,4.4001,4.4,4.4001,1561
2020-04-20 12:30:00,4.4398,4.4398,4.4398,4.4398,300
2020-04-20 12:35:00,4.44,4.44,4.44,4.44,500
2020-04-20 12:40:00,4.4,4.44,4.4,4.44,601
2020-04-20 12:45:00,4.43,4.43,4.43,4.43,3500
2020-04-20 12:50:00,4.43,4.4302,4.4,4.4,6100
2020-04-20 12:55:00,4.4398,4.45,4.41,4.45,2960
2020-04-20 13:00:00,4.42,4.45,4.4,4.45,2352
2020-04-20 13:05:00,4.4498,4.45,4.42,4.4498,1357
2020-04-20 13:10:00,4.45,4.45,4.42,4.42,2625
2020-04-20 13:15:00,4.4201,4.43,4.42,4.4298,3016
2020-04-20 13:20:00,4.43,4.43,4.41,4.4298,1057
2020-04-20 13:25:00,4.41,4.45,4.41,4.42,3800
2020-04-20 13:30:00,4.433,4.54,4.38,4.505,424430
2020-04-20 13:35:00,4.5,4.5105,4.4401,4.4642,233651
2020-04-20 13:40:00,4.4699,4.4699,4.42,4.43,162379
2020-04-20 13:45:00,4.42,4.48,4.42,4.4584,72434
2020-04-20 13:50:00,4.4501,4.46,4.43,4.45,75992
2020-04-20 13:55:00,4.45,4.47,4.43,4.4446,66675
2020-04-20 14:00:00,4.44,4.47,4.43,4.47,77879
2020-04-20 14:05:00,4.4688,4.475,4.44,4.45,103775
2020-04-20 14:10:00,4.45,4.47,4.43,4.43,109245
2020-04-20 14:15:00,4.435,4.45,4.42,4.44,66588
2020-04-20 14:20:00,4.45,4.45,4.42,4.445,89523
2020-04-20 14:25:00,4.44,4.46,4.43,4.4589,92268
2020-04-20 14:30:00,4.45,4.47,4.43,4.43,41672
2020-04-20 14:35:00,4.44,4.47,4.435,4.45,90653
2020-04-20 14:40:00,4.455,4.47,4.44,4.4677,46988
2020-04-20 14:45:00,4.46,4.49,4.46,4.47,69845
2020-04-20 14:50:00,4.4701,4.49,4.46,4.47,107424
2020-04-20 14:55:00,4.465,4.475,4.46,4.46,32614
2020-04-20 15:00:00,4.46,4.48,4.45,4.4724,33165
2020-04-20 15:05:00,4.47,4.5,4.47,4.49,106340
2020-04-20 15:10:00,4.49,4.5,4.47,4.47,32805
