datetime,open,high,low,close,volume
2020-04-16 12:30:00,25.3,25.3,25.3,25.3,200
2020-04-16 12:35:00,25.3,25.3,25.3,25.3,600
2020-04-16 13:05:00,25.43,25.8886,25.43,25.8886,798
2020-04-16 13:20:00,25.53,25.63,25.51,25.56,5236
2020-04-16 13:30:00,25.3,25.435,25.23,25.285,116978
2020-04-16 13:35:00,25.28,25.49,25.19,25.46,88416
2020-04-16 13:40:00,25.46,25.56,25.42,25.51,72136
2020-04-16 13:45:00,25.52,25.54,25.22,25.23,60500
2020-04-16 13:50:00,25.225,25.245,25.12,25.15,52609
2020-04-16 13:55:00,25.145,25.18,24.88,24.9,72281
2020-04-16 14:00:00,24.91,25.02,24.9,24.98,50551
2020-04-16 14:05:00,24.99,24.99,24.82,24.835,56705
2020-04-16 14:10:00,24.8394,24.92,24.79,24.865,41550
2020-04-16 14:15:00,24.87,24.92,24.84,24.86,30357
2020-04-16 14:20:00,24.85,24.9199,24.835,24.87,59008
2020-04-16 14:25:00,24.86,24.97,24.85,24.96,29030
2020-04-16 14:30:00,24.95,25.017,24.935,24.9699,28994
2020-04-16 14:35:00,24.97,24.9717,24.9036,24.905,25066
2020-04-16 14:40:00,24.92,24.9758,24.9,24.925,62469
2020-04-16 14:45:00,24.925,24.94,24.84,24.88,38386
2020-04-16 14:50:00,24.87,24.9,24.81,24.9,38220
2020-04-16 14:55:00,24.91,25.055,24.89,25.035,43741
2020-04-16 15:00:00,25.04,25.045,24.9858,25.01,103798
2020-04-16 15:05:00,25.005,25.155,25.005,25.12,91267
2020-04-16 15:10:00,25.115,25.145,25.06,25.075,51140
2020-04-16 15:15:00,25.08,25.14,25.03,25.04,94573
2020-04-16 15:20:00,25.05,25.08,24.99,24.995,72403
2020-04-16 15:25:00,25.0,25.03,24.97,24.97,76744
2020-04-16 15:30:00,24.96,25.0,24.92,24.93,121390
2020-04-16 15:35:00,24.925,25.015,24.91,25.0,54517
2020-04-16 15:40:00,25.0,25.14,25.0,25.115,128121
2020-04-16 15:45:00,25.115,25.13,25.08,25.115,17997
2020-04-16 15:50:00,25.12,25.3,25.12,25.29,36964
2020-04-16 15:55:00,25.29,25.29,25.22,25.27,30993
2020-04-16 16:00:00,25.27,25.285,25.21,25.24,27288
2020-04-16 16:05:00,25.24,25.26,25.21,25.25,27319
2020-04-16 16:10:00,25.26,25.29,25.22,25.255,39571
2020-04-16 16:15:00,25.25,25.3,25.161,25.18,38407
2020-04-16 16:20:00,25.18,25.185,25.0901,25.115,29926
2020-04-16 16:25:00,25.12,25.19,25.1,25.175,24700
2020-04-16 16:30:00,25.185,25.185,25.08,25.11,38774
2020-04-16 16:35:00,25.11,25.14,25.09,25.13,33883
2020-04-16 16:40:00,25.13,25.135,25.07,25.1,46035
2020-04-16 16:45:00,25.09,25.09,25.0,25.065,44580
2020-04-16 16:50:00,25.05,25.16,25.05,25.14,16924
2020-04-16 16:55:00,25.13,25.22,25.12,25.195,16876
2020-04-16 17:00:00,25.19,25.25,25.13,25.13,33467
2020-04-16 17:05:00,25.135,25.175,25.135,25.145,21509
2020-04-16 17:10:00,25.145,25.21,25.14,25.205,24377
2020-04-16 17:15:00,25.2,25.225,25.17,25.225,17153
2020-04-16 17:20:00,25.225,25.28,25.22,25.27,18860
2020-04-16 17:25:00,25.27,25.28,25.23,25.255,26219
2020-04-16 17:30:00,25.25,25.27,25.24,25.24,31480
2020-04-16 17:35:00,25.24,25.25,25.22,25.22,33111
2020-04-16 17:40:00,25.22,25.305,25.22,25.295,46304
2020-04-16 17:45:00,25.295,25.295,25.235,25.24,23534
2020-04-16 17:50:00,25.2359,25.25,25.1773,25.19,27028
2020-04-16 17:55:00,25.19,25.27,25.18,25.255,26848
2020-04-16 18:00:00,25.255,25.26,25.19,25.24,29710
2020-04-16 18:05:00,25.24,25.315,25.22,25.315,38274
2020-04-16 18:10:00,25.31,25.32,25.265,25.3,31504
2020-04-16 18:15:00,25.31,25.35,25.3001,25.305,32696
2020-04-16 18:20:00,25.3,25.31,25.25,25.27,40382
2020-04-16 18:25:00,25.27,25.27,25.22,25.25,50601
2020-04-16 18:30:00,25.24,25.26,25.21,25.2506,50072
2020-04-16 18:35:00,25.2598,25.375,25.25,25.36,38372
2020-04-16 18:40:00,25.36,25.38,25.3,25.35,49281
2020-04-16 18:45:00,25.35,25.365,25.325,25.335,27747
2020-04-16 18:50:00,25.3332,25.345,25.29,25.34,47364
2020-04-16 18:55:00,25.3315,25.3597,25.315,25.32,32954
2020-04-16 19:00:00,25.32,25.34,25.29,25.305,38282
2020-04-16 19:05:00,25.31,25.34,25.25,25.25,44642
2020-04-16 19:10:00,25.25,25.295,25.24,25.27,45899
2020-04-16 19:15:00,25.28,25.33,25.26,25.32,45020
2020-04-16 19:20:00,25.32,25.395,25.3,25.39,44575
2020-04-16 19:25:00,25.39,25.495,25.35,25.49,41364
2020-04-16 19:30:00,25.49,25.53,25.46,25.515,64256
2020-04-16 19:35:00,25.51,25.54,25.43,25.43,64928
2020-04-16 19:40:00,25.44,25.45,25.35,25.36,80074
2020-04-16 19:45:00,25.37,25.44,25.365,25.42,62801
2020-04-16 19:50:00,25.4,25.41,25.25,25.355,222955
2020-04-16 19:55:00,25.36,25.3685,25.28,25.29,354652
2020-04-16 20:00:00,25.29,25.29,25.29,25.29,619673
2020-04-16 20:15:00,25.29,25.29,25.29,25.29,1033
2020-04-16 20:30:00,25.29,25.29,25.29,25.29,1400
2020-04-16 20:40:00,25.29,25.29,25.29,25.29,1854
2020-04-16 21:45:00,25.89,25.9,25.89,25.9,1200
2020-04-16 22:20:00,25.8,25.8,25.8,25.8,838
2020-04-16 22:25:00,25.9,25.9,25.9,25.9,170
2020-04-16 22:35:00,25.9,25.9,25.9,25.9,1400
2020-04-16 22:55:00,25.9,25.9,25.9,25.9,1000
2020-04-16 23:00:00,25.9,25.9,25.9,25.9,321
2020-04-16 23:25:00,26.0,26.05,26.0,26.05,3000
2020-04-17 11:00:00,26.0,26.0,26.0,26.0,100
2020-04-17 11:25:00,26.05,26.05,26.03,26.03,1020
2020-04-17 12:15:00,25.89,25.89,25.89,25.89,100
2020-04-17 12:20:00,25.85,25.85,25.7,25.7,1988
2020-04-17 12:50:00,26.1,26.1,26.1,26.1,1025
2020-04-17 13:30:00,25.97,26.2,25.97,26.12,282767
2020-04-17 13:35:00,26.11,26.38,26.11,26.38,56749
2020-04-17 13:40:00,26.37,26.37,26.27,26.27,78455
2020-04-17 13:45:00,26.265,26.29,26.21,26.23,47478
2020-04-17 13:50:00,26.22,26.22,26.1158,26.15,45690
2020-04-17 13:55:00,26.175,26.3,26.155,26.27,46653
2020-04-17 14:00:00,26.26,26.27,26.05,26.1,50912
2020-04-17 14:05:00,26.1,26.12,25.96,25.96,50745
2020-04-17 14:10:00,25.97,25.98,25.805,25.84,58157
2020-04-17 14:15:00,25.85,25.88,25.75,25.774,51806
2020-04-17 14:20:00,25.77,25.85,25.76,25.835,29150
2020-04-17 14:25:00,25.83,25.91,25.82,25.85,20570
2020-04-17 14:30:00,25.845,25.9,25.79,25.81,31984
2020-04-17 14:35:00,25.81,25.84,25.76,25.83,30835
2020-04-17 14:40:00,25.83,25.9498,25.83,25.92,33993
2020-04-17 14:45:00,25.929,25.929,25.855,25.87,22460
2020-04-17 14:50:00,25.87,25.98,25.87,25.98,21511
2020-04-17 14:55:00,25.98,26.05,25.98,26.0,24144
2020-04-17 15:00:00,26.0,26.03,25.97,26.0066,38313
2020-04-17 15:05:00,26.0,26.06,25.98,26.03,18800
2020-04-17 15:10:00,26.03,26.05,25.93,25.98,18311
2020-04-17 15:15:00,25.97,26.0,25.9,25.95,49770
2020-04-17 15:20:00,25.95,25.97,25.87,25.96,11816
2020-04-17 15:25:00,25.96,25.965,25.8764,25.93,22961
2020-04-17 15:30:00,25.94,26.03,25.935,26.02,23242
2020-04-17 15:35:00,26.03,26.14,26.03,26.12,28996
2020-04-17 15:40:00,26.125,26.155,26.1,26.11,12538
2020-04-17 15:45:00,26.12,26.14,26.09,26.1041,20484
2020-04-17 15:50:00,26.105,26.1064,26.04,26.04,21988
2020-04-17 15:55:00,26.04,26.05,25.985,26.05,34943
2020-04-17 16:00:00,26.07,26.07,26.02,26.04,14782
2020-04-17 16:05:00,26.05,26.1296,26.05,26.09,21704
2020-04-17 16:10:00,26.08,26.105,26.05,26.075,16701
2020-04-17 16:15:00,26.09,26.13,26.07,26.12,16790
2020-04-17 16:20:00,26.12,26.13,26.06,26.06,8741
2020-04-17 16:25:00,26.06,26.1,26.06,26.08,20774
2020-04-17 16:30:00,26.09,26.09,25.97,26.06,123773
2020-04-17 16:35:00,26.05,26.13,26.0497,26.11,24687
2020-04-17 16:40:00,26.11,26.145,26.11,26.12,34332
2020-04-17 16:45:00,26.12,26.145,26.09,26.145,21287
2020-04-17 16:50:00,26.1462,26.18,26.145,26.1754,22825
2020-04-17 16:55:00,26.17,26.1701,26.1244,26.15,19048
2020-04-17 17:00:00,26.14,26.16,26.11,26.12,23807
2020-04-17 17:05:00,26.12,26.155,26.12,26.15,15330
2020-04-17 17:10:00,26.15,26.15,26.11,26.12,12243
2020-04-17 17:15:00,26.12,26.2,26.12,26.19,23227
2020-04-17 17:20:00,26.1901,26.194,26.13,26.135,23027
2020-04-17 17:25:00,26.135,26.16,26.095,26.11,24405
2020-04-17 17:30:00,26.11,26.13,26.07,26.08,37384
2020-04-17 17:35:00,26.08,26.11,26.07,26.105,21804
2020-04-17 17:40:00,26.1,26.13,26.09,26.115,40770
2020-04-17 17:45:00,26.11,26.115,26.03,26.06,34133
2020-04-17 17:50:00,26.06,26.09,26.035,26.09,16836
2020-04-17 17:55:00,26.08,26.12,26.08,26.12,22546
2020-04-17 18:00:00,26.11,26.11,26.07,26.1062,20532
2020-04-17 18:05:00,26.1,26.12,26.08,26.11,21281
2020-04-17 18:10:00,26.11,26.115,26.03,26.035,19116
2020-04-17 18:15:00,26.04,26.0562,25.97,26.02,28000
2020-04-17 18:20:00,26.02,26.105,26.02,26.075,23785
2020-04-17 18:25:00,26.07,26.08,26.03,26.04,19786
2020-04-17 18:30:00,26.03,26.03,25.98,26.0281,23300
2020-04-17 18:35:00,26.02,26.02,25.97,26.02,23693
2020-04-17 18:40:00,26.0152,26.03,25.98,26.01,29312
2020-04-17 18:45:00,26.015,26.045,25.995,26.03,17545
2020-04-17 18:50:00,26.035,26.04,26.0,26.0,26035
2020-04-17 18:55:00,26.01,26.05,25.99,26.05,22485
2020-04-17 19:00:00,26.05,26.085,26.03,26.08,24479
2020-04-17 19:05:00,26.08,26.09,26.05,26.08,19700
2020-04-17 19:10:00,26.08,26.17,26.075,26.17,60702
2020-04-17 19:15:00,26.17,26.27,26.17,26.22,42928
2020-04-17 19:20:00,26.22,26.22,26.14,26.17,27433
2020-04-17 19:25:00,26.17,26.22,26.1603,26.22,32948
2020-04-17 19:30:00,26.21,26.28,26.21,26.24,42399
2020-04-17 19:35:00,26.255,26.3199,26.245,26.315,50101
2020-04-17 19:40:00,26.32,26.34,26.28,26.33,28372
2020-04-17 19:45:00,26.33,26.41,26.32,26.41,80466
2020-04-17 19:50:00,26.4,26.52,26.37,26.49,170538
2020-04-17 19:55:00,26.49,26.5,26.355,26.4,245047
2020-04-17 20:00:00,26.39,26.4006,26.39,26.4006,335371
2020-04-17 20:20:00,26.4,26.4,26.4,26.4,200
2020-04-17 20:25:00,26.4,26.5,26.39,26.5,2349
2020-04-17 20:30:00,26.51,26.51,26.5,26.5,300
2020-04-17 21:20:00,26.39,26.39,26.39,26.39,9634
2020-04-17 22:55:00,26.39,26.39,26.39,26.39,864
2020-04-20 11:10:00,26.28,26.28,26.28,26.28,495
2020-04-20 11:15:00,26.0,26.0,26.0,26.0,100
2020-04-20 12:25:00,25.86,25.86,25.86,25.86,100
2020-04-20 12:35:00,26.0,26.0,26.0,26.0,400
2020-04-20 12:50:00,26.0,26.0,25.85,25.85,788
2020-04-20 13:10:00,25.85,25.85,25.85,25.85,300
2020-04-20 13:25:00,25.87,25.87,25.8,25.8,7129
2020-04-20 13:30:00,25.99,26.0,25.6221,25.6632,173212
2020-04-20 13:35:00,25.67,25.79,25.65,25.74,44470
2020-04-20 13:40:00,25.75,25.9,25.7146,25.86,53826
2020-04-20 13:45:00,25.855,25.9966,25.85,25.95,52967
2020-04-20 13:50:00,25.947,26.025,25.93,25.96,49320
2020-04-20 13:55:00,25.96,25.98,25.87,25.88,46821
2020-04-20 14:00:00,25.87,25.87,25.75,25.78,46546
2020-04-20 14:05:00,25.78,25.88,25.76,25.8385,32998
2020-04-20 14:10:00,25.83,25.87,25.78,25.79,30922
2020-04-20 14:15:00,25.78,25.78,25.6873,25.72,42673
2020-04-20 14:20:00,25.71,25.7467,25.7,25.725,24095
