datetime,open,high,low,close,volume
2020-04-16 13:05:00,12.35,12.35,12.35,12.35,300
2020-04-16 13:25:00,12.66,12.67,12.52,12.54,5245
2020-04-16 13:30:00,12.51,12.62,12.27,12.29,34621
2020-04-16 13:35:00,12.28,12.29,12.18,12.22,9011
2020-04-16 13:40:00,12.225,12.35,12.225,12.29,10709
2020-04-16 13:45:00,12.3,12.35,12.28,12.32,11800
2020-04-16 13:50:00,12.31,12.315,12.18,12.215,11926
2020-04-16 13:55:00,12.22,12.22,12.115,12.115,12913
2020-04-16 14:00:00,12.11,12.2,12.11,12.115,18525
2020-04-16 14:05:00,12.12,12.14,12.035,12.04,56105
2020-04-16 14:10:00,12.04,12.075,12.01,12.04,16321
2020-04-16 14:15:00,12.06,12.1,12.03,12.07,6732
2020-04-16 14:20:00,12.07,12.13,12.05,12.1,25793
2020-04-16 14:25:00,12.09,12.175,12.075,12.17,26157
2020-04-16 14:30:00,12.17,12.18,12.1,12.12,9703
2020-04-16 14:35:00,12.13,12.13,12.05,12.085,15426
2020-04-16 14:40:00,12.08,12.15,12.07,12.1464,7042
2020-04-16 14:45:00,12.14,12.2,12.12,12.1913,9575
2020-04-16 14:50:00,12.19,12.2,12.16,12.2,11863
2020-04-16 14:55:00,12.2,12.26,12.2,12.22,19797
2020-04-16 15:00:00,12.215,12.225,12.18,12.2,63575
2020-04-16 15:05:00,12.2,12.245,12.18,12.185,21588
2020-04-16 15:10:00,12.19,12.24,12.15,12.17,23338
2020-04-16 15:15:00,12.18,12.2,12.14,12.2,12053
2020-04-16 15:20:00,12.2,12.2399,12.2,12.23,20636
2020-04-16 15:25:00,12.24,12.26,12.225,12.225,9669
2020-04-16 15:30:00,12.225,12.23,12.165,12.165,11246
2020-04-16 15:35:00,12.16,12.21,12.16,12.21,8788
2020-04-16 15:40:00,12.21,12.22,12.155,12.2,26516
2020-04-16 15:45:00,12.205,12.21,12.12,12.12,56054
2020-04-16 15:50:00,12.12,12.22,12.11,12.21,17707
