datetime,open,high,low,close,volume
2020-04-16 08:00:00,36.35,37.2,36.35,37.2,1240
2020-04-16 08:05:00,37.48,37.67,37.48,37.6,1690
2020-04-16 08:10:00,37.6,37.7,37.6,37.65,1173
2020-04-16 08:15:00,37.64,37.65,37.64,37.64,954
2020-04-16 08:20:00,37.65,37.65,37.65,37.65,125
2020-04-16 08:25:00,37.65,37.65,37.65,37.65,200
2020-04-16 08:30:00,37.5,37.5,37.49,37.49,200
2020-04-16 08:55:00,37.5,37.5,37.5,37.5,1486
2020-04-16 09:00:00,37.5,37.5,37.3,37.3,1463
2020-04-16 09:05:00,37.2,37.2,37.2,37.2,854
2020-04-16 09:10:00,37.19,37.19,37.19,37.19,130
2020-04-16 09:15:00,37.15,37.15,37.15,37.15,430
2020-04-16 09:25:00,36.98,36.98,36.98,36.98,399
2020-04-16 09:30:00,36.98,36.98,36.98,36.98,420
2020-04-16 09:35:00,37.0,37.0,37.0,37.0,499
2020-04-16 09:40:00,37.0,37.0,37.0,37.0,367
2020-04-16 10:00:00,37.06,37.06,37.06,37.06,278
2020-04-16 10:10:00,37.13,37.13,37.13,37.13,200
2020-04-16 10:15:00,37.15,37.15,37.15,37.15,100
2020-04-16 10:20:00,37.5,37.5,37.5,37.5,221
2020-04-16 10:25:00,37.49,37.5,37.49,37.5,407
2020-04-16 10:55:00,37.35,37.35,37.35,37.35,559
2020-04-16 11:00:00,37.25,37.5,37.2,37.2,21453
2020-04-16 11:05:00,37.18,37.28,37.1,37.1,650
2020-04-16 11:10:00,37.1,37.15,37.1,37.15,1486
2020-04-16 11:15:00,37.2,37.25,37.2,37.2,3501
2020-04-16 11:20:00,37.2,37.35,37.2,37.35,1605
2020-04-16 11:25:00,37.35,37.35,37.29,37.33,602
2020-04-16 11:30:00,37.29,37.3,37.11,37.11,1850
2020-04-16 11:35:00,37.0,37.0,37.0,37.0,2920
2020-04-16 11:40:00,36.99,36.99,36.96,36.99,373
2020-04-16 11:45:00,37.0,37.0,36.94,36.99,1261
2020-04-16 11:50:00,36.9,36.92,36.9,36.92,696
2020-04-16 11:55:00,36.85,36.93,36.85,36.93,878
2020-04-16 12:00:00,36.97,36.98,36.95,36.98,4853
2020-04-16 12:05:00,36.98,36.98,36.88,36.88,3753
2020-04-16 12:10:00,36.87,36.87,36.65,36.65,7470
2020-04-16 12:15:00,36.7,36.71,36.4,36.4,8334
2020-04-16 12:20:00,36.55,36.6,36.31,36.37,5040
2020-04-16 12:25:00,36.41,36.6,36.41,36.6,13563
2020-04-16 12:30:00,36.6,37.48,36.6,37.34,24327
2020-04-16 12:35:00,37.2,37.4,37.0,37.0,29672
2020-04-16 12:40:00,36.61,37.0,36.61,36.8,6434
2020-04-16 12:45:00,37.07,37.1,37.0,37.0599,1980
2020-04-16 12:50:00,36.92,37.06,36.82,36.9,8199
2020-04-16 12:55:00,36.9,37.09,36.9,36.95,16492
2020-04-16 13:00:00,36.95,37.0,36.8,36.8,1911
2020-04-16 13:05:00,36.81,37.0,36.8,36.99,2845
2020-04-16 13:10:00,36.99,37.0,36.85,36.85,6717
2020-04-16 13:15:00,36.99,36.99,36.86,36.9,5648
2020-04-16 13:20:00,36.85,36.9,36.6,36.6,6327
2020-04-16 13:25:00,36.56,36.75,36.45,36.54,17948
2020-04-16 13:30:00,36.5,37.0664,35.66,35.66,617621
2020-04-16 13:35:00,35.7,35.87,35.26,35.375,663095
2020-04-16 13:40:00,35.375,35.85,35.12,35.26,609769
2020-04-16 13:45:00,35.2824,35.33,34.61,34.7928,749980
2020-04-16 13:50:00,34.78,35.0285,34.55,34.68,486904
2020-04-16 13:55:00,34.67,34.76,34.33,34.47,361456
2020-04-16 14:00:00,34.5425,34.88,34.53,34.55,350211
2020-04-16 14:05:00,34.57,34.84,34.13,34.18,537304
2020-04-16 14:10:00,34.1671,34.45,33.75,33.8701,735178
2020-04-16 14:15:00,33.91,34.2,33.74,33.77,443513
2020-04-16 14:20:00,33.75,34.48,33.63,34.46,397917
2020-04-16 14:25:00,34.465,34.73,34.4,34.6783,411103
2020-04-16 14:30:00,34.68,34.74,34.27,34.51,207499
2020-04-16 14:35:00,34.52,34.619,34.18,34.236,231042
2020-04-16 14:40:00,34.2,34.94,34.18,34.76,328196
2020-04-16 14:45:00,34.7687,35.1,34.52,34.92,382844
2020-04-16 14:50:00,34.91,35.08,34.8,34.91,220345
2020-04-16 14:55:00,34.91,35.04,34.58,34.58,262598
2020-04-16 15:00:00,34.58,35.23,34.521,35.0849,299552
2020-04-16 15:05:00,35.09,35.32,35.01,35.25,208538
