datetime,open,high,low,close,volume
2020-04-16 08:00:00,33.98,33.98,33.83,33.83,210
2020-04-16 08:05:00,33.83,33.88,33.83,33.88,3200
2020-04-16 08:10:00,33.69,33.69,33.69,33.69,1400
2020-04-16 08:15:00,33.71,33.78,33.71,33.71,1600
2020-04-16 08:20:00,33.72,33.72,33.72,33.72,200
2020-04-16 08:25:00,33.82,33.82,33.74,33.74,2400
2020-04-16 08:35:00,33.74,33.74,33.64,33.64,1350
2020-04-16 08:40:00,33.64,33.64,33.45,33.45,5700
2020-04-16 08:45:00,33.53,33.53,33.52,33.52,500
2020-04-16 08:50:00,33.61,33.61,33.61,33.61,100
2020-04-16 08:55:00,33.62,33.62,33.53,33.53,3004
2020-04-16 09:00:00,33.52,33.52,33.52,33.52,700
2020-04-16 09:05:00,33.5,33.55,33.5,33.55,500
2020-04-16 09:15:00,33.5,33.5,33.5,33.5,5900
2020-04-16 09:20:00,33.51,33.55,33.45,33.45,2700
2020-04-16 09:25:00,33.43,33.44,33.43,33.44,4000
2020-04-16 09:30:00,33.39,33.46,33.39,33.46,700
2020-04-16 09:35:00,33.47,33.47,33.45,33.45,700
2020-04-16 09:40:00,33.48,33.58,33.47,33.58,16200
2020-04-16 09:45:00,33.58,33.58,33.53,33.57,2205
2020-04-16 09:50:00,33.61,33.62,33.58,33.58,5800
2020-04-16 09:55:00,33.55,33.55,33.5,33.5,2000
2020-04-16 10:00:00,33.47,33.61,33.47,33.52,9794
2020-04-16 10:10:00,33.66,33.74,33.66,33.74,700
2020-04-16 10:20:00,33.73,33.74,33.7,33.7,4500
2020-04-16 10:25:00,33.79,33.87,33.79,33.87,1500
2020-04-16 10:40:00,33.68,33.73,33.67,33.73,4900
2020-04-16 10:45:00,33.68,33.68,33.64,33.66,400
2020-04-16 10:50:00,33.72,33.72,33.72,33.72,1000
2020-04-16 10:55:00,33.72,33.72,33.72,33.72,500
2020-04-16 11:00:00,33.65,33.65,33.6,33.6,3597
2020-04-16 11:05:00,33.51,33.51,33.51,33.51,100
2020-04-16 11:15:00,33.6,33.6,33.6,33.6,200
2020-04-16 11:25:00,33.68,33.68,33.68,33.68,300
2020-04-16 11:30:00,33.62,33.62,33.59,33.59,5800
2020-04-16 11:35:00,33.5,33.53,33.49,33.51,4075
2020-04-16 11:40:00,33.51,33.51,33.44,33.44,400
2020-04-16 11:45:00,33.44,33.44,33.44,33.44,1000
2020-04-16 11:50:00,33.45,33.53,33.45,33.53,2295
2020-04-16 11:55:00,33.5,33.5,33.5,33.5,106
2020-04-16 12:00:00,33.5,33.57,33.5,33.56,1009
2020-04-16 12:05:00,33.51,33.51,33.51,33.51,1025
2020-04-16 12:10:00,33.53,33.57,33.5,33.5,400
2020-04-16 12:20:00,33.42,33.42,33.42,33.42,100
2020-04-16 12:25:00,33.53,33.53,33.52,33.52,750
2020-04-16 12:30:00,33.53,33.7,33.53,33.7,6923
2020-04-16 12:35:00,33.63,33.63,33.6,33.6,700
2020-04-16 12:40:00,33.56,33.56,33.51,33.51,2400
2020-04-16 12:45:00,33.56,33.56,33.55,33.55,826
2020-04-16 12:50:00,33.55,33.55,33.5,33.55,800
2020-04-16 12:55:00,33.56,33.56,33.5,33.52,22700
2020-04-16 13:00:00,33.54,33.57,33.46,33.46,5890
2020-04-16 13:05:00,33.52,33.52,33.46,33.46,500
2020-04-16 13:10:00,33.46,33.49,33.44,33.44,6818
2020-04-16 13:15:00,33.43,33.44,33.36,33.36,2598
2020-04-16 13:20:00,33.39,33.39,33.33,33.33,6573
2020-04-16 13:25:00,33.36,33.42,33.31,33.35,23011
2020-04-16 13:30:00,33.36,33.4,33.05,33.05,393207
2020-04-16 13:35:00,33.06,33.07,32.91,32.91,285648
2020-04-16 13:40:00,32.915,33.095,32.85,33.0,328460
2020-04-16 13:45:00,33.0,33.0,32.85,32.95,142495
2020-04-16 13:50:00,32.95,33.12,32.94,33.025,491317
2020-04-16 13:55:00,33.025,33.06,32.77,32.78,97405
2020-04-16 14:00:00,32.78,32.98,32.77,32.82,90952
2020-04-16 14:05:00,32.81,32.83,32.67,32.69,113111
2020-04-16 14:10:00,32.69,32.695,32.46,32.51,138139
2020-04-16 14:15:00,32.52,32.68,32.48,32.5937,172680
2020-04-16 14:20:00,32.59,32.88,32.53,32.88,125510
2020-04-16 14:25:00,32.86,32.96,32.76,32.945,82004
2020-04-16 14:30:00,32.95,32.98,32.75,32.86,217355
