datetime,open,high,low,close,volume
2020-04-16 11:05:00,9.35,9.35,9.35,9.35,300
2020-04-16 11:25:00,9.35,9.35,9.35,9.35,400
2020-04-16 11:30:00,9.35,9.37,9.35,9.37,300
2020-04-16 12:05:00,9.34,9.34,9.34,9.34,200
2020-04-16 12:15:00,9.29,9.29,9.29,9.29,100
2020-04-16 12:35:00,9.3699,9.37,9.3,9.3,5400
2020-04-16 12:45:00,9.38,9.38,9.38,9.38,300
2020-04-16 13:05:00,9.3699,9.3699,9.29,9.29,600
2020-04-16 13:10:00,9.35,9.35,9.35,9.35,100
2020-04-16 13:15:00,9.35,9.35,9.35,9.35,900
2020-04-16 13:25:00,9.19,9.19,9.19,9.19,374
2020-04-16 13:30:00,9.22,9.25,9.0,9.0,248300
2020-04-16 13:35:00,9.01,9.115,8.9621,9.07,329905
2020-04-16 13:40:00,9.06,9.175,9.05,9.14,232570
2020-04-16 13:45:00,9.14,9.16,9.01,9.025,188133
2020-04-16 13:50:00,9.016,9.045,8.95,8.9799,146271
2020-04-16 13:55:00,8.9799,8.99,8.86,8.87,214165
2020-04-16 14:00:00,8.88,8.93,8.865,8.91,93996
2020-04-16 14:05:00,8.905,8.9299,8.775,8.785,172382
2020-04-16 14:10:00,8.7898,8.82,8.76,8.775,146114
2020-04-16 14:15:00,8.78,8.825,8.76,8.78,158030
2020-04-16 14:20:00,8.78,8.8395,8.75,8.815,202164
2020-04-16 14:25:00,8.815,8.89,8.81,8.87,119919
2020-04-16 14:30:00,8.875,8.9,8.85,8.855,66791
2020-04-16 14:35:00,8.86,8.885,8.84,8.86,104837
2020-04-16 14:40:00,8.85,8.935,8.84,8.92,65066
2020-04-16 14:45:00,8.91,8.93,8.87,8.9,95507
2020-04-16 14:50:00,8.89,9.01,8.88,8.91,554559
2020-04-16 14:55:00,8.905,8.99,8.9,8.97,141330
2020-04-16 15:00:00,8.97,8.98,8.94,8.96,84970
2020-04-16 15:05:00,8.965,9.04,8.96,9.025,77796
2020-04-16 15:10:00,9.025,9.07,9.01,9.04,134273
2020-04-16 15:15:00,9.035,9.04,8.99,9.02,148881
2020-04-16 15:20:00,9.02,9.0457,8.96,8.965,228270
2020-04-16 15:25:00,8.96,9.005,8.94,8.94,146413
2020-04-16 15:30:00,8.945,8.965,8.87,8.88,137526
2020-04-16 15:35:00,8.88,8.93,8.87,8.895,85220
2020-04-16 15:40:00,8.899,8.945,8.895,8.9,75372
2020-04-16 15:45:00,8.895,8.92,8.88,8.895,93527
2020-04-16 15:50:00,8.9,9.0,8.9,8.995,65893
2020-04-16 15:55:00,8.99,8.995,8.96,8.97,56973
2020-04-16 16:00:00,8.97,8.99,8.91,8.93,83519
2020-04-16 16:05:00,8.92,8.925,8.865,8.87,80205
2020-04-16 16:10:00,8.872,8.88,8.84,8.86,98249
2020-04-16 16:15:00,8.86,8.88,8.81,8.825,104322
2020-04-16 16:20:00,8.82,8.825,8.8,8.815,81840
2020-04-16 16:25:00,8.817,8.885,8.81,8.885,72330
2020-04-16 16:30:00,8.88,8.92,8.87,8.9,101956
2020-04-16 16:35:00,8.9,8.91,8.875,8.89,75003
2020-04-16 16:40:00,8.881,8.94,8.875,8.91,88225
2020-04-16 16:45:00,8.91,8.91,8.885,8.9095,69900
2020-04-16 16:50:00,8.9,8.92,8.855,8.87,66914
2020-04-16 16:55:00,8.86,8.895,8.85,8.88,69948
2020-04-16 17:00:00,8.88,8.9,8.86,8.8676,99328
2020-04-16 17:05:00,8.865,8.885,8.825,8.83,79290
2020-04-16 17:10:00,8.825,8.86,8.82,8.845,84364
2020-04-16 17:15:00,8.85,8.86,8.81,8.82,89801
2020-04-16 17:20:00,8.825,8.85,8.82,8.84,95487
