datetime,open,high,low,close,volume
2020-04-16 13:30:00,57.32,57.81,57.32,57.43,1654
2020-04-16 13:35:00,57.4,57.51,57.0,57.34,10167
2020-04-16 13:40:00,57.39,57.41,57.01,57.23,5674
2020-04-16 13:45:00,57.25,57.42,57.11,57.31,2400
2020-04-16 13:50:00,57.33,57.47,57.18,57.3,1799
2020-04-16 13:55:00,57.01,57.24,57.01,57.11,1700
2020-04-16 14:00:00,57.08,57.23,56.805,56.805,2508
2020-04-16 14:05:00,56.73,57.2445,56.73,57.03,2683
2020-04-16 14:10:00,57.11,57.2,57.04,57.14,1000
2020-04-16 14:15:00,57.105,57.2,57.07,57.125,1700
2020-04-16 14:20:00,57.29,57.38,57.17,57.22,2674
2020-04-16 14:25:00,57.2,57.31,57.14,57.14,2960
2020-04-16 14:30:00,57.19,57.21,57.01,57.01,2600
2020-04-16 14:35:00,57.06,57.11,57.0,57.0,2454
2020-04-16 14:40:00,57.1,57.11,57.03,57.05,4383
2020-04-16 14:45:00,57.07,57.22,57.07,57.21,2122
2020-04-16 14:50:00,57.22,57.25,57.09,57.09,3500
2020-04-16 14:55:00,57.21,57.5,57.21,57.445,1500
2020-04-16 15:00:00,57.47,57.65,57.38,57.65,2773
2020-04-16 15:05:00,57.56,57.7,57.425,57.62,1018
2020-04-16 15:10:00,57.69,57.89,57.675,57.73,3390
2020-04-16 15:15:00,57.66,57.76,57.62,57.76,1500
2020-04-16 15:20:00,57.85,57.99,57.72,57.98,2800
2020-04-16 15:25:00,58.17,58.17,57.74,57.8,10946
2020-04-16 15:30:00,57.795,57.83,57.64,57.64,3600
2020-04-16 15:35:00,57.59,57.61,57.52,57.58,23707
2020-04-16 15:40:00,57.54,57.73,57.53,57.695,2600
2020-04-16 15:45:00,57.655,57.72,57.58,57.58,3240
2020-04-16 15:50:00,57.6077,57.69,57.54,57.65,7205
2020-04-16 15:55:00,57.635,57.67,57.6,57.67,4800
2020-04-16 16:00:00,57.67,58.04,57.65,58.0,9751
2020-04-16 16:05:00,58.02,58.025,57.7,57.755,3004
2020-04-16 16:10:00,57.75,57.79,57.66,57.74,1960
2020-04-16 16:15:00,57.59,57.595,57.305,57.305,3800
2020-04-16 16:20:00,57.265,57.41,57.13,57.41,5419
2020-04-16 16:25:00,57.52,57.53,57.308,57.52,5701
2020-04-16 16:30:00,57.48,57.59,57.36,57.51,49187
2020-04-16 16:35:00,57.56,57.565,57.425,57.47,4909
2020-04-16 16:40:00,57.5,57.67,57.44,57.495,7858
2020-04-16 16:45:00,57.515,57.515,57.39,57.45,7299
2020-04-16 16:50:00,57.465,57.47,57.245,57.3,5048
2020-04-16 16:55:00,57.22,57.44,57.22,57.33,9004
2020-04-16 17:00:00,57.33,57.41,57.28,57.32,3600
2020-04-16 17:05:00,57.33,57.37,57.28,57.28,8937
2020-04-16 17:10:00,57.255,57.26,57.17,57.23,2500
2020-04-16 17:15:00,57.24,57.35,57.24,57.29,1800
2020-04-16 17:20:00,57.28,57.3,57.19,57.25,800
2020-04-16 17:25:00,57.28,57.33,57.22,57.33,1300
2020-04-16 17:30:00,57.26,57.43,57.26,57.43,900
2020-04-16 17:35:00,57.39,57.44,57.25,57.25,1400
2020-04-16 17:40:00,57.3,57.48,57.225,57.42,2300
2020-04-16 17:45:00,57.395,57.54,57.37,57.515,2800
2020-04-16 17:50:00,57.49,57.51,57.43,57.48,4089
2020-04-16 17:55:00,57.43,57.63,57.43,57.63,2400
2020-04-16 18:00:00,57.55,57.62,57.48,57.57,900
2020-04-16 18:05:00,57.605,57.8,57.555,57.8,2800
2020-04-16 18:10:00,57.7137,57.7892,57.71,57.72,1590
2020-04-16 18:15:00,57.79,57.83,57.72,57.81,3300
2020-04-16 18:20:00,57.81,57.84,57.585,57.6,10919
2020-04-16 18:25:00,57.6,57.8,57.55,57.73,2816
2020-04-16 18:30:00,57.76,57.86,57.725,57.85,5211
2020-04-16 18:35:00,57.85,57.94,57.845,57.86,47683
2020-04-16 18:40:00,57.835,57.87,57.7,57.75,2000
2020-04-16 18:45:00,57.84,57.89,57.77,57.78,1700
