datetime,open,high,low,close,volume
2020-04-16 10:40:00,62.51,62.51,62.51,62.51,300
2020-04-16 10:50:00,62.6,62.6,62.6,62.6,120
2020-04-16 11:00:00,62.64,62.7,62.62,62.62,736
2020-04-16 11:05:00,62.62,62.89,62.62,62.89,202
2020-04-16 11:10:00,62.68,62.98,62.68,62.95,549
2020-04-16 11:20:00,63.01,63.01,63.01,63.01,300
2020-04-16 11:25:00,62.95,63.15,62.95,63.15,825
2020-04-16 11:30:00,63.1,63.1,62.85,62.85,1643
2020-04-16 11:35:00,62.62,62.7,62.61,62.61,768
2020-04-16 11:40:00,62.61,62.61,62.43,62.43,1821
2020-04-16 11:45:00,62.4,62.4,62.33,62.33,850
2020-04-16 11:50:00,62.2,62.2,62.2,62.2,100
2020-04-16 11:55:00,62.4,62.4,62.4,62.4,353
2020-04-16 12:00:00,62.4499,62.4499,62.4499,62.4499,200
2020-04-16 12:05:00,62.2103,62.2103,62.2103,62.2103,300
2020-04-16 12:15:00,62.4,62.4,62.4,62.4,206
2020-04-16 12:20:00,62.2,62.2,62.0,62.0,523
2020-04-16 12:25:00,62.1155,62.15,61.92,61.92,993
2020-04-16 12:30:00,62.58,62.89,62.55,62.7,2592
2020-04-16 12:35:00,62.95,63.0,62.33,62.6,17231
2020-04-16 12:40:00,62.75,62.75,62.75,62.75,100
2020-04-16 12:45:00,62.76,62.76,62.75,62.75,700
2020-04-16 12:50:00,62.65,62.8,62.5,62.8,2623
2020-04-16 13:00:00,62.75,62.88,62.75,62.88,1056
2020-04-16 13:05:00,62.88,62.88,62.67,62.7,3645
2020-04-16 13:10:00,62.84,62.84,62.75,62.75,400
2020-04-16 13:15:00,62.83,62.89,62.65,62.89,3432
2020-04-16 13:20:00,62.9,62.9,62.89,62.89,796
2020-04-16 13:25:00,62.89,62.96,62.6,62.6,4113
2020-04-16 13:30:00,62.46,62.72,61.92,61.92,373345
2020-04-16 13:35:00,61.948,62.04,61.42,61.65,180618
2020-04-16 13:40:00,61.6791,62.101,61.52,61.825,181715
2020-04-16 13:45:00,61.86,62.09,61.71,61.8499,124984
2020-04-16 13:50:00,61.8,61.87,61.5,61.79,148437
2020-04-16 13:55:00,61.7527,62.06,61.575,61.62,133390
2020-04-16 14:00:00,61.63,61.9489,61.615,61.76,99847
2020-04-16 14:05:00,61.8,62.02,61.63,61.63,74127
2020-04-16 14:10:00,61.65,61.85,61.51,61.77,72702
2020-04-16 14:15:00,61.786,62.01,61.75,61.85,97824
2020-04-16 14:20:00,61.845,62.12,61.8,62.1,120462
2020-04-16 14:25:00,62.0965,62.33,61.99,62.18,121173
2020-04-16 14:30:00,62.18,62.235,61.787,61.84,105550
2020-04-16 14:35:00,61.845,61.95,61.72,61.75,96569
2020-04-16 14:40:00,61.75,62.23,61.685,62.12,177318
2020-04-16 14:45:00,62.11,62.16,61.89,62.05,88294
2020-04-16 14:50:00,62.0379,62.08,61.7,61.76,84589
2020-04-16 14:55:00,61.81,62.12,61.81,61.96,59310
2020-04-16 15:00:00,61.99,62.12,61.85,61.975,72906
2020-04-16 15:05:00,62.04,62.44,61.99,62.38,171119
2020-04-16 15:10:00,62.39,62.5,62.0,62.015,83474
2020-04-16 15:15:00,62.02,62.11,61.96,62.02,85060
2020-04-16 15:20:00,61.99,62.07,61.88,62.0,109354
2020-04-16 15:25:00,61.99,62.22,61.81,61.81,113603
2020-04-16 15:30:00,61.81,61.91,61.7058,61.715,121131
2020-04-16 15:35:00,61.715,61.8496,61.62,61.8496,113118
2020-04-16 15:40:00,61.825,62.02,61.82,61.9,54214
2020-04-16 15:45:00,61.93,62.0236,61.85,61.9568,52387
2020-04-16 15:50:00,61.97,62.32,61.96,62.2943,95949
2020-04-16 15:55:00,62.27,62.46,62.22,62.357,110797
2020-04-16 16:00:00,62.38,62.46,62.2,62.295,118464
2020-04-16 16:05:00,62.29,62.33,62.1128,62.115,71845
2020-04-16 16:10:00,62.115,62.23,62.01,62.05,65717
2020-04-16 16:15:00,62.04,62.166,61.77,61.88,105543
2020-04-16 16:20:00,61.91,61.91,61.7,61.75,117305
2020-04-16 16:25:00,61.74,61.9439,61.74,61.9166,117209
2020-04-16 16:30:00,61.92,61.92,61.58,61.68,176756
2020-04-16 16:35:00,61.71,61.71,61.53,61.595,69030
2020-04-16 16:40:00,61.58,61.64,61.51,61.63,59064
2020-04-16 16:45:00,61.64,61.67,61.55,61.6239,69020
2020-04-16 16:50:00,61.61,61.67,61.55,61.5706,66864
2020-04-16 16:55:00,61.57,61.71,61.43,61.4905,148502
2020-04-16 17:00:00,61.4932,61.6,61.435,61.52,88425
2020-04-16 17:05:00,61.5215,61.58,61.33,61.37,98083
2020-04-16 17:10:00,61.37,61.42,61.3,61.38,76963
2020-04-16 17:15:00,61.36,61.67,61.3137,61.65,146262
2020-04-16 17:20:00,61.64,61.8,61.55,61.67,112337
