datetime,open,high,low,close,volume
2020-04-16 13:30:00,15.89,16.04,15.89,15.89,12042
2020-04-16 13:35:00,15.85,15.87,15.79,15.83,16647
2020-04-16 13:40:00,15.85,15.875,15.79,15.83,5210
2020-04-16 13:45:00,15.82,15.84,15.78,15.78,5687
2020-04-16 13:50:00,15.77,15.78,15.74,15.74,2101
2020-04-16 13:55:00,15.75,15.75,15.65,15.65,4244
2020-04-16 14:00:00,15.64,15.66,15.61,15.65,8211
2020-04-16 14:05:00,15.66,15.71,15.64,15.64,5346
2020-04-16 14:10:00,15.6201,15.65,15.62,15.64,6877
2020-04-16 14:15:00,15.65,15.75,15.65,15.735,13408
2020-04-16 14:20:00,15.72,15.77,15.7,15.77,10999
2020-04-16 14:25:00,15.78,15.845,15.78,15.84,5021
2020-04-16 14:30:00,15.84,15.855,15.81,15.83,16679
2020-04-16 14:35:00,15.83,15.86,15.8,15.84,8846
2020-04-16 14:40:00,15.83,15.88,15.83,15.875,1602
2020-04-16 14:45:00,15.87,15.885,15.845,15.88,7223
2020-04-16 14:50:00,15.87,15.87,15.83,15.86,3308
2020-04-16 14:55:00,15.865,15.885,15.85,15.88,7030
2020-04-16 15:00:00,15.88,15.885,15.88,15.885,2200
2020-04-16 15:05:00,15.89,15.925,15.885,15.885,7391
2020-04-16 15:10:00,15.87,15.8756,15.83,15.83,3505
2020-04-16 15:15:00,15.82,15.82,15.76,15.78,8009
2020-04-16 15:20:00,15.77,15.79,15.73,15.79,9908
2020-04-16 15:25:00,15.77,15.81,15.77,15.78,4887
2020-04-16 15:30:00,15.77,15.775,15.71,15.71,9403
2020-04-16 15:35:00,15.7,15.715,15.68,15.715,3954
2020-04-16 15:40:00,15.715,15.75,15.68,15.685,10489
2020-04-16 15:45:00,15.69,15.69,15.68,15.69,2416
2020-04-16 15:50:00,15.7,15.77,15.695,15.77,4696
2020-04-16 15:55:00,15.765,15.78,15.765,15.78,4014
2020-04-16 16:00:00,15.785,15.805,15.74,15.74,9776
2020-04-16 16:05:00,15.74,15.745,15.72,15.72,3175
2020-04-16 16:10:00,15.72,15.72,15.685,15.71,7175
2020-04-16 16:15:00,15.7,15.7,15.64,15.64,900
2020-04-16 16:20:00,15.64,15.645,15.62,15.63,5690
2020-04-16 16:25:00,15.625,15.65,15.62,15.64,2856
2020-04-16 16:30:00,15.63,15.63,15.59,15.6,4096
2020-04-16 16:35:00,15.6,15.635,15.585,15.635,7197
2020-04-16 16:40:00,15.64,15.64,15.61,15.63,3099
2020-04-16 16:45:00,15.635,15.64,15.615,15.635,5105
2020-04-16 16:50:00,15.64,15.65,15.63,15.63,3015
2020-04-16 16:55:00,15.62,15.645,15.62,15.635,4554
2020-04-16 17:00:00,15.63,15.645,15.63,15.63,4397
2020-04-16 17:05:00,15.63,15.64,15.6,15.6,4900
2020-04-16 17:10:00,15.6021,15.62,15.6,15.61,4916
2020-04-16 17:15:00,15.6,15.61,15.58,15.59,3735
2020-04-16 17:20:00,15.595,15.61,15.59,15.6,3070
2020-04-16 17:25:00,15.6,15.62,15.6,15.615,2077
2020-04-16 17:30:00,15.62,15.63,15.605,15.605,4000
2020-04-16 17:35:00,15.61,15.63,15.61,15.62,3796
2020-04-16 17:40:00,15.62,15.63,15.6,15.62,3615
2020-04-16 17:45:00,15.62,15.62,15.61,15.61,1793
2020-04-16 17:50:00,15.62,15.635,15.595,15.61,3060
2020-04-16 17:55:00,15.605,15.63,15.605,15.63,3203
2020-04-16 18:00:00,15.62,15.62,15.6,15.615,4603
2020-04-16 18:05:00,15.615,15.65,15.615,15.64,10244
2020-04-16 18:10:00,15.645,15.65,15.635,15.64,4619
2020-04-16 18:15:00,15.65,15.65,15.63,15.63,1563
2020-04-16 18:20:00,15.63,15.6371,15.625,15.63,6687
2020-04-16 18:25:00,15.64,15.64,15.61,15.61,3000
2020-04-16 18:30:00,15.61,15.635,15.61,15.62,8709
2020-04-16 18:35:00,15.62,15.63,15.605,15.61,6127
2020-04-16 18:40:00,15.61,15.61,15.59,15.59,3057
2020-04-16 18:45:00,15.6,15.62,15.595,15.595,4676
2020-04-16 18:50:00,15.59,15.59,15.55,15.56,8277
2020-04-16 18:55:00,15.565,15.58,15.56,15.56,8179
2020-04-16 19:00:00,15.57,15.59,15.56,15.58,4632
2020-04-16 19:05:00,15.57,15.5946,15.56,15.58,9870
2020-04-16 19:10:00,15.59,15.605,15.585,15.59,3470
2020-04-16 19:15:00,15.6,15.61,15.57,15.58,17018
2020-04-16 19:20:00,15.58,15.615,15.58,15.61,5652
2020-04-16 19:25:00,15.6,15.605,15.59,15.6,6566
2020-04-16 19:30:00,15.61,15.63,15.6,15.605,9352
2020-04-16 19:35:00,15.605,15.605,15.565,15.57,7386
2020-04-16 19:40:00,15.56,15.58,15.52,15.56,47000
2020-04-16 19:45:00,15.56,15.59,15.53,15.555,32407
2020-04-16 19:50:00,15.56,15.57,15.52,15.56,19762
2020-04-16 19:55:00,15.55,15.555,15.53,15.54,31681
2020-04-16 20:00:00,15.54,15.54,15.54,15.54,13264
2020-04-17 13:30:00,15.98,16.18,15.89,16.11,34764
2020-04-17 13:35:00,16.11,16.15,16.05,16.12,20306
2020-04-17 13:40:00,16.13,16.17,16.08,16.1,19562
2020-04-17 13:45:00,16.095,16.2,16.095,16.15,15923
2020-04-17 13:50:00,16.15,16.195,16.13,16.16,19983
2020-04-17 13:55:00,16.16,16.28,16.14,16.28,9224
2020-04-17 14:00:00,16.29,16.3,16.25,16.29,8611
2020-04-17 14:05:00,16.29,16.34,16.28,16.3,10119
2020-04-17 14:10:00,16.3,16.3,16.235,16.26,11627
2020-04-17 14:15:00,16.26,16.28,16.17,16.1775,9466
2020-04-17 14:20:00,16.17,16.2,16.16,16.18,12951
2020-04-17 14:25:00,16.18,16.21,16.16,16.19,7927
2020-04-17 14:30:00,16.18,16.21,16.15,16.18,9628
2020-04-17 14:35:00,16.19,16.195,16.165,16.19,9752
2020-04-17 14:40:00,16.19,16.24,16.19,16.21,13051
2020-04-17 14:45:00,16.21,16.23,16.18,16.19,11804
2020-04-17 14:50:00,16.2,16.24,16.2,16.22,6700
2020-04-17 14:55:00,16.22,16.24,16.22,16.23,3815
2020-04-17 15:00:00,16.221,16.24,16.221,16.235,2621
2020-04-17 15:05:00,16.23,16.2375,16.225,16.23,4667
2020-04-17 15:10:00,16.225,16.24,16.18,16.24,12724
2020-04-17 15:15:00,16.23,16.24,16.21,16.24,4203
2020-04-17 15:20:00,16.24,16.24,16.19,16.215,6077
2020-04-17 15:25:00,16.21,16.23,16.18,16.2,6118
2020-04-17 15:30:00,16.2,16.22,16.19,16.22,3200
2020-04-17 15:35:00,16.23,16.25,16.23,16.24,3583
2020-04-17 15:40:00,16.23,16.25,16.23,16.25,2281
2020-04-17 15:45:00,16.25,16.27,16.24,16.27,4642
2020-04-17 15:50:00,16.26,16.26,16.21,16.21,6163
2020-04-17 15:55:00,16.21,16.22,16.19,16.19,3144
2020-04-17 16:00:00,16.18,16.18,16.17,16.17,3419
2020-04-17 16:05:00,16.17,16.21,16.17,16.19,3102
2020-04-17 16:10:00,16.19,16.22,16.19,16.215,1800
2020-04-17 16:15:00,16.21,16.215,16.2,16.21,2117
2020-04-17 16:20:00,16.21,16.21,16.2,16.2,900
2020-04-17 16:25:00,16.2,16.2,16.18,16.2,5357
2020-04-17 16:30:00,16.2,16.212,16.2,16.212,2917
2020-04-17 16:35:00,16.215,16.235,16.215,16.22,5107
2020-04-17 16:40:00,16.22,16.26,16.22,16.25,3700
2020-04-17 16:45:00,16.25,16.255,16.24,16.245,6900
2020-04-17 16:50:00,16.245,16.245,16.22,16.235,4014
2020-04-17 16:55:00,16.23,16.23,16.22,16.225,1600
2020-04-17 17:00:00,16.22,16.24,16.22,16.235,4220
2020-04-17 17:05:00,16.22,16.225,16.215,16.22,2000
2020-04-17 17:10:00,16.22,16.225,16.21,16.215,4100
2020-04-17 17:15:00,16.21,16.23,16.21,16.225,12559
2020-04-17 17:20:00,16.22,16.225,16.195,16.2,4599
2020-04-17 17:25:00,16.2,16.22,16.195,16.2,8296
2020-04-17 17:30:00,16.2,16.2,16.19,16.195,5280
2020-04-17 17:35:00,16.19,16.2,16.19,16.19,1101
2020-04-17 17:40:00,16.19,16.205,16.185,16.19,3594
2020-04-17 17:45:00,16.185,16.19,16.145,16.145,6600
2020-04-17 17:50:00,16.15,16.19,16.15,16.19,3400
2020-04-17 17:55:00,16.19,16.195,16.18,16.18,3643
2020-04-17 18:00:00,16.185,16.205,16.18,16.19,7549
2020-04-17 18:05:00,16.2,16.205,16.185,16.205,1500
2020-04-17 18:10:00,16.205,16.215,16.18,16.185,4226
2020-04-17 18:15:00,16.18,16.2,16.17,16.195,15733
2020-04-17 18:20:00,16.195,16.21,16.18,16.19,18073
2020-04-17 18:25:00,16.2,16.22,16.185,16.215,24337
2020-04-17 18:30:00,16.215,16.215,16.19,16.205,10330
2020-04-17 18:35:00,16.2,16.2,16.17,16.19,11144
2020-04-17 18:40:00,16.19,16.22,16.19,16.22,11693
2020-04-17 18:45:00,16.22,16.245,16.22,16.24,8199
2020-04-17 18:50:00,16.23,16.23,16.21,16.21,4293
2020-04-17 18:55:00,16.22,16.24,16.22,16.23,2900
2020-04-17 19:00:00,16.245,16.27,16.24,16.26,5703
2020-04-17 19:05:00,16.26,16.26,16.23,16.24,11042
2020-04-17 19:10:00,16.24,16.2459,16.22,16.23,4821
2020-04-17 19:15:00,16.23,16.24,16.23,16.238,1232
2020-04-17 19:20:00,16.24,16.24,16.23,16.23,2571
2020-04-17 19:25:00,16.24,16.31,16.235,16.305,20140
2020-04-17 19:30:00,16.31,16.35,16.31,16.34,11403
2020-04-17 19:35:00,16.35,16.38,16.335,16.37,17977
2020-04-17 19:40:00,16.38,16.45,16.37,16.45,60610
2020-04-17 19:45:00,16.46,16.485,16.435,16.45,23705
2020-04-17 19:50:00,16.47,16.52,16.44,16.51,57035
2020-04-17 19:55:00,16.51,16.51,16.43,16.48,82174
2020-04-17 20:00:00,16.48,16.48,16.48,16.48,70947
2020-04-20 08:20:00,16.48,16.48,16.48,16.48,300
2020-04-20 11:40:00,16.3,16.3,16.3,16.3,100
2020-04-20 12:25:00,16.3,16.3,16.3,16.3,200
2020-04-20 13:20:00,16.2,16.2,16.09,16.09,452
2020-04-20 13:25:00,16.2,16.2,16.2,16.2,100
2020-04-20 13:30:00,16.27,16.27,16.05,16.17,22179
2020-04-20 13:35:00,16.15,16.15,16.06,16.12,14135
2020-04-20 13:40:00,16.13,16.21,16.12,16.19,8788
2020-04-20 13:45:00,16.18,16.305,16.18,16.29,9987
