datetime,open,high,low,close,volume
2020-04-27 17:35:00,9.95,9.95,9.95,9.95,200
2020-04-27 17:50:00,9.94,9.94,9.87,9.93,101400
2020-04-27 17:55:00,9.9499,9.95,9.9499,9.95,200
2020-04-27 18:00:00,9.945,9.945,9.945,9.945,100
2020-04-27 18:05:00,9.9252,9.945,9.9,9.9,5491
2020-04-27 18:10:00,9.9172,9.9172,9.9172,9.9172,100
2020-04-27 18:15:00,9.9118,9.9118,9.86,9.86,201
2020-04-27 18:20:00,9.9316,9.9316,9.9316,9.9316,100
2020-04-27 18:35:00,9.94,9.94,9.94,9.94,251
2020-04-27 18:50:00,9.9284,9.9284,9.9284,9.9284,1000
2020-04-27 18:55:00,9.9284,9.94,9.9284,9.9284,4200
2020-04-27 19:00:00,9.9285,9.9285,9.9285,9.9285,1000
2020-04-27 19:05:00,9.92,9.92,9.9,9.9,58675
2020-04-27 19:10:00,9.935,9.935,9.92,9.92,200
2020-04-27 19:15:00,9.95,9.95,9.92,9.92,1000
2020-04-27 19:30:00,9.92,9.92,9.92,9.92,1210
2020-04-27 19:50:00,9.92,9.92,9.9,9.9,200
2020-04-28 13:30:00,9.9283,9.9283,9.9283,9.9283,300
2020-04-28 13:40:00,9.91,9.91,9.9,9.9,1090
2020-04-28 13:50:00,9.81,9.96,9.81,9.96,2500
2020-04-28 15:00:00,9.95,9.95,9.95,9.95,1000000
2020-04-28 15:10:00,9.8647,9.8647,9.8647,9.8647,100
2020-04-28 15:40:00,9.9145,9.93,9.9145,9.9151,2000
2020-04-28 16:15:00,9.9,9.9,9.9,9.9,1000
2020-04-28 16:25:00,9.9,9.9,9.9,9.9,100000
2020-04-28 16:55:00,9.89,9.89,9.89,9.89,100
2020-04-28 17:35:00,9.9,9.9,9.9,9.9,500
2020-04-28 17:40:00,9.9,9.9,9.9,9.9,200
2020-04-28 17:45:00,9.9013,9.9013,9.9013,9.9013,400
2020-04-28 17:50:00,9.9,9.9,9.9,9.9,500
2020-04-28 18:10:00,9.9001,9.9001,9.9001,9.9001,100
2020-04-28 19:20:00,9.9,9.9,9.9,9.9,120200
2020-04-28 19:25:00,9.9,9.9,9.9,9.9,200
2020-04-29 13:30:00,9.9,9.9,9.9,9.9,100
2020-04-29 14:05:00,9.8999,9.8999,9.8999,9.8999,290
2020-04-29 15:50:00,9.91,9.97,9.91,9.97,3300
2020-04-29 15:55:00,9.91,9.91,9.91,9.91,100
2020-04-29 19:00:00,9.91,9.91,9.91,9.91,100
