datetime,open,high,low,close,volume
2020-04-16 08:00:00,14.95,14.95,14.95,14.95,100
2020-04-16 08:05:00,14.85,14.85,14.85,14.85,100
2020-04-16 08:10:00,14.86,14.86,14.86,14.86,1056
2020-04-16 09:00:00,14.89,14.89,14.89,14.89,197
2020-04-16 09:20:00,14.95,14.97,14.91,14.91,600
2020-04-16 09:35:00,14.9,14.9,14.86,14.86,2995
2020-04-16 11:00:00,14.9,14.9,14.9,14.9,300
2020-04-16 11:05:00,14.82,14.82,14.82,14.82,200
2020-04-16 11:35:00,14.93,14.93,14.93,14.93,302
2020-04-16 11:40:00,14.93,14.93,14.93,14.93,6000
2020-04-16 11:45:00,14.9,14.9,14.9,14.9,5167
2020-04-16 11:55:00,14.79,14.79,14.79,14.79,445
2020-04-16 12:05:00,14.85,14.85,14.78,14.78,2343
2020-04-16 12:20:00,14.75,14.8,14.7,14.8,423
2020-04-16 12:35:00,14.8,14.8,14.75,14.8,4152
2020-04-16 12:40:00,14.78,14.78,14.78,14.78,100
2020-04-16 12:50:00,14.78,14.78,14.72,14.72,200
2020-04-16 12:55:00,14.57,14.57,14.57,14.57,100
2020-04-16 13:00:00,14.93,14.93,14.89,14.89,977
2020-04-16 13:05:00,14.75,14.75,14.75,14.75,140
2020-04-16 13:10:00,14.9,14.9,14.76,14.76,6294
2020-04-16 13:15:00,14.9267,14.9267,14.8,14.8,300
2020-04-16 13:20:00,14.76,14.76,14.74,14.75,1045
2020-04-16 13:25:00,14.75,14.85,14.6,14.85,7234
2020-04-16 13:30:00,14.64,14.76,14.26,14.26,412385
2020-04-16 13:35:00,14.26,14.37,14.19,14.285,302221
2020-04-16 13:40:00,14.29,14.405,14.27,14.37,208571
2020-04-16 13:45:00,14.37,14.4069,14.24,14.27,209480
2020-04-16 13:50:00,14.27,14.28,14.15,14.19,242323
2020-04-16 13:55:00,14.195,14.21,14.11,14.1201,197208
2020-04-16 14:00:00,14.12,14.15,14.05,14.105,183449
2020-04-16 14:05:00,14.105,14.14,14.07,14.14,170897
2020-04-16 14:10:00,14.14,14.15,13.98,14.01,332523
2020-04-16 14:15:00,14.005,14.07,13.99,13.995,190235
2020-04-16 14:20:00,13.995,14.115,13.96,14.115,213972
2020-04-16 14:25:00,14.115,14.15,14.05,14.14,199771
2020-04-16 14:30:00,14.14,14.18,14.02,14.06,185230
2020-04-16 14:35:00,14.07,14.255,14.04,14.215,203268
2020-04-16 14:40:00,14.22,14.31,14.185,14.2542,237723
2020-04-16 14:45:00,14.255,14.3,14.19,14.26,147846
2020-04-16 14:50:00,14.26,14.36,14.26,14.34,189508
2020-04-16 14:55:00,14.32,14.49,14.31,14.4,230889
2020-04-16 15:00:00,14.4035,14.54,14.37,14.45,228172
2020-04-16 15:05:00,14.46,14.57,14.435,14.545,117042
2020-04-16 15:10:00,14.55,14.56,14.39,14.41,232148
2020-04-16 15:15:00,14.42,14.47,14.34,14.375,163765
2020-04-16 15:20:00,14.37,14.37,14.215,14.235,179736
2020-04-16 15:25:00,14.235,14.245,14.105,14.125,210540
2020-04-16 15:30:00,14.11,14.21,14.11,14.165,302801
2020-04-16 15:35:00,14.165,14.295,14.16,14.28,163958
2020-04-16 15:40:00,14.2717,14.32,14.24,14.305,194865
2020-04-16 15:45:00,14.31,14.32,14.23,14.25,77146
2020-04-16 15:50:00,14.26,14.38,14.26,14.375,82598
2020-04-16 15:55:00,14.38,14.43,14.35,14.365,163643
2020-04-16 16:00:00,14.37,14.4501,14.3302,14.443,148174
2020-04-16 16:05:00,14.4499,14.4499,14.39,14.4,255976
2020-04-16 16:10:00,14.41,14.425,14.37,14.395,146088
2020-04-16 16:15:00,14.39,14.415,14.29,14.31,117670
2020-04-16 16:20:00,14.3001,14.33,14.27,14.29,115992
2020-04-16 16:25:00,14.3,14.325,14.29,14.31,88059
2020-04-16 16:30:00,14.315,14.315,14.24,14.26,120199
2020-04-16 16:35:00,14.27,14.31,14.21,14.265,165808
2020-04-16 16:40:00,14.26,14.29,14.21,14.24,120135
2020-04-16 16:45:00,14.24,14.245,14.16,14.185,63022
2020-04-16 16:50:00,14.18,14.2,14.155,14.16,102797
2020-04-16 16:55:00,14.165,14.22,14.15,14.2,116244
2020-04-16 17:00:00,14.2,14.23,14.19,14.22,70677
2020-04-16 17:05:00,14.225,14.27,14.1732,14.175,139250
2020-04-16 17:10:00,14.17,14.19,14.15,14.185,79464
2020-04-16 17:15:00,14.18,14.2,14.15,14.185,98225
2020-04-16 17:20:00,14.18,14.21,14.17,14.17,103985
2020-04-16 17:25:00,14.17,14.185,14.13,14.165,95242
2020-04-16 17:30:00,14.165,14.18,14.13,14.175,98071
2020-04-16 17:35:00,14.18,14.22,14.155,14.185,179341
2020-04-16 17:40:00,14.18,14.23,14.17,14.225,140266
2020-04-16 17:45:00,14.225,14.23,14.1,14.1,143959
2020-04-16 17:50:00,14.105,14.125,14.071,14.11,108847
2020-04-16 17:55:00,14.105,14.14,14.08,14.11,100105
2020-04-16 18:00:00,14.115,14.12,14.08,14.1,54075
2020-04-16 18:05:00,14.1036,14.1595,14.09,14.14,253966
2020-04-16 18:10:00,14.135,14.135,14.1,14.115,172987
2020-04-16 18:15:00,14.12,14.165,14.12,14.13,112537
2020-04-16 18:20:00,14.13,14.14,14.06,14.115,122229
2020-04-16 18:25:00,14.11,14.15,14.09,14.13,92009
2020-04-16 18:30:00,14.135,14.15,14.11,14.11,206141
2020-04-16 18:35:00,14.11,14.19,14.08,14.15,116164
2020-04-16 18:40:00,14.15,14.17,14.15,14.16,106019
2020-04-16 18:45:00,14.16,14.17,14.13,14.13,77240
2020-04-16 18:50:00,14.13,14.16,14.12,14.135,206404
2020-04-16 18:55:00,14.13,14.14,14.09,14.09,117099
2020-04-16 19:00:00,14.1,14.13,14.09,14.09,116182
2020-04-16 19:05:00,14.1,14.11,14.06,14.065,189068
2020-04-16 19:10:00,14.065,14.0999,14.06,14.085,131628
2020-04-16 19:15:00,14.08,14.11,14.05,14.07,136343
2020-04-16 19:20:00,14.075,14.11,14.05,14.09,186023
2020-04-16 19:25:00,14.09,14.135,14.07,14.135,271383
2020-04-16 19:30:00,14.14,14.2,14.11,14.155,334547
2020-04-16 19:35:00,14.16,14.18,14.14,14.14,366110
2020-04-16 19:40:00,14.145,14.16,14.11,14.13,321477
2020-04-16 19:45:00,14.125,14.14,14.0617,14.08,515339
2020-04-16 19:50:00,14.08,14.1383,14.05,14.09,401341
2020-04-16 19:55:00,14.095,14.11,14.05,14.05,772566
2020-04-16 20:00:00,14.05,14.0802,14.05,14.0802,1671786
2020-04-16 20:05:00,14.08,14.08,14.08,14.08,100
2020-04-16 20:10:00,14.05,14.12,14.05,14.12,466
2020-04-16 20:15:00,14.08,14.09,14.08,14.09,702
2020-04-16 20:20:00,14.09,14.09,14.08,14.08,4777
2020-04-16 20:25:00,14.05,14.05,14.05,14.05,650
2020-04-16 20:30:00,14.01,14.05,14.01,14.01,2242
2020-04-16 20:35:00,14.05,14.08,14.02,14.08,6192
2020-04-16 20:40:00,14.01,14.05,14.01,14.05,287352
2020-04-16 20:45:00,14.02,14.02,14.02,14.02,970
2020-04-16 20:50:00,14.08,14.12,14.08,14.12,4480
2020-04-16 20:55:00,14.1,14.12,14.1,14.12,567
2020-04-16 21:00:00,14.2,14.24,14.2,14.24,1500
2020-04-16 21:05:00,14.23,14.23,14.23,14.23,1433
2020-04-16 21:10:00,14.24,14.42,14.21,14.42,2185
2020-04-16 21:15:00,14.42,14.42,14.25,14.25,6582
2020-04-16 21:20:00,14.4,14.55,14.4,14.55,7049
2020-04-16 21:25:00,14.53,14.53,14.5,14.5,1600
2020-04-16 21:30:00,14.5,14.6,14.5,14.55,3047
2020-04-16 21:35:00,14.55,14.65,14.55,14.6,8428
2020-04-16 21:40:00,14.55,14.55,14.53,14.55,3741
2020-04-16 21:45:00,14.54,14.54,14.5,14.5,864
2020-04-16 21:50:00,14.51,14.58,14.5,14.58,7872
2020-04-16 21:55:00,14.59,14.59,14.38,14.59,1366
2020-04-16 22:00:00,14.59,14.59,14.5,14.51,9304
2020-04-16 22:05:00,14.38,14.51,14.38,14.51,2617
2020-04-16 22:10:00,14.51,14.59,14.51,14.59,9250
2020-04-16 22:15:00,14.58,14.59,14.55,14.59,1105
2020-04-16 22:20:00,14.55,14.59,14.55,14.59,12730
2020-04-16 22:25:00,14.59,14.65,14.59,14.65,2839
2020-04-16 22:30:00,14.65,14.7,14.65,14.7,18581
2020-04-16 22:35:00,14.78,14.78,14.78,14.78,400
2020-04-16 22:40:00,14.78,14.78,14.59,14.78,769
2020-04-16 22:45:00,14.6,14.6999,14.6,14.65,4500
2020-04-16 22:50:00,14.65,14.65,14.62,14.62,1985
2020-04-16 22:55:00,14.75,14.95,14.72,14.95,2025
2020-04-16 23:00:00,14.78,14.9,14.78,14.78,1842
2020-04-16 23:05:00,14.72,14.75,14.72,14.75,2855
2020-04-16 23:10:00,14.72,14.72,14.72,14.72,647
2020-04-16 23:15:00,14.72,14.72,14.6,14.6,1396
2020-04-16 23:20:00,14.72,14.87,14.72,14.87,4000
2020-04-16 23:25:00,14.87,15.0,14.87,15.0,1951
2020-04-16 23:30:00,15.0,15.05,15.0,15.04,3075
2020-04-16 23:35:00,14.95,15.05,14.95,15.01,2195
2020-04-16 23:40:00,15.05,15.05,14.95,14.97,4200
2020-04-16 23:45:00,14.51,14.51,14.51,14.51,250
2020-04-16 23:50:00,14.9699,14.9699,14.9699,14.9699,4000
2020-04-16 23:55:00,14.95,14.96,14.75,14.94,10927
2020-04-17 08:25:00,15.04,15.04,15.04,15.04,1700
2020-04-17 08:35:00,14.99,14.99,14.99,14.99,224
2020-04-17 08:55:00,14.85,14.85,14.85,14.85,100
2020-04-17 09:10:00,14.8,14.8,14.8,14.8,340
2020-04-17 09:15:00,14.8,14.8,14.8,14.8,160
2020-04-17 10:00:00,14.8,14.8,14.8,14.8,179
2020-04-17 10:05:00,14.3,14.3,14.3,14.3,998
2020-04-17 10:10:00,14.65,14.65,14.65,14.65,100
2020-04-17 10:15:00,14.65,14.85,14.65,14.78,1110
2020-04-17 10:25:00,14.8,14.8,14.8,14.8,500
2020-04-17 10:35:00,14.8,14.8,14.8,14.8,1000
2020-04-17 10:50:00,14.8,15.1,14.8,15.1,22016
2020-04-17 10:55:00,14.9,14.9,14.9,14.9,615
2020-04-17 11:00:00,15.1,15.15,15.1,15.1,4252
2020-04-17 11:05:00,15.05,15.1,15.0,15.1,600
2020-04-17 11:10:00,15.04,15.14,15.04,15.04,2710
2020-04-17 11:15:00,15.04,15.18,14.99,15.18,4714
2020-04-17 11:20:00,15.1,15.1,14.75,14.75,18065
2020-04-17 11:25:00,15.0,15.0,15.0,15.0,1000
2020-04-17 11:30:00,15.0,15.0,14.9,15.0,2256
2020-04-17 11:35:00,14.88,15.09,14.85,14.85,930
2020-04-17 11:40:00,14.95,14.95,14.8,14.95,1155
2020-04-17 11:45:00,14.82,14.89,14.61,14.62,3472
2020-04-17 11:50:00,14.89,14.98,14.89,14.9,1305
2020-04-17 11:55:00,14.8,14.8,14.8,14.8,1000
2020-04-17 12:00:00,14.95,14.95,14.85,14.85,10496
2020-04-17 12:05:00,14.88,14.9,14.7,14.9,13200
2020-04-17 12:10:00,14.9,14.9,14.88,14.88,2763
2020-04-17 12:15:00,14.88,14.9,14.8,14.87,9135
2020-04-17 12:20:00,14.8,14.9,14.77,14.86,4435
2020-04-17 12:25:00,14.83,14.9,14.71,14.8,10260
2020-04-17 12:30:00,14.7999,14.85,14.61,14.72,6467
2020-04-17 12:35:00,14.72,14.9,14.72,14.85,5125
2020-04-17 12:40:00,14.85,14.85,14.6,14.8,7328
2020-04-17 12:45:00,14.75,14.77,14.55,14.75,6928
2020-04-17 12:50:00,14.58,14.63,14.57,14.58,6797
2020-04-17 12:55:00,14.59,14.68,14.59,14.67,1499
2020-04-17 13:00:00,14.64,14.75,14.5,14.6,27347
2020-04-17 13:05:00,14.6,14.6,14.27,14.48,10158
2020-04-17 13:10:00,14.6,14.6,14.19,14.4,2393
2020-04-17 13:15:00,14.4,14.41,14.4,14.4,600
2020-04-17 13:20:00,14.59,14.59,14.44,14.44,1856
2020-04-17 13:25:00,14.4,14.7,14.4,14.7,9185
2020-04-17 13:30:00,14.72,14.79,14.2,14.7,1847574
2020-04-17 13:35:00,14.7,14.75,14.34,14.375,710169
2020-04-17 13:40:00,14.37,14.42,14.195,14.4043,648056
2020-04-17 13:45:00,14.4,14.72,14.4,14.59,1053222
2020-04-17 13:50:00,14.61,14.98,14.585,14.93,814752
2020-04-17 13:55:00,14.94,15.19,14.9,15.16,881410
2020-04-17 14:00:00,15.161,15.3,15.07,15.145,842125
2020-04-17 14:05:00,15.15,15.19,14.92,14.95,824137
2020-04-17 14:10:00,14.97,15.0,14.77,14.79,600609
2020-04-17 14:15:00,14.79,14.9,14.66,14.86,435668
2020-04-17 14:20:00,14.8585,14.88,14.67,14.745,278391
2020-04-17 14:25:00,14.74,14.84,14.72,14.77,176711
2020-04-17 14:30:00,14.76,14.81,14.7,14.71,293522
2020-04-17 14:35:00,14.71,14.735,14.6502,14.705,156310
2020-04-17 14:40:00,14.71,14.865,14.71,14.825,206388
2020-04-17 14:45:00,14.83,14.86,14.72,14.77,212232
2020-04-17 14:50:00,14.76,14.83,14.7,14.81,271637
2020-04-17 14:55:00,14.809,14.88,14.76,14.805,174756
2020-04-17 15:00:00,14.8067,14.92,14.8,14.86,252500
2020-04-17 15:05:00,14.85,14.98,14.81,14.935,332436
2020-04-17 15:10:00,14.93,14.98,14.86,14.97,308336
2020-04-17 15:15:00,14.9633,15.01,14.93,14.9937,340037
2020-04-17 15:20:00,14.99,15.01,14.82,14.9,307154
2020-04-17 15:25:00,14.89,14.98,14.86,14.871,234986
2020-04-17 15:30:00,14.87,14.91,14.82,14.875,217998
2020-04-17 15:35:00,14.873,14.905,14.86,14.9,101996
2020-04-17 15:40:00,14.9,14.91,14.82,14.85,179209
2020-04-17 15:45:00,14.86,14.9,14.71,14.7452,175014
2020-04-17 15:50:00,14.735,14.7525,14.65,14.69,190441
2020-04-17 15:55:00,14.68,14.77,14.61,14.765,195086
2020-04-17 16:00:00,14.765,14.88,14.7,14.85,193027
2020-04-17 16:05:00,14.85,14.985,14.85,14.97,199692
2020-04-17 16:10:00,14.975,15.02,14.93,15.01,203925
2020-04-17 16:15:00,15.01,15.085,14.9801,15.0701,170546
2020-04-17 16:20:00,15.08,15.1,14.94,14.95,165205
2020-04-17 16:25:00,14.9602,15.02,14.91,14.94,226882
2020-04-17 16:30:00,14.95,15.03,14.94,15.03,123437
2020-04-17 16:35:00,15.028,15.028,14.96,15.0,187277
2020-04-17 16:40:00,14.995,15.05,14.96,15.0,214104
2020-04-17 16:45:00,15.0,15.08,15.0,15.07,231567
2020-04-17 16:50:00,15.07,15.085,14.97,15.02,225155
2020-04-17 16:55:00,15.01,15.035,14.995,15.025,139571
2020-04-17 17:00:00,15.02,15.12,15.005,15.06,301857
2020-04-17 17:05:00,15.07,15.09,15.0,15.0499,101606
2020-04-17 17:10:00,15.05,15.13,15.02,15.119,131326
2020-04-17 17:15:00,15.11,15.185,15.1,15.17,371679
2020-04-17 17:20:00,15.18,15.195,15.13,15.175,263585
2020-04-17 17:25:00,15.18,15.2,15.17,15.2,244733
2020-04-17 17:30:00,15.1901,15.25,15.19,15.2,413729
2020-04-17 17:35:00,15.205,15.4,15.2,15.385,375439
2020-04-17 17:40:00,15.38,15.4,15.29,15.305,174156
2020-04-17 17:45:00,15.3047,15.31,15.19,15.205,222598
2020-04-17 17:50:00,15.19,15.205,15.13,15.15,245169
2020-04-17 17:55:00,15.1401,15.22,15.13,15.2,208804
2020-04-17 18:00:00,15.205,15.21,15.06,15.095,289493
2020-04-17 18:05:00,15.1,15.1,15.02,15.02,197252
2020-04-17 18:10:00,15.0299,15.03,14.9,14.93,212584
2020-04-17 18:15:00,14.935,14.95,14.83,14.895,378771
2020-04-17 18:20:00,14.89,15.06,14.86,14.98,316341
2020-04-17 18:25:00,14.98,15.07,14.95,14.9866,188577
2020-04-17 18:30:00,14.985,14.985,14.92,14.965,220516
2020-04-17 18:35:00,14.96,15.04,14.9,15.0234,296544
2020-04-17 18:40:00,15.03,15.0598,14.98,15.03,162808
2020-04-17 18:45:00,15.03,15.04,14.95,14.96,229342
2020-04-17 18:50:00,14.955,15.06,14.95,14.97,356219
2020-04-17 18:55:00,14.975,15.01,14.92,14.975,177603
2020-04-17 19:00:00,14.97,14.995,14.93,14.95,185085
2020-04-17 19:05:00,14.955,14.98,14.92,14.96,108608
2020-04-17 19:10:00,14.97,14.97,14.9,14.92,90604
2020-04-17 19:15:00,14.93,14.93,14.85,14.875,208686
2020-04-17 19:20:00,14.875,14.9,14.82,14.895,250344
2020-04-17 19:25:00,14.8963,14.97,14.88,14.93,267182
2020-04-17 19:30:00,14.925,15.04,14.925,14.97,288488
2020-04-17 19:35:00,14.97,15.07,14.97,15.07,287599
2020-04-17 19:40:00,15.07,15.1,15.02,15.08,305335
2020-04-17 19:45:00,15.08,15.2,15.06,15.2,470230
2020-04-17 19:50:00,15.195,15.32,15.19,15.3,676701
2020-04-17 19:55:00,15.2999,15.33,15.24,15.28,1061098
2020-04-17 20:00:00,15.28,15.28,15.23,15.28,5690228
2020-04-17 20:05:00,15.28,15.28,15.25,15.25,2296
2020-04-17 20:10:00,15.25,15.25,15.23,15.23,480
2020-04-17 20:15:00,15.3699,15.3699,15.21,15.21,7004
2020-04-17 20:25:00,15.22,15.22,15.21,15.21,6130
2020-04-17 20:40:00,15.2282,15.2282,15.2,15.2,800
2020-04-17 20:50:00,15.13,15.13,15.13,15.13,108
2020-04-17 21:20:00,15.12,15.28,15.12,15.23,21870
2020-04-17 21:30:00,15.21,15.21,15.21,15.21,605
2020-04-17 21:35:00,15.21,15.23,15.21,15.23,616
2020-04-17 21:40:00,15.28,15.28,15.28,15.28,243
2020-04-17 21:50:00,15.25,15.25,15.25,15.25,100
2020-04-17 21:55:00,15.21,15.21,15.21,15.21,492
2020-04-17 22:00:00,15.28,15.28,15.28,15.28,100
2020-04-17 22:05:00,15.28,15.28,15.28,15.28,250
2020-04-17 22:40:00,15.28,15.28,15.28,15.28,523
2020-04-17 22:45:00,15.28,15.28,15.28,15.28,523
2020-04-17 22:55:00,15.25,15.25,15.23,15.23,1011
2020-04-17 23:20:00,15.18,15.18,15.15,15.15,510
2020-04-17 23:45:00,15.28,15.28,15.28,15.28,236
2020-04-17 23:50:00,15.28,15.28,15.16,15.16,1101
2020-04-17 23:55:00,15.16,15.28,15.16,15.28,1825
2020-04-20 08:00:00,15.08,15.08,14.7,14.7,908
2020-04-20 08:05:00,14.7,14.7,14.7,14.7,1000
2020-04-20 08:20:00,14.9,14.9,14.9,14.9,100
2020-04-20 08:25:00,14.8,14.8,14.8,14.8,1666
2020-04-20 08:55:00,14.65,14.65,14.6,14.6,1862
2020-04-20 09:00:00,14.69,14.69,14.69,14.69,6900
2020-04-20 09:05:00,14.69,14.69,14.69,14.69,200
2020-04-20 09:10:00,14.69,14.75,14.69,14.75,500
2020-04-20 09:15:00,14.75,14.75,14.75,14.75,500
2020-04-20 09:35:00,14.58,14.58,14.58,14.58,100
2020-04-20 09:40:00,14.68,14.68,14.68,14.68,500
2020-04-20 09:45:00,14.67,14.67,14.67,14.67,100
2020-04-20 09:50:00,14.69,14.69,14.69,14.69,300
2020-04-20 09:55:00,14.65,14.65,14.65,14.65,100
2020-04-20 10:00:00,14.51,14.6,14.5,14.6,6052
2020-04-20 10:05:00,14.6,14.69,14.5,14.69,3031
2020-04-20 10:10:00,14.6,14.65,14.6,14.65,600
2020-04-20 10:20:00,14.6,14.6,14.56,14.56,1500
2020-04-20 10:25:00,14.54,14.69,14.5,14.69,2000
2020-04-20 10:30:00,14.55,14.55,14.45,14.5,5585
2020-04-20 10:40:00,14.45,14.45,14.4,14.4,500
2020-04-20 10:45:00,14.4,14.4,14.4,14.4,100
2020-04-20 10:50:00,14.4,14.4,14.4,14.4,600
2020-04-20 11:00:00,14.58,14.68,14.25,14.4,16605
2020-04-20 11:10:00,14.42,14.42,14.35,14.35,4895
2020-04-20 11:15:00,14.37,14.39,14.37,14.38,1000
2020-04-20 11:20:00,14.4,14.4,14.3,14.3,16660
2020-04-20 11:25:00,14.31,14.4,14.17,14.4,8434
2020-04-20 11:30:00,14.3,14.38,14.27,14.27,2312
2020-04-20 11:35:00,14.36,14.36,14.25,14.25,2253
2020-04-20 11:40:00,14.26,14.26,14.1,14.24,24253
2020-04-20 11:45:00,14.24,14.24,14.11,14.11,1146
2020-04-20 11:50:00,14.18,14.18,14.0,14.0,23416
2020-04-20 11:55:00,14.1,14.1,14.0,14.0002,22436
2020-04-20 12:00:00,14.1,14.18,14.05,14.09,12856
2020-04-20 12:05:00,14.15,14.23,14.1102,14.21,2930
2020-04-20 12:10:00,14.23,14.29,14.2,14.29,2353
2020-04-20 12:15:00,14.29,14.33,14.2,14.25,8060
2020-04-20 12:20:00,14.2,14.21,14.15,14.2,13999
2020-04-20 12:25:00,14.2,14.39,14.2,14.25,14215
2020-04-20 12:30:00,14.22,14.25,14.22,14.22,2693
2020-04-20 12:35:00,14.2,14.25,14.16,14.16,5793
2020-04-20 12:40:00,14.2,14.2,14.17,14.2,1900
2020-04-20 12:45:00,14.2499,14.25,14.16,14.2,16479
2020-04-20 12:50:00,14.2,14.2,14.1,14.18,14623
2020-04-20 12:55:00,14.11,14.25,14.1,14.1501,15863
2020-04-20 13:00:00,14.17,14.19,14.07,14.1,11123
2020-04-20 13:05:00,14.1,14.15,14.02,14.05,20431
2020-04-20 13:10:00,14.05,14.1,14.0,14.07,20159
2020-04-20 13:15:00,14.05,14.06,14.0,14.05,19476
2020-04-20 13:20:00,14.09,14.15,14.01,14.08,5607
2020-04-20 13:25:00,14.1,14.23,14.1,14.12,11781
2020-04-20 13:30:00,14.07,14.35,14.01,14.27,1099051
2020-04-20 13:35:00,14.28,14.44,14.17,14.3,415185
2020-04-20 13:40:00,14.3,14.73,14.29,14.67,480163
2020-04-20 13:45:00,14.675,14.795,14.62,14.77,336730
2020-04-20 13:50:00,14.775,15.03,14.72,14.77,467207
2020-04-20 13:55:00,14.765,14.93,14.74,14.77,242074
2020-04-20 14:00:00,14.77,14.83,14.67,14.785,319795
2020-04-20 14:05:00,14.79,14.905,14.75,14.845,268180
2020-04-20 14:10:00,14.84,14.93,14.81,14.835,251904
2020-04-20 14:15:00,14.8385,14.95,14.803,14.88,253516
2020-04-20 14:20:00,14.871,14.9,14.821,14.89,137432
2020-04-20 14:25:00,14.89,14.94,14.75,14.75,201369
2020-04-20 14:30:00,14.76,14.82,14.73,14.795,296681
2020-04-20 14:35:00,14.79,14.895,14.79,14.875,141250
2020-04-20 14:40:00,14.88,15.0742,14.86,15.03,267290
2020-04-20 14:45:00,15.04,15.2148,15.04,15.205,315045
2020-04-20 14:50:00,15.2,15.27,15.13,15.22,210474
2020-04-20 14:55:00,15.2299,15.34,15.19,15.28,367425
2020-04-20 15:00:00,15.27,15.445,15.27,15.3343,230612
2020-04-20 15:05:00,15.34,15.39,15.27,15.33,159791
2020-04-20 15:10:00,15.3299,15.3313,15.2,15.205,188310
2020-04-20 15:15:00,15.2099,15.2899,15.18,15.245,121405
2020-04-20 15:20:00,15.25,15.3269,15.21,15.3,80335
2020-04-20 15:25:00,15.29,15.35,15.25,15.315,98230
2020-04-20 15:30:00,15.315,15.38,15.27,15.38,129609
2020-04-20 15:35:00,15.38,15.595,15.36,15.56,331157
2020-04-20 15:40:00,15.56,15.68,15.56,15.64,255201
2020-04-20 15:45:00,15.64,15.7201,15.58,15.69,145198
2020-04-20 15:50:00,15.69,15.69,15.58,15.64,156585
2020-04-20 15:55:00,15.64,15.74,15.63,15.6666,170107
2020-04-20 16:00:00,15.665,15.665,15.53,15.53,157775
2020-04-20 16:05:00,15.53,15.6,15.52,15.57,129465
2020-04-20 16:10:00,15.57,15.58,15.4049,15.4334,163489
2020-04-20 16:15:00,15.43,15.43,15.352,15.4,182109
2020-04-20 16:20:00,15.4,15.465,15.39,15.45,118104
2020-04-20 16:25:00,15.46,15.49,15.4,15.4268,116587
2020-04-20 16:30:00,15.43,15.52,15.43,15.48,110455
2020-04-20 16:35:00,15.49,15.515,15.43,15.43,106762
2020-04-20 16:40:00,15.43,15.435,15.3542,15.36,166461
2020-04-20 16:45:00,15.3667,15.3998,15.32,15.3439,157187
2020-04-20 16:50:00,15.3417,15.365,15.23,15.257,209684
2020-04-20 16:55:00,15.255,15.28,15.2201,15.2331,172472
2020-04-20 17:00:00,15.24,15.26,15.12,15.185,234666
2020-04-20 17:05:00,15.1887,15.26,15.18,15.245,149220
2020-04-20 17:10:00,15.2437,15.34,15.24,15.255,175026
2020-04-20 17:15:00,15.25,15.31,15.25,15.27,91725
2020-04-20 17:20:00,15.27,15.37,15.27,15.35,107528
2020-04-20 17:25:00,15.349,15.44,15.33,15.42,156422
2020-04-20 17:30:00,15.4282,15.4283,15.31,15.348,122275
2020-04-20 17:35:00,15.35,15.355,15.26,15.34,123540
2020-04-20 17:40:00,15.35,15.46,15.35,15.43,121411
2020-04-20 17:45:00,15.43,15.43,15.37,15.389,98424
2020-04-20 17:50:00,15.38,15.425,15.37,15.37,98262
2020-04-20 17:55:00,15.38,15.38,15.3,15.335,181269
2020-04-20 18:00:00,15.33,15.4,15.295,15.395,115154
2020-04-20 18:05:00,15.39,15.41,15.36,15.38,90469
2020-04-20 18:10:00,15.38,15.38,15.24,15.25,349506
2020-04-20 18:15:00,15.26,15.29,15.13,15.14,270897
2020-04-20 18:20:00,15.15,15.19,15.07,15.105,158338
2020-04-20 18:25:00,15.1,15.11,14.88,14.8801,331811
2020-04-20 18:30:00,14.88,15.02,14.88,14.975,249371
2020-04-20 18:35:00,14.98,15.03,14.92,14.99,182803
2020-04-20 18:40:00,14.99,15.0266,14.93,14.98,101453
2020-04-20 18:45:00,14.98,15.0292,14.94,15.0101,177946
2020-04-20 18:50:00,15.01,15.24,14.99,15.14,454245
2020-04-20 18:55:00,15.13,15.15,15.05,15.06,253312
2020-04-20 19:00:00,15.05,15.275,15.05,15.15,210595
2020-04-20 19:05:00,15.15,15.16,15.0641,15.125,184430
2020-04-20 19:10:00,15.1237,15.15,15.037,15.0731,180477
2020-04-20 19:15:00,15.07,15.115,15.04,15.065,221238
2020-04-20 19:20:00,15.06,15.13,15.04,15.13,175781
2020-04-20 19:25:00,15.12,15.125,15.05,15.105,415091
2020-04-20 19:30:00,15.11,15.21,15.075,15.2,270158
2020-04-20 19:35:00,15.195,15.285,15.18,15.21,261440
2020-04-20 19:40:00,15.21,15.26,15.17,15.2157,253223
2020-04-20 19:45:00,15.22,15.26,15.19,15.255,273739
2020-04-20 19:50:00,15.25,15.255,15.19,15.24,394428
2020-04-20 19:55:00,15.24,15.3,15.2,15.21,733816
2020-04-20 20:00:00,15.0,15.21,14.94,15.0699,1664178
2020-04-20 20:05:00,15.01,15.01,15.01,15.01,300
2020-04-20 20:10:00,15.0694,15.0694,15.0694,15.0694,250
2020-04-20 20:15:00,15.03,15.1,15.03,15.1,2160
2020-04-20 20:20:00,15.11,15.11,15.11,15.11,367
2020-04-20 20:25:00,15.19,15.19,15.19,15.19,400
