datetime,open,high,low,close,volume
2020-04-16 12:35:00,15.18,15.18,15.18,15.18,46882
2020-04-16 12:50:00,15.3,15.3,15.3,15.3,300
2020-04-16 13:25:00,15.2,15.29,15.05,15.05,4136
2020-04-16 13:30:00,14.99,15.22,14.82,14.82,174247
2020-04-16 13:35:00,14.81,14.84,14.63,14.6663,151319
2020-04-16 13:40:00,14.6799,15.02,14.67,14.94,155163
2020-04-16 13:45:00,14.95,14.95,14.76,14.81,56531
2020-04-16 13:50:00,14.8,14.94,14.8,14.83,88609
2020-04-16 13:55:00,14.84,14.9,14.73,14.73,60315
2020-04-16 14:00:00,14.735,14.81,14.71,14.74,65235
2020-04-16 14:05:00,14.73,14.79,14.7,14.71,35522
2020-04-16 14:10:00,14.71,14.74,14.62,14.64,60017
2020-04-16 14:15:00,14.62,14.65,14.54,14.575,102077
2020-04-16 14:20:00,14.58,14.68,14.55,14.63,99381
2020-04-16 14:25:00,14.62,14.74,14.62,14.71,61558
2020-04-16 14:30:00,14.7,14.73,14.615,14.65,87699
2020-04-16 14:35:00,14.655,14.67,14.52,14.54,118097
2020-04-16 14:40:00,14.5314,14.62,14.51,14.59,51367
2020-04-16 14:45:00,14.58,14.58,14.51,14.535,55569
2020-04-16 14:50:00,14.53,14.57,14.515,14.54,52934
2020-04-16 14:55:00,14.54,14.63,14.5302,14.57,48936
2020-04-16 15:00:00,14.57,14.81,14.56,14.7792,118704
2020-04-16 15:05:00,14.77,14.89,14.755,14.88,112896
2020-04-16 15:10:00,14.88,14.88,14.82,14.85,112710
2020-04-16 15:15:00,14.865,14.91,14.855,14.91,119031
2020-04-16 15:20:00,14.905,14.97,14.87,14.96,135947
2020-04-16 15:25:00,14.965,15.02,14.93,14.95,243958
2020-04-16 15:30:00,14.95,14.98,14.86,14.865,120508
2020-04-16 15:35:00,14.86,14.98,14.84,14.98,98139
2020-04-16 15:40:00,14.98,14.995,14.885,14.965,112313
2020-04-16 15:45:00,14.965,14.98,14.9,14.939,68707
2020-04-16 15:50:00,14.94,15.04,14.93,15.02,165985
2020-04-16 15:55:00,15.015,15.02,14.96,15.0,50701
2020-04-16 16:00:00,15.01,15.06,14.9815,15.01,63062
2020-04-16 16:05:00,15.01,15.01,14.94,14.94,35679
2020-04-16 16:10:00,14.95,14.96,14.9,14.92,24586
2020-04-16 16:15:00,14.91,14.93,14.84,14.85,38798
2020-04-16 16:20:00,14.85,14.89,14.85,14.8645,26577
2020-04-16 16:25:00,14.87,14.87,14.82,14.86,45643
2020-04-16 16:30:00,14.86,14.87,14.77,14.83,48177
2020-04-16 16:35:00,14.83,14.87,14.81,14.87,27320
2020-04-16 16:40:00,14.86,14.89,14.81,14.815,88762
2020-04-16 16:45:00,14.82,14.87,14.8,14.85,38999
2020-04-16 16:50:00,14.85,14.91,14.83,14.83,50571
2020-04-16 16:55:00,14.8266,14.86,14.82,14.8381,26589
2020-04-16 17:00:00,14.8305,14.87,14.81,14.8651,41919
2020-04-16 17:05:00,14.865,14.9,14.835,14.84,56668
2020-04-16 17:10:00,14.85,14.88,14.83,14.87,48651
2020-04-16 17:15:00,14.875,14.89,14.85,14.865,46583
2020-04-16 17:20:00,14.86,14.86,14.82,14.85,44509
2020-04-16 17:25:00,14.855,14.9092,14.835,14.9,59138
2020-04-16 17:30:00,14.907,14.96,14.89,14.94,54518
2020-04-16 17:35:00,14.93,14.935,14.86,14.866,52438
