datetime,open,high,low,close,volume
2020-04-16 09:10:00,52.5,52.5,52.5,52.5,130
2020-04-16 13:30:00,52.5,53.08,52.16,52.9,103050
2020-04-16 13:35:00,52.96,53.21,52.69,52.69,37339
2020-04-16 13:40:00,52.63,52.79,52.42,52.56,49143
2020-04-16 13:45:00,52.53,52.56,52.35,52.42,54654
2020-04-16 13:50:00,52.395,52.41,52.16,52.21,33880
2020-04-16 13:55:00,52.22,52.29,52.0802,52.15,38733
2020-04-16 14:00:00,52.0876,52.135,51.8012,51.93,72100
2020-04-16 14:05:00,51.92,52.23,51.9,52.15,62642
2020-04-16 14:10:00,52.15,52.16,52.075,52.12,44977
2020-04-16 14:15:00,52.1,52.14,51.78,51.89,55753
2020-04-16 14:20:00,51.89,51.99,51.83,51.96,49807
2020-04-16 14:25:00,51.95,51.95,51.64,51.75,89414
2020-04-16 14:30:00,51.75,51.75,51.54,51.57,71987
2020-04-16 14:35:00,51.58,51.645,51.5,51.61,43558
2020-04-16 14:40:00,51.6,51.83,51.57,51.79,34098
2020-04-16 14:45:00,51.78,51.95,51.78,51.875,35511
2020-04-16 14:50:00,51.87,51.88,51.73,51.78,33144
2020-04-16 14:55:00,51.78,51.79,51.63,51.65,19721
2020-04-16 15:00:00,51.65,51.85,51.62,51.78,16338
2020-04-16 15:05:00,51.75,51.84,51.7,51.7,19498
2020-04-16 15:10:00,51.7,51.79,51.64,51.73,21749
2020-04-16 15:15:00,51.74,51.81,51.67,51.76,20020
2020-04-16 15:20:00,51.76,51.87,51.69,51.83,22971
2020-04-16 15:25:00,51.84,51.99,51.8,51.95,28056
2020-04-16 15:30:00,51.96,51.98,51.89,51.96,29036
2020-04-16 15:35:00,51.95,51.95,51.805,51.87,24593
2020-04-16 15:40:00,51.87,51.96,51.84,51.88,23426
2020-04-16 15:45:00,51.88,51.92,51.755,51.77,20653
2020-04-16 15:50:00,51.76,51.88,51.7296,51.88,25684
2020-04-16 15:55:00,51.875,51.94,51.81,51.845,21445
2020-04-16 16:00:00,51.845,51.89,51.68,51.68,27686
2020-04-16 16:05:00,51.67,51.67,51.3,51.3,50528
2020-04-16 16:10:00,51.32,51.35,51.11,51.16,44787
2020-04-16 16:15:00,51.16,51.16,50.81,50.94,54842
2020-04-16 16:20:00,50.94,51.21,50.935,51.14,45939
2020-04-16 16:25:00,51.13,51.26,51.1,51.24,41871
2020-04-16 16:30:00,51.24,51.25,51.17,51.21,86383
2020-04-16 16:35:00,51.182,51.22,51.065,51.2,82772
2020-04-16 16:40:00,51.2,51.34,51.19,51.26,29889
2020-04-16 16:45:00,51.265,51.29,51.2,51.21,22819
2020-04-16 16:50:00,51.2,51.24,51.18,51.19,47826
2020-04-16 16:55:00,51.18,51.39,51.11,51.31,140821
2020-04-16 17:00:00,51.295,51.69,51.29,51.475,93139
