datetime,open,high,low,close,volume
2020-04-16 12:45:00,45.0,45.0,45.0,45.0,500
2020-04-16 13:30:00,44.82,44.82,44.4,44.4,21855
2020-04-16 13:35:00,44.55,44.6,44.23,44.52,5150
2020-04-16 13:40:00,44.474,44.64,44.43,44.54,22400
2020-04-16 13:45:00,44.58,44.61,44.37,44.375,4144
2020-04-16 13:50:00,44.375,44.42,44.28,44.33,7084
2020-04-16 13:55:00,44.35,44.4,43.92,43.92,9267
2020-04-16 14:00:00,43.96,44.11,43.96,44.015,11000
2020-04-16 14:05:00,43.99,44.1,43.8507,43.885,15816
2020-04-16 14:10:00,43.88,43.91,43.5407,43.5407,15085
2020-04-16 14:15:00,43.54,43.68,43.52,43.55,38922
2020-04-16 14:20:00,43.53,43.71,43.47,43.69,13427
2020-04-16 14:25:00,43.707,43.77,43.56,43.74,8878
2020-04-16 14:30:00,43.74,43.79,43.58,43.63,11607
2020-04-16 14:35:00,43.61,43.75,43.5,43.5,16406
2020-04-16 14:40:00,43.5,43.61,43.47,43.54,54152
2020-04-16 14:45:00,43.54,43.66,43.45,43.555,12556
2020-04-16 14:50:00,43.54,43.61,43.49,43.56,8030
2020-04-16 14:55:00,43.6,43.82,43.57,43.8,4801
2020-04-16 15:00:00,43.8,43.9,43.8,43.89,5345
2020-04-16 15:05:00,43.91,44.035,43.91,43.97,30060
2020-04-16 15:10:00,43.97,44.08,43.9,43.905,26746
2020-04-16 15:15:00,43.93,44.0,43.89,43.94,60068
2020-04-16 15:20:00,43.96,44.0,43.8,43.82,9769
2020-04-16 15:25:00,43.77,43.78,43.66,43.7,12968
2020-04-16 15:30:00,43.73,43.73,43.46,43.485,25857
2020-04-16 15:35:00,43.47,43.6,43.46,43.57,25544
2020-04-16 15:40:00,43.59,43.62,43.48,43.48,13450
2020-04-16 15:45:00,43.49,43.5,43.34,43.4,18758
2020-04-16 15:50:00,43.39,43.6,43.34,43.6,16920
2020-04-16 15:55:00,43.6,43.71,43.6,43.65,10837
2020-04-16 16:00:00,43.66,43.74,43.635,43.68,13770
2020-04-16 16:05:00,43.67,43.67,43.43,43.43,12817
2020-04-16 16:10:00,43.43,43.58,43.42,43.58,10593
2020-04-16 16:15:00,43.56,43.6,43.23,43.23,13766
2020-04-16 16:20:00,43.25,43.4,43.2402,43.375,17430
2020-04-16 16:25:00,43.4,43.53,43.39,43.49,16032
2020-04-16 16:30:00,43.48,43.49,43.33,43.425,17747
2020-04-16 16:35:00,43.45,43.48,43.405,43.45,4823
2020-04-16 16:40:00,43.45,43.55,43.43,43.51,12047
2020-04-16 16:45:00,43.505,43.5104,43.41,43.44,7156
2020-04-16 16:50:00,43.42,43.45,43.35,43.365,4510
2020-04-16 16:55:00,43.35,43.4,43.29,43.4,4127
2020-04-16 17:00:00,43.4,43.4,43.355,43.36,9335
2020-04-16 17:05:00,43.36,43.39,43.1,43.1,16852
2020-04-16 17:10:00,43.1,43.18,43.07,43.17,11721
2020-04-16 17:15:00,43.2,43.255,43.15,43.23,7603
2020-04-16 17:20:00,43.23,43.32,43.17,43.27,13230
2020-04-16 17:25:00,43.25,43.34,43.24,43.2818,8840
2020-04-16 17:30:00,43.28,43.37,43.25,43.25,9051
2020-04-16 17:35:00,43.25,43.33,43.18,43.2,9130
2020-04-16 17:40:00,43.2,43.21,43.15,43.21,12568
2020-04-16 17:45:00,43.23,43.27,43.18,43.22,8365
2020-04-16 17:50:00,43.21,43.22,43.12,43.12,13791
2020-04-16 17:55:00,43.11,43.2,43.11,43.2,10538
2020-04-16 18:00:00,43.16,43.185,43.105,43.15,9489
2020-04-16 18:05:00,43.15,43.305,43.15,43.305,11165
2020-04-16 18:10:00,43.29,43.29,43.19,43.27,59376
2020-04-16 18:15:00,43.27,43.275,43.1,43.1,30957
2020-04-16 18:20:00,43.11,43.11,42.93,43.02,28818
2020-04-16 18:25:00,43.02,43.1,42.93,42.98,15881
2020-04-16 18:30:00,42.96,43.02,42.78,43.02,53996
2020-04-16 18:35:00,43.0314,43.07,42.87,43.04,24299
2020-04-16 18:40:00,43.02,43.1,42.78,42.83,22512
2020-04-16 18:45:00,42.83,43.09,42.8,42.93,47251
2020-04-16 18:50:00,42.94,42.95,42.8,42.86,39005
2020-04-16 18:55:00,42.87,42.96,42.82,42.82,21596
2020-04-16 19:00:00,42.85,42.89,42.73,42.755,18369
2020-04-16 19:05:00,42.74,42.81,42.71,42.725,29085
2020-04-16 19:10:00,42.71,42.78,42.55,42.635,38816
2020-04-16 19:15:00,42.62,42.66,42.41,42.47,62060
2020-04-16 19:20:00,42.49,42.9593,42.49,42.9593,23176
2020-04-16 19:25:00,42.935,43.19,42.833,43.16,25032
2020-04-16 19:30:00,43.16,43.22,42.945,43.09,36482
2020-04-16 19:35:00,43.09,43.09,42.86,42.995,47555
2020-04-16 19:40:00,42.99,43.02,42.905,43.0,56714
2020-04-16 19:45:00,43.01,43.105,42.9775,43.105,108518
