datetime,open,high,low,close,volume
2020-04-16 08:05:00,23.6,23.6,23.6,23.6,100
2020-04-16 08:15:00,23.6,23.6,23.6,23.6,100
2020-04-16 09:05:00,23.6,23.6,23.6,23.6,100
2020-04-16 13:00:00,23.63,23.63,23.63,23.63,485
2020-04-16 13:30:00,24.0,24.0,23.36,23.36,125509
2020-04-16 13:35:00,23.36,23.55,23.28,23.55,37422
2020-04-16 13:40:00,23.56,23.68,23.52,23.625,42693
2020-04-16 13:45:00,23.66,23.77,23.63,23.64,29444
2020-04-16 13:50:00,23.64,23.66,23.55,23.61,36869
2020-04-16 13:55:00,23.61,23.63,23.53,23.535,49781
2020-04-16 14:00:00,23.54,23.63,23.485,23.49,62340
2020-04-16 14:05:00,23.485,23.5699,23.46,23.505,22679
2020-04-16 14:10:00,23.505,23.51,23.26,23.27,42975
2020-04-16 14:15:00,23.29,23.37,23.1673,23.17,43226
2020-04-16 14:20:00,23.17,23.28,23.125,23.28,59041
2020-04-16 14:25:00,23.26,23.36,23.21,23.34,39774
2020-04-16 14:30:00,23.34,23.455,23.335,23.43,36360
2020-04-16 14:35:00,23.44,23.47,23.38,23.38,21280
2020-04-16 14:40:00,23.375,23.5101,23.335,23.47,25580
2020-04-16 14:45:00,23.46,23.5489,23.4325,23.54,23343
2020-04-16 14:50:00,23.54,23.54,23.41,23.41,25396
2020-04-16 14:55:00,23.42,23.525,23.42,23.505,31112
2020-04-16 15:00:00,23.51,23.51,23.425,23.5,35846
2020-04-16 15:05:00,23.5,23.62,23.5,23.58,20182
2020-04-16 15:10:00,23.58,23.655,23.55,23.605,37586
2020-04-16 15:15:00,23.61,23.62,23.485,23.57,50577
2020-04-16 15:20:00,23.565,23.58,23.49,23.52,26465
2020-04-16 15:25:00,23.53,23.53,23.42,23.42,31672
2020-04-16 15:30:00,23.42,23.42,23.2499,23.28,54646
2020-04-16 15:35:00,23.28,23.36,23.225,23.36,37845
2020-04-16 15:40:00,23.35,23.37,23.295,23.3,32960
2020-04-16 15:45:00,23.3,23.33,23.245,23.2766,37987
2020-04-16 15:50:00,23.28,23.32,23.245,23.32,53065
2020-04-16 15:55:00,23.32,23.33,23.24,23.24,63355
2020-04-16 16:00:00,23.25,23.29,23.15,23.16,51076
2020-04-16 16:05:00,23.16,23.17,23.11,23.14,60982
2020-04-16 16:10:00,23.14,23.14,23.07,23.11,50591
2020-04-16 16:15:00,23.11,23.16,23.085,23.1,67246
2020-04-16 16:20:00,23.095,23.11,23.05,23.08,39220
2020-04-16 16:25:00,23.09,23.1369,23.08,23.13,25857
2020-04-16 16:30:00,23.12,23.16,23.08,23.16,123258
2020-04-16 16:35:00,23.165,23.2,23.11,23.17,22594
2020-04-16 16:40:00,23.165,23.22,23.13,23.19,26873
2020-04-16 16:45:00,23.2,23.21,23.135,23.145,27351
2020-04-16 16:50:00,23.14,23.175,23.13,23.15,29900
2020-04-16 16:55:00,23.14,23.18,23.12,23.18,29349
2020-04-16 17:00:00,23.17,23.2,23.165,23.17,36201
2020-04-16 17:05:00,23.17,23.19,23.14,23.16,21072
2020-04-16 17:10:00,23.16,23.18,23.14,23.175,24990
2020-04-16 17:15:00,23.18,23.2,23.13,23.15,18694
2020-04-16 17:20:00,23.145,23.145,23.11,23.14,18677
2020-04-16 17:25:00,23.14,23.155,23.13,23.14,17101
2020-04-16 17:30:00,23.14,23.17,23.13,23.17,24584
2020-04-16 17:35:00,23.17,23.19,23.14,23.15,32548
2020-04-16 17:40:00,23.15,23.17,23.13,23.15,34646
2020-04-16 17:45:00,23.16,23.18,23.15,23.15,30068
2020-04-16 17:50:00,23.15,23.15,23.11,23.12,27044
2020-04-16 17:55:00,23.125,23.2,23.12,23.2,28267
2020-04-16 18:00:00,23.195,23.215,23.16,23.18,43531
2020-04-16 18:05:00,23.19,23.22,23.14,23.21,40400
2020-04-16 18:10:00,23.22,23.225,23.18,23.21,139274
2020-04-16 18:15:00,23.22,23.22,23.18,23.21,78633
2020-04-16 18:20:00,23.21,23.22,23.16,23.16,21274
2020-04-16 18:25:00,23.17,23.23,23.16,23.205,65452
2020-04-16 18:30:00,23.2,23.235,23.2,23.21,51945
2020-04-16 18:35:00,23.22,23.255,23.2,23.2,81027
2020-04-16 18:40:00,23.19,23.225,23.175,23.21,42381
2020-04-16 18:45:00,23.21,23.225,23.17,23.17,28668
2020-04-16 18:50:00,23.18,23.18,23.125,23.16,35925
2020-04-16 18:55:00,23.16,23.18,23.13,23.15,112925
2020-04-16 19:00:00,23.15,23.16,23.09,23.115,52411
2020-04-16 19:05:00,23.11,23.15,23.11,23.11,72017
2020-04-16 19:10:00,23.115,23.14,23.075,23.13,54726
2020-04-16 19:15:00,23.13,23.155,23.11,23.155,56706
2020-04-16 19:20:00,23.155,23.19,23.14,23.17,58898
2020-04-16 19:25:00,23.16,23.18,23.11,23.145,137439
2020-04-16 19:30:00,23.15,23.18,23.1273,23.18,229441
2020-04-16 19:35:00,23.18,23.21,23.17,23.205,73518
2020-04-16 19:40:00,23.205,23.22,23.155,23.18,128015
2020-04-16 19:45:00,23.18,23.24,23.17,23.18,124479
2020-04-16 19:50:00,23.19,23.26,23.19,23.24,174219
2020-04-16 19:55:00,23.24,23.285,23.23,23.25,289841
2020-04-16 20:00:00,23.24,23.3,23.24,23.3,398341
2020-04-16 20:15:00,23.24,23.24,23.24,23.24,164
2020-04-16 20:20:00,23.24,23.24,23.24,23.24,14600
2020-04-16 20:50:00,23.38,23.38,23.38,23.38,300
2020-04-16 20:55:00,23.4,23.4,23.4,23.4,839
2020-04-16 21:10:00,23.49,23.51,23.49,23.51,324
2020-04-16 21:20:00,23.55,23.55,23.55,23.55,276
2020-04-16 21:50:00,23.73,23.73,23.73,23.73,302
2020-04-16 22:00:00,23.66,23.66,23.66,23.66,500
2020-04-16 22:05:00,23.6,23.6,23.6,23.6,530
2020-04-16 22:10:00,23.85,23.85,23.85,23.85,100
2020-04-16 22:15:00,23.79,23.79,23.79,23.79,500
2020-04-16 22:25:00,23.79,23.79,23.79,23.79,400
2020-04-16 22:45:00,23.85,23.85,23.85,23.85,200
2020-04-16 22:50:00,23.85,24.0,23.85,24.0,614
2020-04-16 22:55:00,24.0,24.2,24.0,24.18,1035
2020-04-16 23:10:00,24.18,24.18,24.18,24.18,200
2020-04-16 23:15:00,24.1,24.1,24.1,24.1,145
2020-04-16 23:20:00,24.18,24.25,24.18,24.25,700
2020-04-16 23:25:00,24.3,24.4,24.3,24.4,800
2020-04-16 23:30:00,24.3,24.39,24.2,24.2,757
2020-04-16 23:35:00,24.2,24.2,24.2,24.2,412
2020-04-16 23:40:00,24.38,24.38,24.2,24.2,584
2020-04-16 23:45:00,24.2,24.2,24.2,24.2,300
2020-04-17 08:30:00,24.0,24.0,24.0,24.0,100
2020-04-17 09:20:00,24.01,24.01,24.01,24.01,500
2020-04-17 09:35:00,24.01,24.01,24.01,24.01,580
2020-04-17 11:35:00,24.19,24.19,24.19,24.19,500
2020-04-17 11:40:00,24.12,24.12,24.11,24.11,1191
2020-04-17 12:00:00,24.11,24.11,24.11,24.11,100
2020-04-17 12:05:00,24.11,24.11,24.11,24.11,200
2020-04-17 12:15:00,24.12,24.12,24.11,24.11,5200
2020-04-17 12:20:00,24.11,24.11,24.11,24.11,300
2020-04-17 12:25:00,24.11,24.11,24.06,24.06,760
2020-04-17 12:35:00,24.06,24.06,24.0,24.0,1600
2020-04-17 12:40:00,23.98,23.98,23.9,23.9,4500
2020-04-17 12:45:00,23.8,23.8,23.8,23.8,1100
2020-04-17 13:15:00,23.8,23.8,23.8,23.8,1000
2020-04-17 13:20:00,23.8,23.8,23.8,23.8,200
2020-04-17 13:25:00,23.83,23.83,23.83,23.83,100
2020-04-17 13:30:00,24.0,24.0,23.37,23.37,343164
2020-04-17 13:35:00,23.37,23.63,23.36,23.6,164851
2020-04-17 13:40:00,23.59,23.75,23.49,23.75,181250
2020-04-17 13:45:00,23.73,24.0,23.73,23.96,106982
2020-04-17 13:50:00,23.955,23.965,23.74,23.77,160811
2020-04-17 13:55:00,23.784,23.93,23.74,23.92,164570
2020-04-17 14:00:00,23.925,24.01,23.81,23.82,150198
2020-04-17 14:05:00,23.82,23.91,23.785,23.815,114546
2020-04-17 14:10:00,23.81,23.9,23.805,23.895,96647
2020-04-17 14:15:00,23.9,23.94,23.66,23.66,114968
2020-04-17 14:20:00,23.65,23.69,23.61,23.69,43576
2020-04-17 14:25:00,23.69,23.755,23.67,23.735,54825
2020-04-17 14:30:00,23.73,23.755,23.625,23.69,40214
2020-04-17 14:35:00,23.69,23.835,23.69,23.76,99903
2020-04-17 14:40:00,23.77,23.77,23.645,23.65,30910
2020-04-17 14:45:00,23.65,23.655,23.57,23.6,49745
2020-04-17 14:50:00,23.6,23.715,23.6,23.68,78101
2020-04-17 14:55:00,23.67,23.69,23.635,23.64,20212
2020-04-17 15:00:00,23.635,23.67,23.625,23.635,44762
2020-04-17 15:05:00,23.63,23.65,23.59,23.61,42292
2020-04-17 15:10:00,23.61,23.625,23.55,23.6,47120
2020-04-17 15:15:00,23.59,23.65,23.55,23.65,27700
2020-04-17 15:20:00,23.64,23.645,23.58,23.6,38298
2020-04-17 15:25:00,23.595,23.6,23.525,23.59,37385
2020-04-17 15:30:00,23.59,23.605,23.55,23.55,65656
2020-04-17 15:35:00,23.55,23.58,23.5,23.51,67440
2020-04-17 15:40:00,23.52,23.545,23.48,23.52,78120
2020-04-17 15:45:00,23.52,23.56,23.52,23.545,26751
2020-04-17 15:50:00,23.54,23.59,23.465,23.555,66455
2020-04-17 15:55:00,23.555,23.57,23.5,23.565,31709
2020-04-17 16:00:00,23.565,23.585,23.505,23.55,39572
2020-04-17 16:05:00,23.56,23.61,23.54,23.56,52568
2020-04-17 16:10:00,23.56,23.61,23.54,23.59,38358
2020-04-17 16:15:00,23.58,23.61,23.575,23.61,25299
2020-04-17 16:20:00,23.605,23.64,23.585,23.6133,34043
2020-04-17 16:25:00,23.615,23.65,23.61,23.65,56714
2020-04-17 16:30:00,23.66,23.725,23.66,23.71,128895
2020-04-17 16:35:00,23.71,23.72,23.69,23.69,36688
2020-04-17 16:40:00,23.69,23.72,23.69,23.715,60805
2020-04-17 16:45:00,23.72,23.895,23.72,23.88,30707
2020-04-17 16:50:00,23.88,23.88,23.83,23.83,16523
2020-04-17 16:55:00,23.825,23.845,23.8,23.8,23159
2020-04-17 17:00:00,23.8,23.87,23.79,23.84,29950
2020-04-17 17:05:00,23.845,23.85,23.78,23.8,25125
2020-04-17 17:10:00,23.79,23.79,23.755,23.78,33986
2020-04-17 17:15:00,23.78,23.84,23.78,23.81,97764
2020-04-17 17:20:00,23.815,23.815,23.73,23.745,17527
2020-04-17 17:25:00,23.74,23.75,23.71,23.73,33117
2020-04-17 17:30:00,23.74,23.78,23.735,23.75,36095
2020-04-17 17:35:00,23.74,23.81,23.74,23.79,26159
2020-04-17 17:40:00,23.78,23.805,23.76,23.78,24934
2020-04-17 17:45:00,23.78,23.8,23.72,23.72,18202
2020-04-17 17:50:00,23.73,23.745,23.71,23.73,15201
2020-04-17 17:55:00,23.73,23.775,23.72,23.73,19720
2020-04-17 18:00:00,23.73,23.73,23.675,23.685,19980
2020-04-17 18:05:00,23.69,23.73,23.67,23.72,23454
2020-04-17 18:10:00,23.72,23.72,23.69,23.69,21356
2020-04-17 18:15:00,23.69,23.7817,23.68,23.775,49943
2020-04-17 18:20:00,23.78,23.85,23.77,23.84,49259
2020-04-17 18:25:00,23.84,23.96,23.84,23.96,72406
2020-04-17 18:30:00,23.955,23.955,23.88,23.89,52938
2020-04-17 18:35:00,23.89,23.9,23.77,23.805,102019
2020-04-17 18:40:00,23.8,23.86,23.79,23.82,26519
2020-04-17 18:45:00,23.825,23.835,23.77,23.785,36123
2020-04-17 18:50:00,23.785,23.8,23.76,23.78,16611
2020-04-17 18:55:00,23.77,23.8,23.75,23.785,28616
2020-04-17 19:00:00,23.78,23.8,23.76,23.79,33118
2020-04-17 19:05:00,23.79,23.83,23.775,23.785,36625
2020-04-17 19:10:00,23.79,23.795,23.745,23.755,59693
2020-04-17 19:15:00,23.76,23.795,23.75,23.765,34223
2020-04-17 19:20:00,23.765,23.765,23.69,23.725,72389
2020-04-17 19:25:00,23.725,23.75,23.7,23.725,44818
