datetime,open,high,low,close,volume
2020-04-16 08:00:00,45.9,45.9,45.9,45.9,900
2020-04-16 12:40:00,46.15,46.15,46.15,46.15,200
2020-04-16 13:25:00,46.88,46.88,46.88,46.88,300
2020-04-16 13:30:00,46.18,46.67,45.93,46.04,43736
2020-04-16 13:35:00,46.0,46.07,45.72,45.77,57286
2020-04-16 13:40:00,45.79,46.05,45.75,45.96,44249
2020-04-16 13:45:00,45.99,45.99,45.61,45.64,26155
2020-04-16 13:50:00,45.67,45.67,45.33,45.38,47892
2020-04-16 13:55:00,45.39,45.47,45.02,45.055,31032
2020-04-16 14:00:00,45.04,45.22,45.04,45.145,29297
2020-04-16 14:05:00,45.14,45.29,45.13,45.165,24347
2020-04-16 14:10:00,45.11,45.41,45.08,45.41,21481
2020-04-16 14:15:00,45.44,45.71,45.44,45.66,17261
2020-04-16 14:20:00,45.65,45.86,45.59,45.77,13966
2020-04-16 14:25:00,45.75,45.85,45.69,45.85,10747
2020-04-16 14:30:00,45.89,45.98,45.82,45.84,7114
2020-04-16 14:35:00,45.86,45.87,45.39,45.39,33441
2020-04-16 14:40:00,45.4,45.6199,45.31,45.5,6238
2020-04-16 14:45:00,45.49,45.6,45.47,45.555,14752
2020-04-16 14:50:00,45.54,45.5484,45.28,45.32,9444
2020-04-16 14:55:00,45.31,45.525,45.31,45.44,31221
2020-04-16 15:00:00,45.43,45.6,45.38,45.58,5250
2020-04-16 15:05:00,45.59,45.78,45.57,45.68,12776
2020-04-16 15:10:00,45.67,45.72,45.54,45.6,8082
2020-04-16 15:15:00,45.61,45.63,45.52,45.54,10570
2020-04-16 15:20:00,45.55,45.58,45.45,45.54,30321
2020-04-16 15:25:00,45.56,45.7,45.525,45.53,8088
2020-04-16 15:30:00,45.53,45.53,45.32,45.34,18254
2020-04-16 15:35:00,45.33,45.4,45.261,45.29,22321
2020-04-16 15:40:00,45.29,45.44,45.28,45.435,17213
2020-04-16 15:45:00,45.44,45.5,45.42,45.5,14361
2020-04-16 15:50:00,45.5,45.75,45.5,45.75,14022
2020-04-16 15:55:00,45.75,45.76,45.63,45.64,5419
2020-04-16 16:00:00,45.65,45.69,45.54,45.57,4953
2020-04-16 16:05:00,45.57,45.62,45.48,45.48,15003
2020-04-16 16:10:00,45.485,45.495,45.27,45.27,15079
2020-04-16 16:15:00,45.25,45.29,45.05,45.06,29870
2020-04-16 16:20:00,45.06,45.07,44.89,45.05,36199
2020-04-16 16:25:00,45.03,45.06,44.96,45.015,22905
2020-04-16 16:30:00,45.01,45.02,44.76,44.83,8201
2020-04-16 16:35:00,44.84,44.91,44.775,44.91,19862
2020-04-16 16:40:00,44.91,45.033,44.895,44.99,23502
2020-04-16 16:45:00,44.98,45.04,44.95,45.04,20388
2020-04-16 16:50:00,45.06,45.11,45.05,45.106,13675
2020-04-16 16:55:00,45.09,45.22,45.01,45.18,12733
2020-04-16 17:00:00,45.19,45.24,45.16,45.16,14398
2020-04-16 17:05:00,45.15,45.2,45.08,45.08,14894
2020-04-16 17:10:00,45.08,45.11,45.06,45.09,3259
2020-04-16 17:15:00,45.14,45.2,45.135,45.14,8048
