datetime,open,high,low,close,volume
2020-04-16 08:00:00,31.4,31.9,31.4,31.9,4571
2020-04-16 08:05:00,31.7,32.0,31.7,31.9,1700
2020-04-16 08:10:00,31.99,32.0,31.9,32.0,3095
2020-04-16 08:15:00,32.0,32.18,32.0,32.18,1051
2020-04-16 08:20:00,31.94,31.94,31.94,31.94,750
2020-04-16 08:25:00,31.94,31.94,31.9,31.9,758
2020-04-16 08:45:00,31.9,31.9,31.9,31.9,220
2020-04-16 08:50:00,31.8,31.8,31.8,31.8,200
2020-04-16 09:05:00,31.55,31.55,31.55,31.55,364
2020-04-16 09:10:00,31.55,31.55,31.55,31.55,100
2020-04-16 09:15:00,31.6,31.6,31.51,31.51,1300
2020-04-16 09:20:00,31.49,31.49,31.31,31.31,1468
2020-04-16 09:25:00,31.33,31.33,31.27,31.27,1569
2020-04-16 09:30:00,31.22,31.22,31.22,31.22,100
2020-04-16 09:35:00,31.22,31.22,31.21,31.21,738
2020-04-16 09:40:00,31.21,31.21,31.21,31.21,400
2020-04-16 09:45:00,31.21,31.21,31.21,31.21,202
2020-04-16 10:05:00,31.0,31.0,31.0,31.0,700
2020-04-16 10:10:00,31.09,31.09,30.95,30.95,500
2020-04-16 10:15:00,30.95,30.95,30.95,30.95,100
2020-04-16 10:20:00,30.94,31.1,30.94,31.1,500
2020-04-16 10:25:00,31.1,31.1,31.1,31.1,400
2020-04-16 10:30:00,31.15,31.18,31.15,31.18,300
2020-04-16 10:50:00,31.25,31.25,31.0,31.0,3195
2020-04-16 10:55:00,31.03,31.03,31.03,31.03,2942
2020-04-16 11:00:00,31.18,31.31,31.0,31.18,27261
2020-04-16 11:05:00,31.18,31.18,31.0,31.14,13312
2020-04-16 11:10:00,31.03,31.03,30.7,30.7,28883
2020-04-16 11:15:00,30.72,30.96,30.7,30.94,17515
2020-04-16 11:20:00,31.05,31.09,30.94,30.94,5410
2020-04-16 11:25:00,31.0,31.2,30.95,31.1,10519
2020-04-16 11:30:00,31.2,31.4,31.1,31.1,15479
2020-04-16 11:35:00,31.1,31.2,31.0,31.0,9444
2020-04-16 11:40:00,30.92,31.15,30.88,30.88,10216
2020-04-16 11:45:00,30.88,30.98,30.86,30.98,2919
2020-04-16 11:50:00,30.95,30.95,30.8,30.9,2053
2020-04-16 11:55:00,30.9,30.9,30.86,30.87,1537
2020-04-16 12:00:00,30.87,30.92,30.73,30.78,14837
2020-04-16 12:05:00,30.8,30.91,30.66,30.85,11887
2020-04-16 12:10:00,30.875,30.875,30.66,30.75,6239
2020-04-16 12:15:00,30.74,30.85,30.7,30.7,15983
2020-04-16 12:20:00,30.7,30.8,30.68,30.72,15430
2020-04-16 12:25:00,30.75,30.75,30.66,30.73,4564
2020-04-16 12:30:00,30.78,31.49,30.78,31.35,57981
2020-04-16 12:35:00,31.35,31.35,30.95,30.95,22858
2020-04-16 12:40:00,30.9,31.14,30.85,31.0,9349
2020-04-16 12:45:00,31.0,31.13,30.86,30.9531,13830
2020-04-16 12:50:00,31.15,31.15,30.86,30.9,29359
2020-04-16 12:55:00,30.83,30.98,30.83,30.91,27069
2020-04-16 13:00:00,30.92,30.95,30.86,30.95,27388
2020-04-16 13:05:00,30.93,30.95,30.84,30.84,7130
2020-04-16 13:10:00,30.84,30.86,30.81,30.82,19169
2020-04-16 13:15:00,30.82,30.82,30.68,30.68,33462
2020-04-16 13:20:00,30.7,30.7,30.48,30.53,34017
2020-04-16 13:25:00,30.5102,30.57,30.25,30.45,39368
2020-04-16 13:30:00,30.42,30.5,29.5,29.68,2068234
2020-04-16 13:35:00,29.6637,29.86,29.1501,29.3401,1487609
2020-04-16 13:40:00,29.377,29.989,29.26,29.72,956131
2020-04-16 13:45:00,29.72,29.87,29.22,29.3893,835453
2020-04-16 13:50:00,29.3799,29.5932,29.02,29.085,917919
2020-04-16 13:55:00,29.0848,29.25,29.02,29.13,797624
2020-04-16 14:00:00,29.1619,29.38,29.1,29.1,675605
2020-04-16 14:05:00,29.1,29.18,28.62,28.7094,1544743
2020-04-16 14:10:00,28.7067,28.89,28.34,28.49,1248109
2020-04-16 14:15:00,28.5,28.75,28.462,28.506,1016292
2020-04-16 14:20:00,28.5072,28.9,28.45,28.89,741149
2020-04-16 14:25:00,28.8901,29.08,28.745,28.84,983100
2020-04-16 14:30:00,28.84,28.84,28.5,28.6794,686957
2020-04-16 14:35:00,28.665,28.75,28.52,28.5861,544777
2020-04-16 14:40:00,28.59,28.7495,28.53,28.61,470921
2020-04-16 14:45:00,28.6158,28.62,28.5,28.55,686864
2020-04-16 14:50:00,28.54,28.78,28.5101,28.7599,502548
2020-04-16 14:55:00,28.76,28.95,28.58,28.585,509137
2020-04-16 15:00:00,28.585,28.85,28.58,28.82,422339
2020-04-16 15:05:00,28.8101,29.01,28.8,28.85,615646
2020-04-16 15:10:00,28.86,28.9,28.76,28.81,505945
2020-04-16 15:15:00,28.81,28.98,28.8,28.9599,301472
2020-04-16 15:20:00,28.955,28.98,28.75,28.871,540912
2020-04-16 15:25:00,28.8901,28.9092,28.7,28.7,317070
2020-04-16 15:30:00,28.708,28.76,28.52,28.61,607662
2020-04-16 15:35:00,28.61,28.67,28.54,28.609,398506
2020-04-16 15:40:00,28.606,28.76,28.56,28.5754,282709
2020-04-16 15:45:00,28.575,28.68,28.565,28.565,335854
2020-04-16 15:50:00,28.5602,28.95,28.56,28.89,430110
2020-04-16 15:55:00,28.885,28.98,28.73,28.8525,401227
2020-04-16 16:00:00,28.8595,28.93,28.7701,28.8464,347922
2020-04-16 16:05:00,28.85,28.92,28.7386,28.7601,396981
2020-04-16 16:10:00,28.77,28.7715,28.66,28.7,214659
2020-04-16 16:15:00,28.6999,28.7,28.58,28.62,286736
2020-04-16 16:20:00,28.62,28.62,28.55,28.57,290564
2020-04-16 16:25:00,28.58,28.6642,28.565,28.6001,213118
2020-04-16 16:30:00,28.59,28.6,28.5,28.505,506877
2020-04-16 16:35:00,28.505,28.5783,28.3,28.32,851074
2020-04-16 16:40:00,28.32,28.45,28.3,28.4199,405346
2020-04-16 16:45:00,28.4199,28.42,28.3223,28.3457,227282
2020-04-16 16:50:00,28.3499,28.35,28.115,28.1654,550010
2020-04-16 16:55:00,28.169,28.324,28.04,28.29,498530
2020-04-16 17:00:00,28.28,28.6,28.23,28.4006,379189
2020-04-16 17:05:00,28.415,28.5379,28.35,28.3901,296905
2020-04-16 17:10:00,28.3999,28.47,28.33,28.382,246753
2020-04-16 17:15:00,28.38,28.4199,28.33,28.3723,138763
2020-04-16 17:20:00,28.3842,28.4799,28.35,28.4599,156489
2020-04-16 17:25:00,28.4399,28.4399,28.28,28.35,198910
2020-04-16 17:30:00,28.355,28.4,28.3223,28.335,102509
2020-04-16 17:35:00,28.334,28.34,28.12,28.17,321754
2020-04-16 17:40:00,28.17,28.37,28.1676,28.37,261672
2020-04-16 17:45:00,28.345,28.35,28.2144,28.22,158281
