datetime,open,high,low,close,volume
2020-04-16 13:30:00,2.41,2.4399,2.41,2.42,5746
2020-04-16 13:35:00,2.41,2.41,2.41,2.41,300
2020-04-16 13:40:00,2.42,2.42,2.41,2.41,400
2020-04-16 13:45:00,2.42,2.42,2.4175,2.42,400
2020-04-16 13:50:00,2.41,2.42,2.405,2.42,4628
2020-04-16 13:55:00,2.43,2.43,2.425,2.425,200
2020-04-16 14:00:00,2.43,2.43,2.43,2.43,750
2020-04-16 14:10:00,2.425,2.43,2.42,2.43,1000
2020-04-16 14:15:00,2.425,2.425,2.42,2.42,3911
2020-04-16 14:20:00,2.4272,2.43,2.41,2.4187,25637
2020-04-16 14:25:00,2.41,2.42,2.41,2.41,1300
2020-04-16 14:30:00,2.42,2.42,2.415,2.42,2620
2020-04-16 14:35:00,2.42,2.42,2.41,2.41,900
2020-04-16 14:40:00,2.41,2.41,2.41,2.41,100
2020-04-16 14:45:00,2.4199,2.42,2.415,2.415,1500
2020-04-16 14:50:00,2.42,2.42,2.41,2.42,3400
2020-04-16 14:55:00,2.41,2.42,2.41,2.42,1900
2020-04-16 15:00:00,2.4161,2.42,2.41,2.42,3297
2020-04-16 15:05:00,2.415,2.42,2.41,2.415,840
2020-04-16 15:10:00,2.415,2.42,2.41,2.41,7944
2020-04-16 15:15:00,2.41,2.42,2.41,2.41,1200
2020-04-16 15:20:00,2.41,2.42,2.41,2.415,4600
2020-04-16 15:25:00,2.41,2.42,2.41,2.41,3600
2020-04-16 15:30:00,2.41,2.42,2.41,2.41,1900
2020-04-16 15:35:00,2.41,2.42,2.41,2.41,1800
2020-04-16 15:40:00,2.41,2.42,2.41,2.42,4476
2020-04-16 15:45:00,2.415,2.42,2.41,2.42,3727
2020-04-16 15:50:00,2.4147,2.42,2.41,2.41,7441
2020-04-16 15:55:00,2.41,2.42,2.41,2.41,7154
2020-04-16 16:00:00,2.41,2.42,2.41,2.415,8873
2020-04-16 16:05:00,2.41,2.42,2.41,2.415,2500
2020-04-16 16:10:00,2.41,2.42,2.41,2.41,7890
2020-04-16 16:15:00,2.41,2.42,2.4,2.405,25972
2020-04-16 16:20:00,2.4099,2.41,2.4,2.41,33130
2020-04-16 16:25:00,2.4045,2.41,2.4,2.41,2552
2020-04-16 16:30:00,2.41,2.41,2.4,2.41,6347
2020-04-16 16:35:00,2.41,2.41,2.4,2.41,7880
2020-04-16 16:40:00,2.41,2.41,2.4,2.41,1300
2020-04-16 16:45:00,2.41,2.41,2.4,2.41,4250
2020-04-16 16:50:00,2.405,2.41,2.405,2.405,800
2020-04-16 16:55:00,2.41,2.41,2.4,2.405,1200
2020-04-16 17:00:00,2.405,2.405,2.405,2.405,470
2020-04-16 17:05:00,2.4044,2.41,2.4,2.405,9049
2020-04-16 17:10:00,2.41,2.41,2.405,2.4099,7787
2020-04-16 17:15:00,2.41,2.42,2.41,2.41,6954
2020-04-16 17:20:00,2.415,2.42,2.41,2.42,2457
2020-04-16 17:25:00,2.42,2.42,2.41,2.42,21873
2020-04-16 17:30:00,2.42,2.42,2.415,2.42,1700
2020-04-16 17:35:00,2.42,2.42,2.41,2.42,4897
2020-04-16 17:40:00,2.42,2.42,2.41,2.42,1200
2020-04-16 17:45:00,2.42,2.42,2.41,2.42,1000
