datetime,open,high,low,close,volume
2020-04-16 13:10:00,8.4,8.43,8.4,8.42,10700
2020-04-16 13:15:00,8.35,8.36,8.32,8.32,11700
2020-04-16 13:20:00,8.31,8.31,8.3,8.3,2200
2020-04-16 13:25:00,8.28,8.28,8.24,8.25,13800
2020-04-16 13:30:00,8.25,8.25,8.19,8.195,338219
2020-04-16 13:35:00,8.19,8.195,8.1,8.15,585448
2020-04-16 13:40:00,8.15,8.18,8.14,8.15,752315
2020-04-16 13:45:00,8.16,8.16,8.09,8.13,159968
2020-04-16 13:50:00,8.125,8.125,8.07,8.09,221688
2020-04-16 13:55:00,8.09,8.1,8.04,8.045,262310
2020-04-16 14:00:00,8.05,8.08,8.02,8.03,270241
2020-04-16 14:05:00,8.0296,8.045,8.01,8.04,215978
2020-04-16 14:10:00,8.045,8.045,8.0,8.015,338616
2020-04-16 14:15:00,8.02,8.05,8.02,8.035,185158
2020-04-16 14:20:00,8.03,8.07,8.02,8.065,162262
2020-04-16 14:25:00,8.06,8.065,8.035,8.04,181278
2020-04-16 14:30:00,8.045,8.05,8.02,8.025,254230
2020-04-16 14:35:00,8.025,8.04,8.01,8.035,335815
2020-04-16 14:40:00,8.035,8.085,8.02,8.075,736522
2020-04-16 14:45:00,8.075,8.08,8.05,8.07,488765
2020-04-16 14:50:00,8.06,8.065,8.02,8.04,265723
2020-04-16 14:55:00,8.04,8.06,8.03,8.045,160783
2020-04-16 15:00:00,8.045,8.1,8.04,8.095,283502
2020-04-16 15:05:00,8.09,8.145,8.09,8.13,232021
2020-04-16 15:10:00,8.13,8.135,8.1,8.105,161448
2020-04-16 15:15:00,8.11,8.145,8.1,8.135,127706
2020-04-16 15:20:00,8.135,8.1354,8.1,8.11,169588
2020-04-16 15:25:00,8.1,8.125,8.09,8.0951,176961
2020-04-16 15:30:00,8.1,8.13,8.08,8.08,588104
2020-04-16 15:35:00,8.08,8.095,8.06,8.095,170554
2020-04-16 15:40:00,8.095,8.13,8.09,8.11,263197
2020-04-16 15:45:00,8.11,8.12,8.1,8.12,112121
2020-04-16 15:50:00,8.12,8.18,8.11,8.17,211913
2020-04-16 15:55:00,8.18,8.18,8.14,8.155,123861
2020-04-16 16:00:00,8.155,8.17,8.13,8.14,135385
2020-04-16 16:05:00,8.14,8.145,8.115,8.125,107050
2020-04-16 16:10:00,8.12,8.135,8.1,8.11,152325
2020-04-16 16:15:00,8.11,8.12,8.06,8.0601,123579
2020-04-16 16:20:00,8.065,8.075,8.04,8.05,145859
2020-04-16 16:25:00,8.049,8.06,8.04,8.055,74600
2020-04-16 16:30:00,8.05,8.055,8.02,8.035,191444
2020-04-16 16:35:00,8.035,8.05,8.03,8.05,121551
2020-04-16 16:40:00,8.04,8.065,8.04,8.055,102517
2020-04-16 16:45:00,8.05,8.06,8.035,8.045,105030
2020-04-16 16:50:00,8.045,8.055,8.04,8.05,84697
2020-04-16 16:55:00,8.05,8.065,8.03,8.06,103277
2020-04-16 17:00:00,8.05,8.07,8.05,8.07,98134
2020-04-16 17:05:00,8.07,8.08,8.055,8.06,105191
2020-04-16 17:10:00,8.06,8.07,8.05,8.065,85746
2020-04-16 17:15:00,8.065,8.08,8.06,8.07,40136
2020-04-16 17:20:00,8.07,8.08,8.06,8.065,98909
2020-04-16 17:25:00,8.06,8.07,8.05,8.055,179485
2020-04-16 17:30:00,8.055,8.08,8.05,8.08,120140
2020-04-16 17:35:00,8.08,8.095,8.06,8.065,245465
2020-04-16 17:40:00,8.065,8.07,8.05,8.07,111210
2020-04-16 17:45:00,8.065,8.07,8.05,8.055,102261
2020-04-16 17:50:00,8.05,8.06,8.03,8.045,339273
2020-04-16 17:55:00,8.045,8.045,7.98,8.0,545870
2020-04-16 18:00:00,8.0,8.01,7.965,8.01,339235
2020-04-16 18:05:00,8.01,8.05,8.0,8.045,90976
2020-04-16 18:10:00,8.045,8.055,8.04,8.045,106069
2020-04-16 18:15:00,8.05,8.055,8.03,8.04,152079
2020-04-16 18:20:00,8.045,8.045,8.015,8.02,157147
2020-04-16 18:25:00,8.02,8.06,8.01,8.055,336967
2020-04-16 18:30:00,8.05,8.065,8.04,8.06,371720
2020-04-16 18:35:00,8.06,8.08,8.05,8.05,203629
2020-04-16 18:40:00,8.06,8.06,8.03,8.055,376451
2020-04-16 18:45:00,8.06,8.08,8.055,8.07,167370
2020-04-16 18:50:00,8.075,8.095,8.06,8.09,581164
2020-04-16 18:55:00,8.095,8.1,8.08,8.095,81717
2020-04-16 19:00:00,8.095,8.1,8.05,8.06,284372
2020-04-16 19:05:00,8.06,8.07,8.05,8.065,275049
2020-04-16 19:10:00,8.065,8.07,8.05,8.065,132739
2020-04-16 19:15:00,8.065,8.09,8.06,8.09,235873
2020-04-16 19:20:00,8.085,8.12,8.08,8.12,136966
2020-04-16 19:25:00,8.12,8.135,8.1,8.13,335728
2020-04-16 19:30:00,8.125,8.16,8.12,8.14,378466
2020-04-16 19:35:00,8.14,8.16,8.135,8.15,390063
2020-04-16 19:40:00,8.15,8.19,8.14,8.16,594093
2020-04-16 19:45:00,8.165,8.1799,8.13,8.13,277374
2020-04-16 19:50:00,8.135,8.2,8.13,8.19,827514
2020-04-16 19:55:00,8.18,8.19,8.12,8.125,1029727
2020-04-16 20:00:00,8.12,8.13,8.12,8.13,545258
2020-04-16 20:15:00,8.13,8.13,8.13,8.13,113920
2020-04-16 21:15:00,8.26,8.26,8.26,8.26,150
2020-04-16 21:30:00,8.25,8.25,8.25,8.25,940
2020-04-16 21:40:00,8.26,8.26,8.26,8.26,2495
2020-04-16 22:05:00,8.26,8.26,8.26,8.26,300
2020-04-16 22:15:00,8.26,8.26,8.26,8.26,1200
2020-04-16 22:25:00,8.26,8.26,8.26,8.26,4500
2020-04-16 22:35:00,8.26,8.26,8.26,8.26,5000
2020-04-16 22:45:00,8.26,8.26,8.26,8.26,5750
2020-04-16 22:50:00,8.26,8.26,8.26,8.26,4345
2020-04-16 23:15:00,8.65,8.65,8.65,8.65,500
2020-04-17 11:00:00,8.35,8.35,8.35,8.35,425
2020-04-17 11:25:00,8.49,8.49,8.49,8.49,800
2020-04-17 11:45:00,8.45,8.45,8.45,8.45,1000
2020-04-17 11:50:00,8.4,8.4,8.4,8.4,440
2020-04-17 12:20:00,8.4,8.4,8.4,8.4,696
2020-04-17 12:45:00,8.36,8.4,8.36,8.4,676
2020-04-17 12:50:00,8.4,8.4,8.4,8.4,2000
2020-04-17 13:05:00,8.4,8.4,8.4,8.4,100
2020-04-17 13:10:00,8.37,8.37,8.36,8.36,200
2020-04-17 13:15:00,8.26,8.29,8.26,8.29,4300
2020-04-17 13:20:00,8.29,8.31,8.29,8.31,500
2020-04-17 13:25:00,8.28,8.28,8.26,8.27,2900
2020-04-17 13:30:00,8.28,8.32,8.26,8.3,385037
2020-04-17 13:35:00,8.3,8.325,8.28,8.31,435333
2020-04-17 13:40:00,8.31,8.33,8.28,8.315,473475
2020-04-17 13:45:00,8.31,8.355,8.31,8.325,226645
2020-04-17 13:50:00,8.3236,8.35,8.3,8.3,186894
2020-04-17 13:55:00,8.3,8.35,8.3,8.34,255995
2020-04-17 14:00:00,8.34,8.365,8.325,8.35,635316
2020-04-17 14:05:00,8.36,8.3999,8.3598,8.39,185860
2020-04-17 14:10:00,8.39,8.41,8.335,8.355,365295
2020-04-17 14:15:00,8.35,8.35,8.29,8.31,178895
2020-04-17 14:20:00,8.315,8.325,8.295,8.31,235556
2020-04-17 14:25:00,8.31,8.325,8.27,8.275,221244
2020-04-17 14:30:00,8.27,8.275,8.2,8.22,385083
2020-04-17 14:35:00,8.22,8.23,8.2,8.23,133310
2020-04-17 14:40:00,8.22,8.26,8.22,8.22,220002
2020-04-17 14:45:00,8.22,8.235,8.1925,8.2,231200
2020-04-17 14:50:00,8.2,8.235,8.2,8.235,202564
2020-04-17 14:55:00,8.235,8.27,8.23,8.24,424999
2020-04-17 15:00:00,8.24,8.29,8.23,8.275,86821
2020-04-17 15:05:00,8.2759,8.3,8.265,8.285,133607
2020-04-17 15:10:00,8.28,8.295,8.26,8.28,81941
2020-04-17 15:15:00,8.28,8.3,8.27,8.295,86186
2020-04-17 15:20:00,8.29,8.3,8.26,8.28,111642
2020-04-17 15:25:00,8.28,8.29,8.25,8.2648,144107
2020-04-17 15:30:00,8.265,8.295,8.26,8.295,190649
2020-04-17 15:35:00,8.2996,8.3,8.275,8.285,118414
2020-04-17 15:40:00,8.28,8.295,8.26,8.27,105515
2020-04-17 15:45:00,8.26,8.29,8.25,8.28,120540
2020-04-17 15:50:00,8.28,8.295,8.27,8.275,197840
2020-04-17 15:55:00,8.2784,8.285,8.25,8.26,87784
2020-04-17 16:00:00,8.2699,8.275,8.25,8.26,124832
2020-04-17 16:05:00,8.265,8.29,8.26,8.27,189386
2020-04-17 16:10:00,8.27,8.29,8.26,8.28,38493
2020-04-17 16:15:00,8.285,8.32,8.285,8.315,39942
2020-04-17 16:20:00,8.31,8.32,8.3,8.3,83061
2020-04-17 16:25:00,8.3,8.31,8.29,8.2993,59545
2020-04-17 16:30:00,8.2999,8.335,8.29,8.32,121293
2020-04-17 16:35:00,8.32,8.3352,8.31,8.33,214465
2020-04-17 16:40:00,8.33,8.33,8.31,8.315,32765
2020-04-17 16:45:00,8.315,8.34,8.31,8.34,42841
2020-04-17 16:50:00,8.335,8.34,8.32,8.325,100666
2020-04-17 16:55:00,8.32,8.325,8.31,8.32,26708
2020-04-17 17:00:00,8.31,8.34,8.31,8.325,95341
2020-04-17 17:05:00,8.32,8.35,8.31,8.34,111819
2020-04-17 17:10:00,8.35,8.35,8.34,8.345,18164
2020-04-17 17:15:00,8.35,8.36,8.33,8.36,118905
2020-04-17 17:20:00,8.36,8.36,8.35,8.36,43935
2020-04-17 17:25:00,8.36,8.37,8.345,8.345,124519
2020-04-17 17:30:00,8.345,8.37,8.34,8.35,148128
2020-04-17 17:35:00,8.34,8.37,8.33,8.36,82928
2020-04-17 17:40:00,8.36,8.37,8.345,8.35,119396
2020-04-17 17:45:00,8.35,8.35,8.31,8.315,312868
2020-04-17 17:50:00,8.315,8.33,8.3,8.3,122034
2020-04-17 17:55:00,8.31,8.315,8.29,8.295,207692
2020-04-17 18:00:00,8.295,8.295,8.25,8.27,436095
2020-04-17 18:05:00,8.2723,8.2723,8.22,8.245,246779
2020-04-17 18:10:00,8.24,8.2571,8.23,8.23,147538
2020-04-17 18:15:00,8.24,8.27,8.23,8.265,108138
2020-04-17 18:20:00,8.265,8.3,8.26,8.28,195597
2020-04-17 18:25:00,8.28,8.3,8.27,8.28,137892
2020-04-17 18:30:00,8.28,8.285,8.23,8.25,533496
2020-04-17 18:35:00,8.255,8.28,8.24,8.27,89763
2020-04-17 18:40:00,8.275,8.285,8.26,8.285,64522
2020-04-17 18:45:00,8.28,8.31,8.27,8.305,80744
2020-04-17 18:50:00,8.305,8.31,8.28,8.29,75190
2020-04-17 18:55:00,8.285,8.34,8.28,8.335,235998
2020-04-17 19:00:00,8.335,8.35,8.32,8.325,152676
2020-04-17 19:05:00,8.325,8.37,8.32,8.351,500933
2020-04-17 19:10:00,8.36,8.38,8.35,8.36,436266
2020-04-17 19:15:00,8.355,8.38,8.35,8.375,212649
2020-04-17 19:20:00,8.375,8.375,8.35,8.37,146348
2020-04-17 19:25:00,8.365,8.39,8.36,8.375,289362
2020-04-17 19:30:00,8.37,8.39,8.35,8.35,567960
2020-04-17 19:35:00,8.355,8.365,8.34,8.34,474313
2020-04-17 19:40:00,8.345,8.365,8.33,8.335,482528
2020-04-17 19:45:00,8.34,8.35,8.335,8.34,354260
2020-04-17 19:50:00,8.34,8.37,8.33,8.365,949900
2020-04-17 19:55:00,8.365,8.37,8.34,8.36,1193578
