datetime,open,high,low,close,volume
2020-04-16 12:05:00,15.39,15.39,15.39,15.39,247
2020-04-16 12:10:00,15.28,15.28,15.28,15.28,1688
2020-04-16 12:25:00,15.2209,15.2209,15.2209,15.2209,400
2020-04-16 12:35:00,15.39,15.39,15.25,15.25,425
2020-04-16 12:40:00,15.21,15.21,15.21,15.21,200
2020-04-16 12:45:00,15.37,15.37,15.37,15.37,200
2020-04-16 12:50:00,15.37,15.37,15.22,15.22,394
2020-04-16 13:15:00,15.35,15.35,15.31,15.35,2300
2020-04-16 13:20:00,15.35,15.35,15.3499,15.3499,350
2020-04-16 13:25:00,15.35,15.35,15.2,15.2,8617
2020-04-16 13:30:00,15.15,15.16,14.773,14.8,507062
2020-04-16 13:35:00,14.79,14.88,14.68,14.86,243732
2020-04-16 13:40:00,14.87,15.09,14.85,15.0081,156069
2020-04-16 13:45:00,15.02,15.09,14.795,14.8034,150703
2020-04-16 13:50:00,14.8066,14.895,14.77,14.81,130646
2020-04-16 13:55:00,14.81,14.8586,14.7,14.74,139362
2020-04-16 14:00:00,14.74,14.83,14.72,14.73,122290
2020-04-16 14:05:00,14.73,14.745,14.625,14.63,200816
2020-04-16 14:10:00,14.63,14.66,14.52,14.585,155828
2020-04-16 14:15:00,14.58,14.61,14.49,14.5,302399
2020-04-16 14:20:00,14.5,14.52,14.44,14.49,135104
2020-04-16 14:25:00,14.5,14.7,14.5,14.69,149829
2020-04-16 14:30:00,14.68,14.705,14.57,14.67,114567
2020-04-16 14:35:00,14.67,14.73,14.6,14.6,74210
2020-04-16 14:40:00,14.6,14.78,14.57,14.7486,86984
2020-04-16 14:45:00,14.7401,14.84,14.71,14.8,96204
2020-04-16 14:50:00,14.8,14.8,14.725,14.74,59207
2020-04-16 14:55:00,14.75,14.81,14.7,14.78,61608
2020-04-16 15:00:00,14.78,14.91,14.76,14.88,88251
2020-04-16 15:05:00,14.89,14.99,14.88,14.975,73559
2020-04-16 15:10:00,14.97,14.98,14.8701,14.885,93412
2020-04-16 15:15:00,14.88,14.94,14.88,14.91,67045
2020-04-16 15:20:00,14.91,14.91,14.78,14.79,140681
2020-04-16 15:25:00,14.79,14.81,14.74,14.76,186000
2020-04-16 15:30:00,14.765,14.765,14.57,14.595,151082
2020-04-16 15:35:00,14.6,14.65,14.56,14.6231,196552
2020-04-16 15:40:00,14.63,14.7,14.61,14.635,109419
2020-04-16 15:45:00,14.64,14.66,14.59,14.645,79915
2020-04-16 15:50:00,14.65,14.79,14.64,14.785,92570
2020-04-16 15:55:00,14.78,14.81,14.74,14.795,90192
2020-04-16 16:00:00,14.795,14.83,14.665,14.67,97421
2020-04-16 16:05:00,14.6723,14.6723,14.59,14.625,98317
2020-04-16 16:10:00,14.63,14.65,14.53,14.56,174356
2020-04-16 16:15:00,14.555,14.58,14.49,14.51,315010
2020-04-16 16:20:00,14.52,14.52,14.41,14.45,230572
2020-04-16 16:25:00,14.445,14.48,14.41,14.42,236232
2020-04-16 16:30:00,14.42,14.45,14.39,14.43,180709
2020-04-16 16:35:00,14.44,14.5,14.4348,14.4938,142462
2020-04-16 16:40:00,14.49,14.53,14.48,14.51,89402
2020-04-16 16:45:00,14.52,14.54,14.48,14.515,104683
2020-04-16 16:50:00,14.51,14.54,14.48,14.509,155761
2020-04-16 16:55:00,14.505,14.5366,14.475,14.495,98560
2020-04-16 17:00:00,14.5,14.6,14.5,14.58,84568
2020-04-16 17:05:00,14.5866,14.637,14.525,14.54,83115
2020-04-16 17:10:00,14.53,14.55,14.5,14.54,47991
2020-04-16 17:15:00,14.535,14.55,14.5,14.52,46567
2020-04-16 17:20:00,14.52,14.54,14.49,14.52,67564
2020-04-16 17:25:00,14.52,14.54,14.49,14.51,72643
2020-04-16 17:30:00,14.505,14.55,14.49,14.51,108362
2020-04-16 17:35:00,14.52,14.525,14.49,14.5,74061
2020-04-16 17:40:00,14.5,14.59,14.5,14.575,67248
2020-04-16 17:45:00,14.57,14.57,14.49,14.495,50249
2020-04-16 17:50:00,14.49,14.525,14.45,14.475,102269
2020-04-16 17:55:00,14.48,14.53,14.47,14.525,100887
2020-04-16 18:00:00,14.53,14.545,14.5,14.523,80371
2020-04-16 18:05:00,14.526,14.56,14.49,14.56,62876
2020-04-16 18:10:00,14.56,14.56,14.5,14.55,82105
2020-04-16 18:15:00,14.5458,14.6,14.53,14.54,76561
2020-04-16 18:20:00,14.5301,14.55,14.5,14.545,97786
2020-04-16 18:25:00,14.54,14.59,14.52,14.565,80757
2020-04-16 18:30:00,14.56,14.58,14.525,14.525,100813
2020-04-16 18:35:00,14.525,14.6,14.52,14.56,92706
2020-04-16 18:40:00,14.56,14.5786,14.5,14.545,90240
2020-04-16 18:45:00,14.54,14.56,14.51,14.515,66695
2020-04-16 18:50:00,14.51,14.5586,14.5,14.545,84657
2020-04-16 18:55:00,14.545,14.57,14.54,14.56,127422
2020-04-16 19:00:00,14.56,14.59,14.52,14.52,81177
2020-04-16 19:05:00,14.52,14.54,14.48,14.49,125658
2020-04-16 19:10:00,14.5,14.51,14.48,14.495,78690
2020-04-16 19:15:00,14.49,14.525,14.47,14.48,136898
2020-04-16 19:20:00,14.485,14.54,14.48,14.53,96575
2020-04-16 19:25:00,14.53,14.57,14.5,14.545,87917
2020-04-16 19:30:00,14.545,14.62,14.525,14.6109,177448
2020-04-16 19:35:00,14.61,14.67,14.61,14.635,139816
2020-04-16 19:40:00,14.6345,14.66,14.61,14.615,114305
2020-04-16 19:45:00,14.6141,14.67,14.61,14.655,120178
2020-04-16 19:50:00,14.655,14.695,14.62,14.62,287814
2020-04-16 19:55:00,14.62,14.66,14.585,14.62,465097
2020-04-16 20:00:00,14.63,14.63,14.63,14.63,508838
2020-04-16 20:05:00,14.63,14.63,14.63,14.63,510
2020-04-16 20:15:00,14.64,14.64,14.62,14.62,250
2020-04-16 20:20:00,14.62,14.62,14.62,14.62,183
2020-04-16 20:25:00,14.77,14.77,14.77,14.77,140
2020-04-16 20:30:00,14.61,14.61,14.61,14.61,727
2020-04-16 20:35:00,14.77,14.77,14.77,14.77,100
2020-04-16 20:45:00,14.79,14.79,14.79,14.79,100
2020-04-16 20:50:00,14.79,14.79,14.7502,14.7598,1828
2020-04-16 20:55:00,14.76,14.79,14.7,14.79,2660
2020-04-16 21:00:00,14.79,14.8,14.79,14.8,4001
2020-04-16 21:05:00,14.9,14.9,14.7102,14.9,4015
2020-04-16 21:10:00,14.9,15.0,14.9,15.0,1700
2020-04-16 21:15:00,15.06,15.1502,15.01,15.1502,11700
2020-04-16 21:20:00,15.18,15.18,15.18,15.18,5138
2020-04-16 21:30:00,15.1,15.17,15.1,15.17,3547
2020-04-16 21:35:00,15.17,15.2,15.17,15.2,5764
2020-04-16 21:40:00,15.2,15.25,15.2,15.2,2368
2020-04-16 21:45:00,15.23,15.23,15.2,15.2,6253
2020-04-16 21:50:00,15.2,15.25,15.2,15.25,2404
2020-04-16 21:55:00,15.23,15.23,15.15,15.15,1835
2020-04-16 22:05:00,15.17,15.2,15.15,15.2,1100
2020-04-16 22:10:00,15.2,15.2,15.17,15.2,10234
2020-04-16 22:15:00,15.18,15.22,15.18,15.2,2100
2020-04-16 22:20:00,15.22,15.3,15.22,15.25,7478
2020-04-16 22:25:00,15.3,15.48,15.3,15.45,3173
2020-04-16 22:30:00,15.48,15.5,15.48,15.5,1300
2020-04-16 22:35:00,15.5,15.5,15.45,15.47,1104
2020-04-16 22:40:00,15.3,15.4,15.22,15.4,701
2020-04-16 22:45:00,15.4,15.5,15.35,15.4,3013
2020-04-16 22:50:00,15.35,15.45,15.35,15.45,4548
2020-04-16 22:55:00,15.45,15.45,15.4,15.4,1400
2020-04-16 23:00:00,15.4,15.5,15.4,15.5,2450
2020-04-16 23:05:00,15.55,15.55,15.4,15.4,1297
2020-04-16 23:10:00,15.4,15.4,15.3,15.3,2950
2020-04-16 23:15:00,15.23,15.55,15.22,15.55,6377
2020-04-16 23:20:00,15.5,15.55,15.5,15.55,1595
2020-04-16 23:25:00,15.55,15.55,15.51,15.55,1943
2020-04-16 23:30:00,15.52,15.55,15.5,15.5,3680
2020-04-16 23:35:00,15.54,15.55,15.51,15.53,1900
2020-04-16 23:40:00,15.55,15.55,15.52,15.52,1600
2020-04-16 23:45:00,15.52,15.55,15.5,15.5,2349
2020-04-16 23:50:00,15.51,15.51,15.5,15.5,200
2020-04-16 23:55:00,15.55,15.55,15.5,15.55,2170
2020-04-17 11:00:00,15.49,15.49,15.21,15.21,1603
2020-04-17 11:05:00,15.3,15.3,15.3,15.3,900
2020-04-17 11:10:00,15.4,15.5,15.4,15.5,950
2020-04-17 11:15:00,15.32,15.32,15.32,15.32,500
2020-04-17 11:20:00,15.4,15.42,15.4,15.42,900
2020-04-17 11:25:00,15.42,15.42,15.42,15.42,950
2020-04-17 11:30:00,15.48,15.5,15.48,15.5,1565
2020-04-17 11:45:00,15.5,15.55,15.5,15.55,4933
2020-04-17 12:05:00,15.41,15.41,15.41,15.41,399
2020-04-17 12:20:00,15.41,15.42,15.41,15.42,905
2020-04-17 12:25:00,15.5,15.5,15.35,15.35,1488
2020-04-17 12:45:00,15.5,15.5,15.5,15.5,1000
2020-04-17 12:50:00,15.5,15.5,15.5,15.5,500
2020-04-17 12:55:00,15.5,15.5,15.5,15.5,300
2020-04-17 13:00:00,15.4999,15.5,15.4,15.5,2720
2020-04-17 13:05:00,15.41,15.5,15.33,15.36,9625
2020-04-17 13:10:00,15.36,15.36,15.3,15.3,2337
2020-04-17 13:15:00,15.3,15.56,15.3,15.56,15609
2020-04-17 13:20:00,15.55,15.55,15.55,15.55,6379
2020-04-17 13:25:00,15.3,15.31,15.25,15.25,2989
2020-04-17 13:30:00,15.34,15.62,15.25,15.5598,467526
