datetime,open,high,low,close,volume
2020-04-16 08:00:00,17.8,17.8,17.8,17.8,500
2020-04-16 08:15:00,17.84,17.84,17.84,17.84,100
2020-04-16 08:25:00,17.9,17.9,17.9,17.9,300
2020-04-16 10:15:00,17.85,17.9,17.85,17.9,1400
2020-04-16 11:00:00,17.9,17.9,17.81,17.81,944
2020-04-16 11:30:00,17.86,17.86,17.86,17.86,300
2020-04-16 11:35:00,17.81,17.81,17.81,17.81,556
2020-04-16 11:45:00,17.8,17.8,17.8,17.8,100
2020-04-16 12:05:00,17.8,17.8,17.8,17.8,100
2020-04-16 12:15:00,17.84,17.84,17.84,17.84,100
2020-04-16 12:20:00,17.84,17.84,17.84,17.84,400
2020-04-16 12:30:00,17.86,17.86,17.86,17.86,278
2020-04-16 12:35:00,17.86,17.9,17.86,17.9,601
2020-04-16 12:40:00,17.85,17.85,17.85,17.85,1340
2020-04-16 13:05:00,17.85,17.92,17.85,17.92,916
2020-04-16 13:15:00,17.9,17.92,17.891,17.9,600
2020-04-16 13:20:00,17.94,17.94,17.94,17.94,400
2020-04-16 13:25:00,17.93,17.94,17.91,17.91,430
2020-04-16 13:30:00,17.85,18.18,17.85,18.145,255804
2020-04-16 13:35:00,18.15,18.165,18.02,18.15,119210
2020-04-16 13:40:00,18.15,18.339,18.12,18.31,198121
2020-04-16 13:45:00,18.305,18.5,18.305,18.465,236152
2020-04-16 13:50:00,18.465,18.465,18.3,18.31,441007
2020-04-16 13:55:00,18.31,18.5,18.31,18.49,165669
2020-04-16 14:00:00,18.48,18.62,18.455,18.46,227718
2020-04-16 14:05:00,18.46,18.62,18.42,18.62,94410
2020-04-16 14:10:00,18.62,18.67,18.54,18.565,129157
2020-04-16 14:15:00,18.56,18.68,18.53,18.67,107206
2020-04-16 14:20:00,18.66,18.725,18.55,18.565,106350
2020-04-16 14:25:00,18.56,18.5897,18.505,18.55,123883
2020-04-16 14:30:00,18.545,18.59,18.49,18.5401,160056
2020-04-16 14:35:00,18.54,18.59,18.41,18.46,134717
2020-04-16 14:40:00,18.46,18.5571,18.4312,18.5571,100604
2020-04-16 14:45:00,18.555,18.575,18.5,18.555,84005
2020-04-16 14:50:00,18.55,18.665,18.53,18.54,124333
2020-04-16 14:55:00,18.53,18.53,18.44,18.445,140547
2020-04-16 15:00:00,18.45,18.615,18.42,18.6,114340
2020-04-16 15:05:00,18.605,18.61,18.54,18.55,53772
2020-04-16 15:10:00,18.5427,18.55,18.465,18.465,74096
2020-04-16 15:15:00,18.465,18.54,18.42,18.51,48681
2020-04-16 15:20:00,18.51,18.52,18.44,18.495,37146
2020-04-16 15:25:00,18.495,18.53,18.475,18.53,68961
2020-04-16 15:30:00,18.525,18.67,18.525,18.6,136003
2020-04-16 15:35:00,18.6,18.68,18.6,18.645,92845
2020-04-16 15:40:00,18.645,18.73,18.645,18.68,71567
2020-04-16 15:45:00,18.68,18.76,18.6501,18.71,64920
2020-04-16 15:50:00,18.71,18.82,18.7,18.81,147101
2020-04-16 15:55:00,18.8,18.82,18.73,18.735,126907
2020-04-16 16:00:00,18.74,18.78,18.64,18.645,104272
2020-04-16 16:05:00,18.64,18.7,18.6,18.675,66677
2020-04-16 16:10:00,18.68,18.7,18.62,18.67,67844
2020-04-16 16:15:00,18.665,18.68,18.55,18.57,68078
2020-04-16 16:20:00,18.57,18.62,18.54,18.61,57828
2020-04-16 16:25:00,18.61,18.65,18.59,18.62,30344
2020-04-16 16:30:00,18.61,18.61,18.52,18.555,49990
2020-04-16 16:35:00,18.56,18.575,18.51,18.55,66467
2020-04-16 16:40:00,18.54,18.6,18.525,18.6,26669
2020-04-16 16:45:00,18.595,18.62,18.565,18.565,32026
2020-04-16 16:50:00,18.565,18.58,18.53,18.53,33526
2020-04-16 16:55:00,18.53,18.565,18.49,18.545,94102
2020-04-16 17:00:00,18.545,18.57,18.51,18.515,33832
2020-04-16 17:05:00,18.52,18.55,18.515,18.5394,25951
2020-04-16 17:10:00,18.54,18.54,18.4446,18.47,42295
2020-04-16 17:15:00,18.47,18.505,18.46,18.485,22597
2020-04-16 17:20:00,18.485,18.51,18.48,18.495,25704
2020-04-16 17:25:00,18.495,18.54,18.49,18.515,54109
2020-04-16 17:30:00,18.5171,18.57,18.5056,18.53,33360
2020-04-16 17:35:00,18.53,18.58,18.4802,18.505,46783
2020-04-16 17:40:00,18.5,18.525,18.495,18.51,28070
2020-04-16 17:45:00,18.5008,18.525,18.5,18.5,27648
2020-04-16 17:50:00,18.51,18.53,18.5,18.505,44234
2020-04-16 17:55:00,18.505,18.545,18.45,18.54,96477
