datetime,open,high,low,close,volume
2020-04-16 13:30:00,16.27,16.27,16.05,16.1,121964
2020-04-16 13:35:00,16.09,16.2,15.98,16.16,134184
2020-04-16 13:40:00,16.16,16.25,16.08,16.23,129218
2020-04-16 13:45:00,16.24,16.32,16.17,16.23,112019
2020-04-16 13:50:00,16.23,16.23,16.08,16.12,91589
2020-04-16 13:55:00,16.13,16.2,15.91,15.91,71615
2020-04-16 14:00:00,15.91,16.07,15.91,15.96,66520
2020-04-16 14:05:00,15.965,16.075,15.96,16.05,66240
2020-04-16 14:10:00,16.05,16.05,15.93,16.0,51305
2020-04-16 14:15:00,16.0017,16.0017,15.92,15.94,37301
2020-04-16 14:20:00,15.93,16.01,15.91,16.0,42648
2020-04-16 14:25:00,16.0,16.01,15.97,15.99,41404
2020-04-16 14:30:00,15.99,16.11,15.955,16.04,60055
2020-04-16 14:35:00,16.04,16.04,15.925,15.94,48173
2020-04-16 14:40:00,15.945,16.06,15.9,16.06,33609
2020-04-16 14:45:00,16.06,16.06,15.93,15.975,24317
2020-04-16 14:50:00,15.97,15.975,15.925,15.95,38119
2020-04-16 14:55:00,15.96,16.03,15.96,15.98,57157
2020-04-16 15:00:00,15.98,15.98,15.905,15.96,24121
2020-04-16 15:05:00,15.955,16.19,15.94,16.19,37570
2020-04-16 15:10:00,16.19,16.22,16.08,16.106,86680
2020-04-16 15:15:00,16.11,16.17,16.11,16.145,53492
2020-04-16 15:20:00,16.15,16.15,16.0,16.06,35210
2020-04-16 15:25:00,16.05,16.065,16.0,16.025,45233
2020-04-16 15:30:00,16.02,16.02,15.91,15.93,48993
2020-04-16 15:35:00,15.935,15.935,15.85,15.86,86104
2020-04-16 15:40:00,15.855,15.925,15.835,15.885,35018
2020-04-16 15:45:00,15.89,15.89,15.845,15.855,39237
2020-04-16 15:50:00,15.86,15.93,15.825,15.91,61024
2020-04-16 15:55:00,15.91,15.97,15.8677,15.92,53795
2020-04-16 16:00:00,15.92,15.96,15.875,15.89,27398
2020-04-16 16:05:00,15.885,15.95,15.88,15.89,48157
2020-04-16 16:10:00,15.89,15.91,15.835,15.9,61576
2020-04-16 16:15:00,15.89,15.97,15.87,15.915,67564
2020-04-16 16:20:00,15.92,15.92,15.81,15.8399,47362
2020-04-16 16:25:00,15.83,15.89,15.82,15.875,50080
2020-04-16 16:30:00,15.875,15.875,15.775,15.8,50566
2020-04-16 16:35:00,15.805,15.87,15.79,15.795,43558
2020-04-16 16:40:00,15.79,15.82,15.78,15.79,42236
2020-04-16 16:45:00,15.8,15.85,15.77,15.85,43609
2020-04-16 16:50:00,15.85,15.91,15.845,15.9,35774
2020-04-16 16:55:00,15.9,15.92,15.86,15.875,22831
2020-04-16 17:00:00,15.875,15.92,15.865,15.87,27908
2020-04-16 17:05:00,15.87,15.88,15.82,15.82,22291
2020-04-16 17:10:00,15.83,15.87,15.82,15.87,17662
2020-04-16 17:15:00,15.87,15.875,15.82,15.85,23839
2020-04-16 17:20:00,15.85,15.9,15.83,15.9,28240
2020-04-16 17:25:00,15.9,15.91,15.87,15.88,18674
2020-04-16 17:30:00,15.875,15.95,15.875,15.92,28322
2020-04-16 17:35:00,15.92,15.93,15.9,15.905,23013
2020-04-16 17:40:00,15.905,15.975,15.9,15.97,32101
2020-04-16 17:45:00,15.9716,15.995,15.94,15.9785,51626
2020-04-16 17:50:00,15.98,15.98,15.91,15.91,35745
2020-04-16 17:55:00,15.905,16.02,15.905,16.02,22061
2020-04-16 18:00:00,16.015,16.03,15.965,16.01,31396
2020-04-16 18:05:00,16.005,16.02,15.975,15.985,26697
2020-04-16 18:10:00,15.99,16.0,15.945,16.0,36883
2020-04-16 18:15:00,16.0,16.07,15.99,16.055,31110
