datetime,open,high,low,close,volume
2020-04-16 08:55:00,57.22,57.22,57.22,57.22,100
2020-04-16 09:00:00,57.23,57.23,57.23,57.23,105
2020-04-16 09:55:00,57.39,57.4,57.39,57.4,500
2020-04-16 11:00:00,57.25,57.25,57.25,57.25,196
2020-04-16 11:05:00,57.0,57.0,57.0,57.0,102
2020-04-16 11:15:00,57.3,57.3,57.3,57.3,100
2020-04-16 11:30:00,57.05,57.05,57.05,57.05,206
2020-04-16 11:40:00,57.07,57.07,57.05,57.05,200
2020-04-16 12:05:00,57.01,57.01,57.01,57.01,119
2020-04-16 12:15:00,56.98,56.98,56.98,56.98,103
2020-04-16 12:25:00,57.24,57.24,57.0,57.0,771
2020-04-16 12:30:00,56.99,57.05,56.99,57.05,1012
2020-04-16 12:45:00,57.24,57.36,57.23,57.32,3680
2020-04-16 12:50:00,57.37,57.5,57.2475,57.5,5423
2020-04-16 12:55:00,57.72,57.77,57.6,57.7,18796
2020-04-16 13:00:00,57.72,57.85,57.72,57.85,8538
2020-04-16 13:05:00,57.81,57.88,57.74,57.88,6383
2020-04-16 13:10:00,57.88,58.09,57.85,58.09,19072
2020-04-16 13:15:00,58.1,58.44,58.1,58.25,24207
2020-04-16 13:20:00,58.21,58.21,57.85,57.98,14196
2020-04-16 13:25:00,57.83,57.87,57.3,57.35,15483
2020-04-16 13:30:00,57.29,57.76,57.13,57.67,603476
2020-04-16 13:35:00,57.675,57.72,57.54,57.61,277408
2020-04-16 13:40:00,57.62,57.64,57.355,57.39,202744
2020-04-16 13:45:00,57.39,57.52,57.31,57.4,167484
2020-04-16 13:50:00,57.39,57.47,57.31,57.455,184513
2020-04-16 13:55:00,57.457,57.49,57.17,57.19,190267
2020-04-16 14:00:00,57.19,57.21,56.98,57.035,245195
2020-04-16 14:05:00,57.04,57.1,56.935,56.94,169670
2020-04-16 14:10:00,56.94,57.02,56.8537,56.93,289303
2020-04-16 14:15:00,56.93,57.03,56.9,56.98,178862
2020-04-16 14:20:00,56.98,57.06,56.96,57.035,195188
2020-04-16 14:25:00,57.035,57.15,57.0,57.06,177774
2020-04-16 14:30:00,57.055,57.075,56.95,56.99,194378
2020-04-16 14:35:00,56.985,57.04,56.94,56.965,136127
2020-04-16 14:40:00,56.975,57.13,56.95,57.09,147599
2020-04-16 14:45:00,57.09,57.195,57.06,57.19,132084
2020-04-16 14:50:00,57.2,57.21,57.02,57.04,102365
2020-04-16 14:55:00,57.029,57.165,57.029,57.14,133596
2020-04-16 15:00:00,57.15,57.21,57.05,57.069,127889
2020-04-16 15:05:00,57.07,57.2589,57.055,57.205,108067
2020-04-16 15:10:00,57.205,57.22,57.085,57.0967,135699
2020-04-16 15:15:00,57.1,57.21,57.1,57.135,143395
2020-04-16 15:20:00,57.135,57.16,57.06,57.115,173294
2020-04-16 15:25:00,57.1193,57.2,57.07,57.09,171956
2020-04-16 15:30:00,57.09,57.1,57.01,57.02,115174
2020-04-16 15:35:00,57.015,57.14,57.01,57.14,135028
2020-04-16 15:40:00,57.135,57.2,57.13,57.15,100390
2020-04-16 15:45:00,57.145,57.16,57.05,57.105,152932
