datetime,open,high,low,close,volume
2020-04-16 13:30:00,35.03,35.71,35.03,35.5,23600
2020-04-16 13:35:00,35.485,35.6369,35.37,35.61,16779
2020-04-16 13:40:00,35.66,35.92,35.658,35.9,13326
2020-04-16 13:45:00,35.93,36.04,35.81,35.83,10358
2020-04-16 13:50:00,35.8,35.81,35.6519,35.72,6649
2020-04-16 13:55:00,35.73,35.82,35.73,35.78,3244
2020-04-16 14:00:00,35.79,35.8,35.46,35.46,18208
2020-04-16 14:05:00,35.44,35.48,35.4,35.4,24258
2020-04-16 14:10:00,35.4135,35.4135,35.1542,35.16,10406
2020-04-16 14:15:00,35.16,35.19,35.1,35.14,13642
2020-04-16 14:20:00,35.07,35.33,35.06,35.2,22750
2020-04-16 14:25:00,35.165,35.3,35.06,35.28,16780
2020-04-16 14:30:00,35.3299,35.37,35.23,35.36,13014
2020-04-16 14:35:00,35.38,35.4,35.3,35.33,4400
2020-04-16 14:40:00,35.3,35.55,35.28,35.515,8425
2020-04-16 14:45:00,35.4999,35.59,35.4999,35.5781,7400
2020-04-16 14:50:00,35.56,35.57,35.42,35.44,2700
2020-04-16 14:55:00,35.45,35.5709,35.45,35.56,3620
2020-04-16 15:00:00,35.57,35.68,35.5,35.68,6842
2020-04-16 15:05:00,35.67,35.72,35.6197,35.665,4982
2020-04-16 15:10:00,35.63,35.67,35.58,35.62,4776
2020-04-16 15:15:00,35.62,35.6808,35.54,35.6808,5930
2020-04-16 15:20:00,35.7,35.7,35.62,35.62,3107
2020-04-16 15:25:00,35.64,35.85,35.63,35.83,8190
2020-04-16 15:30:00,35.79,35.81,35.7,35.7,4804
2020-04-16 15:35:00,35.66,35.72,35.64,35.7,6450
2020-04-16 15:40:00,35.71,35.75,35.7,35.73,6750
2020-04-16 15:45:00,35.73,35.73,35.55,35.643,8542
2020-04-16 15:50:00,35.62,35.67,35.58,35.67,5121
2020-04-16 15:55:00,35.7,35.71,35.62,35.6985,5869
2020-04-16 16:00:00,35.7,35.73,35.61,35.62,3037
2020-04-16 16:05:00,35.6,35.6,35.44,35.49,22040
2020-04-16 16:10:00,35.49,35.51,35.3982,35.4115,2567
2020-04-16 16:15:00,35.39,35.39,35.275,35.33,7374
2020-04-16 16:20:00,35.325,35.35,35.27,35.34,5120
2020-04-16 16:25:00,35.31,35.355,35.28,35.35,4153
2020-04-16 16:30:00,35.32,35.33,35.23,35.24,4783
2020-04-16 16:35:00,35.25,35.29,35.2,35.29,8184
2020-04-16 16:40:00,35.29,35.46,35.29,35.42,2900
