datetime,open,high,low,close,volume
2020-04-16 12:30:00,16.8,16.81,16.8,16.81,1500
2020-04-16 12:35:00,16.64,16.64,16.51,16.51,500
2020-04-16 13:25:00,16.66,16.69,16.6,16.69,1200
2020-04-16 13:30:00,16.64,16.91,16.64,16.71,298290
2020-04-16 13:35:00,16.72,16.73,16.6,16.65,96453
2020-04-16 13:40:00,16.66,16.78,16.65,16.72,64623
2020-04-16 13:45:00,16.71,16.72,16.6,16.649,59046
2020-04-16 13:50:00,16.64,16.66,16.57,16.62,55850
2020-04-16 13:55:00,16.63,16.7,16.59,16.595,129646
2020-04-16 14:00:00,16.59,16.66,16.59,16.63,88239
2020-04-16 14:05:00,16.62,16.665,16.585,16.59,42103
2020-04-16 14:10:00,16.59,16.595,16.47,16.53,540414
2020-04-16 14:15:00,16.53,16.53,16.4,16.41,102883
2020-04-16 14:20:00,16.41,16.52,16.37,16.49,70472
2020-04-16 14:25:00,16.49,16.6,16.47,16.6,58643
2020-04-16 14:30:00,16.6,16.66,16.57,16.61,79748
2020-04-16 14:35:00,16.62,16.635,16.57,16.57,82463
2020-04-16 14:40:00,16.58,16.725,16.54,16.71,138764
2020-04-16 14:45:00,16.71,16.76,16.69,16.6964,169406
2020-04-16 14:50:00,16.69,16.69,16.62,16.64,78016
2020-04-16 14:55:00,16.64,16.73,16.64,16.69,73456
2020-04-16 15:00:00,16.7,16.73,16.66,16.71,86630
2020-04-16 15:05:00,16.71,16.78,16.69,16.78,58247
2020-04-16 15:10:00,16.7773,16.79,16.73,16.73,48897
2020-04-16 15:15:00,16.74,16.76,16.7,16.72,35946
2020-04-16 15:20:00,16.72,16.72,16.66,16.705,93690
2020-04-16 15:25:00,16.7,16.75,16.69,16.69,121989
2020-04-16 15:30:00,16.69,16.7,16.64,16.64,61487
2020-04-16 15:35:00,16.64,16.71,16.625,16.7,161774
2020-04-16 15:40:00,16.705,16.71,16.61,16.63,43726
2020-04-16 15:45:00,16.64,16.66,16.62,16.66,71784
2020-04-16 15:50:00,16.66,16.75,16.645,16.745,85497
2020-04-16 15:55:00,16.74,16.745,16.645,16.67,58855
2020-04-16 16:00:00,16.67,16.71,16.64,16.66,84429
2020-04-16 16:05:00,16.66,16.66,16.58,16.6,74017
2020-04-16 16:10:00,16.6,16.61,16.54,16.55,58446
2020-04-16 16:15:00,16.54,16.6,16.53,16.56,176201
2020-04-16 16:20:00,16.555,16.63,16.52,16.52,326494
2020-04-16 16:25:00,16.525,16.57,16.5,16.5599,39999
2020-04-16 16:30:00,16.55,16.56,16.5,16.53,48467
2020-04-16 16:35:00,16.54,16.57,16.53,16.57,58798
2020-04-16 16:40:00,16.56,16.58,16.53,16.53,34412
2020-04-16 16:45:00,16.535,16.535,16.5,16.52,52363
2020-04-16 16:50:00,16.51,16.54,16.49,16.51,39964
2020-04-16 16:55:00,16.505,16.58,16.47,16.58,41629
2020-04-16 17:00:00,16.575,16.615,16.56,16.56,90693
2020-04-16 17:05:00,16.57,16.6,16.54,16.55,47555
2020-04-16 17:10:00,16.55,16.58,16.535,16.57,61025
2020-04-16 17:15:00,16.575,16.585,16.53,16.57,39450
2020-04-16 17:20:00,16.57,16.585,16.535,16.57,40314
2020-04-16 17:25:00,16.56,16.59,16.54,16.59,32122
2020-04-16 17:30:00,16.595,16.62,16.58,16.62,170591
2020-04-16 17:35:00,16.62,16.64,16.61,16.625,83621
2020-04-16 17:40:00,16.625,16.695,16.61,16.68,80030
2020-04-16 17:45:00,16.68,16.69,16.62,16.635,111423
2020-04-16 17:50:00,16.64,16.65,16.62,16.64,75531
2020-04-16 17:55:00,16.64,16.64,16.58,16.635,62255
2020-04-16 18:00:00,16.635,16.64,16.59,16.63,66322
2020-04-16 18:05:00,16.62,16.685,16.595,16.675,117844
2020-04-16 18:10:00,16.675,16.69,16.65,16.69,65383
2020-04-16 18:15:00,16.69,16.7,16.66,16.67,137375
2020-04-16 18:20:00,16.67,16.7,16.635,16.68,99808
2020-04-16 18:25:00,16.6816,16.71,16.66,16.68,67603
2020-04-16 18:30:00,16.68,16.7,16.67,16.695,169868
2020-04-16 18:35:00,16.69,16.74,16.65,16.69,101400
2020-04-16 18:40:00,16.695,16.72,16.66,16.67,54570
2020-04-16 18:45:00,16.68,16.69,16.66,16.665,44294
2020-04-16 18:50:00,16.67,16.675,16.64,16.66,50536
2020-04-16 18:55:00,16.655,16.685,16.635,16.645,83623
2020-04-16 19:00:00,16.65,16.66,16.61,16.615,87263
2020-04-16 19:05:00,16.615,16.63,16.58,16.6,87471
2020-04-16 19:10:00,16.6,16.625,16.585,16.61,68223
2020-04-16 19:15:00,16.61,16.65,16.59,16.61,81910
2020-04-16 19:20:00,16.615,16.65,16.59,16.65,78479
2020-04-16 19:25:00,16.64,16.65,16.605,16.64,187927
2020-04-16 19:30:00,16.64,16.69,16.62,16.655,175756
2020-04-16 19:35:00,16.66,16.665,16.63,16.65,111736
2020-04-16 19:40:00,16.655,16.66,16.6,16.615,113827
2020-04-16 19:45:00,16.62,16.64,16.6,16.62,90859
2020-04-16 19:50:00,16.62,16.66,16.59,16.62,548157
2020-04-16 19:55:00,16.62,16.63,16.58,16.59,640864
2020-04-16 20:00:00,16.59,16.59,16.59,16.59,1229215
2020-04-16 20:05:00,16.54,16.54,16.54,16.54,100
2020-04-16 20:15:00,16.59,16.59,16.59,16.59,529
2020-04-16 20:30:00,16.54,16.54,16.54,16.54,392
2020-04-16 20:35:00,16.54,16.54,16.54,16.54,500
2020-04-16 20:40:00,16.54,16.59,16.54,16.59,69129
2020-04-16 21:20:00,16.91,16.92,16.91,16.92,900
2020-04-16 21:25:00,16.98,17.0,16.98,17.0,1000
2020-04-16 21:30:00,17.0,17.0,17.0,17.0,100
2020-04-16 21:35:00,17.0,17.0,17.0,17.0,511
2020-04-16 21:50:00,17.01,17.01,17.01,17.01,100
2020-04-16 22:00:00,17.01,17.01,17.01,17.01,200
2020-04-16 22:10:00,17.01,17.01,17.01,17.01,100
2020-04-16 22:30:00,17.01,17.01,17.01,17.01,3464
2020-04-16 23:00:00,17.42,17.42,17.42,17.42,600
2020-04-16 23:05:00,17.43,17.5,17.43,17.5,580
2020-04-16 23:15:00,17.6,17.6,17.6,17.6,250
2020-04-16 23:20:00,17.85,17.85,17.85,17.85,300
2020-04-16 23:25:00,17.65,17.65,17.65,17.65,651
2020-04-16 23:30:00,17.9,17.9,17.4999,17.4999,669
2020-04-16 23:55:00,17.1,17.1,17.1,17.1,100
