datetime,open,high,low,close,volume
2020-04-16 10:25:00,28.24,28.24,28.24,28.24,150
2020-04-16 10:30:00,28.5,28.5,28.5,28.5,100
2020-04-16 10:45:00,28.55,28.55,28.51,28.51,300
2020-04-16 10:50:00,28.51,28.51,28.51,28.51,100
2020-04-16 11:00:00,28.35,28.5,28.24,28.5,4810
2020-04-16 11:05:00,28.37,28.37,28.33,28.35,4376
2020-04-16 11:10:00,28.35,28.35,28.35,28.35,250
2020-04-16 11:15:00,28.3,28.3,28.25,28.3,2164
2020-04-16 11:20:00,28.35,28.44,28.35,28.44,3905
2020-04-16 11:25:00,28.4,28.7,28.4,28.7,4572
2020-04-16 11:30:00,28.75,28.8,28.7,28.75,10482
2020-04-16 11:35:00,28.66,28.7,28.6,28.7,2199
2020-04-16 11:40:00,28.7,28.7,28.5,28.5,7481
2020-04-16 11:45:00,28.44,28.6,28.44,28.53,6341
2020-04-16 11:50:00,28.58,28.58,28.5,28.55,4430
2020-04-16 11:55:00,28.58,28.6,28.5502,28.5502,400
2020-04-16 12:00:00,28.58,28.58,28.34,28.42,3415
2020-04-16 12:05:00,28.5,28.5,28.47,28.4798,700
2020-04-16 12:10:00,28.48,28.49,28.35,28.45,4652
2020-04-16 12:15:00,28.4,28.48,28.4,28.48,2091
2020-04-16 12:20:00,28.48,28.48,28.28,28.28,1770
2020-04-16 12:25:00,28.4,28.4,28.38,28.4,1063
2020-04-16 12:30:00,28.47,28.72,28.47,28.56,29480
2020-04-16 12:35:00,28.62,28.62,28.5,28.5,24460
2020-04-16 12:40:00,28.47,28.5,28.36,28.45,3520
2020-04-16 12:45:00,28.45,28.45,27.63,27.73,42551
2020-04-16 12:50:00,27.75,28.0,27.61,27.9,27237
2020-04-16 12:55:00,27.9,28.02,27.76,28.02,12727
2020-04-16 13:00:00,28.2,28.2,28.0,28.15,16261
2020-04-16 13:05:00,28.01,28.01,27.84,28.0,7834
2020-04-16 13:10:00,28.0,28.08,27.65,27.85,12246
2020-04-16 13:15:00,27.85,27.92,27.8,27.8002,8384
2020-04-16 13:20:00,27.83,27.91,27.67,27.86,12628
2020-04-16 13:25:00,27.86,27.86,27.73,27.8,8423
2020-04-16 13:30:00,27.76,28.43,27.52,28.05,1353458
2020-04-16 13:35:00,28.0518,28.25,27.76,28.08,913891
2020-04-16 13:40:00,28.0696,28.2,27.53,27.61,683274
2020-04-16 13:45:00,27.585,27.95,27.55,27.83,472340
2020-04-16 13:50:00,27.82,27.82,27.41,27.7,494126
2020-04-16 13:55:00,27.7,27.85,27.53,27.6242,301052
2020-04-16 14:00:00,27.613,27.748,27.39,27.495,278477
2020-04-16 14:05:00,27.49,28.06,27.49,27.9987,564678
2020-04-16 14:10:00,28.0,28.32,27.81,27.87,827512
2020-04-16 14:15:00,27.84,28.0,27.83,27.99,290537
2020-04-16 14:20:00,27.984,28.33,27.98,28.2094,299392
2020-04-16 14:25:00,28.2173,28.49,28.11,28.45,337806
2020-04-16 14:30:00,28.433,28.56,28.28,28.5199,373506
2020-04-16 14:35:00,28.495,29.15,28.44,29.0,1375155
2020-04-16 14:40:00,29.0,29.44,29.0,29.3272,904877
2020-04-16 14:45:00,29.32,29.33,29.12,29.31,453087
2020-04-16 14:50:00,29.3,29.58,29.18,29.5,648889
2020-04-16 14:55:00,29.4853,29.95,29.4853,29.94,873916
2020-04-16 15:00:00,29.94,30.0,29.7,29.7382,1182939
2020-04-16 15:05:00,29.72,29.8094,29.52,29.5799,463466
2020-04-16 15:10:00,29.575,29.75,29.52,29.6599,355187
2020-04-16 15:15:00,29.6529,29.95,29.6473,29.94,622948
2020-04-16 15:20:00,29.9455,29.97,29.64,29.6701,475544
2020-04-16 15:25:00,29.69,29.7,29.37,29.5,495388
2020-04-16 15:30:00,29.495,29.525,29.33,29.4174,313337
2020-04-16 15:35:00,29.415,29.73,29.38,29.655,374094
