datetime,open,high,low,close,volume
2020-04-16 08:10:00,40.81,40.97,40.81,40.97,600
2020-04-16 08:15:00,40.7,40.7,40.7,40.7,255
2020-04-16 08:40:00,40.82,40.82,40.8,40.8,400
2020-04-16 08:50:00,40.75,40.8,40.75,40.8,1006
2020-04-16 09:00:00,40.7,40.7,40.7,40.7,100
2020-04-16 09:10:00,40.94,40.94,40.94,40.94,166
2020-04-16 09:15:00,40.8,40.8,40.8,40.8,400
2020-04-16 09:20:00,40.85,40.95,40.85,40.95,300
2020-04-16 09:25:00,40.85,40.85,40.77,40.77,684
2020-04-16 09:40:00,40.8,40.8,40.7,40.7,1100
2020-04-16 09:45:00,40.7,40.7,40.7,40.7,637
2020-04-16 09:50:00,40.7,40.7,40.7,40.7,100
2020-04-16 09:55:00,40.7,40.7,40.7,40.7,500
2020-04-16 10:00:00,40.7,40.7,40.69,40.69,1600
2020-04-16 10:05:00,40.7,40.7,40.65,40.65,800
2020-04-16 10:10:00,40.65,40.65,40.65,40.65,228
2020-04-16 10:25:00,40.7,40.7,40.7,40.7,200
2020-04-16 10:35:00,40.71,40.71,40.71,40.71,932
2020-04-16 10:50:00,40.71,40.71,40.71,40.71,400
2020-04-16 11:00:00,40.71,40.71,40.6,40.71,5505
2020-04-16 11:05:00,40.71,40.75,40.71,40.75,2541
2020-04-16 11:10:00,40.75,40.8,40.75,40.75,1403
2020-04-16 11:15:00,40.7,40.7,40.7,40.7,1068
2020-04-16 11:20:00,40.7,40.8,40.7,40.8,969
2020-04-16 11:25:00,40.74,40.74,40.74,40.74,4000
2020-04-16 11:30:00,40.7,40.7,40.62,40.62,1103
2020-04-16 11:35:00,40.62,40.62,40.33,40.33,6843
2020-04-16 11:40:00,40.33,40.48,40.33,40.48,917
2020-04-16 11:45:00,40.33,40.4,40.33,40.4,2203
2020-04-16 11:50:00,40.4,40.4,40.4,40.4,1300
2020-04-16 11:55:00,40.4,40.4,40.3005,40.3005,1120
2020-04-16 12:00:00,40.35,40.4,40.35,40.4,1218
2020-04-16 12:05:00,40.4,40.4,40.4,40.4,100
2020-04-16 12:15:00,40.2,40.25,40.0,40.25,7129
2020-04-16 12:20:00,40.25,40.25,40.1,40.18,7933
2020-04-16 12:25:00,40.3,40.3,40.2802,40.3,3335
2020-04-16 12:30:00,40.4,40.92,40.4,40.8,9278
2020-04-16 12:35:00,40.74,40.79,40.55,40.55,3300
2020-04-16 12:40:00,40.5999,40.6,40.5,40.5,1597
2020-04-16 12:45:00,40.5,40.6,40.5,40.6,2362
2020-04-16 12:50:00,40.6,40.6,40.5,40.6,1190
2020-04-16 12:55:00,40.6,40.68,40.59,40.66,5037
2020-04-16 13:00:00,40.6607,40.6638,40.56,40.66,1620
2020-04-16 13:05:00,40.6799,40.68,40.64,40.68,1272
2020-04-16 13:10:00,40.6,40.6,40.56,40.56,1773
2020-04-16 13:15:00,40.56,40.57,40.56,40.57,1614
2020-04-16 13:20:00,40.57,40.59,40.51,40.51,6606
2020-04-16 13:25:00,40.54,40.54,40.39,40.4,1874
2020-04-16 13:30:00,40.48,40.48,39.7,39.74,1067684
2020-04-16 13:35:00,39.75,39.897,39.595,39.73,470567
2020-04-16 13:40:00,39.73,40.02,39.72,39.94,374572
2020-04-16 13:45:00,39.93,39.95,39.68,39.75,310691
2020-04-16 13:50:00,39.7405,39.86,39.6415,39.765,249811
2020-04-16 13:55:00,39.765,39.785,39.505,39.515,275014
2020-04-16 14:00:00,39.515,39.64,39.47,39.5088,379984
2020-04-16 14:05:00,39.5,39.59,39.44,39.5352,276405
2020-04-16 14:10:00,39.54,39.55,39.4,39.47,331080
2020-04-16 14:15:00,39.465,39.4751,39.27,39.32,342109
2020-04-16 14:20:00,39.32,39.49,39.235,39.48,273302
2020-04-16 14:25:00,39.485,39.65,39.39,39.645,316294
2020-04-16 14:30:00,39.645,39.7557,39.5,39.525,358412
2020-04-16 14:35:00,39.525,39.62,39.42,39.445,320914
2020-04-16 14:40:00,39.44,39.68,39.36,39.595,368344
2020-04-16 14:45:00,39.59,39.66,39.53,39.57,303117
2020-04-16 14:50:00,39.57,39.57,39.3,39.33,382869
2020-04-16 14:55:00,39.33,39.44,39.25,39.349,349576
2020-04-16 15:00:00,39.345,39.675,39.31,39.605,424529
2020-04-16 15:05:00,39.61,39.71,39.57,39.69,199720
2020-04-16 15:10:00,39.71,39.76,39.59,39.635,336266
