datetime,open,high,low,close,volume
2020-04-16 09:15:00,7.6,7.6,7.6,7.6,2100
2020-04-16 09:55:00,7.6,7.6,7.6,7.6,200
2020-04-16 10:00:00,7.6,7.6,7.6,7.6,200
2020-04-16 10:50:00,7.79,7.8,7.79,7.8,2051
2020-04-16 11:00:00,7.62,7.7,7.6,7.7,4175
2020-04-16 11:05:00,7.7,7.7,7.7,7.7,1000
2020-04-16 11:20:00,7.7,7.7,7.7,7.7,1290
2020-04-16 11:30:00,7.7,7.7,7.7,7.7,100
2020-04-16 11:35:00,7.75,7.75,7.75,7.75,1916
2020-04-16 11:40:00,7.77,7.8,7.77,7.8,4773
2020-04-16 11:45:00,7.8,7.8,7.8,7.8,2919
2020-04-16 11:55:00,7.75,7.75,7.75,7.75,100
2020-04-16 12:00:00,7.8,7.8,7.71,7.77,6794
2020-04-16 12:05:00,7.77,7.77,7.74,7.74,3640
2020-04-16 12:10:00,7.71,7.71,7.7,7.7,1100
2020-04-16 12:15:00,7.65,7.65,7.65,7.65,228
2020-04-16 12:25:00,7.62,7.62,7.5998,7.5998,2958
2020-04-16 12:30:00,7.6,7.6,7.55,7.55,560
2020-04-16 12:35:00,7.69,7.7,7.69,7.6999,2329
2020-04-16 12:40:00,7.62,7.65,7.62,7.62,12253
2020-04-16 12:50:00,7.61,7.61,7.6099,7.61,980
2020-04-16 12:55:00,7.61,7.61,7.59,7.61,7105
2020-04-16 13:00:00,7.6494,7.65,7.62,7.62,500
2020-04-16 13:05:00,7.6499,7.65,7.63,7.65,1100
2020-04-16 13:10:00,7.63,7.63,7.61,7.61,911
2020-04-16 13:20:00,7.6399,7.6399,7.56,7.635,952
2020-04-16 13:25:00,7.56,7.7,7.56,7.6,25593
2020-04-16 13:30:00,7.58,7.72,7.57,7.7066,931148
2020-04-16 13:35:00,7.705,7.71,7.61,7.63,293883
2020-04-16 13:40:00,7.63,7.66,7.61,7.62,242892
2020-04-16 13:45:00,7.628,7.68,7.61,7.6675,232494
2020-04-16 13:50:00,7.6675,7.67,7.585,7.61,362786
2020-04-16 13:55:00,7.61,7.65,7.605,7.645,246340
2020-04-16 14:00:00,7.6464,7.65,7.56,7.565,168341
2020-04-16 14:05:00,7.565,7.63,7.56,7.63,206895
2020-04-16 14:10:00,7.63,7.635,7.6,7.61,174795
2020-04-16 14:15:00,7.605,7.615,7.57,7.595,336794
2020-04-16 14:20:00,7.59,7.6,7.56,7.5629,118983
2020-04-16 14:25:00,7.565,7.5675,7.53,7.535,216400
2020-04-16 14:30:00,7.5398,7.57,7.53,7.56,214399
2020-04-16 14:35:00,7.555,7.5584,7.515,7.5399,354112
2020-04-16 14:40:00,7.54,7.58,7.525,7.577,220010
2020-04-16 14:45:00,7.5781,7.64,7.57,7.634,246365
2020-04-16 14:50:00,7.64,7.64,7.62,7.625,99585
2020-04-16 14:55:00,7.625,7.65,7.62,7.635,162400
2020-04-16 15:00:00,7.64,7.67,7.63,7.65,122293
2020-04-16 15:05:00,7.645,7.68,7.64,7.65,141686
2020-04-16 15:10:00,7.65,7.7,7.645,7.7,226004
2020-04-16 15:15:00,7.695,7.74,7.695,7.7359,369503
2020-04-16 15:20:00,7.7377,7.8,7.73,7.79,478996
2020-04-16 15:25:00,7.79,7.79,7.73,7.77,342931
2020-04-16 15:30:00,7.77,7.78,7.76,7.765,141507
2020-04-16 15:35:00,7.765,7.78,7.72,7.74,200858
2020-04-16 15:40:00,7.7399,7.75,7.72,7.725,284711
2020-04-16 15:45:00,7.725,7.7526,7.72,7.7466,166420
2020-04-16 15:50:00,7.7475,7.79,7.74,7.79,194994
2020-04-16 15:55:00,7.785,7.8,7.76,7.765,187561
2020-04-16 16:00:00,7.77,7.775,7.71,7.713,160310
2020-04-16 16:05:00,7.715,7.72,7.68,7.69,199986
2020-04-16 16:10:00,7.6958,7.7,7.68,7.689,77221
2020-04-16 16:15:00,7.685,7.685,7.63,7.64,269500
2020-04-16 16:20:00,7.64,7.65,7.6226,7.65,132882
2020-04-16 16:25:00,7.6406,7.67,7.6406,7.665,217539
2020-04-16 16:30:00,7.66,7.665,7.6,7.6042,232739
2020-04-16 16:35:00,7.61,7.61,7.55,7.595,414747
2020-04-16 16:40:00,7.59,7.61,7.58,7.6,156316
2020-04-16 16:45:00,7.6,7.62,7.595,7.615,263323
2020-04-16 16:50:00,7.615,7.64,7.6,7.64,155170
2020-04-16 16:55:00,7.64,7.67,7.63,7.655,133274
2020-04-16 17:00:00,7.655,7.69,7.64,7.665,343516
2020-04-16 17:05:00,7.665,7.67,7.63,7.645,115509
2020-04-16 17:10:00,7.645,7.65,7.6,7.61,159217
2020-04-16 17:15:00,7.61,7.64,7.6,7.64,158597
2020-04-16 17:20:00,7.64,7.64,7.615,7.6274,134946
2020-04-16 17:25:00,7.625,7.65,7.62,7.645,91266
2020-04-16 17:30:00,7.6442,7.66,7.64,7.655,110979
2020-04-16 17:35:00,7.66,7.67,7.643,7.6445,125397
2020-04-16 17:40:00,7.645,7.66,7.63,7.645,125177
2020-04-16 17:45:00,7.65,7.66,7.63,7.63,227224
2020-04-16 17:50:00,7.635,7.65,7.62,7.62,141675
2020-04-16 17:55:00,7.62,7.67,7.62,7.67,274723
2020-04-16 18:00:00,7.67,7.69,7.65,7.69,141310
2020-04-16 18:05:00,7.69,7.71,7.68,7.7,135010
2020-04-16 18:10:00,7.695,7.72,7.685,7.7099,209778
2020-04-16 18:15:00,7.705,7.72,7.705,7.715,131956
2020-04-16 18:20:00,7.715,7.72,7.7,7.705,103814
